"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,18.32,18.68,18.07,18.42,36148800,14.647225
"2",2007-01-04,18.370001,18.879999,18.34,18.799999,29455400,14.949394
"3",2007-01-05,18.639999,18.75,18.42,18.67,31181500,14.846021
"4",2007-01-08,18.629999,19.049999,18.57,18.889999,30210200,15.020957
"5",2007-01-09,18.92,19.280001,18.790001,19.25,28494000,15.307227
"6",2007-01-10,19.120001,19.629999,19.01,19.540001,30424800,15.537829
"7",2007-01-11,19.5,19.790001,19.459999,19.530001,31083400,15.529879
"8",2007-01-12,19.360001,19.549999,19.299999,19.5,30983400,15.506025
"9",2007-01-16,19.51,19.559999,19.299999,19.48,31201500,15.490116
"10",2007-01-17,19.35,19.77,19.25,19.4,30397000,15.4265
"11",2007-01-18,18.59,18.68,18.059999,18.25,51363400,14.512045
"12",2007-01-19,18.17,18.48,18.09,18.209999,33919600,14.480236
"13",2007-01-22,18.27,18.32,17.85,17.959999,30956500,14.281443
"14",2007-01-23,17.93,18,17.42,17.459999,50570100,13.883851
"15",2007-01-24,17.559999,17.780001,17.35,17.6,51497500,13.995177
"16",2007-01-25,17.66,17.879999,17.440001,17.48,28967400,13.899756
"17",2007-01-26,17.58,17.9,17.48,17.780001,28661500,14.138305
"18",2007-01-29,17.74,17.82,17.469999,17.610001,26706700,14.00313
"19",2007-01-30,17.700001,17.85,17.58,17.790001,25095400,14.146264
"20",2007-01-31,17.700001,17.76,17.450001,17.73,25580400,14.09855
"21",2007-02-01,17.77,17.950001,17.719999,17.940001,22196600,14.265537
"22",2007-02-02,17.969999,18.360001,17.870001,18.120001,29642700,14.40867
"23",2007-02-05,18.18,18.27,17.99,18.129999,26327800,14.416616
"24",2007-02-06,18.08,18.200001,17.870001,18.15,21896600,14.432528
"25",2007-02-07,18.209999,18.459999,18.110001,18.25,16872300,14.512045
"26",2007-02-08,18.219999,18.41,18.120001,18.309999,18416600,14.559756
"27",2007-02-09,18.389999,18.48,17.9,17.969999,32095100,14.289396
"28",2007-02-12,17.91,17.969999,17.73,17.889999,26972200,14.225777
"29",2007-02-13,17.98,18.23,17.940001,18.18,26728900,14.496896
"30",2007-02-14,18.610001,19.08,18.42,18.889999,59885900,15.06305
"31",2007-02-15,18.950001,19.17,18.860001,19.09,24319700,15.222541
"32",2007-02-16,19.07,19.129999,18.92,19.02,17204100,15.166723
"33",2007-02-20,18.809999,18.870001,18.459999,18.76,31229100,14.959397
"34",2007-02-21,18.639999,19,18.639999,18.969999,21463500,15.126854
"35",2007-02-22,19.1,19.48,19.02,19.200001,32743700,15.310256
"36",2007-02-23,19.200001,19.469999,19.1,19.190001,24481000,15.302281
"37",2007-02-26,19.290001,19.370001,18.950001,19.09,21366900,15.222541
"38",2007-02-27,18.77,19.07,18.389999,18.459999,33223900,14.720174
"39",2007-02-28,18.5,18.799999,18.469999,18.57,26836300,14.80789
"40",2007-03-01,18.24,18.690001,18.18,18.450001,28570100,14.712198
"41",2007-03-02,18.290001,18.370001,17.950001,17.98,32808200,14.337414
"42",2007-03-05,17.870001,18.17,17.77,17.790001,39168600,14.185911
"43",2007-03-06,18.059999,18.27,17.870001,18.18,23597500,14.496896
"44",2007-03-07,18.17,18.42,18.1,18.200001,20889200,14.512847
"45",2007-03-08,18.629999,18.66,18.41,18.440001,20625100,14.704224
"46",2007-03-09,18.639999,18.639999,18.139999,18.33,25440600,14.616506
"47",2007-03-12,18.290001,18.65,18.26,18.57,17230500,14.80789
"48",2007-03-13,18.42,18.59,18.24,18.34,28499000,14.624481
"49",2007-03-14,18.4,18.51,18.15,18.389999,26186500,14.664352
"50",2007-03-15,18.42,18.59,18.33,18.559999,14708300,14.799914
"51",2007-03-16,18.469999,18.620001,18.35,18.49,19131900,14.744093
"52",2007-03-19,18.559999,18.700001,18.309999,18.469999,27083400,14.728146
"53",2007-03-20,18.43,18.6,18.379999,18.5,18159400,14.752067
"54",2007-03-21,18.5,18.93,18.42,18.879999,22204200,15.055083
"55",2007-03-22,18.940001,18.959999,18.68,18.809999,15391600,14.999268
"56",2007-03-23,18.790001,18.92,18.73,18.790001,12691200,14.98332
"57",2007-03-26,18.76,18.9,18.549999,18.879999,13703200,15.055083
"58",2007-03-27,18.799999,18.9,18.719999,18.84,10724600,15.023194
"59",2007-03-28,18.76,18.83,18.620001,18.65,18569100,14.871683
"60",2007-03-29,18.85,18.889999,18.32,18.5,18884600,14.752067
"61",2007-03-30,18.540001,18.559999,18.27,18.32,23080700,14.608538
"62",2007-04-02,18.290001,18.469999,18.18,18.360001,25499500,14.640432
"63",2007-04-03,18.42,18.530001,18.25,18.35,21474600,14.632463
"64",2007-04-04,18.42,18.709999,18.370001,18.65,17972400,14.871683
"65",2007-04-05,18.67,18.83,18.6,18.68,16751300,14.895606
"66",2007-04-09,18.719999,18.75,18.540001,18.65,16859800,14.871683
"67",2007-04-10,18.940001,19.450001,18.85,19.41,45134200,15.477714
"68",2007-04-11,19.34,19.5,19.16,19.23,29581600,15.334173
"69",2007-04-12,19.16,19.549999,19.129999,19.35,31528800,15.429873
"70",2007-04-13,19.18,19.200001,18.870001,19.08,37425500,15.214566
"71",2007-04-16,19.190001,19.24,18.969999,19.24,18064200,15.342154
"72",2007-04-17,19.219999,19.41,18.98,19.360001,23777200,15.437846
"73",2007-04-18,19.280001,19.77,19.280001,19.68,29458000,15.693009
"74",2007-04-19,19.440001,19.76,19.360001,19.59,30836200,15.621243
"75",2007-04-20,19.870001,19.879999,19.440001,19.48,24911700,15.533525
"76",2007-04-23,19.43,19.549999,19.139999,19.17,29956500,15.286335
"77",2007-04-24,19.32,19.68,19.16,19.49,32765800,15.541504
"78",2007-04-25,19.59,19.6,19.35,19.49,24459500,15.541504
"79",2007-04-26,19.450001,19.49,19.200001,19.299999,21972000,15.389998
"80",2007-04-27,19.24,19.4,19.120001,19.299999,18404200,15.389998
"81",2007-04-30,19.280001,19.51,19.190001,19.219999,19174700,15.326205
"82",2007-05-01,19.27,19.530001,19.219999,19.42,31253900,15.485684
"83",2007-05-02,19.379999,19.469999,19.23,19.469999,22646200,15.525557
"84",2007-05-03,19.559999,19.639999,19.370001,19.5,17847200,15.549482
"85",2007-05-04,19.6,19.809999,19.440001,19.75,22756000,15.748829
"86",2007-05-07,19.73,19.9,19.67,19.790001,14345400,15.780732
"87",2007-05-08,19.59,19.610001,19.33,19.440001,24049500,15.50163
"88",2007-05-09,19.35,19.74,19.32,19.690001,19089900,15.700987
"89",2007-05-10,19.59,19.6,19.1,19.18,29586900,15.294307
"90",2007-05-11,19.469999,19.860001,19.450001,19.77,35182800,15.764779
"91",2007-05-14,19.84,20.780001,19.84,20.48,51869000,16.330935
"92",2007-05-15,20.33,20.379999,19.73,19.780001,51014100,15.819096
"93",2007-05-16,19.110001,19.33,18.68,19.17,75670000,15.331247
"94",2007-05-17,19.059999,19.15,18.780001,18.940001,30184400,15.147309
"95",2007-05-18,18.99,19.02,18.780001,18.85,27805500,15.075335
"96",2007-05-21,18.84,19.25,18.73,18.9,30560200,15.115314
"97",2007-05-22,18.940001,19.299999,18.84,19.17,28233700,15.331247
"98",2007-05-23,19.18,19.360001,19.139999,19.17,26574900,15.331247
"99",2007-05-24,19.190001,19.33,18.950001,19.030001,25447600,15.219284
"100",2007-05-25,19.08,19.25,18.889999,19.23,20386100,15.379232
"101",2007-05-29,19.18,19.309999,19.1,19.209999,19909200,15.363242
"102",2007-05-30,19.059999,19.08,18.77,18.93,28294900,15.139311
"103",2007-05-31,19,19.18,18.91,19.1,23244900,15.275264
"104",2007-06-01,19.219999,19.450001,19.139999,19.34,25075400,15.467208
"105",2007-06-04,19.209999,19.299999,19.030001,19.25,13606200,15.39523
"106",2007-06-05,19.08,19.209999,18.9,19.059999,20842000,15.243279
"107",2007-06-06,18.889999,19.15,18.889999,19.030001,20071600,15.219284
"108",2007-06-07,18.879999,19.030001,18.370001,18.4,36195100,14.715441
"109",2007-06-08,18.450001,18.799999,18.389999,18.790001,22802500,15.027345
"110",2007-06-11,18.790001,18.799999,18.540001,18.620001,17187300,14.891384
"111",2007-06-12,18.6,18.790001,18.42,18.5,31644400,14.795419
"112",2007-06-13,18.68,19.16,18.5,19.120001,37714700,15.291257
"113",2007-06-14,19.1,19.59,19.07,19.42,26840600,15.531189
"114",2007-06-15,19.66,19.950001,19.65,19.85,31023700,15.875085
"115",2007-06-18,19.75,19.959999,19.75,19.83,18806800,15.859087
"116",2007-06-19,19.799999,19.870001,19.6,19.780001,19133600,15.819096
"117",2007-06-20,19.790001,19.84,19.559999,19.629999,25929200,15.699134
"118",2007-06-21,19.65,20.26,19.6,20.16,30521900,16.123005
"119",2007-06-22,20.110001,20.5,20,20.25,30754500,16.194983
"120",2007-06-25,20.129999,20.15,19.719999,19.879999,26630500,15.89907
"121",2007-06-26,19.969999,19.969999,19.639999,19.73,20139900,15.779105
"122",2007-06-27,19.610001,20.440001,19.6,20.35,31692400,16.274954
"123",2007-06-28,20,20.25,19.93,19.969999,22918300,15.971047
"124",2007-06-29,20.09,20.200001,19.75,19.870001,15752200,15.891079
"125",2007-07-02,20.07,20.190001,19.940001,20.17,13601000,16.131006
"126",2007-07-03,20.200001,20.25,20.1,20.209999,7815900,16.162989
"127",2007-07-05,20.129999,20.129999,19.84,20.049999,15490800,16.035032
"128",2007-07-06,20.1,20.120001,19.809999,19.99,13510700,15.987041
"129",2007-07-09,20.02,20.299999,19.92,20.17,18874800,16.131006
"130",2007-07-10,20.110001,20.16,19.799999,19.84,25010300,15.867085
"131",2007-07-11,19.799999,20.040001,19.67,20.01,24603000,16.00304
"132",2007-07-12,20.02,20.75,19.969999,20.75,34177000,16.594856
"133",2007-07-13,20.65,20.98,20.450001,20.48,44673800,16.378927
"134",2007-07-16,20.370001,20.67,20.35,20.620001,18831700,16.490892
"135",2007-07-17,20.84,22.08,20.75,21.799999,71353300,17.434595
"136",2007-07-18,21.42,21.73,21.33,21.66,31497400,17.322634
"137",2007-07-19,21.620001,21.93,21.57,21.780001,19608200,17.418602
"138",2007-07-20,21.83,21.870001,21.309999,21.459999,22941900,17.162678
"139",2007-07-23,21.5,21.67,21.4,21.440001,13629600,17.146685
"140",2007-07-24,21.209999,21.790001,21.209999,21.309999,26888500,17.042721
"141",2007-07-25,21.629999,21.879999,21.34,21.75,33455700,17.394617
"142",2007-07-26,21.5,21.77,21.26,21.6,43400900,17.274647
"143",2007-07-27,21.629999,21.799999,21.42,21.559999,28759200,17.242659
"144",2007-07-30,21.530001,22.120001,21.48,22.02,30710300,17.610552
"145",2007-07-31,22.24,22.26,21.940001,22.040001,31147500,17.626539
"146",2007-08-01,21.91,22.5,21.860001,22.450001,42505000,17.954435
"147",2007-08-02,22.540001,22.549999,22.1,22.32,38169500,17.850468
"148",2007-08-03,22.299999,22.85,22.190001,22.209999,41808700,17.762497
"149",2007-08-06,22.280001,22.959999,22.059999,22.85,39197600,18.274342
"150",2007-08-07,22.76,22.9,22.16,22.610001,39382800,18.082401
"151",2007-08-08,22.77,23,22.379999,22.959999,32269300,18.36231
"152",2007-08-09,22.76,23,22.129999,22.389999,39169400,17.90645
"153",2007-08-10,22.01,22.389999,21.68,21.85,34583600,17.474592
"154",2007-08-13,21.959999,22.1,21.690001,21.74,21379000,17.38661
"155",2007-08-14,21.889999,21.959999,21.219999,21.24,28173400,17.033749
"156",2007-08-15,20.57,20.83,20.299999,20.360001,38084500,16.32802
"157",2007-08-16,20.27,20.610001,19.9,20.33,34273400,16.303959
"158",2007-08-17,20.610001,21.459999,20.41,20.799999,29442300,16.680887
"159",2007-08-20,20.719999,21.17,20.59,20.940001,17965300,16.793159
"160",2007-08-21,20.82,21.110001,20.68,20.84,17829100,16.712963
"161",2007-08-22,21.049999,21.049999,20.549999,20.57,21570900,16.496428
"162",2007-08-23,20.620001,20.76,20.41,20.700001,16186600,16.600691
"163",2007-08-24,20.77,20.870001,20.549999,20.860001,12669900,16.729
"164",2007-08-27,20.860001,20.879999,20.57,20.59,12060600,16.512466
"165",2007-08-28,20.549999,20.59,20.129999,20.139999,15335500,16.151585
"166",2007-08-29,20.24,20.74,20.24,20.709999,14364100,16.608704
"167",2007-08-30,20.67,21.389999,20.530001,20.950001,20517700,16.801176
"168",2007-08-31,21.25,21.549999,21.1,21.360001,21728300,17.129986
"169",2007-09-04,21.49,21.99,21.4,21.780001,20063200,17.466805
"170",2007-09-05,21.6,21.74,21.139999,21.299999,14810700,17.081861
"171",2007-09-06,21.4,21.469999,21.129999,21.33,13310600,17.105927
"172",2007-09-07,21.1,21.200001,20.5,20.790001,21226300,16.672863
"173",2007-09-10,21.07,21.17,20.620001,20.91,18703500,16.769096
"174",2007-09-11,20.950001,21.23,20.860001,21.02,13139100,16.857309
"175",2007-09-12,20.98,21.07,20.49,20.549999,19521600,16.480387
"176",2007-09-13,20.879999,20.879999,20.49,20.559999,15644600,16.488409
"177",2007-09-14,20.299999,20.559999,20.290001,20.33,15620500,16.303959
"178",2007-09-17,20.24,20.440001,20.040001,20.309999,11467000,16.287914
"179",2007-09-18,20.5,21.129999,20.42,21.09,16203600,16.913454
"180",2007-09-19,21.209999,21.43,20.969999,21.1,18052500,16.921474
"181",2007-09-20,20.780001,21.25,20.75,21.02,19883700,16.857309
"182",2007-09-21,21.200001,21.530001,21.02,21.299999,15734300,17.081861
"183",2007-09-24,21.25,21.4,20.83,21.040001,17543600,16.873356
"184",2007-09-25,20.9,21.200001,20.780001,21.01,12461300,16.849295
"185",2007-09-26,21.09,21.299999,20.530001,20.68,14845000,16.584646
"186",2007-09-27,20.860001,20.940001,20.57,20.700001,18638000,16.600691
"187",2007-09-28,20.700001,21.049999,20.65,20.700001,22026300,16.600691
"188",2007-10-01,20.85,21.440001,20.700001,21.33,16498700,17.105927
"189",2007-10-02,21.280001,21.75,21.219999,21.620001,19281300,17.338497
"190",2007-10-03,21.4,21.440001,20.530001,20.809999,21945900,16.688902
"191",2007-10-04,20.870001,20.92,20.4,20.65,15669500,16.560589
"192",2007-10-05,20.76,21.35,20.620001,21.129999,19987100,16.945532
"193",2007-10-08,20.959999,21.07,20.76,20.91,12180200,16.769096
"194",2007-10-09,20.91,20.950001,20.370001,20.66,18660600,16.568604
"195",2007-10-10,20.5,20.639999,20.110001,20.190001,30357400,16.191681
"196",2007-10-11,20.530001,20.65,19.879999,20.120001,25903900,16.13555
"197",2007-10-12,20.360001,21.07,20.35,21.040001,23565100,16.873356
"198",2007-10-15,20.940001,21.129999,20.6,20.780001,14438100,16.664843
"199",2007-10-16,20.719999,21.059999,20.66,20.85,16228000,16.720989
"200",2007-10-17,21.25,21.77,21.219999,21.620001,33668800,17.338497
"201",2007-10-18,21.33,21.4,20.77,20.870001,24344400,16.737017
"202",2007-10-19,20.84,20.870001,20.059999,20.1,21067800,16.119509
"203",2007-10-22,20.1,20.59,20.01,20.459999,13254100,16.408213
"204",2007-10-23,20.5,20.6,20.209999,20.52,12912000,16.456329
"205",2007-10-24,20.42,20.639999,19.719999,20.120001,22215500,16.13555
"206",2007-10-25,19.83,19.91,18.969999,19.360001,33434400,15.526056
"207",2007-10-26,19.280001,19.74,18.5,18.860001,42520600,15.125073
"208",2007-10-29,18.950001,19.9,18.76,18.969999,21564900,15.213289
"209",2007-10-30,18.9,19.290001,18.9,19.17,14250500,15.373675
"210",2007-10-31,19.139999,19.65,19.02,19.42,24298900,15.574172
"211",2007-11-01,19.440001,19.540001,18.74,18.780001,28017800,15.060909
"212",2007-11-02,18.85,19.09,18.73,18.870001,22201700,15.133089
"213",2007-11-05,18.74,19.059999,18.450001,18.5,18194100,14.83636
"214",2007-11-06,18.48,18.58,18.059999,18.389999,29246300,14.748142
"215",2007-11-07,18.25,18.43,17.879999,17.91,23386700,14.363204
"216",2007-11-08,17.809999,18.07,17.58,17.91,26343100,14.363204
