"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,21.625,22.379999,21.57,22.094999,1159800,22.094999
"2",2007-01-04,22.1,22.24,21.895,22.075001,1238200,22.075001
"3",2007-01-05,22.014999,22.15,21.825001,22,851600,22
"4",2007-01-08,22.075001,22.275,21.77,22.16,1249800,22.16
"5",2007-01-09,22.209999,22.209999,21.5,21.764999,408400,21.764999
"6",2007-01-10,21.6,21.860001,21.42,21.594999,647400,21.594999
"7",2007-01-11,21.705,21.775,21.42,21.605,632000,21.605
"8",2007-01-12,21.645,22.07,21.645,22.065001,729600,22.065001
"9",2007-01-16,22.08,22.23,21.85,21.99,615200,21.99
"10",2007-01-17,21.895,22.559999,21.895,22.504999,852200,22.504999
"11",2007-01-18,22.469999,22.665001,22.049999,22.174999,908000,22.174999
"12",2007-01-19,22.200001,22.514999,22.094999,22.43,484400,22.43
"13",2007-01-22,22.49,22.49,22.219999,22.299999,445000,22.299999
"14",2007-01-23,22.424999,22.790001,22.24,22.665001,492400,22.665001
"15",2007-01-24,22.825001,23.5,22.684999,23.5,924400,23.5
"16",2007-01-25,23.674999,23.715,23.48,23.565001,1146600,23.565001
"17",2007-01-26,23.559999,23.875,23.355,23.834999,860600,23.834999
"18",2007-01-29,23.805,24.790001,23.745001,24.540001,1666600,24.540001
"19",2007-01-30,24.605,24.610001,24.27,24.535,819000,24.535
"20",2007-01-31,24.49,25.16,24.34,24.945,749200,24.945
"21",2007-02-01,25.135,25.139999,24.75,25.035,511200,25.035
"22",2007-02-02,25,25.125,24.780001,24.92,558600,24.92
"23",2007-02-05,24.9,24.950001,24.66,24.85,561800,24.85
"24",2007-02-06,24.875,25.245001,24.76,25.23,569000,25.23
"25",2007-02-07,25.215,25.549999,24.934999,25.549999,470200,25.549999
"26",2007-02-08,25.440001,25.665001,25.275,25.58,409200,25.58
"27",2007-02-09,25.525,25.65,25.285,25.445,493000,25.445
"28",2007-02-12,25.465,25.5,25.25,25.495001,396200,25.495001
"29",2007-02-13,25.695,25.695,25.174999,25.639999,616800,25.639999
"30",2007-02-14,25.665001,26.035,25.635,25.799999,695400,25.799999
"31",2007-02-15,25.870001,26.1,25.405001,25.83,619400,25.83
"32",2007-02-16,25.83,25.975,25.275,25.879999,680600,25.879999
"33",2007-02-20,26.75,28.475,26.504999,28.424999,2365000,28.424999
"34",2007-02-21,28.18,28.34,27.514999,27.91,1382800,27.91
"35",2007-02-22,27.77,27.92,27.530001,27.865,692400,27.865
"36",2007-02-23,27.855,27.945,27.58,27.785,428000,27.785
"37",2007-02-26,27.77,27.780001,26.809999,27.055,578600,27.055
"38",2007-02-27,26.545,26.67,25.405001,25.895,781200,25.895
"39",2007-02-28,25.85,25.895,25.184999,25.51,1600200,25.51
"40",2007-03-01,24.525,25.389999,24.27,25.209999,1904400,25.209999
"41",2007-03-02,25.040001,25.434999,24.75,24.76,638400,24.76
"42",2007-03-05,24.75,24.82,24.379999,24.434999,641600,24.434999
"43",2007-03-06,24.705,25.290001,24.51,25.065001,652200,25.065001
"44",2007-03-07,25.014999,25.014999,24.485001,24.635,646400,24.635
"45",2007-03-08,24.84,25.32,24.719999,24.865,565800,24.865
"46",2007-03-09,25.049999,25.105,24.764999,24.98,508200,24.98
"47",2007-03-12,24.959999,25.190001,24.889999,25.01,390800,25.01
"48",2007-03-13,24.885,24.885,24.27,24.344999,520000,24.344999
"49",2007-03-14,24.365,24.785,24.065001,24.665001,483200,24.665001
"50",2007-03-15,24.605,24.895,24.41,24.49,474200,24.49
"51",2007-03-16,24.485001,24.695,24.190001,24.514999,747800,24.514999
"52",2007-03-19,24.625,24.775,24.504999,24.59,581600,24.59
"53",2007-03-20,24.629999,25.275,24.469999,25.219999,469800,25.219999
"54",2007-03-21,25.205,25.48,24.889999,25.334999,601200,25.334999
"55",2007-03-22,25.469999,25.950001,25.459999,25.700001,826400,25.700001
"56",2007-03-23,25.684999,25.719999,25.325001,25.434999,424200,25.434999
"57",2007-03-26,25.365,25.465,24.754999,24.895,432000,24.895
"58",2007-03-27,24.85,25.075001,24.76,24.825001,493200,24.825001
"59",2007-03-28,24.754999,25.125,24.690001,24.934999,342000,24.934999
"60",2007-03-29,25.145,25.530001,24.995001,25.530001,692800,25.530001
"61",2007-03-30,25.49,25.754999,25.26,25.385,946400,25.385
"62",2007-04-02,25.575001,25.629999,25.004999,25.275,405400,25.275
"63",2007-04-03,25.389999,25.5,25.115,25.219999,510600,25.219999
"64",2007-04-04,25.25,25.25,24.945,25.094999,463000,25.094999
"65",2007-04-05,25.065001,25.360001,25.040001,25.315001,239400,25.315001
"66",2007-04-09,25.57,25.965,25.25,25.334999,368400,25.334999
"67",2007-04-10,25.51,25.745001,25.389999,25.6,383200,25.6
"68",2007-04-11,25.530001,25.645,25.105,25.334999,466400,25.334999
"69",2007-04-12,25.23,25.450001,25.105,25.440001,301400,25.440001
"70",2007-04-13,25.344999,25.4,25.004999,25.370001,729200,25.370001
"71",2007-04-16,25.389999,25.6,25.254999,25.440001,224400,25.440001
"72",2007-04-17,25.440001,25.525,25.120001,25.370001,295200,25.370001
"73",2007-04-18,25.295,25.514999,24.91,25.455,376800,25.455
"74",2007-04-19,25.290001,25.48,24.945,25.26,271800,25.26
"75",2007-04-20,25.594999,26.25,25.299999,26.139999,762000,26.139999
"76",2007-04-23,26.245001,26.43,26.125,26.17,607800,26.17
"77",2007-04-24,26.25,26.299999,25.815001,26.035,452800,26.035
"78",2007-04-25,26.25,26.25,25.695,25.75,311600,25.75
"79",2007-04-26,25.725,25.91,25.66,25.795,523200,25.795
"80",2007-04-27,25.725,26.01,25.584999,25.915001,344200,25.915001
"81",2007-04-30,25.92,26.055,25.530001,25.6,748400,25.6
"82",2007-05-01,25.59,26.02,25.125,25.889999,615400,25.889999
"83",2007-05-02,25.795,26.58,25.665001,26.495001,848600,26.495001
"84",2007-05-03,28,28,26.309999,26.49,2487400,26.49
"85",2007-05-04,26.76,26.885,26.02,26.355,747400,26.355
"86",2007-05-07,26.280001,26.875,26.280001,26.834999,799200,26.834999
"87",2007-05-08,26.799999,27.52,26.655001,27.35,1135200,27.35
"88",2007-05-09,27.120001,28.295,27.120001,28.24,1172400,28.24
"89",2007-05-10,28,28.15,27.67,27.975,1234600,27.975
"90",2007-05-11,28.084999,28.275,27.889999,28.15,441800,28.15
"91",2007-05-14,28.045,28.225,27.74,27.934999,668800,27.934999
"92",2007-05-15,27.950001,28.105,27.379999,27.405001,747200,27.405001
"93",2007-05-16,27.545,28.014999,27.285,27.865,855400,27.865
"94",2007-05-17,27.905001,27.945,27.375,27.540001,577200,27.540001
"95",2007-05-18,27.665001,27.75,27.305,27.700001,565800,27.700001
"96",2007-05-21,27.639999,28.5,27.639999,28.4,611200,28.4
"97",2007-05-22,28.424999,28.875,28.084999,28.66,587000,28.66
"98",2007-05-23,28.719999,28.975,28.48,28.690001,679400,28.690001
"99",2007-05-24,28.645,28.684999,27.93,28.040001,702800,28.040001
"100",2007-05-25,28.1,28.360001,27.844999,27.985001,630200,27.985001
"101",2007-05-29,28.035,28.27,27.745001,28.184999,461200,28.184999
"102",2007-05-30,28.049999,28.049999,27.674999,28.01,410000,28.01
"103",2007-05-31,28.08,28.379999,27.855,28.08,790800,28.08
"104",2007-06-01,28.225,28.615,28.084999,28.32,378600,28.32
"105",2007-06-04,28.24,28.455,27.709999,28.299999,661400,28.299999
