"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,15.575,16.1075,15.575,15.9375,5345600,14.500133
"2",2007-01-04,15.9375,16.512501,15.9375,16.455,5288400,14.970957
"3",2007-01-05,16.370001,16.379999,16,16.157499,2613600,14.700289
"4",2007-01-08,16.002501,16.049999,15.5125,15.84,5444800,14.411427
"5",2007-01-09,15.85,15.85,15.38,15.5125,4981200,14.113462
"6",2007-01-10,15.3125,15.4975,15.3025,15.3975,2737200,14.008835
"7",2007-01-11,15.4875,16.057501,15.4875,15.8625,3906800,14.431894
"8",2007-01-12,15.7525,15.9025,15.6,15.8725,4034400,14.440999
"9",2007-01-16,15.95,16.190001,15.9225,16.110001,4150400,14.657073
"10",2007-01-17,16.375,16.67,16.202499,16.34,8714000,14.866334
"11",2007-01-18,16.48,16.5,16.055,16.102501,3837600,14.650255
"12",2007-01-19,16.07,16.1625,15.775,16.045,2775600,14.597939
"13",2007-01-22,16.059999,16.1,15.8175,16.012501,3784400,14.568371
"14",2007-01-23,16.012501,16.530001,16.012501,16.469999,4758400,14.984609
"15",2007-01-24,16.610001,17.115,16.610001,16.83,5586000,15.312141
"16",2007-01-25,16.83,16.8675,16.4475,16.5625,3071600,15.068766
"17",2007-01-26,16.567499,16.809999,16.450001,16.702499,2254000,15.196139
"18",2007-01-29,16.77,16.82,16.504999,16.625,3316400,15.125629
"19",2007-01-30,16.65,16.75,16.469999,16.7325,2650800,15.223435
"20",2007-01-31,16.635,17.022499,16.547501,16.93,2904000,15.403125
"21",2007-02-01,16.952499,17.125,16.83,16.945,1894400,15.41677
"22",2007-02-02,16.9475,16.977501,16.7875,16.934999,1526000,15.407668
"23",2007-02-05,16.934999,16.987499,16.84,16.940001,1439200,15.412218
"24",2007-02-06,16.975,16.987499,16.717501,16.934999,1585600,15.407668
"25",2007-02-07,16.985001,17.15,16.8325,17.055,1541200,15.516847
"26",2007-02-08,17.0525,17.157499,16.897499,17.0525,1576000,15.514565
"27",2007-02-09,17.102501,17.157499,16.8475,16.879999,2428800,15.357631
"28",2007-02-12,16.870001,16.959999,16.647499,16.809999,2430000,15.293943
"29",2007-02-13,16.865,17.030001,16.805,16.889999,2145600,15.366731
"30",2007-02-14,16.9475,16.952499,16.834999,16.887501,2004400,15.364458
"31",2007-02-15,16.895,16.955,16.795,16.8675,1668000,15.34626
"32",2007-02-16,16.8375,16.844999,16.672501,16.745001,1978800,15.234807
"33",2007-02-20,16.745001,16.995001,16.655001,16.98,3178400,15.44861
"34",2007-02-21,16.9375,17.014999,16.7775,16.98,2214800,15.44861
"35",2007-02-22,17,17,16.862499,16.9475,2051200,15.419044
"36",2007-02-23,16.924999,17.002501,16.870001,16.9575,991600,15.428144
"37",2007-02-26,17.065001,17.1,16.950001,17.01,1616400,15.475911
"38",2007-02-27,16.775,16.775,16.0375,16.307501,2855600,14.836764
"39",2007-02-28,16.282499,16.385,16.012501,16.155001,2148800,14.698018
"40",2007-03-01,15.9175,16.3025,15.785,16.1,2511600,14.647978
"41",2007-03-02,16.0375,16.184999,15.7325,15.805,1946000,14.379582
"42",2007-03-05,15.66,15.9475,15.6125,15.6125,2732800,14.204445
"43",2007-03-06,15.5,15.94,15.5,15.7925,2518000,14.368208
"44",2007-03-07,15.75,15.7625,15.5625,15.68,2930800,14.26586
"45",2007-03-08,15.825,15.9875,15.785,15.8225,1344400,14.395508
"46",2007-03-09,15.91,16.2425,15.8575,16.182501,3718400,14.723041
"47",2007-03-12,16.122499,16.372499,16.057501,16.3675,1892800,14.919011
"48",2007-03-13,16.2075,16.34,15.935,15.965,1766400,14.552136
"49",2007-03-14,16.012501,16.102501,15.7875,16.0825,3424800,14.659232
"50",2007-03-15,16.0375,16.17,15.9925,16.110001,912800,14.6843
"51",2007-03-16,16.135,16.155001,15.89,16.025,1491200,14.606822
"52",2007-03-19,16.075001,16.247499,16.075001,16.2125,1317600,14.777732
"53",2007-03-20,16.16,16.362499,16.127501,16.282499,1854400,14.841532
"54",2007-03-21,16.3125,16.465,16.08,16.440001,2425200,14.985097
"55",2007-03-22,16.465,16.5525,16.325001,16.52,1470800,15.058018
"56",2007-03-23,16.495001,16.605,16.35,16.557501,2190800,15.092197
"57",2007-03-26,16.620001,16.674999,16.315001,16.452499,2908000,14.996485
"58",2007-03-27,16.395,16.4475,16.049999,16.3325,2814800,14.887107
"59",2007-03-28,16.27,16.4475,16.202499,16.3575,1407200,14.909897
"60",2007-03-29,16.5,16.567499,16.057501,16.1525,2297600,14.723039
"61",2007-03-30,15.98,16.32,15.9475,16.1425,2463600,14.713922
