"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,12.63,12.95,12.45,12.7,2161400,12.7
"2",2007-01-04,12.67,13.08,12.32,13.01,3153600,13.01
"3",2007-01-05,13.02,13.02,12.68,12.95,2681800,12.95
"4",2007-01-08,13.01,13.01,12.72,12.8,1952200,12.8
"5",2007-01-09,12.83,12.96,12.64,12.73,2323100,12.73
"6",2007-01-10,12.67,12.79,12.6,12.73,1632600,12.73
"7",2007-01-11,13.62,13.64,13.04,13.28,6525900,13.28
"8",2007-01-12,13.35,13.5,12.99,13.1,2960100,13.1
"9",2007-01-16,12.9,13.31,12.65,13.12,7813300,13.12
"10",2007-01-17,13.28,13.78,13.25,13.46,5863000,13.46
"11",2007-01-18,13.59,13.59,12.98,13.11,2304100,13.11
"12",2007-01-19,13.08,13.67,13.05,13.58,2885900,13.58
"13",2007-01-22,13.6,13.64,13.41,13.6,2275200,13.6
"14",2007-01-23,13.41,13.99,13.41,13.6,4436900,13.6
"15",2007-01-24,13.64,13.9,13.63,13.69,1875700,13.69
"16",2007-01-25,13.73,13.78,13.62,13.73,2346400,13.73
"17",2007-01-26,13.72,13.74,13.22,13.44,1771200,13.44
"18",2007-01-29,13.44,13.72,13.35,13.54,1339900,13.54
"19",2007-01-30,13.58,13.71,13.42,13.53,1284600,13.53
"20",2007-01-31,13.52,14.24,13.34,14.21,4860900,14.21
"21",2007-02-01,14.54,14.6,14.18,14.26,3773600,14.26
"22",2007-02-02,14.42,14.55,14.33,14.35,2692300,14.35
"23",2007-02-05,14.35,14.39,13.99,14.3,1435400,14.3
"24",2007-02-06,14.35,14.52,14.1,14.49,2079900,14.49
"25",2007-02-07,14.51,14.68,14.51,14.58,1971700,14.58
"26",2007-02-08,14.59,14.85,14.36,14.78,1993200,14.78
"27",2007-02-09,14.86,15.01,14.61,14.63,2611100,14.63
"28",2007-02-12,14.68,14.91,14.26,14.35,3356100,14.35
"29",2007-02-13,14.35,14.47,14.02,14.28,2827300,14.28
"30",2007-02-14,14.28,14.74,14.22,14.41,3127200,14.41
"31",2007-02-15,14.41,14.53,14.22,14.35,3880200,14.35
"32",2007-02-16,14.3,14.87,14.19,14.73,4247600,14.73
"33",2007-02-20,14.7,14.84,14.35,14.79,3440700,14.79
"34",2007-02-21,14.74,15.45,14.53,15.26,4014700,15.26
"35",2007-02-22,15.26,15.28,14.77,15.02,2387600,15.02
"36",2007-02-23,14.97,15.3,14.85,15.29,2359200,15.29
"37",2007-02-26,13.81,14,13.38,13.91,16254200,13.91
"38",2007-02-27,13.58,13.69,13.01,13.06,6185400,13.06
"39",2007-02-28,13.1,13.25,12.87,13.14,3791000,13.14
"40",2007-03-01,12.83,13.31,12.63,13.13,4722600,13.13
"41",2007-03-02,13.13,13.37,12.94,12.96,2697800,12.96
"42",2007-03-05,12.9,13.2,12.77,12.79,2331900,12.79
"43",2007-03-06,13.05,13.4,12.96,13.38,1862500,13.38
"44",2007-03-07,13.45,13.53,12.95,13.05,2438000,13.05
"45",2007-03-08,13.21,13.53,13.11,13.31,1981600,13.31
"46",2007-03-09,13.38,13.5,13.22,13.45,1531700,13.45
"47",2007-03-12,13.39,13.44,13.14,13.17,1749500,13.17
"48",2007-03-13,13.16,13.32,12.88,13.11,2189200,13.11
"49",2007-03-14,13.01,13.06,12.73,12.98,1838100,12.98
"50",2007-03-15,13.01,13.16,12.88,13.13,1680800,13.13
"51",2007-03-16,13.09,13.31,13.05,13.14,1448400,13.14
"52",2007-03-19,13.24,13.46,13.14,13.33,1439100,13.33
"53",2007-03-20,13.31,13.6,13.25,13.49,1395800,13.49
"54",2007-03-21,13.46,13.76,13.44,13.76,3000900,13.76
"55",2007-03-22,13.8,13.8,13.44,13.45,2135600,13.45
"56",2007-03-23,13.51,13.59,13.09,13.45,1973900,13.45
"57",2007-03-26,13.43,13.5,13.21,13.29,1408900,13.29
"58",2007-03-27,13.3,13.52,13.18,13.51,1176700,13.51
"59",2007-03-28,13.99,14.22,13.75,13.99,5019200,13.99
"60",2007-03-29,14.07,14.09,13.69,13.86,1728600,13.86
"61",2007-03-30,13.92,14.09,13.69,14.08,2620000,14.08
"62",2007-04-02,14.15,14.19,13.93,14.08,1787300,14.08
"63",2007-04-03,14.09,14.36,14.04,14.17,2736000,14.17
"64",2007-04-04,14.16,14.52,14.16,14.5,12626900,14.5
"65",2007-04-05,14.5,14.6,14.39,14.51,1480000,14.51
"66",2007-04-09,14.55,14.82,14.42,14.64,2666100,14.64
"67",2007-04-10,14.66,14.78,14.6,14.69,2025500,14.69
"68",2007-04-11,14.7,14.76,14.45,14.67,2182000,14.67
"69",2007-04-12,14.62,14.95,14.51,14.82,2181000,14.82
"70",2007-04-13,14.85,15.1,14.76,15.1,2104200,15.1
"71",2007-04-16,15.12,15.22,15.02,15.07,1917400,15.07
"72",2007-04-17,15.05,15.24,15.02,15.21,1811600,15.21
"73",2007-04-18,15.09,15.12,14.89,14.93,2380900,14.93
"74",2007-04-19,14.87,15.09,14.79,15.05,1262700,15.05
"75",2007-04-20,15.11,15.2,14.95,15.14,1703000,15.14
"76",2007-04-23,15.16,15.17,14.65,14.76,2156400,14.76
"77",2007-04-24,14.82,15.09,14.77,14.94,1994800,14.94
"78",2007-04-25,14.94,15.2,14.83,15.04,3696500,15.04
"79",2007-04-26,15.6,16.299999,15.34,15.97,9623900,15.97
"80",2007-04-27,15.9,15.91,15.45,15.49,2980100,15.49
"81",2007-04-30,15.47,15.5,14.81,14.82,2784800,14.82
"82",2007-05-01,15.3,15.44,15.13,15.22,3104200,15.22
"83",2007-05-02,15.54,15.8,15.45,15.7,3157000,15.7
"84",2007-05-03,15.5,15.54,15.34,15.47,2216700,15.47
"85",2007-05-04,15.55,15.73,15.5,15.54,1341000,15.54
"86",2007-05-07,15.52,15.68,15.37,15.38,1215800,15.38
"87",2007-05-08,15.43,15.43,15.23,15.33,1262800,15.33
"88",2007-05-09,15.29,15.56,15.25,15.51,1468000,15.51
"89",2007-05-10,15.39,15.48,15.07,15.11,1352100,15.11
"90",2007-05-11,15.15,15.56,15.11,15.56,1257800,15.56
"91",2007-05-14,15.58,15.64,15.25,15.33,2127200,15.33
"92",2007-05-15,15.35,15.51,15.11,15.12,1440600,15.12
"93",2007-05-16,15.11,15.23,14.9,15.13,1134600,15.13
"94",2007-05-17,15.07,15.15,14.78,14.95,1416900,14.95
"95",2007-05-18,14.99,15.23,14.77,15.15,1782200,15.15
"96",2007-05-21,15.32,15.85,15.27,15.79,2118200,15.79
"97",2007-05-22,15.86,15.94,15.57,15.77,1651700,15.77
"98",2007-05-23,15.75,15.75,15.26,15.3,1609500,15.3
"99",2007-05-24,15.28,15.49,14.99,15.06,1369400,15.06
"100",2007-05-25,15.07,15.31,14.97,15.22,953200,15.22
"101",2007-05-29,15.51,15.63,15.36,15.44,1637900,15.44
"102",2007-05-30,15.5,15.64,15.3,15.57,1955200,15.57
"103",2007-05-31,15.6,16.450001,15.53,16.450001,3413000,16.450001
"104",2007-06-01,16.5,16.5,16.120001,16.33,2587900,16.33
"105",2007-06-04,16.290001,16.469999,16.110001,16.280001,2118100,16.280001
"106",2007-06-05,16.34,16.35,15.78,15.93,2374600,15.93
"107",2007-06-06,15.91,15.92,15.43,15.63,1814800,15.63
"108",2007-06-07,15.56,15.74,15.25,15.27,1590400,15.27
"109",2007-06-08,15.25,15.62,15.2,15.6,2201000,15.6
"110",2007-06-11,15.6,15.77,15.36,15.69,1418200,15.69
"111",2007-06-12,15.62,15.93,15.39,15.63,2075700,15.63
"112",2007-06-13,15.65,16.01,15.57,15.9,1475400,15.9
"113",2007-06-14,15.94,16.25,15.9,16.209999,1545600,16.209999
"114",2007-06-15,16.41,16.52,16.24,16.469999,2376000,16.469999
"115",2007-06-18,16.48,16.49,16.16,16.370001,1299700,16.370001
"116",2007-06-19,16.32,16.4,16.26,16.34,1212700,16.34
"117",2007-06-20,16.42,17.129999,16.35,16.690001,3458900,16.690001
"118",2007-06-21,16.610001,17.360001,16.549999,17.299999,3526200,17.299999
"119",2007-06-22,17.23,17.370001,16.98,17.139999,3415200,17.139999
"120",2007-06-25,17.139999,17.32,16.860001,16.91,1992600,16.91
"121",2007-06-26,16.98,17.16,16.610001,16.799999,2138400,16.799999
"122",2007-06-27,16.77,17.42,16.690001,17.25,3019400,17.25
"123",2007-06-28,17.290001,17.65,17.25,17.58,2360400,17.58
"124",2007-06-29,17.620001,17.74,17.52,17.59,1928700,17.59
