"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2010-11-18,13.05,13.05,12.19,12.2,1320900,12.2
"2",2010-11-19,12.25,12.29,12,12.05,1158000,12.05
"3",2010-11-22,12.1,12.38,12,12,495000,12
"4",2010-11-23,12.02,12.25,11.55,12.04,1138000,12.04
"5",2010-11-24,12.22,13.8,12.11,13.54,964500,13.54
"6",2010-11-26,13.89,14.39,13.08,13.85,746800,13.85
"7",2010-11-29,13.87,14,13.13,13.4,429900,13.4
"8",2010-11-30,13.29,13.37,12.68,12.85,315700,12.85
"9",2010-12-01,13,13.25,11.93,12.07,1263900,12.07
"10",2010-12-02,12.24,12.24,11.92,11.95,597300,11.95
"11",2010-12-03,11.9,12.02,11.9,11.9,228400,11.9
"12",2010-12-06,11.9,12.08,11.83,11.96,167500,11.96
"13",2010-12-07,12.06,12.1,10.7,10.91,1007700,10.91
"14",2010-12-08,10.86,10.86,9.63,10.04,1072700,10.04
"15",2010-12-09,10.22,10.22,8.6,8.68,676500,8.68
"16",2010-12-10,8.49,9.04,8.11,9.04,908500,9.04
"17",2010-12-13,9.04,9.39,8.7,8.96,597600,8.96
"18",2010-12-14,9,9.08,8.7,8.97,146600,8.97
"19",2010-12-15,8.8,8.95,8.62,8.76,330400,8.76
"20",2010-12-16,8.88,8.88,8.5,8.54,191000,8.54
"21",2010-12-17,8.46,8.55,8.21,8.46,224200,8.46
"22",2010-12-20,8.46,8.91,8.46,8.8,119600,8.8
"23",2010-12-21,8.9,8.9,8.48,8.62,68400,8.62
"24",2010-12-22,8.67,8.76,8.49,8.53,81700,8.53
"25",2010-12-23,8.5,8.84,8.4,8.79,164000,8.79
"26",2010-12-27,8.49,9.24,8.49,9.11,213900,9.11
"27",2010-12-28,9.1,9.3,9.1,9.3,77600,9.3
"28",2010-12-29,9.32,9.49,8.95,9.01,115000,9.01
"29",2010-12-30,8.73,9,8.69,8.76,105000,8.76
"30",2010-12-31,8.63,9,8.63,8.84,42800,8.84
"31",2011-01-03,9.05,9.25,8.95,8.97,122900,8.97
"32",2011-01-04,9.15,9.15,8.5,8.56,148900,8.56
"33",2011-01-05,8.52,8.83,8.35,8.81,67400,8.81
"34",2011-01-06,8.75,8.88,8.59,8.8,59200,8.8
"35",2011-01-07,8.87,8.87,8.5,8.62,59000,8.62
"36",2011-01-10,8.62,8.8,8.5,8.7,40000,8.7
"37",2011-01-11,8.61,9.05,8.61,8.73,250100,8.73
"38",2011-01-12,8.92,9.18,8.67,8.86,115400,8.86
"39",2011-01-13,8.74,9.05,8.74,8.92,69000,8.92
"40",2011-01-14,9.09,9.09,8.83,8.85,45300,8.85
"41",2011-01-18,9.01,9.4,8.94,9.36,273900,9.36
"42",2011-01-19,9.71,10.71,9.69,10.44,770200,10.44
"43",2011-01-20,10.4,10.63,10.12,10.55,254100,10.55
"44",2011-01-21,10.6,11.12,10.59,11.02,238300,11.02
"45",2011-01-24,11.04,11.45,10.78,11,152500,11
"46",2011-01-25,10.68,10.93,10.33,10.82,170100,10.82
"47",2011-01-26,10.8,10.81,10.41,10.68,129500,10.68
"48",2011-01-27,10.6,10.89,10.5,10.75,221600,10.75
"49",2011-01-28,10.8,10.8,10.51,10.71,88900,10.71
"50",2011-01-31,10.61,11.05,10.6,10.84,95600,10.84
"51",2011-02-01,10.99,11.18,10.9,11.01,395400,11.01
"52",2011-02-02,11.09,11.1,10.7,11,53000,11
"53",2011-02-03,11.06,11.42,11,11.37,69200,11.37
"54",2011-02-04,11.2,11.2,10.8,11.18,41900,11.18
"55",2011-02-07,11.08,11.3,11,11.11,37100,11.11
"56",2011-02-08,11.03,11.14,11,11.01,38600,11.01
"57",2011-02-09,10.95,11.13,10.85,11.01,28400,11.01
"58",2011-02-10,11,11.02,10.77,11,154500,11
"59",2011-02-11,10.85,11.1,10.85,11.01,55300,11.01
"60",2011-02-14,11.01,11.05,10.8,11,132800,11
"61",2011-02-15,11.05,11.05,10.63,10.71,34600,10.71
"62",2011-02-16,10.56,10.66,10.39,10.49,116000,10.49
"63",2011-02-17,10.62,10.78,10.04,10.24,79000,10.24
"64",2011-02-18,10.23,10.23,9.77,10,60100,10
"65",2011-02-22,9.88,10,9.66,9.7,26000,9.7
"66",2011-02-23,9.61,9.92,9,9.8,61200,9.8
"67",2011-02-24,9.85,10.33,9.68,9.72,124100,9.72
"68",2011-02-25,9.78,10.1,9.78,10.03,555200,10.03
"69",2011-02-28,9.53,10.7,9.24,10.44,109900,10.44
