"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2013-06-27,17.639999,18.75,17.379999,18.370001,8285800,17.483416
"2",2013-06-28,18.4,19.17,18.379999,18.620001,717400,17.721359
"3",2013-07-01,18.65,18.9,18.34,18.34,394200,17.45487
"4",2013-07-02,18.34,19.639999,18.26,19.219999,223800,18.2924
"5",2013-07-03,18.99,19.209999,18.67,19.08,103700,18.159149
"6",2013-07-05,18.799999,19.360001,18.549999,19.219999,111800,18.2924
"7",2013-07-08,19.049999,19.48,18.860001,19.23,110500,18.301914
"8",2013-07-09,19.129999,19.92,19.059999,19.5,206400,18.558882
"9",2013-07-10,19.469999,19.950001,19.049999,19.1,334900,18.17819
"10",2013-07-11,19.049999,19.65,19.049999,19.58,108800,18.635023
"11",2013-07-12,19.23,19.540001,19.209999,19.51,114600,18.568403
"12",2013-07-15,19.360001,19.75,19.219999,19.559999,177300,18.61599
"13",2013-07-16,19.040001,20.65,19.040001,20.1,239300,19.129925
"14",2013-07-17,20.01,20.469999,19.719999,20.370001,139200,19.386902
"15",2013-07-18,20.5,21,20.059999,20.83,162000,19.824692
"16",2013-07-19,21,21.389999,20.77,20.84,631400,19.834211
"17",2013-07-22,20.6,20.700001,20.219999,20.34,492900,19.358349
"18",2013-07-23,20.290001,20.690001,20,20.219999,41500,19.244133
"19",2013-07-24,20.23,20.690001,20.049999,20.57,43600,19.577244
"20",2013-07-25,20.34,21.98,20,21.98,232400,20.919193
"21",2013-07-26,22.120001,22.139999,21.049999,21.59,141300,20.548016
"22",2013-07-29,21.5,22,21.059999,21.700001,85200,20.652712
"23",2013-07-30,21.709999,21.799999,20.799999,21.6,94600,20.557533
"24",2013-07-31,21.790001,21.790001,21.190001,21.5,52500,20.462362
"25",2013-08-01,21.450001,21.799999,21.16,21.66,181600,20.614632
"26",2013-08-02,21.67,22.5,21.17,22.43,224500,21.347481
"27",2013-08-05,22.43,23,22.26,22.790001,104800,21.690105
"28",2013-08-06,22.83,23.1,22.59,22.809999,419400,21.709139
"29",2013-08-07,22.799999,22.99,22.639999,22.950001,82800,21.842379
"30",2013-08-08,23,23.1,22.799999,23.07,74100,21.956591
"31",2013-08-09,22.85,23.120001,22.85,23.049999,67400,21.937553
"32",2013-08-12,22.85,23.200001,22.85,23.16,116200,22.042242
"33",2013-08-13,23.139999,23.549999,22.85,23.4,102400,22.270664
"34",2013-08-14,23.299999,23.4,23.15,23.360001,72100,22.232588
"35",2013-08-15,23.4,23.4,22.799999,23,280100,21.889967
"36",2013-08-16,22.98,23.09,22.799999,23.049999,82200,21.937553
"37",2013-08-19,23,23.139999,22.700001,23.09,196100,21.975626
"38",2013-08-20,23.07,23.75,22.870001,23.110001,138000,21.994661
"39",2013-08-21,23.07,23.299999,22.799999,23.030001,89000,21.91852
"40",2013-08-22,23.049999,23.299999,22.85,23.01,52600,21.899483
"41",2013-08-23,22.959999,23.309999,22.870001,23.27,38900,22.146936
"42",2013-08-26,23.27,23.27,22.950001,22.98,126500,21.870932
"43",2013-08-27,22.870001,22.91,22,22.219999,280700,21.147612
"44",2013-08-28,22.209999,22.440001,21.9,21.98,78300,20.919193
"45",2013-08-29,21.860001,22.139999,21.27,22.08,171500,21.01437
"46",2013-08-30,22.01,22.16,21.85,21.93,110900,20.871611
"47",2013-09-03,22.16,23.17,21.780001,22.530001,94000,21.442654
"48",2013-09-04,22.459999,23.01,22.02,23.01,117900,21.899483
"49",2013-09-05,22.91,23.75,22.799999,23.32,84400,22.194519
"50",2013-09-06,23.309999,23.75,22.99,23.24,103000,22.118383
"51",2013-09-09,23.27,23.52,22.66,22.959999,123700,21.851896
"52",2013-09-10,23,23.24,22.59,23.030001,125600,21.91852
"53",2013-09-11,22.9,23.52,22.51,23.42,124700,22.289698
