"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,11.4175,11.495,11.1425,11.3,1605200,11.3
"2",2007-01-04,11.275,11.6325,11.235,11.625,2824400,11.625
"3",2007-01-05,11.59,11.59,11.275,11.365,2084400,11.365
"4",2007-01-08,11.3875,11.465,11.28,11.325,1685600,11.325
"5",2007-01-09,11.2725,11.365,11.19,11.335,1179200,11.335
"6",2007-01-10,11.24,11.275,11.0375,11.215,3002800,11.215
"7",2007-01-11,11.1775,11.215,11.0275,11.1725,2750000,11.1725
"8",2007-01-12,11.1875,11.75,11.1875,11.72,3010000,11.72
"9",2007-01-16,11.6775,11.6775,11.4425,11.5,3339600,11.5
"10",2007-01-17,11.46,11.5,11.3475,11.38,1660800,11.38
"11",2007-01-18,11.3275,11.6225,11.3,11.5675,2282000,11.5675
"12",2007-01-19,11.6025,11.6575,11.48,11.505,2128800,11.505
"13",2007-01-22,11.46,11.48,11.2525,11.3225,2188000,11.3225
"14",2007-01-23,11.28,11.45,11.2575,11.3975,2692400,11.3975
"15",2007-01-24,11.38,11.54,11.3075,11.525,1374800,11.525
"16",2007-01-25,11.495,11.64,11.495,11.5425,1447200,11.5425
"17",2007-01-26,11.5475,11.74,11.5475,11.6375,3910400,11.6375
"18",2007-01-29,11.5325,11.5325,11.09,11.285,5217200,11.285
"19",2007-01-30,11.29,11.415,11.25,11.4025,1477200,11.4025
"20",2007-01-31,11.3675,11.4175,11.135,11.2325,1915200,11.2325
"21",2007-02-01,11.2225,11.475,11.16,11.45,3575600,11.45
"22",2007-02-02,12.25,12.7375,12.155,12.6525,11232400,12.6525
"23",2007-02-05,12.625,12.6325,12.355,12.5225,3628800,12.5225
"24",2007-02-06,12.505,12.5225,12.255,12.32,3292400,12.32
"25",2007-02-07,12.2825,12.415,12.2725,12.3725,2707200,12.3725
"26",2007-02-08,12.385,12.54,12.295,12.5325,2475200,12.5325
"27",2007-02-09,12.4825,12.6175,12.4025,12.4625,23171200,12.4625
"28",2007-02-12,12.5225,12.595,12.45,12.4925,4122000,12.4925
"29",2007-02-13,12.53,12.7575,12.485,12.755,4955200,12.755
"30",2007-02-14,12.7225,12.8275,12.6875,12.7925,2478800,12.7925
"31",2007-02-15,12.8225,13.135,12.8,13.105,4483200,13.105
"32",2007-02-16,13.055,13.0975,12.96,13.0675,2423600,13.0675
"33",2007-02-20,12.9775,13.3075,12.9525,13.2875,3198000,13.2875
"34",2007-02-21,13.2475,13.2725,13.14,13.2425,2404800,13.2425
"35",2007-02-22,13.295,13.4225,13.2325,13.33,1602800,13.33
"36",2007-02-23,13.3675,13.5975,13.3525,13.5675,2849200,13.5675
"37",2007-02-26,13.57,13.6175,13.4025,13.485,2652400,13.485
"38",2007-02-27,13.385,13.425,12.73,12.825,5064000,12.825
"39",2007-02-28,12.76,13.085,12.5675,13.0275,4293200,13.0275
"40",2007-03-01,12.82,13.0375,12.5,13.0275,4231200,13.0275
"41",2007-03-02,13,13.0175,12.6675,12.6675,2937200,12.6675
"42",2007-03-05,12.585,12.9675,12.4375,12.7725,5313600,12.7725
"43",2007-03-06,12.9525,13.05,12.825,13.03,3877600,13.03
"44",2007-03-07,12.9925,13.04,12.81,12.975,2510000,12.975
"45",2007-03-08,13,13.3375,12.985,13.24,3340400,13.24
"46",2007-03-09,13.25,13.4775,13.25,13.4525,4186800,13.4525
"47",2007-03-12,13.4025,13.495,13.385,13.4425,2874400,13.4425
"48",2007-03-13,13.415,13.45,13.1875,13.2675,3260000,13.2675
"49",2007-03-14,13.2625,13.4325,13.07,13.4125,2328800,13.4125
"50",2007-03-15,13.36,13.5125,13.285,13.49,2926000,13.49
"51",2007-03-16,13.4675,13.95,13.4675,13.91,5911200,13.91
"52",2007-03-19,13.695,13.8475,13.6275,13.73,8168800,13.73
"53",2007-03-20,13.77,13.875,13.72,13.75,4210400,13.75
"54",2007-03-21,13.815,13.9225,13.695,13.885,3030400,13.885
"55",2007-03-22,13.915,13.995,13.8,13.8975,2490400,13.8975
"56",2007-03-23,13.92,14,13.88,13.91,2068000,13.91
"57",2007-03-26,13.9475,13.9925,13.8675,13.9675,1842800,13.9675
"58",2007-03-27,13.985,14.04,13.8825,14.0025,2688000,14.0025
"59",2007-03-28,13.96,14.0625,13.8025,13.9175,4340400,13.9175
"60",2007-03-29,13.875,13.875,13.425,13.5875,5635200,13.5875
"61",2007-03-30,13.6025,13.74,13.5,13.6125,3006400,13.6125
"62",2007-04-02,13.5925,13.84,13.5925,13.775,1834400,13.775
"63",2007-04-03,13.74,13.9925,13.74,13.9675,2192000,13.9675
"64",2007-04-04,13.9925,14.1925,13.91,14.075,3299200,14.075
"65",2007-04-05,13.81,14.345,13.7825,14.205,5638000,14.205
"66",2007-04-09,14.185,14.2125,13.9475,14.02,2378000,14.02
"67",2007-04-10,14.0775,14.1575,14.015,14.0675,1712000,14.0675
"68",2007-04-11,14.0425,14.11,13.87,13.8875,3183600,13.8875
"69",2007-04-12,13.6525,13.9325,13.61,13.8525,3867600,13.8525
"70",2007-04-13,13.835,13.955,13.7775,13.8575,3072800,13.8575
"71",2007-04-16,13.95,14.0025,13.81,13.84,2402400,13.84
"72",2007-04-17,13.8175,13.8975,13.7375,13.75,2573600,13.75
"73",2007-04-18,13.695,13.74,13.5025,13.575,3848000,13.575
"74",2007-04-19,13.5725,13.66,13.3525,13.63,3900800,13.63
"75",2007-04-20,13.5,13.9925,13.34,13.7725,6840000,13.7725
"76",2007-04-23,13.705,13.795,13.6275,13.6375,3219600,13.6375
"77",2007-04-24,13.71,13.745,13.6225,13.6525,2513200,13.6525
"78",2007-04-25,13.6825,13.71,13.6125,13.675,2224400,13.675
"79",2007-04-26,13.64,13.75,13.6275,13.745,2737600,13.745
"80",2007-04-27,13.695,13.7475,13.5025,13.53,2620800,13.53
"81",2007-04-30,13.505,13.5775,13.29,13.31,2556400,13.31
"82",2007-05-01,13.2875,13.335,13.05,13.185,3246000,13.185
"83",2007-05-02,13.185,13.535,13.16,13.4525,3118800,13.4525
"84",2007-05-03,13.3975,13.475,13.2825,13.4475,2572000,13.4475
"85",2007-05-04,13.4475,13.5325,13.3375,13.445,2622000,13.445
"86",2007-05-07,13.505,13.5575,13.4225,13.4975,1729200,13.4975
"87",2007-05-08,13.4075,13.5175,13.3975,13.48,1756400,13.48
"88",2007-05-09,13.4,13.69,13.4,13.6375,2525600,13.6375
"89",2007-05-10,13.595,13.6125,13.2425,13.2625,2036800,13.2625
"90",2007-05-11,13.1925,13.54,13.1925,13.525,2215200,13.525
"91",2007-05-14,13.5025,13.5875,13.265,13.415,2158000,13.415
"92",2007-05-15,13.4075,13.455,13.2525,13.295,1643600,13.295
"93",2007-05-16,13.365,13.4025,13.1875,13.2975,1589600,13.2975
"94",2007-05-17,13.25,13.255,13.1375,13.17,1354000,13.17
"95",2007-05-18,13.1825,13.58,13.1125,13.49,2341600,13.49
"96",2007-05-21,13.54,13.83,13.505,13.78,2580400,13.78
"97",2007-05-22,13.8175,15.1075,13.8175,14.7075,14711200,14.7075
"98",2007-05-23,14.75,14.875,14.605,14.6275,4092000,14.6275
"99",2007-05-24,14.62,14.6575,14.25,14.2875,3291600,14.2875
"100",2007-05-25,14.2875,14.3725,13.95,14.3125,3334000,14.3125
