"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,22,22.799999,21.940001,22.58,3058400,22.58
"2",2007-01-04,22.52,22.700001,21.91,22.24,2415400,22.24
"3",2007-01-05,22.1,22.1,21.459999,21.92,2537900,21.92
"4",2007-01-08,21.870001,22.059999,21.5,21.85,1584600,21.85
"5",2007-01-09,21.870001,22.57,21.870001,22.42,3233200,22.42
"6",2007-01-10,22.18,22.530001,22.17,22.42,1289000,22.42
"7",2007-01-11,22.84,23.48,22.719999,23.1,6309000,23.1
"8",2007-01-12,23.5,23.92,23.190001,23.41,3356900,23.41
"9",2007-01-16,23.35,23.67,23.15,23.379999,2169300,23.379999
"10",2007-01-17,23.709999,24.43,23.540001,24.26,5022600,24.26
"11",2007-01-18,24.16,24.17,23.35,23.629999,2946800,23.629999
"12",2007-01-19,23.17,23.73,23,23.57,2445200,23.57
"13",2007-01-22,23.459999,23.700001,23.08,23.41,1960300,23.41
"14",2007-01-23,23.35,23.73,23.18,23.190001,1976000,23.190001
"15",2007-01-24,22.950001,24.290001,22.889999,24.08,5319800,24.08
"16",2007-01-25,23.860001,23.950001,23.110001,23.190001,2608800,23.190001
"17",2007-01-26,23.24,23.59,23.200001,23.379999,1842600,23.379999
"18",2007-01-29,23.200001,23.67,23.190001,23.379999,2538700,23.379999
"19",2007-01-30,23.4,23.75,23.35,23.559999,2209000,23.559999
"20",2007-01-31,23.4,24.02,23.299999,23.860001,2445000,23.860001
"21",2007-02-01,23.860001,23.91,23.549999,23.700001,1717000,23.700001
"22",2007-02-02,23.74,24.9,23.68,24.5,4068800,24.5
"23",2007-02-05,24.540001,24.790001,24.440001,24.639999,1787400,24.639999
"24",2007-02-06,24.620001,24.91,24.469999,24.74,1688800,24.74
"25",2007-02-07,24.74,25.030001,24.690001,24.870001,2131800,24.870001
"26",2007-02-08,24.84,24.940001,24.6,24.76,1314800,24.76
"27",2007-02-09,24.790001,24.93,24.370001,24.379999,1693700,24.379999
"28",2007-02-12,24.27,24.629999,24.02,24.5,1540600,24.5
"29",2007-02-13,24.379999,24.91,24.360001,24.65,1241000,24.65
"30",2007-02-14,24.77,25.030001,24.629999,24.92,1903400,24.92
"31",2007-02-15,24.809999,24.969999,24.709999,24.889999,1447700,24.889999
"32",2007-02-16,24.790001,24.879999,24.09,24.309999,2966600,24.309999
"33",2007-02-20,24.1,24.49,23.67,24.23,2732400,24.23
"34",2007-02-21,24.700001,24.700001,24.18,24.5,1333200,24.5
"35",2007-02-22,24.559999,24.68,23.870001,24.040001,1926000,24.040001
"36",2007-02-23,24.120001,24.33,23.790001,24.15,1398000,24.15
"37",2007-02-26,24.049999,24.09,23.73,23.860001,1275900,23.860001
"38",2007-02-27,23.459999,23.59,22.530001,22.549999,2949000,22.549999
"39",2007-02-28,22.469999,22.700001,22.02,22.58,2535100,22.58
"40",2007-03-01,21.98,22.74,21.639999,22.5,2637800,22.5
"41",2007-03-02,22.299999,22.67,22.1,22.219999,2231600,22.219999
"42",2007-03-05,22,22.26,21.82,21.82,1490700,21.82
"43",2007-03-06,21.969999,22.059999,21.389999,21.700001,6145000,21.700001
"44",2007-03-07,21.82,21.959999,21.700001,21.799999,2201100,21.799999
"45",2007-03-08,21.950001,22,21.530001,21.65,1979900,21.65
"46",2007-03-09,21.84,22,21.389999,21.559999,1380800,21.559999
"47",2007-03-12,21.6,21.809999,21.459999,21.58,1633500,21.58
"48",2007-03-13,21.450001,21.65,21.309999,21.51,2240800,21.51
"49",2007-03-14,21.530001,21.950001,21.4,21.43,3160100,21.43
"50",2007-03-15,21.459999,21.549999,21.209999,21.4,2295900,21.4
"51",2007-03-16,21.17,21.58,21.17,21.5,2596100,21.5
"52",2007-03-19,21.6,21.77,21.51,21.58,1244800,21.58
"53",2007-03-20,21.67,22.15,21.559999,22.049999,2367800,22.049999
"54",2007-03-21,22.040001,22.450001,21.91,22.450001,1579600,22.450001
"55",2007-03-22,22.639999,22.74,22.41,22.67,1454500,22.67
"56",2007-03-23,22.82,23.49,22.799999,23.1,3017100,23.1
"57",2007-03-26,23.059999,23.1,22.77,23.07,1770100,23.07
"58",2007-03-27,23.1,23.27,22.91,23.17,2036300,23.17
"59",2007-03-28,22.92,22.940001,22.35,22.709999,4003000,22.709999
"60",2007-03-29,22.799999,22.940001,22.17,22.469999,2045800,22.469999
"61",2007-03-30,22.389999,22.440001,21.98,22.280001,2483900,22.280001
"62",2007-04-02,22.09,22.389999,21.34,22.309999,4133500,22.309999
"63",2007-04-03,22.290001,22.459999,22.08,22.280001,2419900,22.280001
"64",2007-04-04,22.450001,22.84,22.379999,22.639999,2458000,22.639999
"65",2007-04-05,22.559999,22.77,22.52,22.690001,809400,22.690001
"66",2007-04-09,22.719999,22.75,22.389999,22.5,987100,22.5
"67",2007-04-10,22.5,22.73,22.360001,22.440001,1238600,22.440001
"68",2007-04-11,22.389999,22.629999,22.280001,22.459999,1852700,22.459999
"69",2007-04-12,22.34,22.5,22.09,22.459999,1308300,22.459999
