"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,45.450001,46.84,45.450001,46.139999,3538300,31.345655
"2",2007-01-04,44.25,45.049999,43.619999,44.43,3210000,30.183937
"3",2007-01-05,44.990002,44.990002,43.119999,43.240002,2036300,29.375509
"4",2007-01-08,43.689999,44.07,43.16,43.900002,1230200,29.823891
"5",2007-01-09,42.98,42.98,41.560001,41.849998,2566100,28.431198
"6",2007-01-10,41.41,42.119999,40.860001,41.959999,1987000,28.505928
"7",2007-01-11,41.900002,42.75,41.560001,42.389999,1657800,28.798054
"8",2007-01-12,42.32,42.610001,41.900002,42.599998,1025800,28.940722
"9",2007-01-16,43.59,44.099998,43.459999,43.900002,1667800,29.823891
"10",2007-01-17,44.189999,44.279999,43.93,44.060001,1310200,29.932579
"11",2007-01-18,44.689999,45,44.029999,44.439999,1471700,30.190737
"12",2007-01-19,45.049999,45.400002,44.77,45.369999,1556100,30.822546
"13",2007-01-22,47.209999,47.34,46.75,47.099998,2922100,31.997831
"14",2007-01-23,48.279999,49.540001,47.689999,49.470001,3603800,33.607914
"15",2007-01-24,49.98,50.650002,49.689999,50.650002,2398100,34.409561
"16",2007-01-25,49,49.540001,47.529999,47.720001,3887700,32.419037
"17",2007-01-26,47.049999,47.630001,46.419998,47.360001,2755500,32.174477
"18",2007-01-29,46.349998,46.700001,46.049999,46.049999,2199700,31.284506
"19",2007-01-30,47.299999,48.59,47.049999,48.200001,2718200,32.745129
"20",2007-01-31,46.18,46.43,45.5,46.150002,3028500,31.352444
"21",2007-02-01,46.900002,47.669998,46.700001,47.369999,2398200,32.181252
"22",2007-02-02,47.389999,47.389999,46.830002,47.080002,1244000,31.984243
"23",2007-02-05,47,47.34,46.41,47.009998,1423500,31.936691
"24",2007-02-06,48.27,49.150002,48.049999,48.990002,2104400,33.281826
"25",2007-02-07,48.650002,48.75,48.150002,48.650002,1706000,33.050842
"26",2007-02-08,49.150002,49.57,48.93,49.560001,1550500,33.669056
"27",2007-02-09,49.400002,49.41,47.93,48.240002,1474500,32.772308
"28",2007-02-12,48.290001,48.400002,47.48,47.700001,982500,32.405453
"29",2007-02-13,46.560001,47.48,46.400002,47.400002,1899200,32.201637
"30",2007-02-14,46.889999,48,46.759998,47.759998,2617600,32.446213
"31",2007-02-15,48.169998,48.950001,48.049999,48.360001,1787300,32.853825
"32",2007-02-16,48.040001,48.450001,47.77,48.450001,1286700,32.91497
"33",2007-02-20,48.779999,49.23,48.48,49.009998,2482800,33.295406
"34",2007-02-21,49.57,50.439999,49.310001,50.32,3279900,34.185364
"35",2007-02-22,50.990002,51.779999,50.990002,51.389999,2960700,34.912277
"36",2007-02-23,50.73,50.779999,49.639999,49.91,2017700,33.906834
"37",2007-02-26,49.77,49.779999,48.93,49.279999,1450000,33.478832
"38",2007-02-27,46.650002,46.860001,42.939999,44.16,8651300,30.000517
"39",2007-02-28,46.169998,46.959999,45.41,46.470001,4413300,31.569839
"40",2007-03-01,44.639999,45.959999,43.959999,45.43,3559100,30.8633
"41",2007-03-02,45.43,46.27,44.869999,45,2479100,30.571184
"42",2007-03-05,42.709999,44.02,42.700001,42.849998,3990400,29.110546
"43",2007-03-06,44.459999,44.869999,43.740002,44.599998,2757800,30.299433
"44",2007-03-07,43.459999,43.689999,43.02,43.049999,2328700,29.246422
"45",2007-03-08,43.830002,44.459999,43.619999,44,2414800,29.891819
"46",2007-03-09,43.5,43.990002,43.130001,43.459999,2165900,29.524965
"47",2007-03-12,44.41,45.080002,44.209999,44.900002,2142100,30.503242
"48",2007-03-13,44.029999,44.18,42.5,42.59,3113700,28.933922
"49",2007-03-14,42.75,43.34,41.77,43.259998,3991200,29.389093
"50",2007-03-15,43.689999,44.080002,43.259998,43.950001,2601200,29.857851
"51",2007-03-16,44.560001,44.950001,44.34,44.610001,1895100,30.306229
"52",2007-03-19,46.080002,46.700001,45.799999,46.459999,2450700,31.563044
"53",2007-03-20,46.599998,47.27,46.25,47.080002,1504000,31.984243
"54",2007-03-21,47.299999,47.299999,45.349998,46.18,6623000,31.372822
"55",2007-03-22,46.490002,46.82,45.849998,46.290001,1916000,31.447552
"56",2007-03-23,45.599998,45.990002,45.5,45.790001,1118700,31.107872
"57",2007-03-26,46.09,46.09,45.119999,46.049999,1104900,31.284506
"58",2007-03-27,45.360001,45.360001,44.450001,44.84,1600200,30.462479
"59",2007-03-28,44.509998,44.549999,43.82,44.189999,1431200,30.020895
"60",2007-03-29,45.330002,45.470001,44.799999,45.310001,1332400,30.781782
"61",2007-03-30,45.310001,45.740002,44.700001,44.849998,3170900,30.469273
"62",2007-04-02,44.860001,45.48,44.849998,45.349998,873800,30.80895
"63",2007-04-03,45.790001,46.18,45.57,45.970001,1602300,31.23016
"64",2007-04-04,45.84,45.84,45.310001,45.549999,780400,30.944828
"65",2007-04-05,45.560001,45.619999,45.240002,45.389999,1017500,30.836126
"66",2007-04-09,45.700001,46.330002,45.66,46.330002,940900,31.474728
"67",2007-04-10,46.02,46.220001,45.82,45.98,662900,31.236942
"68",2007-04-11,46.07,46.18,45.299999,45.560001,1121600,30.951622
"69",2007-04-12,45.599998,46.200001,44.880001,46.060001,1337800,31.291304
"70",2007-04-13,45.720001,46.009998,45.25,45.990002,1001800,31.243746
"71",2007-04-16,48.09,48.490002,47.669998,48.439999,2370100,32.90818
"72",2007-04-17,48.349998,48.900002,48.330002,48.639999,2212100,33.044052
"73",2007-04-18,48.02,48.369999,47.880001,48.09,1132500,32.670399
"74",2007-04-19,46.75,47.349998,46.66,47.060001,1658800,31.970665
"75",2007-04-20,48.400002,48.400002,47.299999,47.599998,2586600,32.337509
"76",2007-04-23,46.66,46.849998,45.75,46.209999,2220200,31.393208
"77",2007-04-24,46.799999,46.860001,46.25,46.57,1623900,31.637774
"78",2007-04-25,46.919998,47.59,46.810001,47.32,1992100,32.147293
"79",2007-04-26,46.869999,47.029999,46.419998,46.59,1511600,31.651356
"80",2007-04-27,46,46.630001,45.939999,46.389999,925500,31.515484
"81",2007-04-30,45.779999,45.900002,44.990002,45.009998,1316900,30.577971
"82",2007-05-01,45.16,45.330002,44.669998,45.07,1451600,30.618734
"83",2007-05-02,45.299999,46,45.259998,45.799999,1190300,31.114666
"84",2007-05-03,46.41,46.459999,45.98,46.360001,902300,31.49511
"85",2007-05-04,46.41,46.48,45.830002,45.970001,1000700,31.23016
"86",2007-05-07,46.299999,46.59,46.299999,46.48,719900,31.576622
"87",2007-05-08,45.849998,45.849998,45.299999,45.799999,1002500,31.44508
"88",2007-05-09,46.16,46.93,45.900002,46.810001,1401600,32.138523
"89",2007-05-10,46.029999,46.119999,44.849998,44.939999,1940700,30.854635
"90",2007-05-11,46.639999,48.02,46.41,47.5,6700600,32.612263
"91",2007-05-14,47.59,47.830002,46.830002,47.09,2156600,32.330769
"92",2007-05-15,47.099998,47.5,46.849998,46.939999,1286900,32.227779
"93",2007-05-16,47.259998,48.060001,47.18,48,1723600,32.955544
"94",2007-05-17,47.599998,48.369999,47.509998,47.880001,2182100,32.873161
"95",2007-05-18,48.040001,48.380001,47.91,48.200001,2099000,33.092865
"96",2007-05-21,47.919998,48.150002,47.75,47.900002,1887200,32.886894
"97",2007-05-22,47.689999,47.700001,47.049999,47.150002,1629900,32.371967
"98",2007-05-23,47.25,47.650002,46.799999,46.900002,1405100,32.200317
"99",2007-05-24,46.700001,46.990002,45.599998,45.869999,2657500,31.493135
"100",2007-05-25,45.880001,46.400002,45.880001,46.27,857600,31.767776
"101",2007-05-29,45.91,46.189999,45.110001,45.580002,1843000,31.294043
"102",2007-05-30,45.060001,46.32,44.830002,46.200001,2426100,31.719711
"103",2007-05-31,46.509998,46.990002,46.240002,46.419998,1551000,31.870762
"104",2007-06-01,46.529999,46.790001,46.32,46.509998,1405300,31.93255
"105",2007-06-04,46.450001,46.450001,45.98,46.32,916900,31.802101
"106",2007-06-05,46.43,46.919998,46.200001,46.509998,1165800,31.93255
"107",2007-06-06,46.470001,46.470001,45.720001,45.959999,1137000,31.55493
"108",2007-06-07,46.369999,46.75,45.700001,45.77,1966800,31.424488
"109",2007-06-08,46.23,46.950001,46.23,46.849998,1782900,32.165989
"110",2007-06-11,46.509998,47.450001,46.5,47.299999,1569800,32.474949
"111",2007-06-12,47.18,47.650002,46.990002,47.080002,1392200,32.323898
"112",2007-06-13,47.509998,47.98,47.439999,47.950001,1679700,32.921219
"113",2007-06-14,48.169998,48.75,48.060001,48.48,2044100,33.285099
"114",2007-06-15,48.990002,49.580002,48.84,49.369999,2076200,33.896149
"115",2007-06-18,51.369999,51.369999,50.52,50.970001,2254600,34.994667
"116",2007-06-19,49.82,51.720001,49.82,51.560001,1674200,35.39975
"117",2007-06-20,51.810001,52.610001,51.5,51.610001,3041400,35.434074
"118",2007-06-21,52.16,53.549999,52.16,53.439999,3457500,36.690502
"119",2007-06-22,54.049999,54.080002,53.209999,53.419998,2180900,36.676777
"120",2007-06-25,53.720001,54,53,53.299999,2082400,36.594383
"121",2007-06-26,54.099998,54.310001,53.610001,53.91,2018900,37.013203
"122",2007-06-27,53.009998,53.990002,52.740002,53.919998,1701700,37.020054
"123",2007-06-28,54,54.700001,53.91,54.360001,1359100,37.322159
"124",2007-06-29,54.259998,54.419998,53.560001,53.900002,959800,37.006332
"125",2007-07-02,54.060001,55.5,54.049999,55.27,2149900,37.946934
"126",2007-07-03,55.369999,56.380001,55.360001,56.150002,1264700,38.551128
"127",2007-07-05,55.549999,55.599998,55,55.48,1168800,38.091118
"128",2007-07-06,55.490002,56.369999,55.400002,56.220001,1540100,38.599182
"129",2007-07-09,55.700001,56.349998,55.68,56.099998,1361700,38.516792
"130",2007-07-10,55.18,55.34,54.09,54.189999,1956900,37.205441
"131",2007-07-11,54.580002,55.27,54.279999,55.25,2232400,37.933201
"132",2007-07-12,57,57.889999,56.869999,57.779999,1841800,39.670235
"133",2007-07-13,58.5,58.84,58.32,58.689999,1231600,40.295013
"134",2007-07-16,58.599998,58.799999,57.779999,58.09,1158400,39.883072
"135",2007-07-17,58.5,58.799999,58.040001,58.490002,775500,40.157711
"136",2007-07-18,57.389999,57.869999,56.599998,57.299999,1293800,39.340687
"137",2007-07-19,58.360001,58.459999,57.939999,58.419998,1464000,40.109642
"138",2007-07-20,59.330002,59.330002,58.349998,58.810001,1586700,40.377407
"139",2007-07-23,59.84,60.360001,59.650002,60.23,1491800,41.352352
"140",2007-07-24,59.400002,59.689999,58.119999,58.27,1944900,40.00666
"141",2007-07-25,60,60,58.82,59.52,2295600,40.864883
"142",2007-07-26,58.209999,58.98,55.080002,56.68,3566800,38.915005
"143",2007-07-27,57,57.200001,55.959999,56.240002,2416900,38.612915
"144",2007-07-30,57.709999,58.599998,57.040001,58.360001,1686400,40.068451
"145",2007-07-31,58.75,59,57.259998,57.389999,1789000,39.402477
"146",2007-08-01,56.200001,56.540001,54.52,55.98,3680000,38.434402
"147",2007-08-02,56.869999,56.869999,55.470001,56.439999,1981900,38.750233
"148",2007-08-03,56.220001,56.419998,54.700001,54.700001,2164500,37.555592
"149",2007-08-06,55.189999,55.5,53.5,55.43,2744400,38.056793
