"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2013-10-25,15,15.42,14.72,14.99,21874500,14.99
"2",2013-10-28,14.82,15.02,14.77,14.88,1480200,14.88
"3",2013-10-29,14.84,15.25,14.81,15.25,1190900,15.25
"4",2013-10-30,15.23,15.6,15,15.43,1549100,15.43
"5",2013-10-31,15.54,15.54,14.85,15.28,506800,15.28
"6",2013-11-01,15.44,15.83,15.2,15.58,2311800,15.58
"7",2013-11-04,15.83,15.85,15.13,15.29,530100,15.29
"8",2013-11-05,15.03,15.4,14.85,15.01,721800,15.01
"9",2013-11-06,15,15.09,14.78,15,1002300,15
"10",2013-11-07,14.9,15.14,14.78,14.97,589100,14.97
"11",2013-11-08,14.95,15.3,14.86,15.27,249000,15.27
"12",2013-11-11,15.1,16.219999,15.09,16.139999,433900,16.139999
"13",2013-11-12,16.040001,16.17,15.59,15.75,241600,15.75
"14",2013-11-13,15.59,15.9,15.35,15.82,306500,15.82
"15",2013-11-14,15.89,15.98,15.41,15.8,513300,15.8
"16",2013-11-15,15.86,15.87,15.56,15.79,218100,15.79
"17",2013-11-18,15.72,15.75,15.57,15.67,116700,15.67
"18",2013-11-19,15.26,15.4,15,15.34,140400,15.34
"19",2013-11-20,15.21,15.31,15.09,15.13,523500,15.13
"20",2013-11-21,15.2,15.48,15.04,15.18,71800,15.18
"21",2013-11-22,15.17,15.56,15.1,15.5,240900,15.5
"22",2013-11-25,15.5,15.5,15.33,15.44,133900,15.44
"23",2013-11-26,15.4,15.67,15.158,15.46,147800,15.46
"24",2013-11-27,15.47,16.190001,15.47,16.190001,409300,16.190001
"25",2013-11-29,16.200001,16.209999,15.847,16.09,160000,16.09
"26",2013-12-02,15.71,16.799999,15.71,16.74,604400,16.74
"27",2013-12-03,16.559999,17.120001,16.333,16.959999,612500,16.959999
"28",2013-12-04,17.35,17.4,16.715,17.02,1192400,17.02
"29",2013-12-05,16.74,17.25,16.73,16.809999,438200,16.809999
"30",2013-12-06,16.799999,17.200001,16.780001,17.049999,872300,17.049999
"31",2013-12-09,17.049999,17.459999,17.049999,17.35,484500,17.35
"32",2013-12-10,17.34,17.450001,17.07,17.370001,532800,17.370001
"33",2013-12-11,17.35,17.549999,17.299999,17.360001,815000,17.360001
"34",2013-12-12,17.459999,17.459999,17.275,17.33,332700,17.33
"35",2013-12-13,17.360001,17.579,17.120001,17.4,413500,17.4
"36",2013-12-16,17.48,17.91,17.4,17.59,796400,17.59
"37",2013-12-17,17.719999,17.860001,17.43,17.68,595800,17.68
"38",2013-12-18,17.68,17.84,17.15,17.799999,560600,17.799999
"39",2013-12-19,17.65,17.799999,17.219999,17.49,430400,17.49
"40",2013-12-20,17.450001,18.049999,17.15,17.84,4762300,17.84
"41",2013-12-23,17.84,18.15,17.469999,18.049999,352500,18.049999
"42",2013-12-24,17.93,18.129999,17.690001,18.030001,171800,18.030001
"43",2013-12-26,18,18.129999,17.733,18.1,148800,18.1
"44",2013-12-27,18.01,18.309999,17.950001,18.280001,350300,18.280001
"45",2013-12-30,18.190001,18.559999,18,18.48,276700,18.48
"46",2013-12-31,18.57,19.02,18.52,18.93,327100,18.93
"47",2014-01-02,18.77,18.889999,18.48,18.77,415700,18.77
"48",2014-01-03,18.92,19.309999,18.84,19.190001,846900,19.190001
"49",2014-01-06,19.35,19.639999,19.190001,19.299999,2171000,19.299999
"50",2014-01-07,19.25,19.26,18.719999,19.030001,404000,19.030001
"51",2014-01-08,18.74,19.1,18.74,18.99,322200,18.99
"52",2014-01-09,19,19.24,18.856001,18.93,706700,18.93
"53",2014-01-10,18.950001,19.138,18.389999,18.67,481600,18.67
"54",2014-01-13,18.879999,18.879999,18.35,18.35,162300,18.35
"55",2014-01-14,18.290001,18.290001,17.73,17.959999,261300,17.959999
"56",2014-01-15,18,18.49,17.780001,18.43,242600,18.43
"57",2014-01-16,18.309999,18.709999,18.25,18.68,388300,18.68
"58",2014-01-17,18.440001,18.549999,18.190001,18.299999,164200,18.299999
"59",2014-01-21,18.32,18.5,18.120001,18.25,249700,18.25
"60",2014-01-22,18.23,18.440001,18.139999,18.370001,428400,18.370001
"61",2014-01-23,18.190001,18.49,17.780001,17.879999,192800,17.879999
"62",2014-01-24,17.74,18.01,17.5,17.809999,374600,17.809999
"63",2014-01-27,17.959999,17.959999,16.860001,17.309999,493200,17.309999
"64",2014-01-28,17.41,18.049999,17.138,17.610001,365300,17.610001
"65",2014-01-29,17.49,17.771999,17.08,17.34,375500,17.34
"66",2014-01-30,17.57,17.57,17.195,17.51,409800,17.51
"67",2014-01-31,17.299999,18.030001,17.129999,17.93,719100,17.93
"68",2014-02-03,17.93,18.77,17.65,18,941800,18
"69",2014-02-04,18.08,18.58,17.809999,18.26,345700,18.26
"70",2014-02-05,18.26,18.66,17.940001,18.5,789000,18.5
"71",2014-02-06,18.48,18.709999,18.200001,18.459999,555300,18.459999
"72",2014-02-07,18.280001,18.700001,18.09,18.209999,292700,18.209999
"73",2014-02-10,18.16,18.9,18.16,18.58,412700,18.58
"74",2014-02-11,18.540001,18.99,18.280001,18.889999,372400,18.889999
"75",2014-02-12,18.860001,19.34,18.52,18.6,172800,18.6
"76",2014-02-13,18.41,18.91,18.34,18.77,192600,18.77
"77",2014-02-14,18.709999,19,18.700001,18.809999,220700,18.809999
"78",2014-02-18,18.84,19.1,18.83,19.02,286100,19.02
"79",2014-02-19,18.940001,19.17,18.76,18.940001,110800,18.940001
"80",2014-02-20,18.975,19.209999,18.629999,18.969999,1037600,18.969999
"81",2014-02-21,23.5,24.379999,21.82,21.92,2771000,21.92
"82",2014-02-24,22.049999,23.049999,22.040001,22.92,960800,22.92
"83",2014-02-25,22.879999,23.41,22.700001,23,458300,23
"84",2014-02-26,23.040001,23.51,22.944,23.360001,421600,23.360001
"85",2014-02-27,23.52,23.83,23.18,23.629999,345200,23.629999
"86",2014-02-28,23.700001,24.219999,23.299999,24.219999,550700,24.219999
"87",2014-03-03,23.940001,24.52,23.549999,24.24,637700,24.24
"88",2014-03-04,24.379999,24.725,23.959999,24.129999,446500,24.129999
"89",2014-03-05,24.26,24.99,23.790001,24.049999,356200,24.049999
"90",2014-03-06,23.98,24.07,23.200001,23.49,361200,23.49
"91",2014-03-07,23.719999,23.719999,22.790001,22.9,463300,22.9
