"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,9.1425,9.23,8.91,9.0175,4277200,9.0175
"2",2007-01-04,9.0025,9.47,8.8875,9.47,6430400,9.47
"3",2007-01-05,9.375,9.9925,9.275,9.88,11618800,9.88
"4",2007-01-08,9.9,9.9975,9.7775,9.9825,4814400,9.9825
"5",2007-01-09,9.9975,10.1075,9.8575,9.99,4996000,9.99
"6",2007-01-10,9.95,10.0625,9.895,10.0575,3575600,10.0575
"7",2007-01-11,10.045,10.6625,10,10.435,10939200,10.435
"8",2007-01-12,10.525,10.76,10.425,10.605,6449200,10.605
"9",2007-01-16,10.6725,11.08,10.575,10.825,9854800,10.825
"10",2007-01-17,10.7625,10.8625,10.6125,10.6625,5239200,10.6625
"11",2007-01-18,10.6375,10.64,10.205,10.3625,6803200,10.3625
"12",2007-01-19,10.3625,10.41,10.2175,10.4025,5058800,10.4025
"13",2007-01-22,10.425,10.47,10.2075,10.3,6394800,10.3
"14",2007-01-23,10.2925,10.35,10.25,10.32,6068800,10.32
"15",2007-01-24,10.345,10.695,10.345,10.605,9301600,10.605
"16",2007-01-25,10.6075,10.6075,10.38,10.47,6468400,10.47
"17",2007-01-26,10.5125,10.685,10.495,10.5575,4736400,10.5575
"18",2007-01-29,10.5575,10.7875,10.47,10.6225,5254000,10.6225
"19",2007-01-30,10.7125,10.8725,10.7,10.7375,5333600,10.7375
"20",2007-01-31,10.755,11.0125,10.6125,10.9575,5612000,10.9575
"21",2007-02-01,11.05,11.395,11.05,11.3525,10430400,11.3525
"22",2007-02-02,11.4,11.74,11.3525,11.6875,8889600,11.6875
"23",2007-02-05,11.6875,11.835,11.505,11.7825,5616800,11.7825
"24",2007-02-06,11.795,11.9075,11.66,11.775,10726400,11.775
"25",2007-02-07,11.8,12.0375,11.765,11.9225,10997600,11.9225
"26",2007-02-08,11.9225,11.9975,11.6875,11.925,7385600,11.925
"27",2007-02-09,11.8625,11.9925,11.7,11.7525,6388800,11.7525
"28",2007-02-12,11.6975,11.9075,11.635,11.8475,5591200,11.8475
"29",2007-02-13,11.875,12.2325,11.875,12.1225,7625200,12.1225
"30",2007-02-14,12.225,12.5325,12.195,12.47,10212000,12.47
"31",2007-02-15,12.5,12.51,12.33,12.4025,8974000,12.4025
"32",2007-02-16,12.4025,12.485,12.35,12.4075,6041600,12.4075
"33",2007-02-20,12.5,12.6075,12.35,12.3575,10063600,12.3575
"34",2007-02-21,12.3725,12.375,11.955,12,13291600,12
"35",2007-02-22,11.425,12.125,11.315,11.785,20852400,11.785
"36",2007-02-23,11.7875,11.8825,11.7225,11.86,5260400,11.86
"37",2007-02-26,11.75,11.8725,11.65,11.725,9469600,11.725
"38",2007-02-27,11.465,11.5975,11.03,11.25,7687200,11.25
"39",2007-02-28,11.2525,11.2525,10.7625,10.81,13272400,10.81
"40",2007-03-01,10.5125,11.1325,10.5125,11.09,13634000,11.09
"41",2007-03-02,10.9875,11.15,10.6025,10.66,7662400,10.66
"42",2007-03-05,10.45,10.7225,10.32,10.3925,6251200,10.3925
"43",2007-03-06,10.5725,10.84,10.5575,10.7875,5989200,10.7875
"44",2007-03-07,10.7875,10.8525,10.64,10.6825,5326800,10.6825
"45",2007-03-08,10.8,11.07,10.7625,10.92,6296800,10.92
"46",2007-03-09,10.9025,10.97,10.705,10.7425,7335200,10.7425
"47",2007-03-12,10.7225,10.905,10.6575,10.83,3331600,10.83
"48",2007-03-13,10.83,10.83,10.5325,10.54,5493600,10.54
"49",2007-03-14,10.5775,10.6175,10.1925,10.4975,6722400,10.4975
"50",2007-03-15,10.4975,10.5675,10.32,10.435,4462000,10.435
"51",2007-03-16,10.405,10.4725,10.34,10.4075,2597200,10.4075
"52",2007-03-19,10.5375,10.69,10.455,10.67,3654000,10.67
"53",2007-03-20,10.67,10.82,10.61,10.78,3310000,10.78
"54",2007-03-21,10.775,11.0125,10.73,10.8675,3855600,10.8675
"55",2007-03-22,10.8625,10.9375,10.755,10.8625,3419200,10.8625
"56",2007-03-23,10.83,10.91,10.7975,10.825,2744800,10.825
"57",2007-03-26,10.755,10.8125,10.635,10.755,3413600,10.755
"58",2007-03-27,10.75,10.825,10.6875,10.6975,3686800,10.6975
"59",2007-03-28,10.675,10.865,10.56,10.7375,3338400,10.7375
"60",2007-03-29,10.765,10.8375,10.65,10.765,3395600,10.765
"61",2007-03-30,10.7225,10.865,10.6375,10.705,3610800,10.705
"62",2007-04-02,10.7475,11,10.625,10.8725,4144800,10.8725
"63",2007-04-03,10.9775,11.27,10.9575,11.2175,5853200,11.2175
"64",2007-04-04,11.2525,11.3525,11.25,11.3075,3476000,11.3075
"65",2007-04-05,11.345,11.345,11.2025,11.2475,2185200,11.2475
"66",2007-04-09,11.3725,11.52,11.3375,11.4675,3719200,11.4675
"67",2007-04-10,11.4725,11.4775,11.3625,11.425,3244800,11.425
"68",2007-04-11,11.2375,11.2375,10.75,10.96,13078000,10.96
"69",2007-04-12,10.9525,11.0825,10.5375,10.68,15264000,10.68
"70",2007-04-13,10.675,10.7275,10.4575,10.645,7035200,10.645
"71",2007-04-16,10.6675,10.825,10.65,10.81,6083200,10.81
"72",2007-04-17,10.8775,10.9375,10.6525,10.7325,7706400,10.7325
"73",2007-04-18,10.7325,10.7325,10.5575,10.58,7638800,10.58
"74",2007-04-19,10.5575,10.56,10.32,10.35,7721200,10.35
"75",2007-04-20,10.35,10.495,10.305,10.4375,6369200,10.4375
"76",2007-04-23,10.3825,10.425,10.2,10.3225,6510800,10.3225
"77",2007-04-24,10.365,10.365,10.1925,10.2675,4630000,10.2675
"78",2007-04-25,10.3175,10.6725,10.3,10.645,7439200,10.645
"79",2007-04-26,10.675,10.74,10.55,10.6525,5593600,10.6525
"80",2007-04-27,10.635,10.805,10.48,10.525,8167200,10.525
"81",2007-04-30,10.51,10.6125,10.4425,10.5,4006800,10.5
"82",2007-05-01,10.45,10.4525,10.1525,10.28,7380400,10.28
"83",2007-05-02,10.245,10.4025,10.15,10.3225,5800400,10.3225
"84",2007-05-03,10.37,10.79,10.3475,10.695,5596800,10.695
"85",2007-05-04,10.7575,10.9825,10.695,10.7625,5823200,10.7625
"86",2007-05-07,10.8025,10.83,10.525,10.6075,3881600,10.6075
"87",2007-05-08,10.6,10.875,10.515,10.84,3608800,10.84
"88",2007-05-09,10.7775,10.9075,10.7025,10.8625,2157200,10.8625
"89",2007-05-10,10.8,10.8275,10.62,10.6475,2163200,10.6475
"90",2007-05-11,10.6625,10.725,10.5875,10.605,4174800,10.605
"91",2007-05-14,10.6075,11.075,10.565,10.7875,7812800,10.7875
"92",2007-05-15,10.815,11.1025,10.7625,11.0175,8039600,11.0175
"93",2007-05-16,11.1,11.5625,11.035,11.3125,13915600,11.3125
"94",2007-05-17,11.1875,11.1875,10.5875,10.745,19213600,10.745
"95",2007-05-18,10.7825,11.625,10.6925,11.45,22051200,11.45
"96",2007-05-21,11.9875,12.49,11.77,11.94,23118000,11.94
"97",2007-05-22,12.05,12.105,11.7375,11.7825,6139200,11.7825
"98",2007-05-23,11.7375,11.8175,11.5,11.56,4421200,11.56
"99",2007-05-24,11.325,11.4375,11.0375,11.215,10685600,11.215
"100",2007-05-25,11.2125,11.56,11.2125,11.5225,7043200,11.5225
"101",2007-05-29,11.715,11.715,11.35,11.475,5482400,11.475
"102",2007-05-30,11.475,12.4075,11.3725,12.18,15481600,12.18
"103",2007-05-31,12.35,12.35,11.7925,11.8125,8651200,11.8125
"104",2007-06-01,11.8125,12.015,11.775,11.97,5761600,11.97
"105",2007-06-04,12.0625,12.0625,11.63,11.765,6898000,11.765
"106",2007-06-05,11.6375,11.9375,11.175,11.865,14661200,11.865
"107",2007-06-06,11.85,11.865,11.4625,11.615,5817600,11.615
"108",2007-06-07,11.6825,11.6825,11.1725,11.2525,5972000,11.2525
"109",2007-06-08,11.35,11.5825,11.2475,11.5625,5600800,11.5625
"110",2007-06-11,11.5125,11.7025,11.425,11.6575,4005200,11.6575
"111",2007-06-12,11.525,11.6,11.2975,11.3375,3046400,11.3375
"112",2007-06-13,11.3775,11.4875,11.23,11.3675,2712400,11.3675
"113",2007-06-14,11.3175,11.425,11.2625,11.3675,3886400,11.3675
"114",2007-06-15,11.3925,11.785,11.335,11.3975,7145200,11.3975
"115",2007-06-18,11.3975,11.5375,11.175,11.2125,5113200,11.2125
"116",2007-06-19,11.1,11.4275,11.0925,11.335,4096400,11.335
"117",2007-06-20,11.365,11.375,11.165,11.22,4610800,11.22
"118",2007-06-21,11.1875,11.2,10.4275,10.4775,22410000,10.4775
"119",2007-06-22,10.605,10.6425,10.075,10.1375,15560000,10.1375
"120",2007-06-25,9.9375,10.6375,9.9175,10.55,13568400,10.55
"121",2007-06-26,10.55,10.55,10.2025,10.2575,8231600,10.2575
"122",2007-06-27,10.3625,11.025,10.3625,10.98,17513600,10.98
"123",2007-06-28,10.98,11.2775,10.845,10.85,11264400,10.85
"124",2007-06-29,10.8425,10.9375,10.6575,10.715,4509600,10.715
"125",2007-07-02,10.75,10.9275,10.675,10.8175,4823200,10.8175
"126",2007-07-03,10.8075,10.8225,10.6975,10.7125,1242000,10.7125
"127",2007-07-05,10.68,11.015,10.6325,11.0075,3530800,11.0075
"128",2007-07-06,11.0475,11.19,10.9725,11.17,3343600,11.17
"129",2007-07-09,11.1,11.2075,11.0125,11.1125,3534000,11.1125
"130",2007-07-10,11.025,11.08,10.75,10.85,7257600,10.85
"131",2007-07-11,10.685,10.89,10.455,10.83,6651200,10.83
"132",2007-07-12,10.875,11.295,10.8675,11.275,6626800,11.275
"133",2007-07-13,11.2,11.5,11.0525,11.135,8098000,11.135
"134",2007-07-16,11.2325,11.3575,10.985,11.0375,2941200,11.0375
"135",2007-07-17,10.81,11.155,10.6525,11.005,8900000,11.005
"136",2007-07-18,10.85,10.975,10.725,10.82,3813200,10.82
"137",2007-07-19,10.9975,11.13,10.9275,10.9775,3597600,10.9775
"138",2007-07-20,10.965,10.965,10.64,10.8625,5308800,10.8625
"139",2007-07-23,10.8625,11.3225,10.8025,11.1625,6768800,11.1625
"140",2007-07-24,11.005,11.175,10.8225,10.845,4344400,10.845
"141",2007-07-25,11.01,11.0925,10.6975,10.8825,3108800,10.8825
"142",2007-07-26,10.7025,10.85,10.315,10.4925,6850400,10.4925
"143",2007-07-27,10.4975,10.6025,10.195,10.2225,5445600,10.2225
"144",2007-07-30,10.2375,10.2675,10.0175,10.125,6458000,10.125
