"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,43.700001,44.07,43.560001,43.73,1006900,18.643824
"2",2007-01-04,43.650002,43.889999,43.470001,43.700001,538000,18.631033
"3",2007-01-05,43.68,43.98,43.5,43.650002,816100,18.609718
"4",2007-01-08,43.59,43.650002,43.049999,43.400002,823300,18.503132
"5",2007-01-09,43.41,43.619999,42.919998,43.209999,594300,18.422125
"6",2007-01-10,43.18,43.43,42.93,43.32,489300,18.469023
"7",2007-01-11,43.360001,43.700001,43.360001,43.580002,748200,18.579872
"8",2007-01-12,43.57,43.959999,43.470001,43.830002,480900,18.686462
"9",2007-01-16,43.869999,44.119999,43.700001,43.950001,523900,18.737616
"10",2007-01-17,43.830002,44.080002,43.459999,43.5,586800,18.545759
"11",2007-01-18,42.66,44.029999,42.66,43.91,662600,18.720562
"12",2007-01-19,43.919998,43.98,43.439999,43.529999,530700,18.558559
"13",2007-01-22,43.630001,43.939999,43.48,43.75,814300,18.652353
"14",2007-01-23,43.68,44.23,43.66,44.07,692400,18.788776
"15",2007-01-24,44.110001,44.470001,44.02,44.310001,699700,18.891108
"16",2007-01-25,44.169998,44.400002,43.580002,43.700001,802000,18.631033
"17",2007-01-26,43.599998,44.369999,43.259998,44.27,1012300,18.874048
"18",2007-01-29,44.279999,44.619999,43.939999,44.34,630600,18.903896
"19",2007-01-30,43.52,44.700001,43.52,44.619999,917300,19.023272
"20",2007-01-31,44.669998,44.990002,44.439999,44.84,566900,19.117064
"21",2007-02-01,44.82,44.959999,44.400002,44.740002,656500,19.074423
"22",2007-02-02,44.560001,45.200001,44.560001,44.919998,568100,19.151171
"23",2007-02-05,45.07,45.389999,44.84,45.27,393600,19.300386
"24",2007-02-06,45.23,45.509998,45.189999,45.279999,446600,19.304653
"25",2007-02-07,45.419998,45.470001,44.970001,45,492400,19.185274
"26",2007-02-08,45.029999,45.200001,44.73,44.849998,874900,19.121321
"27",2007-02-09,44.810001,45.049999,44.369999,44.509998,866100,18.976368
"28",2007-02-12,44.41,44.849998,44.299999,44.32,481500,18.895359
"29",2007-02-13,44.459999,44.939999,44.419998,44.759998,427300,19.082952
"30",2007-02-14,44.849998,45.130001,44.75,45.009998,633300,19.189539
"31",2007-02-15,45.150002,46.389999,45.150002,45.990002,1034000,19.607353
"32",2007-02-16,45.700001,46.77,45.169998,45.32,534900,19.321707
"33",2007-02-20,45.41,45.549999,45.16,45.5,495900,19.398447
"34",2007-02-21,45.400002,45.799999,45.25,45.52,537800,19.406967
"35",2007-02-22,45.669998,45.939999,45.540001,45.66,510000,19.466656
"36",2007-02-23,45.57,46.029999,45.5,45.990002,421400,19.607353
"37",2007-02-26,46.130001,46.360001,45.779999,45.900002,585900,19.568981
"38",2007-02-27,46.799999,46.799999,44.599998,44.599998,790000,19.014736
"39",2007-02-28,44.599998,45.099998,44.419998,44.75,1066800,19.078684
