"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2014-09-24,25,30.190001,22.120001,29.93,21819900,29.93
"2",2014-09-25,33.150002,35.880001,30.52,31.389999,16617400,31.389999
"3",2014-09-26,31.950001,32.740002,28.610001,29.799999,4636200,29.799999
"4",2014-09-29,28.190001,29.440001,27.27,27.389999,2658200,27.389999
"5",2014-09-30,27.6,32.110001,27.6,32.009998,6416400,32.009998
"6",2014-10-01,31.5,32.188,29.5,29.620001,3587400,29.620001
"7",2014-10-02,30.370001,30.75,27.299999,28.690001,2457300,28.690001
"8",2014-10-03,30.49,31.48,29.52,30.379999,3649800,30.379999
"9",2014-10-06,31.370001,31.799999,29.6,29.92,1425700,29.92
"10",2014-10-07,30.120001,30.48,28.5,29.35,1190300,29.35
"11",2014-10-08,29.59,29.9,28.110001,29.379999,904200,29.379999
"12",2014-10-09,29.24,29.65,27.85,28.200001,1046800,28.200001
"13",2014-10-10,29.58,31.49,28.52,29.84,2734700,29.84
"14",2014-10-13,30.58,32.5,30.282,31.25,2659900,31.25
"15",2014-10-14,32.810001,33.150002,29.450001,29.6,1911800,29.6
"16",2014-10-15,28.76,29.24,26.66,28.76,1860300,28.76
"17",2014-10-16,27.6,30.4,27.6,29.450001,936500,29.450001
"18",2014-10-17,30.76,30.950001,28.851,30.290001,818300,30.290001
"19",2014-10-20,30,30.75,29.400999,29.879999,866600,29.879999
"20",2014-10-21,30.4,30.85,29.4,29.48,1140700,29.48
"21",2014-10-22,29.549999,29.879999,28.129999,28.6,754700,28.6
"22",2014-10-23,28.73,29.5,28.35,29.209999,534000,29.209999
"23",2014-10-24,28.860001,31.190001,28.67,30.24,1212300,30.24
"24",2014-10-27,30.26,35.169998,29.4,35.080002,3929100,35.080002
"25",2014-10-28,34.400002,36.48,32.009998,32.32,3748300,32.32
"26",2014-10-29,33.5,34.959999,31.5,34.91,2378500,34.91
"27",2014-10-30,34.549999,37.200001,34.049999,34.709999,2649200,34.709999
"28",2014-10-31,36.040001,36.150002,34.700001,35.279999,953400,35.279999
"29",2014-11-03,35.540001,37.5,35.029999,36.580002,1408700,36.580002
"30",2014-11-04,36.799999,37.200001,35.279999,36.529999,858900,36.529999
"31",2014-11-05,36.040001,36.380001,33.330002,33.799999,1580900,33.799999
"32",2014-11-06,34,34.32,32.849998,33.029999,665200,33.029999
"33",2014-11-07,33.360001,33.5,31.690001,32.709999,741100,32.709999
"34",2014-11-10,32.799999,35.389999,32.799999,34.880001,1208800,34.880001
"35",2014-11-11,35.049999,35.240002,33.529999,33.889999,736200,33.889999
"36",2014-11-12,33.599998,34.68,33,33.700001,2499700,33.700001
"37",2014-11-13,38.400002,43.299999,38.380001,42.919998,11580500,42.919998
"38",2014-11-14,42.200001,44.889999,40.009998,44.369999,5299700,44.369999
"39",2014-11-17,43.91,45.68,43,43.450001,2615700,43.450001
"40",2014-11-18,43.610001,44.459999,41.560001,42.669998,1507900,42.669998
"41",2014-11-19,43.310001,43.599998,41.759998,42.41,783000,42.41
"42",2014-11-20,42.080002,44.349998,41.98,42.639999,1068900,42.639999
"43",2014-11-21,43.52,44.32,42.529999,42.810001,693800,42.810001
"44",2014-11-24,42.98,47.009998,42.919998,47.009998,2395200,47.009998
"45",2014-11-25,44.93,46.169998,42.470001,42.59,3313100,42.59
"46",2014-11-26,42.970001,44.189999,41.700001,43.16,1318400,43.16
"47",2014-11-28,42.68,43.797001,41.080002,41.32,610400,41.32
"48",2014-12-01,41,41.939999,38.959999,39.040001,1167100,39.040001
"49",2014-12-02,40.029999,41.5,39.540001,40.75,928100,40.75
"50",2014-12-03,40.84,43.25,40.810001,43.02,917300,43.02
"51",2014-12-04,42.709999,43.09,40.23,40.599998,882600,40.599998
"52",2014-12-05,41.259998,41.849998,40.029999,41.099998,797900,41.099998
"53",2014-12-08,41.099998,41.220001,37.560001,38.150002,1398800,38.150002
"54",2014-12-09,36.900002,40.950001,36,40.91,1363000,40.91
"55",2014-12-10,40.630001,41.27,38.5,39.130001,945800,39.130001
"56",2014-12-11,39.919998,40.209999,37.5,37.849998,830400,37.849998
"57",2014-12-12,37.66,38.889999,37.049999,37.98,634800,37.98
"58",2014-12-15,38.82,38.900002,36,37.439999,689600,37.439999
"59",2014-12-16,36.560001,38.176998,36.209999,37.27,638500,37.27
"60",2014-12-17,37.259998,38.700001,36.838001,38.619999,660700,38.619999
"61",2014-12-18,39.75,41.599998,38.709999,40.630001,1374200,40.630001
"62",2014-12-19,41,41.959,39.305,41.950001,1091800,41.950001
"63",2014-12-22,42.77,43.490002,42.060001,42.669998,925200,42.669998
"64",2014-12-23,42.990002,43.299999,40.299999,41.009998,708500,41.009998
"65",2014-12-24,41.02,42.240002,40.740002,41.599998,285000,41.599998
"66",2014-12-26,41.869999,42.490002,41.040001,41.830002,319400,41.830002
"67",2014-12-29,41.740002,42.400002,41.099998,41.220001,398300,41.220001
"68",2014-12-30,41.099998,41.32,39.099998,39.849998,547300,39.849998
"69",2014-12-31,40.5,40.5,39.27,39.650002,384000,39.650002
"70",2015-01-02,39.779999,40.599998,38,38.880001,479300,38.880001
"71",2015-01-05,38.5,39.75,38.035,39.049999,350100,39.049999
"72",2015-01-06,39.009998,39.490002,36.419998,37.150002,933300,37.150002
"73",2015-01-07,37.68,38.490002,37.446999,37.950001,349800,37.950001
"74",2015-01-08,38.41,38.91,37.581001,38.549999,457100,38.549999
"75",2015-01-09,38.84,38.841,36.900002,37.060001,530200,37.060001
"76",2015-01-12,37.220001,38.419998,35.049999,38.369999,847600,38.369999
"77",2015-01-13,38.75,39.950001,36.560001,37.450001,979600,37.450001
"78",2015-01-14,36.900002,37.900002,36.259998,37.75,423600,37.75
"79",2015-01-15,37.990002,37.990002,35.599998,35.709999,385500,35.709999
"80",2015-01-16,35.43,36.790001,35.049999,36.650002,388500,36.650002
"81",2015-01-20,36.669998,37.444,35.509998,36.849998,413400,36.849998
"82",2015-01-21,36.779999,37.16,35.900002,36.224998,240800,36.224998
"83",2015-01-22,36.150002,36.48,35.5,36.119999,287600,36.119999
"84",2015-01-23,35.91,37.98,35.876999,36.990002,619600,36.990002
"85",2015-01-26,37,37.360001,35.887001,36.060001,343100,36.060001
"86",2015-01-27,35.970001,36.419998,35.099998,35.799999,310500,35.799999
"87",2015-01-28,36.16,36.16,34.630001,34.650002,342000,34.650002
"88",2015-01-29,34.580002,34.889999,33,33.779999,575000,33.779999
"89",2015-01-30,33.549999,34.639999,33.549999,33.869999,292000,33.869999
"90",2015-02-02,34.259998,34.679001,33.009998,34,226100,34
"91",2015-02-03,34.209999,35.169998,34.060001,34.93,241200,34.93
"92",2015-02-04,34.509998,34.655998,33.509998,34.049999,246200,34.049999
"93",2015-02-05,35,37,35,36.82,689100,36.82
"94",2015-02-06,37.59,37.950001,36.060001,37.07,597900,37.07
"95",2015-02-09,37,37.639999,36,36.09,417400,36.09
"96",2015-02-10,37.93,41.700001,37.66,40.900002,2431300,40.900002
"97",2015-02-11,41.939999,41.939999,40.009998,41.790001,1073800,41.790001
"98",2015-02-12,42.490002,45.990002,41.299999,45.689999,3455000,45.689999
"99",2015-02-13,53.84,55.400002,52.299999,52.52,7197200,52.52
"100",2015-02-17,53.049999,59.580002,53,58.860001,5282000,58.860001
"101",2015-02-18,60.25,63.32,58.599998,60.32,5790300,60.32
"102",2015-02-19,59.099998,64.449997,57.75,64.279999,4197100,64.279999
"103",2015-02-20,64.949997,70.480003,64,70.349998,6068700,70.349998
"104",2015-02-23,66.760002,68.330002,58.16,58.419998,10895300,58.419998
"105",2015-02-24,58.169998,63.009998,58.110001,60.110001,4622300,60.110001
"106",2015-02-25,61.919998,63.439999,60,60.310001,2017700,60.310001
"107",2015-02-26,62.880001,63.900002,61.009998,62.459999,1679600,62.459999
"108",2015-02-27,60.43,63.75,57.720001,59.27,2415300,59.27
"109",2015-03-02,59.799999,60.200001,56.07,57.740002,2062800,57.740002
"110",2015-03-03,56.169998,59.700001,55.466999,58.02,1365100,58.02
"111",2015-03-04,57.860001,61.5,57.610001,59.310001,1562500,59.310001
"112",2015-03-05,60.299999,62.900002,59.722,62.869999,1535800,62.869999
"113",2015-03-06,62.150002,63.400002,59.629002,59.779999,1458400,59.779999
"114",2015-03-09,60.75,60.84,57.110001,57.790001,1126500,57.790001
"115",2015-03-10,56.68,57.549999,54,54.700001,1609100,54.700001
"116",2015-03-11,55,56.16,53.029999,55.599998,1321400,55.599998
"117",2015-03-12,51.990002,53.299999,50.549999,51.720001,8279300,51.720001
"118",2015-03-13,51.990002,53.200001,50.029999,50.040001,2073400,50.040001
"119",2015-03-16,50.400002,50.779999,47.509998,50.5,2893300,50.5
"120",2015-03-17,50,53.060001,49.849998,53.060001,2410400,53.060001
"121",2015-03-18,53.060001,54.189999,51.540001,51.57,2370000,51.57
"122",2015-03-19,51.57,52.259998,50.27,50.41,1098400,50.41
"123",2015-03-20,50.509998,51.169998,48.560001,48.689999,1401100,48.689999
"124",2015-03-23,50.790001,55.029999,50.790001,54.889999,4813200,54.889999
"125",2015-03-24,55,55,52.610001,53.049999,2445200,53.049999
"126",2015-03-25,53.509998,54.380001,50.049999,50.139999,1747000,50.139999
"127",2015-03-26,49.619999,53.049999,49.049999,52.869999,1751800,52.869999
"128",2015-03-27,53,53.369999,51.310001,52.23,1160800,52.23
"129",2015-03-30,53.470001,55.73,53.18,54.82,1927700,54.82
"130",2015-03-31,55.509998,57.48,54.150002,55.57,2379100,55.57
"131",2015-04-01,55.650002,56.950001,53.330002,55.41,1738600,55.41
"132",2015-04-02,56.200001,56.200001,53.549999,53.810001,2124900,53.810001
"133",2015-04-06,52.59,55.299999,51.16,54.98,1778200,54.98
"134",2015-04-07,55.470001,59.990002,55.108002,59.450001,4192900,59.450001
"135",2015-04-08,61,62.98,58.59,58.73,4648000,58.73
"136",2015-04-09,58.75,60,58,59.099998,1398600,59.099998
"137",2015-04-10,59.389999,60.740002,58.509998,58.790001,1507800,58.790001
"138",2015-04-13,58.509998,59.299999,57.200001,58.09,1251500,58.09
"139",2015-04-14,58.27,58.919998,56.869999,58.709999,1131800,58.709999
"140",2015-04-15,59.919998,62.009998,59.009998,61.66,2475000,61.66
"141",2015-04-16,61.66,63.880001,60.221001,61.119999,2230500,61.119999
"142",2015-04-17,62.110001,62.84,59.279999,60.700001,1917300,60.700001
"143",2015-04-20,61.330002,62.75,60.529999,62.639999,1378300,62.639999
"144",2015-04-21,65.040001,66.5,64.029999,66.370003,2768700,66.370003
"145",2015-04-22,66.300003,66.989998,65.230003,65.529999,1488300,65.529999
"146",2015-04-23,66,68.150002,65.230003,66.620003,1602700,66.620003
"147",2015-04-24,67.730003,67.739998,65.709999,66.779999,1776400,66.779999
"148",2015-04-27,67.870003,68.639999,66.300003,66.620003,1253800,66.620003
"149",2015-04-28,66.940002,67.650002,62.259998,64.93,2223100,64.93
"150",2015-04-29,64.440002,66.769997,63.557999,66.5,1379200,66.5
"151",2015-04-30,65.610001,66.760002,62.759998,62.950001,1336200,62.950001
"152",2015-05-01,64.879997,67,63.630001,66.919998,1492700,66.919998
"153",2015-05-04,68.5,69,66.57,66.809998,1685200,66.809998
"154",2015-05-05,64.470001,65.860001,62.5,63.09,2510600,63.09
"155",2015-05-06,64.239998,64.458,61.400002,62.68,1291400,62.68
"156",2015-05-07,61.919998,63.293999,60.400002,61.470001,2726700,61.470001
"157",2015-05-08,65.5,68.099998,62.810001,66.129997,4620200,66.129997
"158",2015-05-11,66.139999,67.199997,63.68,64.32,2128400,64.32
"159",2015-05-12,61.560001,62.110001,60.099998,60.77,3419100,60.77
"160",2015-05-13,61.5,62.299999,60.279999,61.299999,1478000,61.299999
"161",2015-05-14,61.709999,62.349998,60.540001,61.5,1566600,61.5
"162",2015-05-15,61.5,61.66,59.419998,60.23,1514600,60.23
"163",2015-05-18,60.700001,63.419998,60.299999,63.220001,1705000,63.220001
"164",2015-05-19,63.509998,64.599998,62.709999,63.16,1528000,63.16
"165",2015-05-20,63.119999,64.25,62.580002,63.200001,871100,63.200001
"166",2015-05-21,62.759998,65,62.759998,64.830002,1473400,64.830002
"167",2015-05-22,64.93,65.5,62.650002,63.540001,1681700,63.540001
"168",2015-05-26,63.950001,63.950001,61,62.5,1015600,62.5
"169",2015-05-27,62.549999,64.5,62.029999,64.269997,892800,64.269997
"170",2015-05-28,64.449997,65.5,63.299999,64.260002,1132300,64.260002
"171",2015-05-29,62.240002,62.970001,61.080002,62.189999,1645000,62.189999
