"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2018-03-23,29,31.6,27.84,28.48,56108700,28.48
"2",2018-03-26,30.450001,30.66,27.75,30.450001,16985700,30.450001
"3",2018-03-27,30.41,30.68,29,29.9,6911000,29.9
"4",2018-03-28,29.26,31.190001,28.610001,30.98,5113300,30.98
"5",2018-03-29,31.98,34.367001,30.790001,31.25,15800200,31.25
"6",2018-04-02,31.190001,31.388,29.309999,30.01,5907700,30.01
"7",2018-04-03,30.51,31.6,29.450001,31.59,4305300,31.59
"8",2018-04-04,30.32,31.465,30.200001,30.85,2951200,30.85
"9",2018-04-05,31.200001,31.76,30.299999,30.535,2734400,30.535
"10",2018-04-06,30.370001,31,30,30.24,1626700,30.24
"11",2018-04-09,30.639999,31,30.129999,30.139999,1128800,30.139999
"12",2018-04-10,30.440001,31.74,30.25,31.23,2470300,31.23
"13",2018-04-11,31.299999,32.490002,30.870001,32.32,2391500,32.32
"14",2018-04-12,33.110001,34.828999,32.919998,33.27,5592300,33.27
"15",2018-04-13,31.27,32.240002,29.73,30,8525200,30
"16",2018-04-16,30.200001,30.4,28,29.02,5727900,29.02
"17",2018-04-17,29.9,30,28.610001,29.83,3438400,29.83
"18",2018-04-18,30.01,31.17,29.610001,30.559999,2968200,30.559999
"19",2018-04-19,30.65,30.879999,29.400999,29.9,1575900,29.9
"20",2018-04-20,29.700001,29.9,28.67,28.92,1742500,28.92
"21",2018-04-23,29.18,29.65,28.93,29.110001,1468100,29.110001
"22",2018-04-24,29.23,29.799999,28.290001,28.940001,1495200,28.940001
"23",2018-04-25,28.940001,29.040001,28.190001,28.639999,1258300,28.639999
"24",2018-04-26,28.870001,29.504,28.530001,29.33,1935700,29.33
"25",2018-04-27,29.59,30.15,29.25,29.610001,1263200,29.610001
"26",2018-04-30,29.799999,30.33,29.620001,30.110001,1242300,30.110001
"27",2018-05-01,30.299999,31.34,29.799999,30.9,1735200,30.9
"28",2018-05-02,30.969999,31.5,30.5,31.01,1576100,31.01
"29",2018-05-03,30.75,31.01,29.74,30.190001,1127700,30.190001
"30",2018-05-04,30.129999,30.4,29.049999,29.129999,1793100,29.129999
"31",2018-05-07,29.49,29.879,29.33,29.41,1807900,29.41
"32",2018-05-08,29.57,30.299999,29.5,30.23,1518900,30.23
"33",2018-05-09,30.6,31.5,30.139999,31.4,3258800,31.4
"34",2018-05-10,32.299999,32.299999,31.41,32,6650900,32
"35",2018-05-11,31.950001,32.380001,30.59,31.280001,7338600,31.280001
"36",2018-05-14,31.620001,31.75,29.700001,29.959999,4929300,29.959999
"37",2018-05-15,29.940001,30.110001,29.5,29.549999,2766300,29.549999
"38",2018-05-16,29.780001,30.950001,29.620001,30.74,2859500,30.74
"39",2018-05-17,30.950001,31.32,30.35,30.549999,1817600,30.549999
"40",2018-05-18,30.6,30.75,30.16,30.200001,1232600,30.200001
"41",2018-05-21,30.450001,30.6,29.950001,30.09,1444200,30.09
"42",2018-05-22,30.049999,30.459999,30.01,30.09,883300,30.09
"43",2018-05-23,30,30.129999,29.549999,29.74,1459000,29.74
"44",2018-05-24,29.799999,30.5,29.57,30.200001,1238200,30.200001
"45",2018-05-25,30.1,30.382999,29.799999,29.969999,958300,29.969999
"46",2018-05-29,29.940001,30.1,29.41,29.780001,956400,29.780001
"47",2018-05-30,29.9,30.57,29.780001,30.469999,1496600,30.469999
"48",2018-05-31,30.27,30.6,29.809999,29.99,1369200,29.99
"49",2018-06-01,30,30.23,29.42,29.65,2306100,29.65
"50",2018-06-04,29.99,30.299999,29.51,29.98,1925100,29.98
"51",2018-06-05,29.809999,30.969999,29.809999,30.889999,2716100,30.889999
"52",2018-06-06,31.1,31.889999,30.370001,31.23,3475300,31.23
"53",2018-06-07,31.290001,31.299999,29.809999,30.27,2489700,30.27
"54",2018-06-08,30.110001,30.549999,29.879999,29.959999,1770800,29.959999
"55",2018-06-11,30.120001,30.405001,29.9,30.1,1286400,30.1
"56",2018-06-12,30.219999,31,29.92,30.83,2650500,30.83
"57",2018-06-13,30.809999,31.9,30.459999,31.67,3523000,31.67
"58",2018-06-14,32.48,38.09,32.205002,36.119999,23578700,36.119999
"59",2018-06-15,36.119999,40.084999,35.349998,39.599998,19674900,39.599998
"60",2018-06-18,39,43.5,38.119999,42,16268900,42
"61",2018-06-19,41.349998,42.889999,38.5,39.700001,12730700,39.700001
"62",2018-06-20,40.700001,40.740002,36.529999,37.299999,9481900,37.299999
"63",2018-06-21,36.91,38.490002,35.360001,35.689999,7154000,35.689999
"64",2018-06-22,36.369999,37,33.599998,33.720001,9475500,33.720001
"65",2018-06-25,33.23,34.59,32.153,32.52,8311900,32.52
"66",2018-06-26,33.299999,34.09,32.560001,32.77,7061800,32.77
