"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,83.099998,83.730003,81.68,82.279999,361200,67.554543
"2",2007-01-04,81.68,82.68,81.5,82.559998,266500,67.784439
"3",2007-01-05,82.43,82.889999,81.910004,82.690002,172200,67.891159
"4",2007-01-08,82.690002,82.93,82.150002,82.790001,145800,67.973274
"5",2007-01-09,82.900002,84.099998,82.550003,84,450200,68.966713
"6",2007-01-10,83.779999,84.169998,83,83.269997,323300,68.367355
"7",2007-01-11,83.489998,84.730003,83.32,84.620003,340900,69.475754
"8",2007-01-12,84.459999,85.07,84.230003,85,203300,69.787758
"9",2007-01-16,85.099998,85.370003,84.160004,84.400002,219800,69.29512
"10",2007-01-17,84.099998,84.790001,83.839996,84.400002,287500,69.29512
"11",2007-01-18,84.400002,85.089996,84.080002,84.370003,323100,69.270493
"12",2007-01-19,84.150002,84.800003,83.610001,84.800003,368500,69.623505
"13",2007-01-22,84.959999,85.300003,83.959999,84.43,171100,69.319748
"14",2007-01-23,84.43,85.199997,84.43,84.75,180500,69.582504
"15",2007-01-24,84.5,85.129997,84.209999,84.57,213000,69.434708
"16",2007-01-25,84.650002,84.650002,83.730003,83.970001,189900,68.942093
"17",2007-01-26,84.150002,84.150002,82.980003,83.550003,241700,68.597244
"18",2007-01-29,83.550003,83.669998,83.190002,83.5,218500,68.556206
"19",2007-01-30,83.650002,84.019997,83.260002,83.800003,172700,68.802528
"20",2007-01-31,83.800003,85.620003,83.559998,85,241000,69.787758
"21",2007-02-01,84.25,86.029999,84.25,86.029999,293100,70.633392
"22",2007-02-02,86,86,82.75,84.529999,592500,69.401863
"23",2007-02-05,84.540001,85.379997,84.540001,85.300003,309100,70.034042
"24",2007-02-06,85.300003,85.730003,84.940002,85.699997,192200,70.362457
"25",2007-02-07,85.699997,87.970001,85.599998,87.660004,555700,71.971703
"26",2007-02-08,87.699997,88.510002,87.57,88.139999,225900,72.365776
"27",2007-02-09,88.25,88.559998,87.07,87.599998,276600,71.922432
"28",2007-02-12,87.800003,88.300003,87.75,88.260002,205000,72.464294
"29",2007-02-13,88.449997,88.839996,88.25,88.699997,177600,72.825554
"30",2007-02-14,88.699997,89.68,88.699997,89.400002,213100,73.400269
"31",2007-02-15,89.300003,89.709999,89.099998,89.620003,279100,73.58091
"32",2007-02-16,89.68,89.839996,89.400002,89.769997,309200,73.704071
"33",2007-02-20,89.800003,90.889999,89.400002,90.809998,189600,74.557961
"34",2007-02-21,90.699997,90.900002,89.860001,90.32,176900,74.155663
"35",2007-02-22,90.550003,91.019997,90.010002,90.980003,239300,74.697517
"36",2007-02-23,91,91,90.18,90.82,163700,74.566124
"37",2007-02-26,90.949997,90.949997,90.029999,90.519997,260000,74.319847
"38",2007-02-27,89.519997,89.889999,88.269997,88.400002,331600,72.579254
"39",2007-02-28,88.300003,88.550003,87.510002,88.279999,362500,72.480721
"40",2007-03-01,87.699997,89.910004,86.75,89.360001,472400,73.367439
"41",2007-03-02,89.150002,89.349998,88.25,88.449997,244100,72.620285
"42",2007-03-05,87.75,88.519997,86.25,86.290001,455400,70.846863
"43",2007-03-06,86.050003,87.980003,86.050003,87.459999,321700,72.016129
"44",2007-03-07,87.260002,87.699997,86.93,87.260002,265800,71.851433
"45",2007-03-08,87.599998,88.510002,87.589996,88.18,271900,72.608994
"46",2007-03-09,88.43,88.830002,88.389999,88.550003,163600,72.913651
"47",2007-03-12,88.540001,89.459999,88.099998,89.459999,328100,73.662971
"48",2007-03-13,89.25,89.260002,87.690002,87.779999,284400,72.279617
"49",2007-03-14,87.779999,88.379997,87.209999,88.379997,170500,72.773682
"50",2007-03-15,88.279999,89.339996,88.279999,89.160004,204600,73.415924
"51",2007-03-16,89.169998,89.349998,88.580002,88.870003,317800,73.177147
"52",2007-03-19,89.120003,90.620003,89.120003,90.589996,351100,74.59343
"53",2007-03-20,90.5,91.07,90.25,90.849998,361600,74.807526
"54",2007-03-21,90.849998,91.400002,90.07,91.199997,413300,75.095703
"55",2007-03-22,91.18,91.540001,90.730003,91.510002,240300,75.350952
"56",2007-03-23,91.68,91.690002,90.739998,91,191200,74.931038
"57",2007-03-26,90.849998,90.93,90.25,90.699997,261500,74.684029
"58",2007-03-27,90.349998,91.209999,89.720001,90.349998,245100,74.395836
"59",2007-03-28,90,90.160004,89.260002,89.690002,296400,73.852348
"60",2007-03-29,90.050003,90.580002,89.699997,90.43,261100,74.46167
"61",2007-03-30,90.68,91.720001,90.43,91.199997,535800,75.095703
"62",2007-04-02,91.300003,91.800003,91.07,91.559998,288700,75.392128
"63",2007-04-03,91.760002,92.400002,91.459999,91.709999,205700,75.515678
"64",2007-04-04,91.32,91.519997,90.5,91.199997,236700,75.095703
"65",2007-04-05,91.150002,91.160004,90.25,90.629997,195800,74.62635
"66",2007-04-09,90.580002,90.699997,90.110001,90.559998,160700,74.568741
"67",2007-04-10,90.620003,90.900002,90.43,90.449997,239600,74.478165
"68",2007-04-11,90.5,90.5,89.559998,89.690002,308500,73.852348
"69",2007-04-12,89.669998,89.839996,88.400002,89.730003,370800,73.885292
"70",2007-04-13,89.800003,90.760002,89.800003,90.550003,173400,74.560493
"71",2007-04-16,90.949997,91.269997,90.57,90.849998,233600,74.807526
"72",2007-04-17,90.839996,91.220001,90.480003,90.5,207200,74.51931
"73",2007-04-18,90.400002,90.529999,89.970001,90.230003,242200,74.297005
"74",2007-04-19,90.720001,91.099998,89.800003,90.519997,244800,74.535812
"75",2007-04-20,90.75,91.370003,90,90.300003,469300,74.354645
"76",2007-04-23,90.199997,90.970001,89.82,90.699997,262200,74.684029
"77",2007-04-24,90.849998,91.480003,90.519997,91.239998,224600,75.128647
"78",2007-04-25,91.489998,91.75,90.459999,91.059998,143600,74.980423
"79",2007-04-26,91,91.040001,90.629997,90.889999,163800,74.840446
"80",2007-04-27,90.75,90.940002,90.160004,90.82,228600,74.782799
"81",2007-04-30,90.970001,91.209999,90.209999,90.300003,232800,74.354645
"82",2007-05-01,90.379997,91.300003,90.379997,90.830002,218400,74.791054
"83",2007-05-02,90.730003,91.370003,90.449997,91.059998,396100,74.980423
"84",2007-05-03,90.900002,91.220001,90.190002,90.879997,225300,74.83223
"85",2007-05-04,91,96,91,95.099998,871600,78.30706
"86",2007-05-07,95,95.889999,94.550003,94.900002,275100,78.14238
"87",2007-05-08,94.650002,95.419998,93.830002,95,173600,78.224686
"88",2007-05-09,94.5,95.400002,94.309998,95.209999,221900,78.397621
"89",2007-05-10,94.849998,95.589996,94.559998,95.199997,193700,78.389374
"90",2007-05-11,95.300003,95.32,94.900002,95.050003,181900,78.265846
"91",2007-05-14,94.550003,95.230003,94.300003,94.959999,286100,78.191772
"92",2007-05-15,94.699997,95.260002,94.43,94.660004,220000,77.944725
"93",2007-05-16,94.910004,95.080002,94.599998,95.040001,209600,78.257637
"94",2007-05-17,94.790001,95.410004,94.510002,94.709999,244900,77.985901
"95",2007-05-18,94.839996,95.610001,94.760002,95.279999,321400,78.455284
"96",2007-05-21,95.040001,95.989998,94.650002,94.910004,389100,78.150597
"97",2007-05-22,94.769997,95.989998,94.769997,95.870003,416100,78.941086
"98",2007-05-23,95.870003,98.019997,95.809998,97.150002,325800,79.995041
"99",2007-05-24,97.309998,98.059998,96.989998,97.160004,381100,80.003304
"100",2007-05-25,97,98.260002,96.629997,98.019997,254600,80.711418
"101",2007-05-29,98.019997,99.290001,97.739998,99.290001,328500,81.966263
"102",2007-05-30,98.5,100.07,98.459999,100.07,554900,82.610138
"103",2007-05-31,100.199997,100.309998,99.660004,100.129997,439700,82.659653
"104",2007-06-01,100,100.879997,99.760002,100.879997,302200,83.278809
"105",2007-06-04,100.629997,102.040001,100.150002,102,302700,84.203392
"106",2007-06-05,101.75,102.440002,101.480003,102.150002,467200,84.327202
"107",2007-06-06,101.900002,102.160004,101,101.830002,327700,84.063034
"108",2007-06-07,101.300003,102.760002,101.300003,102,456300,84.203392
"109",2007-06-08,102,102.540001,101.5,102.309998,229200,84.459297
"110",2007-06-11,102.099998,103.470001,101.290001,103.389999,297800,85.350868
"111",2007-06-12,102.599998,103.160004,100.82,101.010002,699300,83.386124
"112",2007-06-13,101.099998,101.660004,99.18,100.400002,620700,82.882561
"113",2007-06-14,99.849998,101.57,99.849998,100.790001,344700,83.204491
"114",2007-06-15,101.129997,102.029999,100.169998,100.169998,389000,82.692673
"115",2007-06-18,99.489998,101.510002,99.32,101.339996,266600,83.658562
"116",2007-06-19,101.360001,102.5,100.879997,102.089996,278800,84.277672
"117",2007-06-20,101.220001,102.120003,98.769997,101.279999,434100,83.609024
"118",2007-06-21,101.449997,102.330002,100.510002,102,304400,84.203392
"119",2007-06-22,101.589996,101.589996,99.709999,99.709999,511700,82.31295
"120",2007-06-25,100.019997,101.25,99.559998,99.709999,272700,82.31295
"121",2007-06-26,99.959999,102.940002,99.910004,102.43,691100,84.558365
"122",2007-06-27,101.540001,104.620003,101.449997,104.620003,488800,86.366257
"123",2007-06-28,104.5,104.5,103.339996,103.639999,279900,85.557259
"124",2007-06-29,103.589996,103.849998,102.279999,102.980003,264300,85.012398
