"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,50.759998,52.700001,49.689999,51.049999,8206600,51.049999
"2",2007-01-04,51.650002,53.98,51.5,53.669998,7824100,53.669998
"3",2007-01-05,53.299999,53.630001,52.349998,53.07,5806900,53.07
"4",2007-01-08,53.200001,53.209999,52.009998,52.880001,2693500,52.880001
"5",2007-01-09,53.040001,53.709999,52.380001,52.700001,2146300,52.700001
"6",2007-01-10,52.619999,53.880001,52.299999,53.68,2422700,53.68
"7",2007-01-11,54.43,54.43,52.200001,52.470001,3762100,52.470001
"8",2007-01-12,52.349998,52.41,51.279999,51.759998,5586600,51.759998
"9",2007-01-16,51.91,52.27,50.849998,50.970001,3527700,50.970001
"10",2007-01-17,50.48,50.68,49.150002,49.48,8710900,49.48
"11",2007-01-18,50.490002,50.799999,50.040001,50.099998,6766000,50.099998
"12",2007-01-19,50.43,51.400002,49.810001,50.34,4767900,50.34
"13",2007-01-22,50.490002,50.5,48.73,49.470001,4975000,49.470001
"14",2007-01-23,49.290001,50.509998,48.669998,49.759998,2850800,49.759998
"15",2007-01-24,49.91,50.779999,49.799999,50.34,3111700,50.34
"16",2007-01-25,49.52,50.07,48.630001,48.860001,4127600,48.860001
"17",2007-01-26,49.150002,49.279999,47.959999,48.220001,5012700,48.220001
"18",2007-01-29,48.299999,49.580002,48.209999,48.939999,3231000,48.939999
"19",2007-01-30,49.650002,49.779999,48.830002,49.310001,3284100,49.310001
"20",2007-01-31,49.400002,50.169998,48.689999,50,3367300,50
"21",2007-02-01,50.82,51.110001,50.25,50.540001,7072500,50.540001
"22",2007-02-02,54.060001,54.389999,50.849998,51.130001,14152500,51.130001
"23",2007-02-05,50.41,50.540001,49.610001,50.040001,4793300,50.040001
"24",2007-02-06,49.959999,50.209999,49.139999,50.110001,3811700,50.110001
"25",2007-02-07,50.25,50.810001,49.5,50.110001,3115700,50.110001
"26",2007-02-08,50.25,50.59,49.700001,50.029999,2365100,50.029999
"27",2007-02-09,50.25,50.25,49.459999,49.48,2821600,49.48
"28",2007-02-12,49.73,50.209999,49.369999,49.709999,2216900,49.709999
"29",2007-02-13,49.540001,50,49.330002,49.919998,1813500,49.919998
"30",2007-02-14,50,51.150002,49.700001,50.48,3212800,50.48
"31",2007-02-15,50.27,50.400002,49.700001,50.110001,2066100,50.110001
"32",2007-02-16,49.880001,50.48,49.849998,50.009998,2458900,50.009998
"33",2007-02-20,51.209999,52.279999,50.57,51.799999,5224600,51.799999
"34",2007-02-21,52.799999,52.900002,51.400002,52.549999,4751900,52.549999
"35",2007-02-22,52.84,53.169998,52.43,53.040001,3268500,53.040001
"36",2007-02-23,52.880001,53.349998,52.32,53.189999,3026500,53.189999
"37",2007-02-26,53.490002,53.799999,51.650002,51.959999,3811300,51.959999
"38",2007-02-27,51.299999,53.139999,50.200001,50.639999,7169500,50.639999
"39",2007-02-28,50.310001,51.32,50.099998,50.419998,3734000,50.419998
"40",2007-03-01,49.75,50.639999,48.419998,49.810001,3823600,49.810001
"41",2007-03-02,49.279999,49.959999,49.09,49.099998,3237100,49.099998
"42",2007-03-05,48.82,49.68,48.5,48.950001,3181700,48.950001
"43",2007-03-06,49.27,49.900002,48.700001,49.639999,3715900,49.639999
"44",2007-03-07,49.5,50.419998,49.099998,50.18,4567500,50.18
"45",2007-03-08,50.5,51.259998,49.950001,50.32,3492100,50.32
"46",2007-03-09,50.900002,51.23,50.240002,50.830002,3054800,50.830002
"47",2007-03-12,50.790001,51.540001,50.700001,50.990002,1696300,50.990002
"48",2007-03-13,50.43,51.240002,49.549999,49.549999,2973600,49.549999
"49",2007-03-14,49.5,50.240002,49.029999,50.23,2161100,50.23
"50",2007-03-15,50.41,50.57,49.880001,49.990002,2240300,49.990002
"51",2007-03-16,49.720001,49.810001,48.740002,48.919998,4680800,48.919998
"52",2007-03-19,48.990002,49.34,48.650002,48.98,3046100,48.98
"53",2007-03-20,48.950001,49.470001,48.77,49.330002,1800300,49.330002
"54",2007-03-21,49.25,50.860001,49.009998,50.66,3318700,50.66
"55",2007-03-22,50.990002,50.990002,49.66,50.259998,3288500,50.259998
"56",2007-03-23,50.200001,50.830002,50.130001,50.130001,1552200,50.130001
"57",2007-03-26,49.970001,50.400002,49.299999,50.34,2430300,50.34
"58",2007-03-27,51.009998,52.240002,50.610001,51.310001,4300400,51.310001
"59",2007-03-28,50.810001,52.029999,50.810001,51.790001,3840800,51.790001
"60",2007-03-29,52.189999,52.200001,50.32,51.290001,3632200,51.290001
"61",2007-03-30,51.299999,51.299999,50.119999,50.360001,2516600,50.360001
"62",2007-04-02,50.580002,51.380001,50.310001,51.32,2553500,51.32
"63",2007-04-03,51.450001,52.18,51.259998,51.43,2403600,51.43
