"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2013-09-20,40.299999,44.889999,35.279999,36,16876000,36
"2",2013-09-23,35.25,38.48,35.25,37.450001,2404100,37.450001
"3",2013-09-24,37.549999,38.400002,36.240002,37.009998,1219500,37.009998
"4",2013-09-25,37.5,40,37.25,38.799999,994700,38.799999
"5",2013-09-26,39.450001,41.779999,39,41.630001,1097200,41.630001
"6",2013-09-27,41.68,43,40.02,41.110001,1273700,41.110001
"7",2013-09-30,41.080002,42.720001,40.18,41.529999,925900,41.529999
"8",2013-10-01,42.330002,42.900002,39.57,40.380001,616600,40.380001
"9",2013-10-02,39.509998,40.900002,39.5,40.700001,321600,40.700001
"10",2013-10-03,41.529999,41.529999,40,40.470001,209800,40.470001
"11",2013-10-04,41,43.84,40.450001,42.689999,952400,42.689999
"12",2013-10-07,43.93,43.93,41.59,42.66,477000,42.66
"13",2013-10-08,42.5,42.650002,39.68,39.889999,661200,39.889999
"14",2013-10-09,40.099998,40.75,38.610001,38.810001,537900,38.810001
"15",2013-10-10,40.400002,41.889999,40,41.490002,425900,41.490002
"16",2013-10-11,42.389999,42.5,40.900002,42.07,374100,42.07
"17",2013-10-14,42.07,42.490002,41.25,41.549999,183300,41.549999
"18",2013-10-15,41.990002,42,39.869999,40.77,762200,40.77
"19",2013-10-16,40.689999,41.25,39.209999,39.869999,477800,39.869999
"20",2013-10-17,40.009998,42.25,40.009998,42.200001,348400,42.200001
"21",2013-10-18,42.599998,44.549999,41.049999,42.369999,682300,42.369999
"22",2013-10-21,42.189999,42.25,40.75,41,295800,41
"23",2013-10-22,40.59,41.110001,39.759998,39.849998,499300,39.849998
"24",2013-10-23,39.849998,39.990002,38.400002,39.75,276300,39.75
"25",2013-10-24,40.099998,42.700001,39.810001,42.509998,429700,42.509998
"26",2013-10-25,43.080002,43.139999,40.5,41.220001,239300,41.220001
"27",2013-10-28,41.150002,41.150002,39.52,39.990002,216800,39.990002
"28",2013-10-29,40,40.82,39.959999,40.220001,220000,40.220001
"29",2013-10-30,40,40,38.169998,38.689999,300200,38.689999
"30",2013-10-31,38.689999,38.700001,36.150002,37.900002,770000,37.900002
"31",2013-11-01,38.369999,39,37.209999,38.43,394400,38.43
"32",2013-11-04,38.150002,38.380001,37.470001,37.830002,316000,37.830002
"33",2013-11-05,38.290001,38.290001,36.32,37.360001,439300,37.360001
"34",2013-11-06,38.18,39.970001,37.279999,39.889999,697700,39.889999
"35",2013-11-07,39.799999,39.91,37.52,38.029999,1175100,38.029999
"36",2013-11-08,41.5,41.5,35.5,37.73,2358900,37.73
"37",2013-11-11,37.689999,38.049999,36.75,37.330002,739700,37.330002
"38",2013-11-12,37.720001,37.77,36.470001,36.73,401300,36.73
"39",2013-11-13,37.290001,38.82,36.68,38.66,291700,38.66
"40",2013-11-14,39.080002,39.080002,37.599998,38.669998,210600,38.669998
"41",2013-11-15,39.169998,39.25,38.279999,38.860001,136500,38.860001
"42",2013-11-18,39,39,36.970001,37.27,275200,37.27
"43",2013-11-19,37.189999,37.5,35.93,36.009998,343000,36.009998
"44",2013-11-20,36.200001,37,33.299999,33.599998,531400,33.599998
"45",2013-11-21,33.610001,35.110001,33.599998,34.220001,371800,34.220001
"46",2013-11-22,34.41,35,34.099998,34.900002,272700,34.900002
"47",2013-11-25,35.27,35.27,33.599998,33.709999,418000,33.709999
"48",2013-11-26,34.990002,37.799999,33.900002,37.369999,1184600,37.369999
"49",2013-11-27,37.700001,38.740002,36.009998,38.240002,490000,38.240002
"50",2013-11-29,38.740002,38.950001,38.169998,38.369999,108000,38.369999
"51",2013-12-02,37.900002,38.400002,36.919998,37.09,240800,37.09
"52",2013-12-03,36.630001,37.25,36.57,37.009998,212500,37.009998
"53",2013-12-04,36.630001,37.139999,36.540001,36.709999,289400,36.709999
"54",2013-12-05,36.52,38.27,36.509998,36.75,320900,36.75
"55",2013-12-06,37.330002,37.330002,36.540001,36.59,194800,36.59
"56",2013-12-09,37.259998,37.259998,36.150002,36.93,306700,36.93
"57",2013-12-10,36.759998,37.709999,36.610001,37.599998,319600,37.599998
"58",2013-12-11,36.830002,38.950001,36.830002,37.759998,460900,37.759998
"59",2013-12-12,37.25,37.93,36.610001,37.459999,319800,37.459999
"60",2013-12-13,38.209999,39.419998,37.849998,38.330002,454200,38.330002
"61",2013-12-16,38.5,39.25,37.490002,38.939999,462100,38.939999
"62",2013-12-17,38.299999,39.099998,38.099998,38.869999,474200,38.869999
"63",2013-12-18,38.970001,39.490002,38.25,39.360001,511200,39.360001
"64",2013-12-19,39.299999,40.490002,38.779999,40.18,562500,40.18
"65",2013-12-20,39.84,40.16,38.790001,39.560001,2090600,39.560001
"66",2013-12-23,39.650002,40.43,39.34,39.790001,248200,39.790001
"67",2013-12-24,39.790001,40.349998,39.639999,40.099998,83400,40.099998
"68",2013-12-26,40.43,43.849998,40.23,43.43,1078800,43.43
"69",2013-12-27,43,43.490002,42.299999,43.130001,477500,43.130001
"70",2013-12-30,43.23,44.169998,42.610001,43.689999,376300,43.689999
"71",2013-12-31,44,44.200001,43.09,43.610001,282500,43.610001
"72",2014-01-02,43.02,43.869999,40.41,41.130001,1062200,41.130001
"73",2014-01-03,50.689999,57.27,49.599998,57.02,9733700,57.02
"74",2014-01-06,57.389999,59.43,55.009998,58.509998,3545700,58.509998
"75",2014-01-07,58.889999,61.630001,57.77,60.5,1914800,60.5
"76",2014-01-08,60.470001,60.5,56.59,56.959999,1841700,56.959999
"77",2014-01-09,57.77,58.389999,57.389999,57.900002,840800,57.900002
"78",2014-01-10,58.650002,58.900002,55.700001,57.799999,940400,57.799999
"79",2014-01-13,57.900002,58.450001,55.310001,55.639999,917400,55.639999
"80",2014-01-14,56.450001,59.369999,55.139999,58.869999,1515200,58.869999
"81",2014-01-15,60.27,66.169998,59.529999,65.449997,2955200,65.449997
"82",2014-01-16,68.550003,71.529999,66.269997,70.989998,2510300,70.989998
"83",2014-01-17,71.290001,75.239998,70.879997,73.57,3203500,73.57
"84",2014-01-21,71.82,72.480003,67.629997,69.440002,2502300,69.440002
"85",2014-01-22,71.339996,74.400002,69.510002,73.730003,1358100,73.730003
"86",2014-01-23,73.949997,74.199997,71.580002,73.169998,815600,73.169998
"87",2014-01-24,71.029999,71.300003,66.389999,67.300003,1964200,67.300003
"88",2014-01-27,68.080002,70,65.879997,68.279999,1024300,68.279999
"89",2014-01-28,69,71.5,67.709999,69.839996,1120300,69.839996
"90",2014-01-29,68.68,71,67.669998,68.309998,807400,68.309998
"91",2014-01-30,70,71.330002,69.050003,69.339996,610800,69.339996
"92",2014-01-31,68.519997,76.940002,68.25,72.989998,1899900,72.989998
"93",2014-02-03,71.43,72.739998,65.019997,66.519997,2369200,66.519997
"94",2014-02-04,67.410004,68.379997,66.309998,66.839996,1060200,66.839996
"95",2014-02-05,68.199997,68.199997,64.309998,66.110001,1004500,66.110001
"96",2014-02-06,65.900002,67.120003,65.279999,66.269997,527700,66.269997
"97",2014-02-07,67,70.970001,66.589996,70.730003,1247800,70.730003
"98",2014-02-10,72.849998,78.699997,71.5,76.849998,2487900,76.849998
"99",2014-02-11,79,79.919998,75.370003,78.010002,2769600,78.010002
"100",2014-02-12,74,75.739998,68.709999,69.080002,4450000,69.080002
"101",2014-02-13,67.5,73.660004,66.660004,72.010002,2393300,72.010002
"102",2014-02-14,73.900002,75.889999,72.029999,74.349998,1636200,74.349998
"103",2014-02-18,75.290001,75.300003,71.300003,71.900002,1414100,71.900002
"104",2014-02-19,71.879997,73.699997,70.809998,71.080002,916400,71.080002
"105",2014-02-20,71.900002,73.5,70.75,72.93,799200,72.93
"106",2014-02-21,73.82,73.879997,72.089996,72.68,594600,72.68
"107",2014-02-24,72.459999,77.980003,72.459999,76.309998,1555300,76.309998
"108",2014-02-25,76.800003,82.300003,76.400002,80,2072900,80
"109",2014-02-26,81.75,86.18,80.989998,84.129997,2818900,84.129997
"110",2014-02-27,84.989998,87.610001,84,87.029999,2088800,87.029999
"111",2014-02-28,87.519997,88,84.209999,85.639999,2620900,85.639999
"112",2014-03-03,83.059998,85.540001,81.639999,84.519997,2134300,84.519997
"113",2014-03-04,86.389999,88.489998,85.959999,88.190002,1433600,88.190002
"114",2014-03-05,89.800003,97.349998,89.75,95.629997,3926300,95.629997
"115",2014-03-06,96.169998,96.209999,88.889999,89.550003,4409300,89.550003
"116",2014-03-07,82.919998,84.400002,80.410004,81.040001,17896000,81.040001
"117",2014-03-10,81.550003,83,78.870003,80.300003,4076400,80.300003
"118",2014-03-11,81.510002,82,77.410004,77.620003,3085400,77.620003
"119",2014-03-12,78.389999,79.449997,76.199997,77.660004,3451800,77.660004
"120",2014-03-13,79,80.889999,77.050003,79.93,3965800,79.93
"121",2014-03-14,79.849998,80.779999,75.519997,75.870003,3218900,75.870003
"122",2014-03-17,77.379997,78.160004,75.18,76.050003,2150800,76.050003
"123",2014-03-18,76.57,78.739998,75.07,77.75,1953600,77.75
"124",2014-03-19,77,77.25,71.489998,71.5,8029000,71.5
"125",2014-03-20,71.449997,71.540001,67.089996,67.199997,8636400,67.199997
"126",2014-03-21,69,70.18,67.730003,69.660004,6445300,69.660004
"127",2014-03-24,68,69,63.150002,63.5,6382100,63.5
"128",2014-03-25,64.379997,65.57,62,62.720001,4836300,62.720001
"129",2014-03-26,63.889999,64.980003,60.25,61.66,4448200,61.66
"130",2014-03-27,62.450001,63.900002,60.25,62.93,2985600,62.93
"131",2014-03-28,63.639999,66.410004,62.509998,63.439999,4122000,63.439999
"132",2014-03-31,64.019997,64.5,60.799999,61.57,2866400,61.57
"133",2014-04-01,62.32,65.099998,62,64.370003,3044000,64.370003
"134",2014-04-02,65,65.650002,60.150002,61.490002,3220200,61.490002
"135",2014-04-03,61.630001,62,54.650002,54.860001,7593700,54.860001
"136",2014-04-04,55.709999,56.200001,49.25,50.360001,10555300,50.360001
"137",2014-04-07,50.060001,52.450001,48.130001,50.349998,7723300,50.349998
"138",2014-04-08,51.950001,53.900002,50.799999,52.349998,6564200,52.349998
