"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2015-03-31,20,20,20,20,0,20
"2",2015-04-01,26.15,26.84,25.49,26.15,23144200,26.15
"3",2015-04-02,26.719999,27.27,25.83,26.5,5166100,26.5
"4",2015-04-06,26.719999,26.799999,25.35,25.799999,2090200,25.799999
"5",2015-04-07,25.84,25.85,25.16,25.24,939400,25.24
"6",2015-04-08,25.35,25.48,25,25.15,921500,25.15
"7",2015-04-09,25.1,26.469999,25.049999,26.32,751600,26.32
"8",2015-04-10,26.34,26.799999,25,25.290001,966300,25.290001
"9",2015-04-13,25.24,25.59,25.120001,25.370001,347100,25.370001
"10",2015-04-14,25.25,25.9,25.25,25.799999,272200,25.799999
"11",2015-04-15,25.879999,26.049999,25.030001,25.120001,355300,25.120001
"12",2015-04-16,25.040001,25.25,24.549999,24.780001,1111000,24.780001
"13",2015-04-17,24.549999,25.6,24.5,25.16,493400,25.16
"14",2015-04-20,25.190001,25.49,25.040001,25.139999,322500,25.139999
"15",2015-04-21,25.18,25.24,24.639999,24.780001,533200,24.780001
"16",2015-04-22,24.76,24.879999,24.73,24.77,190000,24.77
"17",2015-04-23,24.75,25.08,24.75,25.049999,225800,25.049999
"18",2015-04-24,24.9,25.66,24.9,25.629999,370100,25.629999
"19",2015-04-27,25.75,26.4,25.73,26.16,715600,26.16
"20",2015-04-28,26.219999,26.219999,24.870001,25.15,474600,25.15
"21",2015-04-29,24.860001,25.25,24.790001,24.879999,251300,24.879999
"22",2015-04-30,24.9,25.42,24.9,25.07,149300,25.07
"23",2015-05-01,25.190001,26.049999,24.91,25.959999,483200,25.959999
"24",2015-05-04,26,26.25,25.681,25.98,207400,25.98
"25",2015-05-05,25.959999,26.1,25.290001,25.42,185100,25.42
"26",2015-05-06,25.450001,25.549999,24.15,24.540001,718200,24.540001
"27",2015-05-07,24.690001,25.49,24.525,24.809999,363300,24.809999
"28",2015-05-08,25.280001,25.4,24.530001,24.879999,525500,24.879999
"29",2015-05-11,26.25,26.290001,25.57,25.68,1211100,25.68
"30",2015-05-12,26.1,27.73,25.75,26.77,2299800,26.77
"31",2015-05-13,26.690001,27.5,26.4,26.5,1450000,26.5
"32",2015-05-14,26.639999,27.1,26.120001,26.23,445500,26.23
"33",2015-05-15,26.23,26.889999,26.049999,26.51,423500,26.51
"34",2015-05-18,26.5,26.99,26.219999,26.23,393900,26.23
