"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,18.940001,19.26,18.610001,18.85,24615200,15.173553
"2",2007-01-04,18.68,19.6,18.620001,19.540001,27623900,15.728985
"3",2007-01-05,19.309999,19.639999,18.91,19.040001,21106700,15.326497
"4",2007-01-08,19.049999,19.15,18.549999,18.639999,25627400,15.004515
"5",2007-01-09,18.93,19.1,18.32,18.459999,38826900,14.859616
"6",2007-01-10,18.5,18.99,18.120001,18.959999,29761900,15.2621
"7",2007-01-11,18.32,19.540001,18.32,19.42,28846700,15.632386
"8",2007-01-12,19.48,20.08,19.35,20.030001,29755000,16.123407
"9",2007-01-16,19.959999,20.200001,19.799999,20.049999,16914000,16.139513
"10",2007-01-17,19.91,19.91,19.26,19.450001,26332500,15.656526
"11",2007-01-18,19.299999,19.59,19.25,19.35,20501400,15.576033
"12",2007-01-19,19.290001,19.530001,19.25,19.33,19869800,15.55994
"13",2007-01-22,19.42,19.450001,18.809999,19,15984900,15.294306
"14",2007-01-23,18.950001,19,18.6,18.84,14801900,15.165508
"15",2007-01-24,20.209999,21.09,20.200001,20.9,65890000,16.823732
"16",2007-01-25,21.299999,21.73,20.889999,21.16,27326800,17.033018
"17",2007-01-26,21.280001,21.299999,20.950001,21.200001,12167100,17.065216
"18",2007-01-29,21.15,21.280001,20.790001,20.92,11096300,16.839828
"19",2007-01-30,20.76,21.01,20.639999,20.68,13292800,16.646635
"20",2007-01-31,20.74,20.969999,20.299999,20.84,13931900,16.775433
"21",2007-02-01,21,21.139999,20.700001,20.860001,10674700,16.791534
"22",2007-02-02,20.860001,21.23,20.85,21.09,14004900,16.976671
"23",2007-02-05,21.190001,21.58,21.17,21.360001,15186900,17.194014
"24",2007-02-06,21.5,22.41,21.450001,22.370001,36924000,18.007029
"25",2007-02-07,22.52,22.799999,22.26,22.389999,24203000,18.023121
"26",2007-02-08,22.280001,22.68,22.25,22.49,16552200,18.103626
"27",2007-02-09,22.15,22.5,21.5,21.59,23145900,17.37915
"28",2007-02-12,21.610001,21.85,21.43,21.6,12198400,17.387207
"29",2007-02-13,21.809999,22,21.719999,21.92,12171400,17.644793
"30",2007-02-14,21.879999,22.43,21.76,22.24,15481400,17.90238
"31",2007-02-15,22.23,22.41,21.959999,22.049999,12190100,17.749435
"32",2007-02-16,21.93,22,21.540001,21.719999,15484000,17.483803
"33",2007-02-20,21.559999,22,21.51,21.73,10595800,17.49185
"34",2007-02-21,21.67,21.959999,21.450001,21.9,10413500,17.628695
