"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,55.869999,56.66,54.07,55.669998,3995000,34.621334
"2",2007-01-04,55.43,55.939999,54.400002,55.060001,2170900,34.241974
"3",2007-01-05,54.650002,55,53.75,54.880001,2645500,34.130039
"4",2007-01-08,54.529999,54.639999,53.07,54,2633900,33.582764
"5",2007-01-09,52,52.950001,50.400002,51.93,5974700,32.295422
"6",2007-01-10,51.09,52.599998,51,52.299999,2578100,32.525524
"7",2007-01-11,52.880001,52.900002,51.82,52.040001,2350000,32.363834
"8",2007-01-12,51.849998,52.59,51.5,52.299999,1515700,32.525524
"9",2007-01-16,52.099998,52.200001,51.439999,52.110001,2336600,32.407368
"10",2007-01-17,51.619999,52.599998,51.610001,52.240002,2346400,32.488209
"11",2007-01-18,51.869999,51.950001,49.650002,50.130001,2702700,31.175993
"12",2007-01-19,49.869999,51.099998,49.34,49.549999,2794800,30.815296
"13",2007-01-22,49.52,49.540001,48.459999,49.290001,2417800,30.653591
"14",2007-01-23,49.360001,50.490002,49.360001,50.060001,1602000,31.132463
"15",2007-01-24,50.419998,50.580002,50,50.43,1321500,31.362558
"16",2007-01-25,50.25,50.299999,49.27,49.68,1393500,30.896135
"17",2007-01-26,49.560001,49.98,48.560001,49.490002,2112200,30.777975
"18",2007-01-29,49.490002,50.32,48.810001,49.91,1588700,31.039177
"19",2007-01-30,49.970001,49.970001,48.799999,49.189999,1433400,30.591402
"20",2007-01-31,49.849998,50.490002,49.310001,50.220001,2036600,31.23197
"21",2007-02-01,50.380001,51.049999,49.599998,49.700001,1533900,30.908583
"22",2007-02-02,49.900002,51.470001,49.860001,51.150002,1919500,31.810343
"23",2007-02-05,51.150002,51.299999,50.419998,50.91,1212600,31.661079
"24",2007-02-06,51,51.689999,50.330002,50.950001,1099400,31.685957
"25",2007-02-07,51.099998,51.75,50.77,51.700001,1806800,32.152378
"26",2007-02-08,51.540001,53.16,51.540001,53.150002,2081600,33.054138
"27",2007-02-09,53.169998,53.27,51.98,52.259998,2040100,32.500645
"28",2007-02-12,51.52,52.470001,51.130001,51.84,2634500,32.239441
"29",2007-02-13,52.099998,52.91,51.880001,52.709999,2598700,32.780502
"30",2007-02-14,58.25,59.299999,55.110001,57,19819700,35.448475
"31",2007-02-15,56.900002,58.5,56.27,56.5,4223300,35.13752
"32",2007-02-16,56.400002,56.470001,54.759998,55.77,3458300,34.683525
"33",2007-02-20,56.82,58.810001,56.43,57.66,5140400,35.858925
"34",2007-02-21,57.959999,58.400002,56.790001,57.18,2324100,35.56041
"35",2007-02-22,57.48,57.93,56.029999,56.689999,2303900,35.255665
"36",2007-02-23,56.990002,57.799999,56.860001,57.490002,1665100,35.753193
"37",2007-02-26,58.240002,59.09,56.75,57.189999,2611000,35.566631
