"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2014-04-04,2.79,2.8,2.66,2.8,1228600,2.8
"2",2014-04-07,2.83,2.83,2.58,2.64,2259200,2.64
"3",2014-04-08,NA,NA,NA,NA,NA,NA
"4",2014-04-09,NA,NA,NA,NA,NA,NA
"5",2014-04-10,NA,NA,NA,NA,NA,NA
"6",2014-04-11,2.66,2.66,2.52,2.56,3163300,2.56
"7",2014-04-14,2.55,2.58,2.43,2.58,1036800,2.58
"8",2014-04-15,2.59,2.59,2.35,2.43,3065200,2.43
"9",2014-04-16,2.43,2.55,2.33,2.54,1532300,2.54
"10",2014-04-17,2.54,2.63,2.49,2.56,1174000,2.56
"11",2014-04-21,2.68,2.72,2.56,2.67,3766400,2.67
"12",2014-04-22,2.75,2.75,2.66,2.75,2077000,2.75
"13",2014-04-23,2.78,2.78,2.71,2.72,1165900,2.72
"14",2014-04-24,2.75,2.75,2.65,2.7,652500,2.7
"15",2014-04-25,2.68,2.69,2.55,2.6,1209800,2.6
"16",2014-04-28,2.63,2.66,2.58,2.62,1336300,2.62
"17",2014-04-29,2.65,2.65,2.6,2.64,839400,2.64
"18",2014-04-30,2.57,2.65,2.57,2.63,677100,2.63
"19",2014-05-01,2.59,2.69,2.59,2.68,1579200,2.68
"20",2014-05-02,2.7,2.85,2.68,2.83,4364300,2.83
"21",2014-05-05,2.83,2.86,2.7,2.85,2022600,2.85
"22",2014-05-06,2.85,2.99,2.83,2.94,3861500,2.94
"23",2014-05-07,3,3.04,2.89,2.93,3199700,2.93
"24",2014-05-08,2.85,3.12,2.85,3.04,10780900,3.04
"25",2014-05-09,3.05,3.18,3,3.17,6182900,3.17
"26",2014-05-12,3.23,3.23,3.17,3.19,2695000,3.19
"27",2014-05-13,3.24,3.24,3.12,3.12,1596000,3.12
"28",2014-05-14,3.15,3.17,3.07,3.15,1829300,3.15
"29",2014-05-15,3.12,3.15,3,3.09,2189200,3.09
"30",2014-05-16,3.08,3.16,3.07,3.16,1850100,3.16
"31",2014-05-19,3.14,3.25,3.13,3.25,2943500,3.25
"32",2014-05-20,3.24,3.25,3.15,3.19,1801500,3.19
"33",2014-05-21,3.19,3.23,3.16,3.21,1806800,3.21
"34",2014-05-22,3.2,3.3,3.1,3.21,2689000,3.21
"35",2014-05-23,3.24,3.24,3.14,3.18,1962300,3.18
"36",2014-05-27,3.2,3.23,3.18,3.21,2173000,3.21
"37",2014-05-28,3.2,3.25,3.19,3.24,2037400,3.24
"38",2014-05-29,3.2,3.4,3.17,3.33,6682800,3.33
"39",2014-05-30,3.39,3.5,3.35,3.46,7891900,3.46
"40",2014-06-02,3.5,3.7,3.46,3.52,5860400,3.52
"41",2014-06-03,3.55,3.55,3.3,3.48,4712800,3.48
"42",2014-06-04,3.49,3.62,3.46,3.61,5969200,3.61
"43",2014-06-05,3.67,3.78,3.55,3.78,5201600,3.78
"44",2014-06-06,3.78,3.85,3.75,3.79,3870400,3.79
"45",2014-06-09,3.87,3.89,3.71,3.86,6047200,3.86
"46",2014-06-10,3.9,4.03,3.84,3.98,7723300,3.98
"47",2014-06-11,3.98,4.1,3.92,4.1,6434700,4.1
"48",2014-06-12,4.15,4.35,4.05,4.24,10714000,4.24
"49",2014-06-13,4.36,4.42,4.01,4.21,7912900,4.21
"50",2014-06-16,4.18,4.25,4.01,4.1,6586000,4.1
"51",2014-06-17,4.04,4.17,3.73,4.1,8976400,4.1
"52",2014-06-18,3.99,4.1,3.9,4.05,4155600,4.05
"53",2014-06-19,3.97,4.01,3.82,3.97,7325100,3.97
"54",2014-06-20,3.84,4.12,3.8,4.09,26676600,4.09
"55",2014-06-23,4.25,4.25,4.12,4.2,5792000,4.2
"56",2014-06-24,4.21,4.22,4.13,4.14,3021900,4.14
"57",2014-06-25,4.14,4.21,4.09,4.2,3507900,4.2
"58",2014-06-26,4.25,4.29,4.17,4.28,2849700,4.28
"59",2014-06-27,4.25,4.35,4.2,4.2,26846500,4.2
"60",2014-06-30,4.23,4.27,4.15,4.25,3112800,4.25
"61",2014-07-01,4.24,4.25,4.12,4.2,3503100,4.2
"62",2014-07-02,4.45,4.47,4.28,4.38,10234400,4.38
"63",2014-07-03,4.45,4.5,4.42,4.46,4627600,4.46
"64",2014-07-07,4.5,4.53,4.28,4.43,5048700,4.43
"65",2014-07-08,4.39,4.4,4.25,4.32,3501600,4.32
"66",2014-07-09,4.34,4.45,4.32,4.38,3222800,4.38
"67",2014-07-10,4.27,4.35,4.15,4.18,4830500,4.18
"68",2014-07-11,4.2,4.32,4.19,4.32,2151500,4.32
"69",2014-07-14,4.35,4.36,4.22,4.26,3278300,4.26
"70",2014-07-15,4.26,4.3,4.12,4.15,3300300,4.15
"71",2014-07-16,4.14,4.17,3.95,4.06,5114300,4.06
"72",2014-07-17,4,4.08,3.91,3.94,3137900,3.94
"73",2014-07-18,3.91,4.11,3.85,4.1,1960400,4.1
"74",2014-07-21,4.07,4.09,3.98,4.06,1675600,4.06
"75",2014-07-22,4.06,4.11,4.02,4.03,1045300,4.03
"76",2014-07-23,4.02,4.08,3.98,4.04,1209600,4.04
"77",2014-07-24,4.02,4.11,3.98,4.1,2804900,4.1
"78",2014-07-25,4.05,4.16,4.01,4.16,2608600,4.16
"79",2014-07-28,4.16,4.2,3.98,3.99,3437600,3.99
"80",2014-07-29,3.98,4.05,3.65,4.04,11327800,4.04
"81",2014-07-30,3.95,4.14,3.94,4.08,3493900,4.08
"82",2014-07-31,4.02,4.08,3.86,3.96,3476900,3.96
"83",2014-08-01,3.95,4.05,3.85,3.9,3208600,3.9
"84",2014-08-04,3.9,4.04,3.9,3.94,2409100,3.94
"85",2014-08-05,3.93,3.96,3.72,3.77,4772400,3.77
"86",2014-08-06,3.74,3.85,3.7,3.76,3053200,3.76
"87",2014-08-07,3.75,3.8,3.7,3.72,2362900,3.72
"88",2014-08-08,3.71,3.75,3.66,3.69,2153000,3.69
"89",2014-08-11,3.73,3.88,3.73,3.86,2299700,3.86
"90",2014-08-12,3.9,3.93,3.57,3.7,4980100,3.7
"91",2014-08-13,3.68,3.77,3.68,3.77,1573700,3.77
"92",2014-08-14,3.78,4.1,3.75,4,6583900,4
"93",2014-08-15,4.01,4.05,3.95,3.99,2659000,3.99
"94",2014-08-18,4.03,4.14,4.01,4.14,3948700,4.14
"95",2014-08-19,4.14,4.2,4.1,4.14,3282300,4.14
"96",2014-08-20,4.08,4.18,3.99,4.02,2551200,4.02
"97",2014-08-21,4.04,4.05,3.92,4.02,2208700,4.02
"98",2014-08-22,4.01,4.06,3.95,4.04,1951500,4.04
"99",2014-08-25,4.05,4.1,3.98,4,2059400,4
"100",2014-08-26,3.98,4.01,3.95,3.98,1770900,3.98
"101",2014-08-27,3.98,4.03,3.9,3.99,1482700,3.99
"102",2014-08-28,3.95,4,3.94,3.96,1300000,3.96
"103",2014-08-29,3.98,4,3.95,3.98,1376000,3.98
"104",2014-09-02,4,4.01,3.91,3.92,1982000,3.92
"105",2014-09-03,3.94,3.95,3.85,3.89,1882200,3.89
"106",2014-09-04,3.92,4,3.79,3.8,2582200,3.8
"107",2014-09-05,3.8,3.88,3.73,3.81,2362200,3.81
"108",2014-09-08,3.83,3.86,3.75,3.79,2824300,3.79
"109",2014-09-09,3.76,3.79,3.67,3.76,4822900,3.76
"110",2014-09-10,3.76,3.78,3.73,3.75,4101600,3.75
"111",2014-09-11,3.73,3.87,3.73,3.83,3763100,3.83
"112",2014-09-12,3.82,3.89,3.78,3.85,3250600,3.85
