"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2014-10-09,32.950001,32.990002,29.07,30.1,8259700,30.1
"2",2014-10-10,30,30.25,28,29.049999,1619600,29.049999
"3",2014-10-13,29.1,29.23,25.790001,27.25,423100,27.25
"4",2014-10-14,27.26,29.85,26.950001,29.84,228800,29.84
"5",2014-10-15,29.41,29.6,27.120001,27.5,273300,27.5
"6",2014-10-16,26.959999,30.719999,26.559999,30.17,331600,30.17
"7",2014-10-17,31,31.23,30.013,30.66,103200,30.66
"8",2014-10-20,30.969999,31.200001,30.313,31.200001,85100,31.200001
"9",2014-10-21,31.299999,31.299999,29.610001,30.200001,170800,30.200001
"10",2014-10-22,30.5,30.57,29.969999,30.02,84700,30.02
"11",2014-10-23,30,32.290001,30,31.700001,138400,31.700001
"12",2014-10-24,31.65,33.419998,31.42,32.110001,189400,32.110001
"13",2014-10-27,32.25,33.5,32.119999,33.060001,183800,33.060001
"14",2014-10-28,33.5,34.5,32.07,33.849998,115400,33.849998
"15",2014-10-29,34,34.587002,33.312,34.32,97200,34.32
"16",2014-10-30,34.599998,34.919998,33.25,34.450001,159300,34.450001
"17",2014-10-31,34.91,36,34.080002,35.630001,168800,35.630001
"18",2014-11-03,36.130001,36.130001,34.049999,34.939999,259600,34.939999
"19",2014-11-04,35.25,36.59,35.25,36.509998,164800,36.509998
"20",2014-11-05,36,36.759998,35.478001,36.419998,197600,36.419998
"21",2014-11-06,36.450001,36.580002,36.16,36.290001,112400,36.290001
"22",2014-11-07,36.18,37.580002,35.610001,36.700001,162400,36.700001
"23",2014-11-10,36.700001,37.549999,35.619999,36.52,140100,36.52
"24",2014-11-11,36.700001,37.039001,36.040001,36.369999,84700,36.369999
"25",2014-11-12,36.02,36.34,35.220001,35.41,107800,35.41
"26",2014-11-13,37.150002,38.599998,36.5,36.689999,267000,36.689999
"27",2014-11-14,37.599998,37.810001,36.060001,37,130000,37
"28",2014-11-17,37.209999,37.389999,35.790001,36.869999,123900,36.869999
"29",2014-11-18,36.82,37.18,36.299999,36.860001,117000,36.860001
"30",2014-11-19,36.950001,36.950001,34.259998,35.889999,206100,35.889999
"31",2014-11-20,35.849998,36.099998,35.41,36.040001,63900,36.040001
"32",2014-11-21,36.099998,36.59,35.68,36.189999,122600,36.189999
"33",2014-11-24,36.630001,37.450001,36.02,36.689999,369900,36.689999
"34",2014-11-25,36.630001,36.790001,35.759998,35.799999,157000,35.799999
"35",2014-11-26,35.77,36.119999,35,35.5,91800,35.5
"36",2014-11-28,35.200001,35.5,34.98,35.389999,39800,35.389999
"37",2014-12-01,35.119999,35.209999,33.34,34.049999,139300,34.049999
"38",2014-12-02,34.27,34.534,32.93,33.59,183700,33.59
"39",2014-12-03,33.77,33.830002,32.09,32.529999,143500,32.529999
"40",2014-12-04,32.470001,32.987,32.310001,32.790001,135200,32.790001
"41",2014-12-05,32.889999,33.450001,32.610001,33.310001,84700,33.310001
"42",2014-12-08,33.029999,34.139999,33.029999,33.990002,113400,33.990002
"43",2014-12-09,33.25,34.98,33.07,34.740002,129000,34.740002
"44",2014-12-10,34.43,35.25,33.810001,34.150002,97700,34.150002
"45",2014-12-11,34.560001,35.259998,33,33.52,92800,33.52
"46",2014-12-12,33.740002,33.830002,32.240002,33.02,204500,33.02
"47",2014-12-15,33.16,34.52,31.01,32.34,175600,32.34
"48",2014-12-16,32.099998,32.400002,31.43,32.02,215000,32.02
"49",2014-12-17,32.080002,34.02,31.145,33.759998,248100,33.759998
"50",2014-12-18,34.5,34.759998,33.310001,34.029999,180700,34.029999
"51",2014-12-19,34.299999,34.314999,33.509998,33.529999,753200,33.529999
"52",2014-12-22,33.5,34.029999,32.669998,33.189999,109500,33.189999
"53",2014-12-23,33.18,34.099998,32.66,34,89900,34
"54",2014-12-24,34.139999,34.139999,33.34,33.52,77000,33.52
"55",2014-12-26,33.57,33.810001,33.400002,33.59,43600,33.59
