"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2011-11-09,23,25.120001,22,24,3310000,24
"2",2011-11-10,24.940001,25.879999,23.9,25,400800,25
"3",2011-11-11,25,32.119999,24.959999,26.4,165700,26.4
"4",2011-11-14,27,27,25.35,25.65,55500,25.65
"5",2011-11-15,25.75,25.809999,24.440001,25.639999,169600,25.639999
"6",2011-11-16,25.25,26.469999,25.25,26.1,112600,26.1
"7",2011-11-17,26.1,26.15,25.68,26.08,36400,26.08
"8",2011-11-18,25.959999,26.16,25.77,25.809999,74500,25.809999
"9",2011-11-21,25.639999,26.27,25.5,26.27,42500,26.27
"10",2011-11-22,26.43,26.85,26.43,26.73,13300,26.73
"11",2011-11-23,26.75,26.75,25.43,25.85,155600,25.85
"12",2011-11-25,25.51,26.049999,25.5,26.049999,26600,26.049999
"13",2011-11-28,26.58,26.870001,25.76,26,81900,26
"14",2011-11-29,26.08,26.1,25.620001,26,40400,26
"15",2011-11-30,26.67,27.969999,26.290001,27.870001,127500,27.870001
"16",2011-12-01,27.700001,28.360001,27.35,28.059999,16100,28.059999
"17",2011-12-02,28.370001,30.16,27.73,29.280001,74000,29.280001
"18",2011-12-05,29.610001,30.68,28.9,30.23,106100,30.23
"19",2011-12-06,30.26,30.52,28,28.01,138700,28.01
"20",2011-12-07,27.73,27.77,27.360001,27.360001,41700,27.360001
"21",2011-12-08,27.35,27.35,25.219999,25.959999,173400,25.959999
"22",2011-12-09,26.26,27.190001,25.74,27.1,47000,27.1
"23",2011-12-12,26.950001,30.049999,26.950001,29.77,81100,29.77
"24",2011-12-13,29.780001,29.809999,27.379999,27.65,60000,27.65
"25",2011-12-14,27.68,27.68,25.389999,25.879999,109900,25.879999
"26",2011-12-15,26.02,26.24,25.549999,25.74,62600,25.74
"27",2011-12-16,25.860001,26.469999,24.51,25.74,673300,25.74
"28",2011-12-19,26.059999,27.879999,25.75,27.16,214800,27.16
"29",2011-12-20,27.75,30.129999,27.200001,29.450001,210900,29.450001
"30",2011-12-21,29.27,31.120001,28.530001,30.98,75200,30.98
"31",2011-12-22,31.24,32.459999,31.24,32,227000,32
"32",2011-12-23,32.16,33.240002,31.73,32.540001,102200,32.540001
"33",2011-12-27,32.34,33.049999,32.34,32.759998,52200,32.759998
"34",2011-12-28,32.759998,32.900002,32.119999,32.549999,41700,32.549999
"35",2011-12-29,32.720001,34.16,32.5,34.119999,18300,34.119999
"36",2011-12-30,33.990002,34.849998,33.990002,34.810001,25700,34.810001
"37",2012-01-03,35.549999,35.59,31.57,32.459999,72900,32.459999
"38",2012-01-04,32.450001,32.529999,31.559999,31.860001,104800,31.860001
"39",2012-01-05,31.700001,32.209999,30.559999,31.32,38800,31.32
"40",2012-01-06,31.389999,31.389999,29.82,30.01,66600,30.01
"41",2012-01-09,30.24,32,30,31.66,60000,31.66
"42",2012-01-10,32,32,30.52,31.290001,49300,31.290001
"43",2012-01-11,31.26,31.84,30.35,31.4,66000,31.4
"44",2012-01-12,31.530001,31.530001,30.58,30.99,23200,30.99
"45",2012-01-13,30.709999,30.82,29.780001,29.9,41600,29.9
"46",2012-01-17,30.120001,30.530001,30.030001,30.129999,33200,30.129999
"47",2012-01-18,30.24,31.190001,30.24,31.049999,36200,31.049999
"48",2012-01-19,31.1,31.540001,30.68,31.040001,21300,31.040001
"49",2012-01-20,30.9,31.9,30.9,31.9,79100,31.9
"50",2012-01-23,31.940001,33.48,31.940001,33.369999,44000,33.369999
"51",2012-01-24,33.189999,33.84,33.02,33.23,22800,33.23
"52",2012-01-25,33.349998,33.400002,32.630001,33.200001,76400,33.200001
"53",2012-01-26,33.349998,33.369999,32.939999,33.080002,9100,33.080002
"54",2012-01-27,32.970001,33.220001,32.950001,33.060001,64500,33.060001
"55",2012-01-30,32.93,33.349998,32.459999,32.57,19300,32.57
"56",2012-01-31,32.939999,33.099998,32.490002,32.98,36700,32.98
"57",2012-02-01,33.389999,34.189999,32.599998,32.970001,77000,32.970001
"58",2012-02-02,33,33,31.84,32.34,56500,32.34
"59",2012-02-03,32.790001,33.16,32.529999,33,33800,33
"60",2012-02-06,32.970001,33.040001,32.869999,32.970001,14400,32.970001
"61",2012-02-07,32.77,32.779999,31.209999,31.879999,53400,31.879999
"62",2012-02-08,31.940001,32.93,31.6,32.790001,24300,32.790001
"63",2012-02-09,32.990002,33,32,32.389999,96000,32.389999
"64",2012-02-10,32.040001,32.759998,31.879999,32.759998,52500,32.759998
"65",2012-02-13,33.150002,33.189999,32.75,33,95700,33
"66",2012-02-14,32.98,33.169998,32.830002,33.049999,78600,33.049999
"67",2012-02-15,33.099998,33.299999,32.900002,33.09,42200,33.09
"68",2012-02-16,33.040001,33.950001,33.040001,33.5,68700,33.5
"69",2012-02-17,33.57,33.66,33.360001,33.369999,6600,33.369999
"70",2012-02-21,33.439999,34.459999,33.439999,34.009998,115600,34.009998
"71",2012-02-22,34.009998,34.369999,33.799999,34.200001,30200,34.200001
"72",2012-02-23,34.099998,35.630001,34.009998,35.32,246300,35.32
"73",2012-02-24,35.290001,37.02,35.290001,36.810001,172100,36.810001
"74",2012-02-27,36.709999,37.52,36.5,36.889999,108000,36.889999
"75",2012-02-28,36.990002,37.619999,36.880001,37.369999,132000,37.369999
"76",2012-02-29,37.290001,37.889999,36.810001,37.049999,85700,37.049999
"77",2012-03-01,37.130001,37.330002,36.75,36.91,119900,36.91
"78",2012-03-02,36.669998,36.830002,35.799999,36.139999,44900,36.139999
"79",2012-03-05,36.080002,36.540001,35.849998,36.299999,19700,36.299999
"80",2012-03-06,35.900002,36,34.849998,35.139999,51700,35.139999
"81",2012-03-07,35.18,36.049999,35.18,35.689999,27700,35.689999
"82",2012-03-08,35.919998,36.900002,35.75,36.669998,196700,36.669998
"83",2012-03-09,36.91,38.049999,36.91,37.27,51800,37.27
"84",2012-03-12,37.330002,38.18,37.150002,37.830002,61000,37.830002
"85",2012-03-13,38.200001,39.189999,37.419998,39.189999,57400,39.189999
"86",2012-03-14,39.02,39.400002,37.84,38.529999,49300,38.529999
"87",2012-03-15,38.630001,39.73,38.400002,39.400002,59000,39.400002
"88",2012-03-16,39.41,39.41,38.07,38.150002,52000,38.150002
"89",2012-03-19,38.029999,38.43,37.389999,37.48,41800,37.48
"90",2012-03-20,37.279999,37.720001,37,37.349998,23200,37.349998
"91",2012-03-21,37.470001,39.950001,37.27,38.900002,26300,38.900002
"92",2012-03-22,38.669998,39.389999,38.310001,38.880001,13600,38.880001
"93",2012-03-23,38.830002,39.549999,38.57,39.549999,11500,39.549999
"94",2012-03-26,40.040001,41.049999,39.630001,40.07,114700,40.07
"95",2012-03-27,40.25,40.25,39.59,39.759998,45900,39.759998
"96",2012-03-28,39.869999,39.869999,38.169998,39,58300,39
"97",2012-03-29,38.759998,38.919998,38.189999,38.77,13900,38.77
"98",2012-03-30,39.119999,39.5,38.790001,39.150002,39300,39.150002
"99",2012-04-02,39.220001,41.02,39.02,41.009998,64800,41.009998
"100",2012-04-03,41.02,41.240002,39.68,39.939999,62100,39.939999
"101",2012-04-04,39.529999,39.900002,38.110001,38.23,146200,38.23
"102",2012-04-05,38.150002,38.93,38.150002,38.630001,42300,38.630001
"103",2012-04-09,38.029999,38.860001,37.790001,38.650002,32700,38.650002
"104",2012-04-10,38.669998,38.939999,37.09,37.450001,55200,37.450001
"105",2012-04-11,38.029999,38.290001,37.639999,37.950001,39200,37.950001
"106",2012-04-12,38.080002,39.939999,37.720001,39.75,47900,39.75
"107",2012-04-13,39.52,39.599998,38.459999,38.740002,51500,38.740002
"108",2012-04-16,39.150002,39.509998,38.57,39.389999,32800,39.389999
"109",2012-04-17,39.82,40.740002,39.799999,40.290001,56600,40.290001
"110",2012-04-18,40.169998,42.41,39.759998,41.91,73200,41.91
"111",2012-04-19,41.82,41.869999,40.130001,40.68,43500,40.68
"112",2012-04-20,41.110001,41.110001,38.52,39.130001,26800,39.130001
"113",2012-04-23,38.639999,38.639999,36.720001,36.830002,115300,36.830002
"114",2012-04-24,36.77,37.060001,35.59,36.700001,204600,36.700001
"115",2012-04-25,36.849998,37.48,36.16,36.439999,72800,36.439999
"116",2012-04-26,36.5,37.209999,36.18,36.740002,74200,36.740002
"117",2012-04-27,36.77,36.84,36.07,36.189999,75700,36.189999
"118",2012-04-30,36.07,36.07,33.759998,34.77,51000,34.77
"119",2012-05-01,34.889999,35.310001,33.549999,33.619999,99000,33.619999
"120",2012-05-02,33.369999,35.060001,33.18,34.77,89000,34.77
"121",2012-05-03,34.580002,35.200001,34.299999,35.16,53000,35.16
"122",2012-05-04,35.82,38.93,34.490002,35.330002,253500,35.330002
"123",2012-05-07,35.060001,35.77,34.34,34.630001,163800,34.630001
"124",2012-05-08,34.279999,34.470001,31.74,33.860001,193500,33.860001
"125",2012-05-09,33.419998,36.470001,33.41,36.360001,136400,36.360001
