"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,13.8825,14.07,13.685,13.955,12452400,7.886934
"2",2007-01-04,13.9025,13.9475,13.7125,13.85,7406400,7.82759
"3",2007-01-05,13.7625,13.875,13.66,13.785,5917200,7.790857
"4",2007-01-08,13.65,13.8575,13.6,13.75,6402800,7.771075
"5",2007-01-09,13.75,13.75,13.5,13.65,8147200,7.714558
"6",2007-01-10,13.6275,13.65,13.35,13.5575,9348400,7.66228
"7",2007-01-11,13.6725,14.16,13.655,14.055,15817600,7.943454
"8",2007-01-12,14.1625,14.5625,14.1375,14.515,14448800,8.20343
"9",2007-01-16,14.4425,14.47,14.2625,14.3325,6345600,8.100286
"10",2007-01-17,14.3925,14.4425,14.3375,14.35,6835200,8.110175
"11",2007-01-18,14.3425,14.375,13.9375,14.015,5428400,7.920844
"12",2007-01-19,13.9125,14.11,13.825,14.0325,3777600,7.930735
"13",2007-01-22,14.14,14.2675,14.0025,14.185,6130800,8.016925
"14",2007-01-23,14.12,14.4925,14.0525,14.3975,7028000,8.137024
"15",2007-01-24,14.375,14.6825,14.1975,14.58,7058800,8.240165
"16",2007-01-25,14.5925,14.625,14.1375,14.1975,4888000,8.023987
"17",2007-01-26,14.2275,14.34,14.07,14.2525,3132000,8.055074
"18",2007-01-29,14.3875,14.45,14.1875,14.33,3472800,8.098873
"19",2007-01-30,14.335,14.425,14.2625,14.3925,3043200,8.134197
"20",2007-01-31,14.375,14.555,14.33,14.5,5133200,8.194953
"21",2007-02-01,14.6425,14.75,14.5625,14.6775,5471600,8.295269
"22",2007-02-02,14.625,14.755,14.505,14.735,6524400,8.327765
"23",2007-02-05,14.7875,14.7875,14.5775,14.75,7349200,8.336246
"24",2007-02-06,14.8,14.8,14.58,14.695,3081600,8.305161
"25",2007-02-07,14.9375,15.3125,14.5875,15.1375,8537600,8.555246
"26",2007-02-08,15.1475,15.2475,15.0025,15.1275,4025200,8.549595
"27",2007-02-09,15.1275,15.155,14.745,14.86,3672800,8.398413
"28",2007-02-12,14.8475,14.86,14.65,14.75,3348000,8.336246
"29",2007-02-13,14.75,14.75,14.25,14.3575,8301600,8.114414
"30",2007-02-14,14.4425,14.9125,14.4125,14.8,6231600,8.364503
"31",2007-02-15,14.9625,15.025,14.875,14.9025,3779600,8.422434
"32",2007-02-16,14.905,14.9875,14.8225,14.96,2922800,8.45493
"33",2007-02-20,14.9525,15.1275,14.8125,15.125,2949200,8.548182
"34",2007-02-21,14.9875,15,14.7875,14.9525,3123200,8.450692
"35",2007-02-22,14.775,14.9375,14.65,14.8,3724000,8.364503
"36",2007-02-23,14.6175,14.68,14.26,14.4225,6275600,8.151151
"37",2007-02-26,14.475,14.4925,14.19,14.3025,5602400,8.083331
"38",2007-02-27,13.8025,13.8875,13.175,13.3775,13810800,7.560549
"39",2007-02-28,13.375,13.8,13.125,13.565,10301600,7.666517
"40",2007-03-01,13.2575,13.705,13.2,13.585,7196000,7.67782
"41",2007-03-02,13.4375,13.5275,13.27,13.275,5105200,7.502618
"42",2007-03-05,12.835,13.1075,12.62,12.8625,9259600,7.269486
"43",2007-03-06,13.25,13.4575,13.215,13.4175,6330800,7.583156
"44",2007-03-07,13.305,13.36,13.0875,13.1325,5784800,7.422082
"45",2007-03-08,13.5425,13.6675,13.45,13.5175,5157200,7.639672
"46",2007-03-09,13.6725,13.69,13.3825,13.515,3046800,7.63826
"47",2007-03-12,13.4675,13.5925,13.39,13.575,1972000,7.67217
"48",2007-03-13,13.465,13.53,13.0025,13.0275,7563200,7.362741
"49",2007-03-14,12.895,13.0425,12.665,12.925,9458400,7.304811
"50",2007-03-15,12.965,13.0525,12.8175,12.96,4709200,7.32459
"51",2007-03-16,12.83,13.025,12.75,12.805,5352400,7.236989
"52",2007-03-19,13.0625,13.2075,12.9625,13.1075,4161600,7.407954
"53",2007-03-20,13.1225,13.2875,13.0275,13.2025,3488800,7.461647
"54",2007-03-21,13.25,13.5475,13.165,13.52,8548800,7.641088
"55",2007-03-22,13.5875,13.62,13.3275,13.36,6994400,7.550659
"56",2007-03-23,13.4325,13.4325,13.0625,13.1925,8120800,7.455994
"57",2007-03-26,13.095,13.27,13.025,13.215,4769600,7.468708
"58",2007-03-27,13.0825,13.1325,12.85,12.915,6019600,7.299158
"59",2007-03-28,12.675,12.73,12.5025,12.615,11097200,7.129607
"60",2007-03-29,12.6925,12.8075,12.3875,12.54,8919600,7.08722
"61",2007-03-30,12.5,12.9375,12.25,12.5625,18696800,7.099936
"62",2007-04-02,12.345,12.4575,12.275,12.4525,15934400,7.037769
"63",2007-04-03,12.7175,12.945,12.64,12.9225,14758000,7.303398
"64",2007-04-04,13.1025,13.1025,12.855,13.0225,10327600,7.359915
"65",2007-04-05,12.945,13.0225,12.775,12.9575,7406400,7.323177
"66",2007-04-09,13.045,13.245,13.045,13.14,6545200,7.426322
"67",2007-04-10,13.025,13.23,12.9175,13.02,8475200,7.3585
"68",2007-04-11,13.2225,13.225,12.9025,12.9925,14303200,7.342957
"69",2007-04-12,13.025,13.39,13.0125,13.3825,11625600,7.563374
"70",2007-04-13,13.75,14.04,13.4775,13.74,19793600,7.765424
"71",2007-04-16,13.75,14.0225,13.5375,13.9325,16573200,7.874218
"72",2007-04-17,13.8475,13.985,13.765,13.96,8558000,7.88976
"73",2007-04-18,13.87,13.875,13.665,13.69,4764800,7.737164
"74",2007-04-19,13.6,13.6325,13.4375,13.4425,5706000,7.597286
"75",2007-04-20,13.67,13.7375,13.49,13.5625,7472000,7.665104
"76",2007-04-23,13.62,13.65,13.35,13.4025,6513200,7.574677
"77",2007-04-24,13.425,13.425,13.1625,13.2675,9648000,7.498381
"78",2007-04-25,13.2525,13.4575,13.2175,13.3975,6408400,7.571853
"79",2007-04-26,13.385,13.5225,13.25,13.275,4844400,7.502618
