"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,30.68,31.059999,29.1,29.49,4734600,27.259487
"2",2007-01-04,29.6,30.139999,29.18,29.9,3477500,27.638477
"3",2007-01-05,29.950001,30.030001,29.49,29.83,2738700,27.573767
"4",2007-01-08,29.610001,29.82,28.66,28.83,6703900,26.649403
"5",2007-01-09,28.77,29.360001,28.639999,28.93,4889800,26.741837
"6",2007-01-10,28.57,29.49,28.540001,29.389999,3792400,27.167051
"7",2007-01-11,29.59,29.92,29.459999,29.67,3538200,27.425867
"8",2007-01-12,29.91,30.969999,29.91,30.290001,5379200,27.998968
"9",2007-01-16,30.299999,30.379999,30,30.219999,4196200,27.934269
"10",2007-01-17,30.219999,30.780001,30.1,30.58,5479000,28.267036
"11",2007-01-18,31.219999,31.34,30.719999,31.18,6365000,28.821653
"12",2007-01-19,30.889999,31.530001,30.889999,31.360001,5353700,28.988041
"13",2007-01-22,31.25,31.450001,30.57,31.030001,3658500,28.682999
"14",2007-01-23,31.440001,32.119999,31.34,31.780001,4148000,29.376276
"15",2007-01-24,31.940001,32.23,31.83,31.969999,2491800,29.551901
"16",2007-01-25,31.799999,32.040001,31.219999,31.379999,3475000,29.006531
"17",2007-01-26,31.290001,31.530001,30.879999,31.120001,3186900,28.766193
"18",2007-01-29,30.99,31.5,30.860001,31.219999,2920700,28.858627
"19",2007-01-30,31.16,31.299999,30.610001,30.92,3733700,28.58132
"20",2007-01-31,31,31.690001,30.469999,31.450001,2516800,29.071232
"21",2007-02-01,31.4,31.68,31.049999,31.33,2008900,28.960314
"22",2007-02-02,31.290001,31.540001,30.959999,31.18,2004100,28.821653
"23",2007-02-05,31.219999,31.690001,31.219999,31.57,2362800,29.182154
"24",2007-02-06,31.58,31.66,31.18,31.309999,2718100,28.941818
"25",2007-02-07,31.540001,31.74,31.209999,31.67,2348100,29.274591
"26",2007-02-08,31.719999,32.099998,31.700001,31.85,4015200,29.440979
"27",2007-02-09,31.84,31.99,31.26,31.440001,2498600,29.061993
"28",2007-02-12,31.450001,31.690001,30.940001,31,2946200,28.655273
"29",2007-02-13,31.110001,31.299999,30.889999,31.07,2245300,28.719978
"30",2007-02-14,31.1,31.540001,30.99,31.49,1706000,29.10821
"31",2007-02-15,31.43,31.629999,31.17,31.24,2260500,28.877121
"32",2007-02-16,31.290001,31.34,30.93,30.959999,3079200,28.618298
"33",2007-02-20,30.870001,31.139999,30.76,31.049999,3158200,28.701487
"34",2007-02-21,30.959999,31.58,30.93,31.25,2813100,28.886362
"35",2007-02-22,31.190001,31.82,30.790001,30.860001,4342400,28.52586
"36",2007-02-23,30,31.4,29.4,31.280001,5995300,28.914093
"37",2007-02-26,31.469999,31.469999,30.780001,30.879999,4369900,28.54435
"38",2007-02-27,30.75,30.9,29.190001,29.48,5679900,27.250237
