"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,24.790001,25.389999,24.76,24.98,4130500,20.281549
"2",2007-01-04,24.74,25.27,24.639999,25.23,3115000,20.484514
"3",2007-01-05,25.15,25.15,24.75,25.030001,3708900,20.322138
"4",2007-01-08,25.030001,25.15,24.92,25.040001,1879300,20.330263
"5",2007-01-09,25.059999,25.16,24.440001,24.639999,2163200,20.005493
"6",2007-01-10,24.469999,24.629999,24.26,24.48,2034300,19.875584
"7",2007-01-11,24.58,24.709999,24.389999,24.450001,2002900,19.851231
"8",2007-01-12,24.360001,25.110001,24.26,24.92,3051400,20.23283
"9",2007-01-16,25.15,25.450001,25,25.08,2785700,20.36274
"10",2007-01-17,25.1,25.51,24.67,24.809999,2314000,20.14352
"11",2007-01-18,24.77,24.799999,24.32,24.469999,1891500,19.86747
"12",2007-01-19,24.59,24.59,24.18,24.209999,2354500,19.65637
"13",2007-01-22,24.1,24.18,23.940001,23.98,2158300,19.469633
"14",2007-01-23,24.07,24.26,23.870001,24.17,2023300,19.623899
"15",2007-01-24,24.219999,24.49,24.040001,24.290001,2490100,19.721327
"16",2007-01-25,24.309999,24.610001,24.16,24.41,2014000,19.818754
"17",2007-01-26,24.379999,24.73,24.18,24.610001,1941100,19.981134
"18",2007-01-29,24.610001,24.639999,23.85,23.950001,2615600,19.445274
"19",2007-01-30,23.969999,24.09,23.450001,23.82,2406400,19.339731
"20",2007-01-31,23.860001,24.08,23.58,23.99,2481100,19.477747
"21",2007-02-01,23.99,24.34,23.950001,24.24,2644900,19.680731
"22",2007-02-02,24.24,24.57,24.030001,24.469999,1988100,19.86747
"23",2007-02-05,24.52,24.610001,24.209999,24.469999,2484000,19.86747
"24",2007-02-06,24.629999,24.82,24.360001,24.77,2139700,20.111042
"25",2007-02-07,24.940001,25.559999,24.799999,25.51,3182100,20.711855
"26",2007-02-08,25.5,25.799999,25.18,25.700001,2441100,20.866119
"27",2007-02-09,25.83,26.219999,25.719999,25.870001,2840800,21.00415
"28",2007-02-12,26.1,26.629999,25.93,26.08,1531700,21.174648
"29",2007-02-13,26.1,26.25,25.9,26.030001,2614600,21.190937
"30",2007-02-14,26.16,26.639999,26.129999,26.389999,1496500,21.484003
"31",2007-02-15,27,27.290001,25.6,26.889999,1554200,21.891048
"32",2007-02-16,26.4,26.780001,26,26.49,1877000,21.565414
"33",2007-02-20,26.389999,26.530001,26.1,26.34,1559800,21.443302
"34",2007-02-21,26.299999,26.9,26.27,26.84,1558600,21.85034
"35",2007-02-22,27,27.450001,26.9,27.35,2617800,22.265539
"36",2007-02-23,27.41,27.83,27.309999,27.639999,1860800,22.501627
"37",2007-02-26,27.85,27.860001,27.280001,27.450001,2500400,22.346952
"38",2007-02-27,27.07,27.23,26.379999,26.700001,2807100,21.736368
"39",2007-02-28,26.700001,27.030001,26.379999,26.719999,2861300,21.752661
"40",2007-03-01,26.41,26.85,26.16,26.52,2790200,21.58983
"41",2007-03-02,26.370001,26.549999,26.190001,26.35,2749400,21.451445
"42",2007-03-05,26.35,26.799999,26.190001,26.450001,3042500,21.532846
"43",2007-03-06,26.67,26.82,26.18,26.51,2176500,21.581699
"44",2007-03-07,26.52,26.75,25.83,25.9,3348100,21.0851
"45",2007-03-08,26.209999,26.66,26.07,26.540001,2223200,21.606117
"46",2007-03-09,26.700001,26.790001,26.129999,26.290001,2077200,21.402594
"47",2007-03-12,26.129999,26.299999,25.879999,25.940001,2310200,21.117659
"48",2007-03-13,25.799999,25.98,25.5,25.52,2190500,20.775743
"49",2007-03-14,25,26.309999,25,26.200001,2356300,21.32933
"50",2007-03-15,26.139999,26.41,25.870001,26.299999,1954700,21.410736
"51",2007-03-16,26.299999,26.459999,25.950001,26.09,1404700,21.239771
"52",2007-03-19,26.26,26.6,25.870001,25.940001,1820100,21.117659
"53",2007-03-20,26,26.059999,25.73,25.790001,1903000,20.995552
"54",2007-03-21,25.709999,26.18,25.51,26,2438100,21.166508
"55",2007-03-22,26.01,26.1,24.85,24.93,5825800,20.295422
"56",2007-03-23,22.610001,22.799999,21.860001,22.26,17175900,18.121788
"57",2007-03-26,22.200001,22.299999,21.790001,22.1,4758200,17.991533
"58",2007-03-27,21.98,22.43,21.940001,22.24,4703500,18.105503
"59",2007-03-28,22.09,22.26,21.9,22.040001,3637100,17.942682
"60",2007-03-29,22.049999,22.059999,21.1,21.389999,4900400,17.413527
"61",2007-03-30,21.51,21.82,21.18,21.41,3179100,17.429804
"62",2007-04-02,21.440001,21.549999,21.200001,21.35,2667700,17.380959
"63",2007-04-03,21.35,21.6,21.299999,21.48,2166200,17.48679
"64",2007-04-04,21.5,21.58,21.17,21.389999,2245500,17.413527
"65",2007-04-05,21.389999,21.639999,21.27,21.33,1389700,17.364677
"66",2007-04-09,21.34,21.49,21.219999,21.25,1279200,17.299549
