"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,19.219999,19.76,18.93,19.23,11879000,17.856247
"2",2007-01-04,19.17,19.700001,18.59,19.5,8831400,18.10696
"3",2007-01-05,19.4,19.98,19.26,19.93,9642100,18.506241
"4",2007-01-08,19.98,20.5,19.74,20.23,12015400,18.784809
"5",2007-01-09,20.25,20.34,19.719999,20.059999,9727800,18.626955
"6",2007-01-10,19.84,20.379999,19.75,20.280001,4352600,18.831238
"7",2007-01-11,20.450001,20.92,20.16,20.67,6445600,19.193375
"8",2007-01-12,20.52,20.65,20.129999,20.58,6196800,19.1098
"9",2007-01-16,20.65,20.889999,20.379999,20.77,6683000,19.286238
"10",2007-01-17,20.629999,20.879999,20.02,20.1,8274900,18.664099
"11",2007-01-18,20.15,20.190001,19.370001,19.530001,11042200,18.134817
"12",2007-01-19,19.440001,19.77,19.33,19.51,6845600,18.116245
"13",2007-01-22,19.41,19.5,18.83,19.129999,9056900,17.763393
"14",2007-01-23,18.77,19.049999,18.57,18.68,10549500,17.345535
"15",2007-01-24,18.860001,19.15,18.690001,18.99,5234700,17.63339
"16",2007-01-25,18.76,18.93,18.4,18.459999,6351200,17.141251
"17",2007-01-26,18.950001,19.15,18.68,18.959999,16086500,17.605534
"18",2007-01-29,18.83,19.780001,18.76,19.48,14183800,18.088388
"19",2007-01-30,19.59,19.9,19.24,19.82,17330800,18.404097
"20",2007-01-31,18.620001,18.85,17.84,18.120001,29985200,16.825541
"21",2007-02-01,18.219999,18.25,17.85,17.98,10410900,16.695547
"22",2007-02-02,17.940001,18.309999,17.92,18.200001,6977400,16.899826
"23",2007-02-05,18.120001,18.57,18.110001,18.450001,5445800,17.131971
"24",2007-02-06,18.6,18.75,18.26,18.629999,7052200,17.299109
"25",2007-02-07,19,19.299999,18.91,19.209999,10766700,17.837669
"26",2007-02-08,19.09,20.190001,18.950001,20.08,18212600,18.645527
"27",2007-02-09,20,20.08,19.059999,19.209999,14473900,17.837669
"28",2007-02-12,19.360001,19.57,19.049999,19.290001,5936000,17.911959
"29",2007-02-13,19.49,19.49,19.049999,19.15,6837700,17.78196
"30",2007-02-14,19.23,19.75,19.23,19.66,5456100,18.255529
"31",2007-02-15,19.629999,19.950001,19.629999,19.860001,7424300,18.441242
"32",2007-02-16,19.85,19.889999,19.57,19.690001,4116300,18.283388
"33",2007-02-20,19.74,20.030001,19.5,19.969999,4697600,18.543381
"34",2007-02-21,19.76,19.84,19.469999,19.549999,5860200,18.153383
"35",2007-02-22,19.65,19.690001,19.4,19.5,6481300,18.10696
"36",2007-02-23,19.549999,19.9,19.450001,19.780001,6305400,18.366955
"37",2007-02-26,19.83,19.950001,19.459999,19.610001,3769900,18.209101
"38",2007-02-27,19.059999,19.4,18.450001,18.530001,8523200,17.206253
"39",2007-02-28,18.5,18.98,18.5,18.91,7818700,17.559109
"40",2007-03-01,18.379999,18.889999,18.299999,18.690001,7193900,17.35482
"41",2007-03-02,18.469999,18.6,18.16,18.4,7993900,17.085539
"42",2007-03-05,18.309999,18.58,17.959999,17.969999,6962900,16.686256
"43",2007-03-06,18.110001,18.59,18.110001,18.51,5919500,17.187683
"44",2007-03-07,18.42,18.49,18.049999,18.1,7149800,16.806973
"45",2007-03-08,18.309999,18.49,18.280001,18.41,4321400,17.094824
"46",2007-03-09,18.65,18.690001,18.09,18.309999,6511100,17.001968
"47",2007-03-12,18.48,19.110001,18.41,18.450001,11171000,17.131971
"48",2007-03-13,18.23,18.43,17.67,17.74,16918000,16.472689
"49",2007-03-14,17.4,18.110001,17.209999,18.09,14388200,16.797688
"50",2007-03-15,18.15,18.59,18.02,18.35,9142500,17.039116
"51",2007-03-16,18.299999,18.49,17.879999,18.01,11162600,16.7234
"52",2007-03-19,18.049999,18.200001,17.940001,17.969999,10066200,16.686256
"53",2007-03-20,18.1,18.85,18.08,18.75,16328100,17.41054
"54",2007-03-21,18.700001,19.25,18.65,19.24,8506200,17.865532
"55",2007-03-22,19.450001,19.49,19.17,19.280001,7516200,17.902678
"56",2007-03-23,19.280001,19.68,18.82,18.950001,9259600,17.596249
"57",2007-03-26,19.02,19.620001,19,19.620001,9527000,18.21839
"58",2007-03-27,19.49,19.540001,19.27,19.450001,6460900,18.06053
"59",2007-03-28,19.389999,19.84,19.33,19.620001,9570200,18.21839
"60",2007-03-29,19.799999,20,19.620001,19.91,10530400,18.487667
"61",2007-03-30,19.84,20.030001,19.65,19.68,6609600,18.274099
"62",2007-04-02,19.68,20.17,19.629999,20.09,8790300,18.654812
"63",2007-04-03,20.25,20.719999,20.129999,20.540001,8017700,19.072664
"64",2007-04-04,20.52,20.700001,20.389999,20.65,7432300,19.174803
"65",2007-04-05,20.530001,20.65,20.450001,20.57,4758800,19.100523
"66",2007-04-09,20.57,20.860001,20.49,20.790001,5709900,19.304802
"67",2007-04-10,20.690001,21.01,20.690001,20.98,8301500,19.48123
"68",2007-04-11,21.01,21.129999,20.450001,20.51,7353700,19.044806
"69",2007-04-12,20.530001,20.58,20.34,20.48,9084400,19.016949
"70",2007-04-13,20.48,20.75,20.32,20.59,9094000,19.119091
"71",2007-04-16,20.74,21.01,20.700001,20.969999,6362200,19.471943
"72",2007-04-17,20.85,20.969999,20.700001,20.879999,6671200,19.388374
"73",2007-04-18,20.59,21.02,20.59,20.940001,5031200,19.444094
"74",2007-04-19,20.780001,20.82,20.379999,20.57,5441600,19.100523
"75",2007-04-20,20.889999,20.9,20.389999,20.52,9100700,19.054094
"76",2007-04-23,21.07,21.549999,20.98,21.110001,15955900,19.601946
"77",2007-04-24,20.290001,20.99,19.860001,20.870001,21312500,19.379091
"78",2007-04-25,21.059999,21.67,20.77,21.57,12867200,20.029081
"79",2007-04-26,21.6,22.549999,21.57,22.309999,19638700,20.716219
"80",2007-04-27,22.15,22.83,22.15,22.700001,11094400,21.078365
"81",2007-04-30,22.700001,22.879999,22.34,22.360001,13516900,20.762644
"82",2007-05-01,22.41,22.870001,22.200001,22.74,13115800,21.115501
"83",2007-05-02,22.690001,23.17,22.58,22.959999,9270300,21.319784
"84",2007-05-03,23,23.559999,22.91,23.27,8531700,21.607639
"85",2007-05-04,23.5,23.51,22.91,22.950001,9048300,21.310501
"86",2007-05-07,23.139999,23.309999,22.950001,23.02,5395000,21.375496
"87",2007-05-08,22.940001,23.690001,22.709999,23.629999,10799200,21.941917
"88",2007-05-09,23.1,23.75,22.799999,23.709999,13412800,22.016203
"89",2007-05-10,23.549999,23.870001,23.209999,23.23,12214600,21.570494
"90",2007-05-11,23.33,24,23.200001,23.91,10189100,22.201914
"91",2007-05-14,23.83,23.950001,23.33,23.43,11737500,21.756207
"92",2007-05-15,23.52,23.99,23.299999,23.540001,13284700,21.858349
"93",2007-05-16,23.530001,24.049999,23.530001,24,12464000,22.285488
"94",2007-05-17,23.870001,23.9,23.42,23.690001,17755500,21.997631
"95",2007-05-18,23.35,23.4,22.879999,23.290001,18296600,21.626209
"96",2007-05-21,23.389999,23.99,23.139999,23.77,9994900,22.071918
"97",2007-05-22,23.77,23.93,23.450001,23.85,7882500,22.146202
"98",2007-05-23,23.889999,24.139999,23.540001,23.709999,10686500,22.016203
"99",2007-05-24,23.780001,23.98,23.35,23.52,9637900,21.839781
"100",2007-05-25,23.51,23.73,23.07,23.190001,8089400,21.533356
"101",2007-05-29,23.41,24.110001,23.41,24.09,9226500,22.369055
"102",2007-05-30,23.809999,24.450001,23.690001,24.4,11889900,22.656912
"103",2007-05-31,24.5,24.530001,24.049999,24.41,9526100,22.666197
"104",2007-06-01,24.5,24.75,24.200001,24.65,8515100,22.889055
"105",2007-06-04,24.4,25.030001,24.4,24.950001,8550600,23.16762
"106",2007-06-05,24.530001,24.77,24.299999,24.620001,11300300,22.861197
"107",2007-06-06,24.469999,24.870001,24.43,24.469999,8522400,22.72191
"108",2007-06-07,24.450001,24.67,23.790001,23.92,12952100,22.211201
"109",2007-06-08,23.9,24.629999,23.76,24.5,7488200,22.749769
"110",2007-06-11,24.57,25.059999,24.48,24.93,10560600,23.149055
"111",2007-06-12,24.780001,25.200001,24.67,24.860001,11110700,23.084051
"112",2007-06-13,24.99,25.48,24.889999,25.389999,11234300,23.576193
"113",2007-06-14,25.32,25.690001,25.27,25.41,8744500,23.594759
"114",2007-06-15,25.77,25.77,25.18,25.49,10072000,23.669046
"115",2007-06-18,25.32,25.450001,24.959999,25.280001,6661500,23.474051
