"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,50.950001,51.48,48.619999,49.459999,4452100,46.739029
"2",2007-01-04,50.099998,52.369999,49.950001,51.919998,4792900,49.063694
"3",2007-01-05,51.57,51.849998,50.549999,51.849998,3231000,48.997543
"4",2007-01-08,51.880001,52.849998,51.110001,51.279999,3363500,48.458912
"5",2007-01-09,51.849998,51.849998,50.380001,51.18,3505200,48.364407
"6",2007-01-10,50.810001,52.91,50.389999,52.700001,4162300,49.800785
"7",2007-01-11,52.599998,53.950001,52.599998,53.5,3258300,50.556786
"8",2007-01-12,53.139999,54.639999,53.080002,54.540001,3799100,51.539566
"9",2007-01-16,53.82,54.439999,52.599998,53.25,3645000,50.32053
"10",2007-01-17,52.720001,54.68,52.52,54.130001,5400700,51.152111
"11",2007-01-18,48.549999,48.939999,45.889999,46.220001,18403800,43.677273
"12",2007-01-19,46.25,47.689999,46.07,47.279999,6530400,44.678967
"13",2007-01-22,47.68,47.720001,46.75,46.900002,4532500,44.319859
"14",2007-01-23,46.549999,47.43,46.459999,46.59,3618600,44.02692
"15",2007-01-24,46.799999,48.16,46.799999,48.02,3120600,45.378258
"16",2007-01-25,47.630001,48,46.869999,47.169998,3795100,44.575012
"17",2007-01-26,47.240002,48.48,47.009998,47.389999,4426600,44.782909
"18",2007-01-29,47.119999,47.66,46,47.02,4380900,44.433262
"19",2007-01-30,47,47,46.029999,46.369999,3724300,43.819023
"20",2007-01-31,46,46.189999,44.810001,45.810001,5101000,43.289829
"21",2007-02-01,45.84,46.119999,45.049999,45.299999,4428100,42.80788
"22",2007-02-02,45.779999,46.150002,45.27,45.73,4153200,43.214233
"23",2007-02-05,46.169998,46.599998,45.5,46.400002,4676800,43.847378
"24",2007-02-06,46.16,46.380001,45.259998,45.700001,3837400,43.185879
"25",2007-02-07,46.25,47.080002,45.799999,46.25,3535300,43.705627
"26",2007-02-08,46.32,46.369999,45.68,45.700001,2659800,43.185879
"27",2007-02-09,45.849998,46.220001,43.66,44.009998,7487500,41.588848
"28",2007-02-12,43.919998,44.119999,43.330002,43.43,3900900,41.04076
"29",2007-02-13,43.75,44.209999,43.549999,44.049999,3372900,41.626663
"30",2007-02-14,44.41,45.099998,44.009998,44.75,3707000,42.288143
"31",2007-02-15,44.610001,45.580002,44.610001,45.139999,2792300,42.656696
"32",2007-02-16,45.09,45.369999,44.759998,45.23,2318300,42.741734
"33",2007-02-20,44.290001,44.490002,43.639999,44.119999,3750700,41.692802
"34",2007-02-21,43.950001,44.700001,43.849998,44.630001,2598000,42.174747
"35",2007-02-22,45,45.700001,44.509998,44.959999,2947700,42.486595
"36",2007-02-23,45.450001,46.080002,45.049999,45.790001,4766800,43.270927
"37",2007-02-26,47.380001,47.700001,46.290001,46.529999,4348600,43.970222
"38",2007-02-27,45.209999,46.380001,44.279999,44.68,4806900,42.221992
"39",2007-02-28,44.990002,45.400002,44.27,44.66,3552600,42.203102
"40",2007-03-01,43.700001,44.669998,43.259998,44.290001,4399900,41.853455
"41",2007-03-02,44.150002,44.560001,43.43,43.5,2894200,41.106911
"42",2007-03-05,43.25,44.459999,43.099998,43.490002,4679200,41.097466
"43",2007-03-06,43.799999,44.099998,43.459999,43.75,3405500,41.343155
"44",2007-03-07,43.84,45.07,43.549999,44.32,3632600,41.881798
"45",2007-03-08,45.299999,46.16,45.130001,45.189999,3535800,42.703945
"46",2007-03-09,45.84,45.869999,45.040001,45.509998,3358700,43.006336
"47",2007-03-12,45.549999,46.400002,45.470001,46.27,2776100,43.724525
"48",2007-03-13,46.189999,46.23,44.779999,44.799999,3217300,42.335392
"49",2007-03-14,44.75,45.610001,44.330002,45.450001,3091600,42.949635
"50",2007-03-15,45.369999,45.889999,45.169998,45.599998,2388100,43.091385
