"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-05-01,66.900002,66.900002,45,55.5,36200,55.5
"2",2007-05-02,55.799999,60.299999,49.200001,56.099998,26500,56.099998
"3",2007-05-03,57.599998,63.299999,52.799999,54.900002,25500,54.900002
"4",2007-05-04,57.900002,57.900002,38.700001,39.900002,21900,39.900002
"5",2007-05-07,39.900002,39.900002,26.4,26.4,41600,26.4
"6",2007-05-08,27,27.9,12.6,15.3,99800,15.3
"7",2007-05-09,16.799999,16.799999,12.9,13.5,24400,13.5
"8",2007-05-10,13.8,19.200001,11.4,19.200001,69200,19.200001
"9",2007-05-11,21,27.9,21,27,32700,27
"10",2007-05-14,28.5,32.400002,24.6,28.5,29800,28.5
"11",2007-05-15,28.200001,28.200001,22.5,23.4,13500,23.4
"12",2007-05-16,23.4,25.200001,16.5,22.200001,10000,22.200001
"13",2007-05-17,22.200001,22.5,20.1,22.200001,4000,22.200001
"14",2007-05-18,23.4,23.4,17.4,19.5,8100,19.5
"15",2007-05-21,21.9,21.9,18,21.6,4700,21.6
"16",2007-05-22,21.6,21.9,19.5,21,4400,21
"17",2007-05-23,21,21,19.5,20.1,3100,20.1
"18",2007-05-24,20.700001,20.700001,14.1,15.3,19100,15.3
"19",2007-05-25,16.5,16.799999,14.4,15.6,9900,15.6
"20",2007-05-29,16.5,18.6,16.200001,16.200001,10700,16.200001
"21",2007-05-30,17.1,17.1,14.4,14.4,5700,14.4
"22",2007-05-31,15,15.3,14.4,15,1800,15
"23",2007-06-01,15,15,12.3,14.4,10100,14.4
"24",2007-06-04,14.4,14.4,12.6,12.9,1800,12.9
"25",2007-06-05,12.6,12.9,11.1,12,8300,12
"26",2007-06-06,11.7,12,10.2,11.4,5600,11.4
"27",2007-06-07,10.2,11.1,9,10.2,7300,10.2
"28",2007-06-08,10.5,10.5,10.2,10.5,2000,10.5
"29",2007-06-11,10.5,13.5,10.5,13.5,3700,13.5
"30",2007-06-12,13.5,13.5,11.1,11.1,2500,11.1
"31",2007-06-13,11.4,12.3,11.1,11.1,2900,11.1
"32",2007-06-14,12,12,9,9.3,4700,9.3
"33",2007-06-15,11.4,12.3,9.9,11.4,4000,11.4
"34",2007-06-18,13.2,19.5,12.9,16.200001,12300,16.200001
"35",2007-06-19,17.700001,17.700001,15.6,17.700001,2700,17.700001
"36",2007-06-20,17.700001,17.700001,15.9,15.9,700,15.9
"37",2007-06-21,15.9,16.5,15.3,16.5,2600,16.5
"38",2007-06-22,15.3,16.5,15.3,16.5,1200,16.5
"39",2007-06-25,15.3,16.5,14.7,16.200001,1500,16.200001
"40",2007-06-26,15.6,16.200001,14.7,14.7,1900,14.7
"41",2007-06-27,14.7,16.200001,13.5,15.9,200,15.9
"42",2007-06-28,15.6,15.9,15.6,15.9,700,15.9
"43",2007-06-29,15.9,15.9,15.3,15.6,800,15.6
"44",2007-07-02,15.6,15.6,13.5,15,1800,15
"45",2007-07-03,13.5,14.4,10.5,14.4,4100,14.4
"46",2007-07-05,12.3,15,12.3,15,500,15
"47",2007-07-06,15,15.3,12,15,1100,15
"48",2007-07-09,12.6,13.2,12.6,12.6,900,12.6
"49",2007-07-10,12.6,13.5,12.6,13.5,700,13.5
"50",2007-07-11,12.6,13.5,12.6,13.5,200,13.5
