"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,83.679749,84.528671,82.790398,83.154228,7143800,71.236168
"2",2007-01-04,82.830826,83.477623,82.103172,83.073372,6934700,71.166901
"3",2007-01-05,73.007553,77.818123,72.764999,76.564949,43490900,65.591286
"4",2007-01-08,76.847923,76.888351,74.62455,75.190498,15018500,64.413857
"5",2007-01-09,75.028801,75.473473,73.775627,73.816048,13672400,63.236374
"6",2007-01-10,73.371376,73.613922,72.967125,73.411797,10305200,62.890049
"7",2007-01-11,73.694778,74.947952,73.209679,73.573502,8497500,63.02858
"8",2007-01-12,73.816048,74.018173,72.360748,72.805428,10889700,62.370594
"9",2007-01-16,73.16925,73.492653,72.805428,73.371376,7876100,62.855442
"10",2007-01-17,73.573502,75.554321,73.209679,74.664978,12877600,63.963623
"11",2007-01-18,75.190498,75.999001,74.705399,75.635178,12194500,64.794746
"12",2007-01-19,75.594749,78.626625,75.150078,77.898972,18509900,66.734108
"13",2007-01-22,78.343651,78.384071,74.664978,75.675598,10647900,64.829399
"14",2007-01-23,75.190498,75.716026,74.382004,74.907524,7586000,64.171425
"15",2007-01-24,74.826675,75.877724,74.584122,75.069221,6992700,64.309929
"16",2007-01-25,75.635178,76.443672,74.867104,75.150078,9362600,64.379196
"17",2007-01-26,74.826675,75.190498,73.613922,74.301147,6950800,63.651936
"18",2007-01-29,74.422424,74.422424,73.250099,74.018173,9873700,63.40955
"19",2007-01-30,78.828751,79.354279,77.696854,79.152153,21088500,67.807686
"20",2007-01-31,79.152153,80.405327,78.343651,80.243622,8355700,68.742714
"21",2007-02-01,80.567024,80.76915,79.152153,80.647873,8378300,69.08902
"22",2007-02-02,80.445747,80.567024,79.879799,80.243622,5359100,68.742714
"23",2007-02-05,79.879799,80.445747,79.475548,80.324478,4645600,68.811981
"24",2007-02-06,80.324478,80.567024,78.788322,79.758522,9557700,68.327156
"25",2007-02-07,80.445747,80.486176,79.839378,80.486176,5922600,68.950478
"26",2007-02-08,79.758522,80.567024,79.233002,80.28405,5866800,68.777359
"27",2007-02-09,80.405327,80.445747,78.667053,79.111725,5654900,67.773071
"28",2007-02-12,78.869179,79.273422,76.9692,77.373451,6584300,66.28392
"29",2007-02-13,77.252174,78.303223,77.211746,78.181953,4781600,66.976524
"30",2007-02-14,78.4245,78.545776,77.535149,77.656425,6002500,66.526329
"31",2007-02-15,77.818123,78.343651,77.009628,77.777702,9736000,66.630203
"32",2007-02-16,77.696854,78.626625,77.333023,77.858551,5853600,66.699486
"33",2007-02-20,77.413872,77.494728,76.767075,77.494728,4199600,66.387802
"34",2007-02-21,76.605377,76.847923,75.796875,76.403252,5181100,65.452789
"35",2007-02-22,76.4841,77.211746,76.362823,76.645798,4175700,65.660545
"36",2007-02-23,76.605377,77.575577,76.281975,77.413872,4782800,66.31855
"37",2007-02-26,77.858551,78.060677,77.171326,77.818123,4711000,66.664871
"38",2007-02-27,76.645798,76.888351,73.775627,75.190498,8525400,64.413857
"39",2007-02-28,75.230927,75.675598,74.301147,74.867104,5273100,64.136795
"40",2007-03-01,75.150078,77.494728,74.179878,76.120277,10737300,65.210342
"41",2007-03-02,75.837303,77.090477,75.028801,75.352203,6077200,64.552368
"42",2007-03-05,74.503273,75.554321,73.896896,74.786247,5336100,64.067513
"43",2007-03-06,75.918152,76.726646,75.392624,76.160698,4642100,65.244987
"44",2007-03-07,75.554321,77.171326,75.069221,76.847923,11476200,65.833702
"45",2007-03-08,77.333023,77.575577,74.988373,75.311775,9108200,64.517731
"46",2007-03-09,75.756447,75.796875,73.937325,74.664978,6802300,63.963623
"47",2007-03-12,74.62455,76.241547,74.179878,74.947952,12056100,64.206055
"48",2007-03-13,74.462852,74.947952,73.573502,73.735199,8458800,63.209278
"49",2007-03-14,73.816048,74.503273,73.411797,74.382004,7089100,63.763771
"50",2007-03-15,73.937325,74.543701,73.694778,74.058601,3819400,63.486519
"51",2007-03-16,74.13945,74.179878,73.452225,73.533073,7534900,63.036015
"52",2007-03-19,73.735199,74.301147,73.573502,73.937325,6234500,63.382572
"53",2007-03-20,73.613922,76.524529,73.492653,76.079849,10541500,65.219215
"54",2007-03-21,75.756447,76.403252,74.018173,75.756447,10142800,64.941978
"55",2007-03-22,71.835228,72.401176,70.541626,70.743752,47171600,60.644886
"56",2007-03-23,71.430977,72.401176,71.026726,71.754372,14273200,61.511238
"57",2007-03-26,71.552254,72.643723,71.471397,72.401176,8205100,62.065689
"58",2007-03-27,72.684151,72.684151,71.713951,71.835228,9186900,61.580536
"59",2007-03-28,71.552254,72.482025,71.430977,71.673523,8135800,61.441925
