"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2010-03-24,17.950001,19.389999,17.559999,18.700001,6890400,18.700001
"2",2010-03-25,18.9,19.5,18.040001,18.040001,1853900,18.040001
"3",2010-03-26,18.190001,18.620001,17.9,18.620001,472400,18.620001
"4",2010-03-29,18.75,18.969999,18.190001,18.700001,371700,18.700001
"5",2010-03-30,18.700001,18.700001,18.200001,18.25,165000,18.25
"6",2010-03-31,18,18.16,17.67,17.780001,374700,17.780001
"7",2010-04-01,17.780001,17.809999,17.049999,17.690001,289400,17.690001
"8",2010-04-05,17.540001,18.16,16.85,17.120001,230000,17.120001
"9",2010-04-06,17,17.42,16.51,17.15,273500,17.15
"10",2010-04-07,17,17.299999,16.82,17.18,139500,17.18
"11",2010-04-08,17.1,17.1,16.9,17,99600,17
"12",2010-04-09,16.950001,17.629999,16.879999,17.23,173000,17.23
"13",2010-04-12,17.469999,17.469999,17.040001,17.120001,94400,17.120001
"14",2010-04-13,16.9,17.15,16.799999,16.91,284500,16.91
"15",2010-04-14,16.879999,17.620001,16.879999,17.610001,202500,17.610001
"16",2010-04-15,17.690001,18.360001,17.59,18.18,239600,18.18
"17",2010-04-16,18.200001,18.200001,17.5,17.99,81700,17.99
"18",2010-04-19,17.85,17.889999,17.5,17.549999,81200,17.549999
"19",2010-04-20,17.469999,17.91,17.469999,17.91,155500,17.91
"20",2010-04-21,17.99,17.99,17.32,17.370001,66400,17.370001
"21",2010-04-22,17.200001,17.25,16.889999,17.09,152200,17.09
"22",2010-04-23,17.049999,17.49,16.9,17.1,112700,17.1
"23",2010-04-26,16.99,17.700001,16.99,17.5,83700,17.5
"24",2010-04-27,17.41,17.82,17.129999,17.190001,41500,17.190001
"25",2010-04-28,17.059999,17.34,16.9,17.059999,122900,17.059999
"26",2010-04-29,17.18,17.18,16.82,16.98,335900,16.98
"27",2010-04-30,17,17.120001,16.860001,16.9,111000,16.9
"28",2010-05-03,17.35,17.610001,16.889999,17.33,238500,17.33
"29",2010-05-04,17.299999,17.57,17,17.360001,201400,17.360001
"30",2010-05-05,17.379999,17.379999,16.610001,17.17,109600,17.17
"31",2010-05-06,17.309999,17.309999,15.28,15.75,399300,15.75
"32",2010-05-07,15.75,15.8,15.26,15.31,113900,15.31
"33",2010-05-10,16.280001,16.629999,15.64,16.58,105300,16.58
"34",2010-05-11,16.309999,16.5,16.200001,16.32,57000,16.32
"35",2010-05-12,16.360001,16.360001,15.4,15.57,238800,15.57
"36",2010-05-13,15.53,16.389999,15.49,16.1,133300,16.1
"37",2010-05-14,15.91,16.01,15.51,15.73,62200,15.73
"38",2010-05-17,15.81,16.549999,15.79,16.530001,56500,16.530001
"39",2010-05-18,16.58,16.58,15.89,16,64200,16
