"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,18.346666,18.6,18.026667,18.286667,446200,13.975161
"2",2007-01-04,18.286667,18.453333,18.093334,18.206667,395100,13.914022
"3",2007-01-05,18.139999,18.266666,17.866667,17.940001,263500,13.710225
"4",2007-01-08,17.906666,18.293333,17.766666,18.059999,433600,13.801931
"5",2007-01-09,18.040001,18.193333,17.9,17.986666,273300,13.745892
"6",2007-01-10,17.9,18.046667,17.68,18.013334,439200,13.766273
"7",2007-01-11,18.093334,18.686666,18.093334,18.533333,535900,14.163667
"8",2007-01-12,18.453333,18.613333,18.133333,18.373333,349800,14.041392
"9",2007-01-16,18.440001,18.646667,18.393333,18.5,295300,14.138197
"10",2007-01-17,18.4,18.559999,18.280001,18.52,289200,14.153482
"11",2007-01-18,18.533333,18.533333,18.073334,18.073334,227800,13.812128
"12",2007-01-19,18.073334,18.540001,17.84,18.466667,476400,14.112719
"13",2007-01-22,18.426666,18.446667,18.246666,18.360001,292800,14.0312
"14",2007-01-23,18.426666,18.5,18.293333,18.386667,174900,14.051582
"15",2007-01-24,18.386667,18.813334,18.353333,18.813334,214800,14.377657
"16",2007-01-25,18.806667,18.806667,18.153334,18.206667,294000,13.914022
"17",2007-01-26,18.333334,18.513334,18.133333,18.446667,200800,14.097436
"18",2007-01-29,18.406666,18.42,18.166666,18.353333,171600,14.026107
"19",2007-01-30,18.426666,18.533333,18.32,18.473333,143700,14.117815
"20",2007-01-31,18.766666,19.866667,18.766666,19.206667,669700,14.678251
"21",2007-02-01,19.200001,19.219999,18.66,18.813334,737100,14.377657
"22",2007-02-02,18.700001,18.766666,18.34,18.646667,620500,14.250281
"23",2007-02-05,18.393333,18.440001,18.02,18.166666,479800,13.883453
"24",2007-02-06,18.166666,18.4,18.120001,18.32,1305300,14.000634
"25",2007-02-07,18.373333,18.686666,18.206667,18.553333,467400,14.178951
"26",2007-02-08,18.533333,18.68,18.32,18.666666,422500,14.319591
"27",2007-02-09,18.613333,18.626667,18.24,18.4,312000,14.115022
"28",2007-02-12,18.333334,18.68,18.313334,18.633333,402000,14.294024
"29",2007-02-13,18.626667,18.733334,18.546667,18.666666,554200,14.319591
"30",2007-02-14,18.673334,18.733334,18.639999,18.673334,538600,14.324704
"31",2007-02-15,18.673334,18.786667,18.653334,18.686666,305100,14.334934
"32",2007-02-16,18.6,18.700001,18.333334,18.446667,661500,14.150826
"33",2007-02-20,18.4,18.586666,18.32,18.453333,1049200,14.155942
"34",2007-02-21,18.386667,18.533333,18.326666,18.406666,1029300,14.12014
"35",2007-02-22,18.393333,18.473333,18.273333,18.326666,695500,14.058766
"36",2007-02-23,18.360001,18.360001,18.139999,18.293333,526600,14.033196
"37",2007-02-26,18.299999,18.5,18.206667,18.32,706500,14.053658
"38",2007-02-27,18.093334,18.139999,17.933332,17.946667,565200,13.767262
"39",2007-02-28,17.953333,18.186666,17.773333,17.886667,602200,13.72124
