"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2014-12-12,30.16,35.25,30,33.990002,8341900,33.990002
"2",2014-12-15,33.07,33.48,30.360001,30.52,991600,30.52
"3",2014-12-16,30.190001,31.73,30.030001,31.1,285500,31.1
"4",2014-12-17,30.870001,31.66,30.25,31.219999,262100,31.219999
"5",2014-12-18,31.27,32.700001,30,30.42,284300,30.42
"6",2014-12-19,30.6,31.84,30.469999,31.469999,184900,31.469999
"7",2014-12-22,31.74,31.996,30.77,31.25,80700,31.25
"8",2014-12-23,31.75,32.435001,31.290001,32.099998,175000,32.099998
"9",2014-12-24,32.150002,34,32.145,33.759998,86700,33.759998
"10",2014-12-26,34,34,33.02,33.52,1e+05,33.52
"11",2014-12-29,33.75,37,33.509998,35.919998,303100,35.919998
"12",2014-12-30,35.919998,36.990002,34.529999,35.18,109900,35.18
"13",2014-12-31,35.709999,36.07,34.669998,34.84,64000,34.84
"14",2015-01-02,35.799999,36.470001,34.98,36.470001,104500,36.470001
"15",2015-01-05,37.009998,37.5,34.169998,37.25,246000,37.25
"16",2015-01-06,37,37,34.57,35.599998,694800,35.599998
"17",2015-01-07,35.599998,36.950001,35.290001,35.84,156600,35.84
"18",2015-01-08,36.32,36.66,33.5,35.419998,374700,35.419998
"19",2015-01-09,35.259998,35.349998,33.009998,33.860001,152800,33.860001
"20",2015-01-12,34.310001,34.810001,31.52,34.34,232500,34.34
"21",2015-01-13,34.939999,35.209999,32.169998,32.799999,133100,32.799999
"22",2015-01-14,32.849998,32.849998,31.01,31.25,186600,31.25
"23",2015-01-15,31.24,32.09,30.530001,31.27,260300,31.27
"24",2015-01-16,30.940001,32.200001,30.33,31.9,314200,31.9
"25",2015-01-20,32.389999,32.52,30.940001,31.02,146700,31.02
"26",2015-01-21,31.299999,32,30.370001,31.879999,201700,31.879999
"27",2015-01-22,31.73,31.902,30.809999,31.110001,142000,31.110001
"28",2015-01-23,31.25,33.080002,30.535999,32.799999,247900,32.799999
"29",2015-01-26,32.799999,32.990002,32.07,32.34,86400,32.34
"30",2015-01-27,32.389999,32.400002,31.110001,32.07,69900,32.07
"31",2015-01-28,31.82,32.369999,30.75,31.040001,108900,31.040001
"32",2015-01-29,31.120001,32.02,30.200001,31.709999,149400,31.709999
"33",2015-01-30,31.24,31.849001,30.653999,31.059999,37100,31.059999
"34",2015-02-02,31.6,31.9,29.663,30.33,101700,30.33
"35",2015-02-03,30.299999,31.59,30.18,31.49,63300,31.49
"36",2015-02-04,31.32,31.83,31.172001,31.33,29800,31.33
"37",2015-02-05,31.200001,32.958,31.200001,32.84,94000,32.84
"38",2015-02-06,33,34.330002,33,33.849998,133800,33.849998
"39",2015-02-09,34.189999,34.990002,33.400002,34.939999,96100,34.939999
"40",2015-02-10,34.68,35.330002,34.122002,34.869999,97800,34.869999
"41",2015-02-11,35.490002,35.5,34.169998,35.099998,111500,35.099998
"42",2015-02-12,35.080002,35.98,34.900002,35.849998,130700,35.849998
"43",2015-02-13,37,38.650002,33.029999,33.75,389100,33.75
"44",2015-02-17,34.200001,35.299999,33.23,35.049999,316700,35.049999
"45",2015-02-18,34.799999,35.43,34.799999,35.220001,115900,35.220001
"46",2015-02-19,35.369999,36,34.220001,34.68,133400,34.68
"47",2015-02-20,34.889999,35.25,34.310001,34.889999,83500,34.889999
"48",2015-02-23,34.98,35.98,34.82,35.459999,74600,35.459999
"49",2015-02-24,35.77,35.880001,35.029999,35.299999,77400,35.299999
"50",2015-02-25,35.25,35.84,35,35.200001,50900,35.200001
"51",2015-02-26,35.48,35.48,34.93,35.389999,33600,35.389999
"52",2015-02-27,35.400002,35.415001,34.16,34.459999,77500,34.459999
"53",2015-03-02,34.119999,34.68,33.549999,34.080002,53900,34.080002
"54",2015-03-03,34.139999,35.720001,34.139999,35.09,123200,35.09
"55",2015-03-04,34.689999,35.740002,34.528,34.91,83200,34.91
"56",2015-03-05,35.23,35.75,34.900002,35.169998,82200,35.169998
"57",2015-03-06,35.48,35.48,33.75,34.259998,120100,34.259998
"58",2015-03-09,34.540001,34.84,33.720001,34.450001,103000,34.450001
"59",2015-03-10,34.580002,35.028,34.080002,34.560001,133900,34.560001
"60",2015-03-11,34.369999,35.610001,34.32,34.889999,98000,34.889999
"61",2015-03-12,35.25,35.43,34.580002,34.880001,76100,34.880001
"62",2015-03-13,34.740002,34.900002,33.759998,34.049999,207100,34.049999
"63",2015-03-16,34.419998,34.91,33.57,33.799999,230900,33.799999
"64",2015-03-17,33.720001,34.209999,33.110001,33.25,97300,33.25
"65",2015-03-18,33.09,33.950001,33.049999,33.759998,91100,33.759998
"66",2015-03-19,33.75,34.290001,33.419998,34.099998,136600,34.099998
"67",2015-03-20,34.68,35.27,34.560001,34.759998,510100,34.759998
"68",2015-03-23,34.759998,35.661999,34.450001,34.93,130000,34.93
"69",2015-03-24,34.889999,35.200001,34.400002,34.450001,145100,34.450001
"70",2015-03-25,34.490002,34.992001,32.509998,33.07,146100,33.07
"71",2015-03-26,32.790001,33.779999,32.610001,33.650002,112600,33.650002
"72",2015-03-27,33.630001,33.900002,32.779999,33.299999,81400,33.299999
"73",2015-03-30,33.5,34.240002,33.279999,34,92400,34
"74",2015-03-31,33.75,35.849998,33.59,34.700001,783500,34.700001
"75",2015-04-01,34.68,34.68,32.32,32.619999,177600,32.619999
"76",2015-04-02,32.34,32.564999,31.41,31.67,191300,31.67
"77",2015-04-06,32.220001,32.990002,32,32.91,68400,32.91
"78",2015-04-07,33.029999,33.029999,32.029999,32.209999,88300,32.209999
"79",2015-04-08,32.450001,33.209999,32.450001,33.099998,74900,33.099998
"80",2015-04-09,33.189999,33.339001,32.66,32.950001,109000,32.950001
"81",2015-04-10,33.25,33.518002,32.630001,32.720001,62700,32.720001
"82",2015-04-13,32.560001,33.119999,32.25,32.470001,90400,32.470001
"83",2015-04-14,32.470001,33.59,32.150002,33.450001,135300,33.450001
"84",2015-04-15,33.490002,33.717999,32.529999,33.110001,97300,33.110001
"85",2015-04-16,33.09,33.419998,32.490002,32.59,52300,32.59
"86",2015-04-17,32.119999,32.630001,31.67,32.009998,249200,32.009998
"87",2015-04-20,32.049999,32.91,31.959999,32.91,75300,32.91
"88",2015-04-21,33.049999,34.549999,32.619999,34.52,166300,34.52
"89",2015-04-22,34.400002,34.41,32.93,33.02,71200,33.02
