"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2011-01-27,24.9,25.85,24.9,25.4,5809300,21.439512
"2",2011-01-28,25.4,25.4,25,25,2611900,21.101881
"3",2011-01-31,24.98,26.5,24.75,26.07,2505300,22.005043
"4",2011-02-01,26.450001,26.629999,25.5,25.75,2155300,21.734938
"5",2011-02-02,25.98,26.33,25.74,25.950001,1173100,21.903753
"6",2011-02-03,25.76,26.08,25.75,25.950001,668300,21.903753
"7",2011-02-04,26.049999,27.1,25.75,26.08,720200,22.013481
"8",2011-02-07,26.049999,26.200001,25.639999,25.790001,1204800,21.7687
"9",2011-02-08,25.700001,26.059999,25.65,26.030001,3632000,21.971279
"10",2011-02-09,25.969999,26.200001,25.530001,25.58,873200,21.591444
"11",2011-02-10,25.5,25.639999,25,25.4,1149600,21.439512
"12",2011-02-11,26.02,26.02,25.110001,25.219999,2107900,21.287575
"13",2011-02-14,25.469999,25.469999,25.110001,25.370001,1122500,21.414192
"14",2011-02-15,25.32,25.42,25.059999,25.379999,887500,21.422632
"15",2011-02-16,25.309999,26,25.309999,26,853400,21.945957
"16",2011-02-17,25.879999,27.209999,25.879999,27.01,1733100,22.79847
"17",2011-02-18,27.08,27.84,26.9,27.690001,1360800,23.372444
"18",2011-02-22,27.15,27.49,26.209999,26.42,1109400,22.300467
"19",2011-02-23,26.15,26.719999,25.969999,26.66,1125400,22.503048
"20",2011-02-24,26.459999,26.52,25.940001,25.950001,496900,21.903753
"21",2011-02-25,26.040001,26.16,25.780001,25.99,556100,21.937519
"22",2011-02-28,26.110001,26.74,25.959999,26.59,872400,22.443962
"23",2011-03-01,26,27.5,25.92,27.129999,1033500,22.899761
"24",2011-03-02,27.049999,27.25,26.74,26.92,419700,22.722506
"25",2011-03-03,26.84,26.940001,26.07,26.74,2173600,22.570566
"26",2011-03-04,26.52,27.040001,26.32,26.549999,719100,22.4102
"27",2011-03-07,27.27,27.84,26.85,27,1476600,22.790033
"28",2011-03-08,27,27.49,26.9,27.1,921300,22.874439
"29",2011-03-09,27,27.18,26.68,26.969999,470800,22.764706
"30",2011-03-10,26.469999,26.940001,25.870001,26.02,1128300,21.962841
"31",2011-03-11,25.809999,26.48,25.809999,26,706900,21.945957
"32",2011-03-14,25.790001,26.76,25.77,26.459999,786600,22.334229
"33",2011-03-15,25.9,26.58,25.809999,26.34,859600,22.232944
"34",2011-03-16,26.32,26.379999,25.709999,26.030001,1261100,21.971279
"35",2011-03-17,26.43,26.49,26.040001,26.09,363600,22.021917
"36",2011-03-18,26.200001,26.66,26.200001,26.639999,663900,22.486166
"37",2011-03-21,26.65,27.059999,26.440001,27,377600,22.790033
"38",2011-03-22,26.91,27.469999,26.82,27.15,720600,22.916641
"39",2011-03-23,27.01,27.379999,26.629999,26.780001,812000,22.604336
"40",2011-03-24,26.85,27.139999,26.43,27.059999,225200,22.840675
"41",2011-03-25,27.209999,28.15,27.209999,27.620001,475200,23.31336
"42",2011-03-28,27.58,28.02,27.34,27.49,605300,23.203629
"43",2011-03-29,27.52,27.940001,27.309999,27.940001,410800,23.583466
"44",2011-03-30,28.01,28.15,27.620001,27.82,912000,23.48217
