"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,20.629999,20.879999,20.559999,20.66,11128800,13.491369
"2",2007-01-04,20.51,21,20.5,20.92,9667100,13.661153
"3",2007-01-05,19.9,19.969999,19.690001,19.84,35807700,12.955894
"4",2007-01-08,19.790001,19.809999,19.59,19.639999,12109200,12.825289
"5",2007-01-09,19.6,19.610001,19.360001,19.379999,14194600,12.655502
"6",2007-01-10,19.110001,19.120001,18.870001,19.08,21479100,12.459599
"7",2007-01-11,19.26,19.540001,19.219999,19.389999,18222800,12.662034
"8",2007-01-12,19.379999,19.559999,19.23,19.49,14985400,12.727338
"9",2007-01-16,19.83,20,19.799999,19.85,15807300,12.962425
"10",2007-01-17,19.9,20.02,19.83,19.85,10038200,12.962425
"11",2007-01-18,19.9,19.98,19.74,19.959999,13547700,13.034254
"12",2007-01-19,19.719999,20.219999,19.719999,20.129999,25655600,13.145268
"13",2007-01-22,20,20.07,19.809999,19.84,12935100,12.955894
"14",2007-01-23,19.780001,20.07,19.75,19.950001,18899400,13.027728
"15",2007-01-24,20.110001,20.43,20,20.209999,29515300,13.197511
"16",2007-01-25,21.540001,21.559999,20.85,21.110001,60580000,13.785228
"17",2007-01-26,21.32,21.629999,21.26,21.58,23879900,14.092147
"18",2007-01-29,21.379999,21.559999,21.33,21.4,19681500,13.974605
"19",2007-01-30,21.66,21.91,21.620001,21.860001,15952000,14.274992
"20",2007-01-31,21.860001,22.15,21.77,22.1,12126100,14.431715
"21",2007-02-01,22.129999,22.24,22.040001,22.120001,10937400,14.444775
"22",2007-02-02,21.870001,22.120001,21.85,22.07,9769800,14.412123
"23",2007-02-05,22.15,22.219999,22.02,22.110001,6781400,14.438246
"24",2007-02-06,22.200001,22.24,21.93,22.09,8086200,14.425186
"25",2007-02-07,22.09,22.15,21.950001,22.07,14866400,14.412123
"26",2007-02-08,21.9,22.110001,21.82,22.07,8788200,14.412123
"27",2007-02-09,21.950001,21.99,21.620001,21.74,13811500,14.196628
"28",2007-02-12,21.799999,21.84,21.68,21.780001,9268600,14.222752
"29",2007-02-13,21.940001,22.32,21.940001,22.24,12267300,14.52314
"30",2007-02-14,22.5,23,22.5,22.959999,18714300,14.993313
"31",2007-02-15,22.91,23.040001,22.83,22.940001,9073100,14.980249
"32",2007-02-16,22.950001,23.209999,22.92,23.139999,11694600,15.110854
"33",2007-02-20,23.030001,23.1,22.860001,22.99,9730400,15.012902
"34",2007-02-21,22.799999,22.98,22.74,22.879999,9366600,14.94107
"35",2007-02-22,22.84,22.860001,22.700001,22.84,9856700,14.914949
"36",2007-02-23,22.780001,22.959999,22.75,22.84,14065200,14.914949
"37",2007-02-26,22.860001,23.030001,22.75,23.030001,9386100,15.039021
"38",2007-02-27,22.370001,22.51,21.5,21.870001,16492900,14.281524
"39",2007-02-28,21.790001,21.93,21.559999,21.83,12758500,14.255402
"40",2007-03-01,21.23,21.6,21.030001,21.530001,17188200,14.059497
"41",2007-03-02,21.219999,21.360001,21.1,21.139999,15770500,13.804815
"42",2007-03-05,20.790001,21.299999,20.77,21.02,12958100,13.726455
"43",2007-03-06,21.450001,21.51,21.26,21.450001,12179900,14.007254
"44",2007-03-07,21.43,21.690001,21.379999,21.51,5768100,14.046433
"45",2007-03-08,21.639999,21.93,21.629999,21.74,8150100,14.196628
"46",2007-03-09,21.809999,21.889999,21.610001,21.66,9010500,14.144389
"47",2007-03-12,21.66,21.75,21.559999,21.629999,7268500,14.124795
"48",2007-03-13,21.549999,21.709999,21.23,21.299999,8767600,13.909302
"49",2007-03-14,21.190001,21.370001,20.940001,21.33,8940300,13.92889
"50",2007-03-15,21.360001,21.719999,21.309999,21.66,8484300,14.144389
"51",2007-03-16,21.92,22.02,21.780001,21.85,8584800,14.268459
"52",2007-03-19,22.209999,22.23,22.040001,22.16,8126300,14.470896
"53",2007-03-20,21.9,22.209999,21.799999,22.139999,9869800,14.457837
"54",2007-03-21,22.41,22.9,22.200001,22.860001,9518400,14.928012
"55",2007-03-22,23.190001,23.219999,22.9,22.959999,12316500,14.993313
"56",2007-03-23,22.99,23.09,22.83,22.969999,10638600,14.99984
"57",2007-03-26,22.959999,22.959999,22.620001,22.870001,10293600,14.934543
"58",2007-03-27,22.790001,22.83,22.57,22.73,7429100,14.84312
"59",2007-03-28,22.549999,22.6,22.32,22.42,9729000,14.640682
"60",2007-03-29,22.92,23.01,22.719999,22.9,8843400,14.954129
"61",2007-03-30,22.84,23.02,22.799999,22.92,7637200,14.967192
"62",2007-04-02,22.76,22.780001,22.540001,22.700001,12068800,14.823527
"63",2007-04-03,22.84,23.08,22.74,22.959999,10252900,14.993313
"64",2007-04-04,23.379999,23.389999,23.16,23.34,11061200,15.241461
"65",2007-04-05,23.540001,23.690001,23.459999,23.540001,8728600,15.372061
"66",2007-04-09,23.700001,23.719999,23.33,23.540001,7970600,15.372061
"67",2007-04-10,23.620001,23.83,23.57,23.74,10262800,15.502666
"68",2007-04-11,23.790001,23.809999,23.33,23.379999,10704200,15.26758
"69",2007-04-12,23.379999,23.540001,23.23,23.48,15535700,15.332884
"70",2007-04-13,23.700001,23.879999,23.52,23.790001,7764700,15.535316
"71",2007-04-16,23.99,24.18,23.969999,24.030001,11302200,15.692041
"72",2007-04-17,24.049999,24.07,23.85,23.92,8763500,15.620209
"73",2007-04-18,23.799999,24,23.610001,23.870001,12617900,15.58756
"74",2007-04-19,24.700001,24.84,24.6,24.65,22460100,16.096916
"75",2007-04-20,25,25.23,24.799999,25.049999,17226000,16.358124
"76",2007-04-23,24.879999,25.01,24.84,24.889999,7214200,16.253635
"77",2007-04-24,25.139999,25.16,24.9,25.09,9547400,16.384243
"78",2007-04-25,25.25,25.42,25.16,25.35,7564000,16.554026
"79",2007-04-26,25.559999,25.75,25.459999,25.68,9435700,16.76952
"80",2007-04-27,25.549999,25.639999,25.4,25.6,7252800,16.717279
"81",2007-04-30,25.4,25.59,25.25,25.25,9228600,16.488724
"82",2007-05-01,25.27,25.370001,25.09,25.33,5822500,16.540968
"83",2007-05-02,25.709999,25.879999,25.68,25.709999,9075400,16.789112
"84",2007-05-03,25.530001,25.799999,25.450001,25.639999,9056400,16.743402
"85",2007-05-04,25.370001,25.48,25.24,25.389999,7398100,16.95343
"86",2007-05-07,25.25,25.32,25.049999,25.059999,10991700,16.733082
"87",2007-05-08,24.92,24.92,24.74,24.84,13775300,16.586184
"88",2007-05-09,24.799999,25.129999,24.790001,25.129999,9178700,16.779821
"89",2007-05-10,24.93,25.030001,24.42,24.450001,9906900,16.325773
"90",2007-05-11,24.809999,25.07,24.74,25.07,7728500,16.739759
"91",2007-05-14,26.219999,26.219999,25.85,25.959999,18067000,17.33403
"92",2007-05-15,26.040001,26.42,26.02,26.309999,15268000,17.567734
"93",2007-05-16,26.75,26.809999,26.5,26.66,7292700,17.801435
"94",2007-05-17,26.58,26.709999,26.43,26.57,6375400,17.741343
"95",2007-05-18,26.85,27.1,26.790001,27.040001,11234300,18.055172
"96",2007-05-21,27.139999,27.16,26.92,26.969999,12282100,18.008429
"97",2007-05-22,26.73,26.73,26.379999,26.43,9830400,17.64786
"98",2007-05-23,26.48,26.67,26.370001,26.389999,6262500,17.621151
"99",2007-05-24,26.549999,26.59,26.110001,26.26,9960700,17.534349
"100",2007-05-25,26.65,26.74,26.540001,26.67,7403400,17.808115
"101",2007-05-29,26.709999,26.77,26.41,26.469999,5412000,17.67457
"102",2007-05-30,26.75,27.219999,26.709999,27.16,10773100,18.135298
"103",2007-05-31,27.5,27.57,27.219999,27.379999,16681300,18.282196
"104",2007-06-01,27.540001,28.200001,27.51,28.190001,13150000,18.82305
"105",2007-06-04,28.299999,28.559999,28.290001,28.5,9369300,19.030043
"106",2007-06-05,28.57,28.6,28.030001,28.33,8229600,18.916531
"107",2007-06-06,28.450001,28.52,28.110001,28.219999,5626500,18.843081
"108",2007-06-07,28.190001,28.389999,27.549999,27.67,11649500,18.475834
"109",2007-06-08,27.83,28.18,27.76,28.049999,10203400,18.729568
"110",2007-06-11,28.139999,28.440001,28.07,28.309999,7208400,18.903177
"111",2007-06-12,27.74,27.889999,27.5,27.5,9142500,18.362324
"112",2007-06-13,27.76,28.16,27.719999,28.09,7719400,18.756279
"113",2007-06-14,28.17,28.65,28.17,28.58,7106700,19.083462
"114",2007-06-15,28.940001,29.120001,28.799999,29.01,7534300,19.370581
"115",2007-06-18,29.08,29.09,28.58,28.65,4946200,19.130199
"116",2007-06-19,28.620001,28.66,28.280001,28.610001,7440000,19.103491
"117",2007-06-20,29.139999,29.190001,28.190001,28.290001,17143200,18.88982
"118",2007-06-21,27.75,28.049999,27.57,28,12464000,18.696182
"119",2007-06-22,28.059999,28.110001,27.629999,27.76,7130400,18.535931
"120",2007-06-25,27.629999,27.92,27.459999,27.59,9172000,18.422421
"121",2007-06-26,27.82,27.83,27.440001,27.5,6217500,18.362324
"122",2007-06-27,27.42,27.719999,27.35,27.66,5946200,18.469158
"123",2007-06-28,28.02,28.190001,27.92,27.959999,10424600,18.669474
"124",2007-06-29,28.26,28.27,27.940001,28.110001,8225800,18.769634
"125",2007-07-02,28.200001,28.6,28.18,28.549999,6659700,19.063429
"126",2007-07-03,29.110001,29.23,29.049999,29.129999,4545400,19.450708
"127",2007-07-05,28.860001,28.959999,28.5,28.68,7226600,19.150234
"128",2007-07-06,28.84,29.030001,28.76,28.92,5008800,19.310486
"129",2007-07-09,28.860001,29.15,28.82,29.030001,4248000,19.383934
"130",2007-07-10,28.950001,29.139999,28.76,28.780001,5888200,19.217003
"131",2007-07-11,28.799999,28.93,28.719999,28.860001,9363500,19.270424
"132",2007-07-12,29.67,30,29.51,29.950001,14152600,19.99824
"133",2007-07-13,30.280001,30.309999,29.82,29.91,8032800,19.971531
"134",2007-07-16,29.98,30.120001,29.76,29.85,5970900,19.931467
"135",2007-07-17,29.99,30.23,29.9,30.07,6534400,20.078367
"136",2007-07-18,29.84,29.91,29.379999,29.73,10365600,19.851341
"137",2007-07-19,29.809999,30,29.75,29.75,6768500,19.864693
"138",2007-07-20,29.620001,29.66,29.17,29.280001,6802700,19.550867
"139",2007-07-23,29.059999,29.139999,28.92,29,6753900,19.363901
"140",2007-07-24,28.889999,29.01,28.379999,28.549999,8033600,19.063429
"141",2007-07-25,28.610001,28.66,28.01,28.15,12052600,18.796341
"142",2007-07-26,27.370001,27.74,27.059999,27.709999,21109600,18.502546
"143",2007-07-27,28.209999,28.76,27.5,27.959999,13732900,18.669474
"144",2007-07-30,28.700001,28.76,28.389999,28.58,11670600,19.083462
"145",2007-07-31,28.940001,29.17,28.5,28.639999,9803000,19.123526
"146",2007-08-01,28.26,28.700001,27.940001,28.41,16401000,18.969946
"147",2007-08-02,30.57,30.950001,30.33,30.9,30007600,20.632574
"148",2007-08-03,30.440001,30.68,29.440001,29.65,20059600,19.797922
"149",2007-08-06,29.93,30.23,29.59,30.17,13681700,20.145138
"150",2007-08-07,29.809999,30.219999,29.360001,29.76,13637600,19.871372
"151",2007-08-08,30.48,31.15,30.42,30.799999,15370500,20.565798
"152",2007-08-09,30.15,30.530001,29.540001,29.629999,12307500,19.784567
"153",2007-08-10,29.440001,30.02,29.139999,29.9,14154100,19.964851
"154",2007-08-13,30.450001,30.860001,30.379999,30.48,10182000,20.352127
"155",2007-08-14,30.49,30.559999,29.780001,29.84,8723700,19.924789
"156",2007-08-15,29.25,29.68,28.76,28.85,14071600,19.263744
"157",2007-08-16,28.4,28.66,27.35,28.4,20077300,18.96327
"158",2007-08-17,29.559999,29.75,28.879999,29.370001,14756500,19.61096
"159",2007-08-20,29.870001,29.91,29.18,29.620001,10882600,19.777891
"160",2007-08-21,29.530001,29.99,29.48,29.700001,9054900,19.831308
"161",2007-08-22,30.52,30.68,30.360001,30.530001,12950200,20.385517
"162",2007-08-23,30.450001,30.469999,29.84,30.139999,8483100,20.125105
"163",2007-08-24,30.5,30.969999,30.450001,30.969999,6483400,20.679314
"164",2007-08-27,30.879999,31.030001,30.74,30.790001,5544600,20.559124
"165",2007-08-28,30.629999,30.73,29.940001,30.01,5685900,20.038303
"166",2007-08-29,31.469999,32.18,31.43,32.18,14009100,21.487255
"167",2007-08-30,32.509998,32.849998,32.150002,32.470001,19029200,21.680895
"168",2007-08-31,33.130001,33.139999,32.779999,32.880001,6766800,21.954659
"169",2007-09-04,32.860001,33.77,32.82,33.599998,7781400,22.435419
