"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,11.95,12.15,11.55,11.72,5398900,11.72
"2",2007-01-04,11.69,12,11.39,11.91,2948900,11.91
"3",2007-01-05,11.88,11.9,11.52,11.61,2648300,11.61
"4",2007-01-08,11.69,12.01,11.49,11.94,3135200,11.94
"5",2007-01-09,12.01,12.25,11.88,11.99,3867700,11.99
"6",2007-01-10,12.01,12.53,11.9,12.38,4548700,12.38
"7",2007-01-11,12.38,12.57,12.19,12.25,2989200,12.25
"8",2007-01-12,12.31,12.42,12.12,12.25,1676900,12.25
"9",2007-01-16,12.28,12.72,12.25,12.48,2946200,12.48
"10",2007-01-17,12.4,12.4,12.19,12.22,3784800,12.22
"11",2007-01-18,12.19,12.19,11.54,11.59,3340200,11.59
"12",2007-01-19,11.6,11.91,11.59,11.81,2390600,11.81
"13",2007-01-22,11.84,11.84,11.4,11.49,1936600,11.49
"14",2007-01-23,11.46,11.7,11.41,11.56,2230700,11.56
"15",2007-01-24,11.6,11.79,11.57,11.61,2459000,11.61
"16",2007-01-25,11.63,11.71,11.21,11.26,2183300,11.26
"17",2007-01-26,11.35,11.39,11.01,11.25,1733400,11.25
"18",2007-01-29,11.25,11.32,11,11.11,2826700,11.11
"19",2007-01-30,11.5,11.55,11.07,11.2,2605800,11.2
"20",2007-01-31,11.24,11.74,11.1,11.55,5459800,11.55
"21",2007-02-01,11.55,11.83,11.29,11.36,3397100,11.36
"22",2007-02-02,11.41,11.58,11.31,11.44,3093100,11.44
"23",2007-02-05,11.58,11.75,11.29,11.34,3386100,11.34
"24",2007-02-06,12.28,13.63,12.12,13.42,23470100,13.42
"25",2007-02-07,13.37,13.75,13.37,13.73,7679600,13.73
"26",2007-02-08,13.54,14,13.52,13.78,5627100,13.78
"27",2007-02-09,13.82,14.15,13.8,13.99,5933100,13.99
"28",2007-02-12,13.55,13.73,13.4,13.54,4731100,13.54
"29",2007-02-13,13.74,14.08,13.67,14.07,6480700,14.07
"30",2007-02-14,14.25,14.46,14.08,14.4,7741100,14.4
"31",2007-02-15,14.47,14.59,14.32,14.4,4662600,14.4
"32",2007-02-16,14.3,14.47,14.12,14.46,4125600,14.46
"33",2007-02-20,14.39,15.03,14.32,15,6257300,15
"34",2007-02-21,14.91,15.05,14.82,14.98,3406000,14.98
"35",2007-02-22,14.99,15.16,14.78,14.87,3210500,14.87
"36",2007-02-23,14.9,15.09,14.87,15.07,2930900,15.07
"37",2007-02-26,15.01,15.2,14.8,14.9,3452800,14.9
"38",2007-02-27,14.44,14.55,14.02,14.14,6197400,14.14
"39",2007-02-28,14.15,14.29,13.55,14.09,5253000,14.09
"40",2007-03-01,13.45,14.19,13.19,14.09,5004300,14.09
"41",2007-03-02,13.96,14.25,13.91,13.97,3768900,13.97
"42",2007-03-05,13.59,13.96,13.32,13.65,3157400,13.65
"43",2007-03-06,13.79,14.24,13.76,14.16,3321100,14.16
"44",2007-03-07,14.16,14.22,13.9,13.93,2586100,13.93
"45",2007-03-08,14.19,14.3,14,14.01,2333500,14.01
"46",2007-03-09,14.16,14.29,14,14.13,2808800,14.13
"47",2007-03-12,14.01,14.17,13.98,14.02,2342600,14.02
"48",2007-03-13,13.88,13.9,13.36,13.39,4304000,13.39
"49",2007-03-14,13.26,13.5,13.09,13.37,4182900,13.37
"50",2007-03-15,13.5,14.04,13.46,14.04,3495200,14.04
"51",2007-03-16,13.94,14.55,13.94,14.26,5209000,14.26
"52",2007-03-19,14.41,14.59,14.21,14.53,3159500,14.53
"53",2007-03-20,14.47,14.74,14.41,14.69,2471300,14.69
"54",2007-03-21,14.65,15.85,14.64,15.83,6938000,15.83
"55",2007-03-22,15.99,16.629999,15.93,16.200001,9557800,16.200001
"56",2007-03-23,16.030001,16.200001,15.68,15.98,4187500,15.98
"57",2007-03-26,15.85,16.120001,15.78,15.95,3090100,15.95
"58",2007-03-27,15.41,15.67,14.84,15.53,4006300,15.53
"59",2007-03-28,15.44,15.66,15.26,15.59,2707000,15.59
"60",2007-03-29,15.72,15.76,15.07,15.28,2799900,15.28
"61",2007-03-30,15.32,15.54,15.01,15.31,2621800,15.31
"62",2007-04-02,15.31,15.35,15.01,15.28,2870700,15.28
"63",2007-04-03,15.29,15.69,15.28,15.44,2345400,15.44
"64",2007-04-04,15.89,16.07,15.68,15.73,4125800,15.73
"65",2007-04-05,15.69,15.77,15.51,15.57,2187200,15.57
"66",2007-04-09,15.71,16.030001,15.71,15.94,2846100,15.94
"67",2007-04-10,15.88,16.23,15.84,16.17,1883400,16.17
"68",2007-04-11,16.16,16.25,15.66,15.92,2333300,15.92
"69",2007-04-12,15.86,16.35,15.81,16.33,2693400,16.33
"70",2007-04-13,16.35,16.57,15.98,16.190001,2232200,16.190001
"71",2007-04-16,16.27,16.48,16.190001,16.41,2020000,16.41
"72",2007-04-17,16.360001,17.02,16.32,16.780001,3245400,16.780001
"73",2007-04-18,16.77,16.969999,16.42,16.5,1747800,16.5
"74",2007-04-19,16.360001,16.58,16.110001,16.25,2718300,16.25
"75",2007-04-20,16.49,16.59,16.309999,16.440001,1498400,16.440001
"76",2007-04-23,16.379999,16.52,16.18,16.360001,1792900,16.360001
"77",2007-04-24,16.5,16.52,15.98,16.09,2444200,16.09
"78",2007-04-25,16.15,16.379999,16.02,16.299999,2138200,16.299999
"79",2007-04-26,16.25,16.25,15.91,15.98,1896100,15.98
"80",2007-04-27,15.93,16.049999,15.69,15.89,1323600,15.89
"81",2007-04-30,15.88,15.92,15.36,15.41,2372900,15.41
"82",2007-05-01,15.35,15.4,15.02,15.09,3736000,15.09
"83",2007-05-02,15.01,15.44,15,15.44,2601000,15.44
"84",2007-05-03,15.37,15.94,15.33,15.9,2469700,15.9
"85",2007-05-04,15.96,15.96,15.53,15.68,1732900,15.68
"86",2007-05-07,15.85,15.85,15.27,15.29,2192200,15.29
"87",2007-05-08,15.32,15.38,14.95,15.15,3419600,15.15
"88",2007-05-09,14.99,15.69,14.94,15.58,3496900,15.58
"89",2007-05-10,15.59,15.67,15.1,15.27,2473700,15.27
"90",2007-05-11,15.25,15.69,15.17,15.42,1570200,15.42
"91",2007-05-14,15.37,15.49,15.23,15.28,2878700,15.28
"92",2007-05-15,15.53,16.09,15.44,15.74,4587400,15.74
"93",2007-05-16,15.87,15.87,15.56,15.7,2570400,15.7
"94",2007-05-17,15.72,15.87,15.56,15.69,1874500,15.69
"95",2007-05-18,15.79,16.41,15.71,16.370001,2510200,16.370001
"96",2007-05-21,16.309999,16.52,16.309999,16.389999,1867700,16.389999
"97",2007-05-22,16.290001,16.67,16.24,16.620001,1995200,16.620001
"98",2007-05-23,16.700001,17.200001,16.629999,16.690001,3177400,16.690001
"99",2007-05-24,16.610001,16.780001,16.110001,16.23,2550800,16.23
"100",2007-05-25,16.200001,16.43,16.01,16.25,1733500,16.25
"101",2007-05-29,16.34,16.59,16.25,16.42,1309400,16.42
"102",2007-05-30,16.24,16.59,16.200001,16.59,1353800,16.59
"103",2007-05-31,16.58,16.98,16.58,16.73,2290500,16.73
"104",2007-06-01,16.75,16.83,16.629999,16.809999,1569300,16.809999
"105",2007-06-04,16.74,17.18,16.65,17.15,2478200,17.15
"106",2007-06-05,17.1,17.469999,17.049999,17.24,2893600,17.24
"107",2007-06-06,17.049999,17.299999,16.959999,17.190001,1994500,17.190001
"108",2007-06-07,17.17,17.4,16.780001,16.93,2644000,16.93
"109",2007-06-08,16.84,16.99,16.48,16.6,2363100,16.6
"110",2007-06-11,16.530001,16.85,16.530001,16.799999,1758800,16.799999
"111",2007-06-12,16.75,16.9,16.58,16.73,1454800,16.73
"112",2007-06-13,16.780001,16.889999,16.629999,16.870001,2309000,16.870001
"113",2007-06-14,16.889999,17.200001,16.790001,17.139999,1822800,17.139999
"114",2007-06-15,17.360001,17.5,17.209999,17.27,3370300,17.27
"115",2007-06-18,17.66,18,17.450001,17.98,2659700,17.98
"116",2007-06-19,17.870001,18.540001,17.75,18.469999,3694000,18.469999
"117",2007-06-20,18.68,18.85,18.15,18.360001,4929000,18.360001
"118",2007-06-21,18.299999,18.299999,17.809999,17.98,3572800,17.98
"119",2007-06-22,16.959999,16.98,16.1,16.65,10126900,16.65
"120",2007-06-25,16.790001,16.809999,15.77,15.99,4602500,15.99
"121",2007-06-26,16.1,16.139999,15.63,16.030001,3810800,16.030001
"122",2007-06-27,15.95,17.16,15.94,16.950001,4503900,16.950001
"123",2007-06-28,16.879999,17.290001,16.82,17.209999,3258900,17.209999
"124",2007-06-29,17.299999,17.33,16.66,16.73,3319500,16.73
"125",2007-07-02,16.73,16.889999,16.43,16.84,1612600,16.84
"126",2007-07-03,16.889999,17.35,16.809999,16.83,1272100,16.83
"127",2007-07-05,16.85,17.18,16.76,16.93,1500400,16.93
"128",2007-07-06,16.889999,17.040001,16.65,16.98,1109800,16.98
"129",2007-07-09,16.99,17.139999,16.75,16.969999,1444600,16.969999
"130",2007-07-10,16.809999,16.889999,16.450001,16.450001,1493900,16.450001
"131",2007-07-11,16.85,17.190001,16.65,17.110001,2077900,17.110001
"132",2007-07-12,17.299999,17.790001,17.25,17.75,2107200,17.75
"133",2007-07-13,17.67,17.799999,17.51,17.690001,1508700,17.690001
"134",2007-07-16,17.77,17.99,17.700001,17.82,1472800,17.82
"135",2007-07-17,17.889999,18.290001,17.85,18.209999,1707200,18.209999
"136",2007-07-18,18.139999,18.139999,17.77,18.1,1391700,18.1
"137",2007-07-19,18.059999,18.48,18.049999,18.26,2186400,18.26
"138",2007-07-20,18.219999,18.280001,17.77,17.889999,1610200,17.889999
"139",2007-07-23,17.99,18.280001,17.84,18.01,1323100,18.01
"140",2007-07-24,17.889999,17.959999,17.370001,17.51,1804200,17.51
"141",2007-07-25,17.780001,17.969999,17.139999,17.379999,1598300,17.379999
"142",2007-07-26,17.049999,17.139999,16.51,16.950001,2196300,16.950001
"143",2007-07-27,16.799999,16.950001,16.450001,16.559999,2082900,16.559999
"144",2007-07-30,16.52,16.860001,16.309999,16.73,1439400,16.73
"145",2007-07-31,16.93,17.059999,16.450001,16.48,1607500,16.48
"146",2007-08-01,16.379999,16.83,16.27,16.74,1742100,16.74
"147",2007-08-02,16.75,16.940001,16.41,16.67,1640400,16.67
"148",2007-08-03,16.610001,16.9,16.25,16.33,1925000,16.33
"149",2007-08-06,16.549999,16.99,16.190001,16.780001,2533500,16.780001
"150",2007-08-07,16.309999,16.43,14.81,15.89,10710900,15.89
"151",2007-08-08,16.09,16.9,15.99,16.76,10882900,16.76
"152",2007-08-09,16.450001,18.559999,16.360001,17.92,6493900,17.92
"153",2007-08-10,17.66,19.040001,17.66,18.530001,6376200,18.530001
"154",2007-08-13,18.77,18.92,18.27,18.370001,3908800,18.370001
"155",2007-08-14,18.32,18.629999,18.120001,18.450001,3057800,18.450001
"156",2007-08-15,18.299999,18.889999,18.01,18.15,3154600,18.15
"157",2007-08-16,17.51,17.700001,16.790001,17.65,4083900,17.65
"158",2007-08-17,18.459999,18.5,17.26,18.15,2559600,18.15
"159",2007-08-20,18.09,18.950001,18.09,18.9,2149000,18.9
"160",2007-08-21,18.940001,19.67,18.85,19.190001,3264600,19.190001
"161",2007-08-22,19.49,19.51,19.200001,19.440001,1417600,19.440001
"162",2007-08-23,19.610001,19.690001,18.67,18.76,2073000,18.76
