"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2011-05-04,19.5,24,18,18.01,90762000,1.642455
"2",2011-05-05,18.17,18.73,15.5,16.870001,28588400,1.538491
"3",2011-05-06,17.23,17.41,16.110001,16.799999,7682300,1.532107
"4",2011-05-09,17.32,17.549999,15.88,16.030001,8713600,1.461885
"5",2011-05-10,15.68,15.7,14.51,14.75,15584400,1.345153
"6",2011-05-11,14.55,14.55,13.04,13.49,20357200,1.230245
"7",2011-05-12,13.39,13.98,12.55,12.6,14011900,1.14908
"8",2011-05-13,12.9,13.35,12,13.16,13712100,1.20015
"9",2011-05-16,13.25,13.57,12.3,12.6,8284300,1.14908
"10",2011-05-17,12.6,12.97,12.36,12.73,4055500,1.160936
"11",2011-05-18,13.18,13.89,13.12,13.7,9362600,1.249397
"12",2011-05-19,14,14.8,13.67,13.75,17229900,1.253956
"13",2011-05-20,13.88,13.88,12.95,13,6222000,1.185559
"14",2011-05-23,12.48,12.68,12.3,12.4,4657800,1.130841
"15",2011-05-24,12.66,13.05,12.2,12.26,4253800,1.118073
"16",2011-05-25,12.27,12.68,12.2,12.35,3935000,1.126281
"17",2011-05-26,12.49,12.69,12.26,12.69,2899600,1.157288
"18",2011-05-27,12.97,13.15,12.8,13,4188900,1.185559
"19",2011-05-31,13.26,13.35,12.62,12.85,4800800,1.171879
"20",2011-06-01,12.85,12.92,12.31,12.4,3618100,1.130841
"21",2011-06-02,12.59,13.18,12.41,13.01,2987000,1.186471
"22",2011-06-03,12.75,13.22,12.6,12.69,4047100,1.157288
"23",2011-06-06,12.9,12.93,12.12,12.34,3335700,1.125369
"24",2011-06-07,12.4,12.7,12.1,12.17,2912300,1.109866
"25",2011-06-08,12.13,12.27,10.4,10.51,10736500,0.958479
"26",2011-06-09,10.42,10.6,9.1,9.17,11750500,0.836275
"27",2011-06-10,9.15,9.67,8.8,9.35,7082600,0.85269
"28",2011-06-13,9.25,9.57,7.91,8,10536100,0.729575
"29",2011-06-14,8.37,8.86,8.22,8.27,9389000,0.754198
"30",2011-06-15,8.14,8.24,7.45,7.52,7775600,0.6858
"31",2011-06-16,7.85,8.04,6.77,6.78,11228200,0.618315
"32",2011-06-17,7.16,7.25,6.55,7.03,8877500,0.641114
"33",2011-06-20,7.17,8.07,6.95,7.6,10565300,0.693096
"34",2011-06-21,7.89,7.89,7.1,7.21,13882900,0.657529
"35",2011-06-22,7.19,7.54,6.86,6.88,9324400,0.627434
"36",2011-06-23,6.75,6.88,6.43,6.53,12290100,0.595515
"37",2011-06-24,6.66,6.67,6.13,6.23,8329600,0.568156
"38",2011-06-27,6.29,7.09,6.15,7,12186700,0.638378
"39",2011-06-28,7.24,7.95,6.91,7.6,15866700,0.693096
"40",2011-06-29,7.7,8.6,7.65,8.57,16172400,0.781557
"41",2011-06-30,8.91,9.3,8.7,8.85,16562000,0.807092
"42",2011-07-01,8.69,9.29,8.24,9.25,8172200,0.843571
"43",2011-07-05,9.65,10.19,9.35,9.94,8609200,0.906497
"44",2011-07-06,10.2,11,10.09,10.7,9339900,0.975806
"45",2011-07-07,11.58,11.99,11.14,11.33,12972000,1.03326
"46",2011-07-08,10.89,11.3,10.5,10.91,7688800,0.994957
"47",2011-07-11,10.43,10.65,9.8,9.84,8479800,0.897377
"48",2011-07-12,9.83,9.95,9.23,9.52,7042700,0.868194
"49",2011-07-13,10.11,10.5,10,10.25,7163500,0.934768
"50",2011-07-14,10.83,10.83,9.75,10.02,6799600,0.913792
"51",2011-07-15,10.45,10.5,9.9,10.26,4665000,0.93568
"52",2011-07-18,9.91,11.04,9.78,10.95,5506000,0.998605
"53",2011-07-19,11.32,11.32,10.35,10.63,6903000,0.969422
"54",2011-07-20,10.38,10.78,10.27,10.67,3644500,0.97307
"55",2011-07-21,10.79,10.8,10.11,10.23,4090500,0.932944
"56",2011-07-22,10.2,10.45,10.1,10.16,2211000,0.92656
"57",2011-07-25,9.8,10.13,9.75,10.02,3200200,0.913792
"58",2011-07-26,10.25,10.56,10.02,10.19,3719400,0.929296
"59",2011-07-27,10.31,10.59,10.11,10.48,4208400,0.955743
"60",2011-07-28,10.6,10.95,10.42,10.78,3848700,0.983102
"61",2011-07-29,10.34,11.1,10,10.83,3761000,0.987662
"62",2011-08-01,11.15,11.26,10.18,10.49,3175500,0.956655
"63",2011-08-02,10.27,10.7,10.21,10.25,2324200,0.934768
"64",2011-08-03,10.25,10.56,8.69,9.53,4741300,0.869106
"65",2011-08-04,9.18,9.23,7.86,8.05,5414700,0.734135
"66",2011-08-05,8.25,8.4,7.32,7.62,5274200,0.69492
"67",2011-08-08,6.99,7.08,6.61,6.75,7469200,0.615579
"68",2011-08-09,7.34,7.58,6.85,7.33,6801900,0.668473
"69",2011-08-10,7.12,7.5,6.86,7.24,3471400,0.660265
"70",2011-08-11,7.36,8.1,7.29,7.78,6458200,0.709511
"71",2011-08-12,7.48,8.26,7.28,8.04,7252700,0.733223
"72",2011-08-15,8.35,8.5,8.01,8.1,3082200,0.738694
"73",2011-08-16,7.92,7.95,7.41,7.57,3254300,0.69036
"74",2011-08-17,7.68,7.98,7.2,7.39,2950000,0.673945
"75",2011-08-18,7.08,7.48,6.75,7.08,3129300,0.645674
"76",2011-08-19,7,7.34,6.9,6.97,1959600,0.635642
"77",2011-08-22,7.22,7.24,6.66,6.8,2547300,0.620138
"78",2011-08-23,6.9,7.3,6.7,7.3,4443100,0.665737
"79",2011-08-24,8.08,8.12,7.16,7.38,7431400,0.673033
"80",2011-08-25,7.42,7.55,7.05,7.2,2159500,0.656617
"81",2011-08-26,7.11,7.34,6.93,7.18,1790700,0.654793
"82",2011-08-29,7.41,7.42,7.17,7.34,2237700,0.669385
"83",2011-08-30,7.27,7.74,7.2,7.64,3113300,0.696744
"84",2011-08-31,7.74,7.82,7.3,7.34,2406500,0.669385
"85",2011-09-01,7.34,7.6,7.2,7.21,1580600,0.657529
"86",2011-09-02,7.07,7.19,6.99,7.15,1151100,0.652057
"87",2011-09-06,6.85,7.07,6.75,7.03,1707100,0.641114
"88",2011-09-07,6.98,7.28,6.9,6.98,2518400,0.636554
"89",2011-09-08,6.93,7.42,6.91,7.21,3731800,0.657529
"90",2011-09-09,7.06,7.31,6.91,6.91,2336500,0.63017
"91",2011-09-12,6.75,6.9,6.71,6.79,1593300,0.619227
"92",2011-09-13,6.81,6.95,6.73,6.87,1592400,0.626522
"93",2011-09-14,6.93,6.97,6.63,6.75,2192800,0.615579
"94",2011-09-15,6.74,6.77,6.49,6.66,2815600,0.607371
"95",2011-09-16,6.58,6.71,6.54,6.67,1592600,0.608283
"96",2011-09-19,6.5,6.53,5.95,6.02,4307100,0.549005
"97",2011-09-20,6,6.05,5.51,5.51,5094300,0.502495
"98",2011-09-21,5.56,5.75,5.48,5.52,2411600,0.503407
"99",2011-09-22,5.28,5.35,4.96,5.02,4814700,0.457808
"100",2011-09-23,5,5.5,4.99,5.27,2331100,0.480607
"101",2011-09-26,5.46,5.62,5.09,5.35,1850000,0.487903
"102",2011-09-27,5.8,6.18,5.52,5.59,4286900,0.50979
"103",2011-09-28,5.6,5.88,5.36,5.79,3573100,0.52803
"104",2011-09-29,6.11,6.27,5.52,5.85,4872500,0.533502
"105",2011-09-30,5.68,5.7,5.1,5.1,5110600,0.465104
"106",2011-10-03,5.1,5.2,4.75,4.79,5343000,0.436833
"107",2011-10-04,4.61,4.97,4.5,4.97,4600000,0.453248
"108",2011-10-05,4.92,5.13,4.8,5.02,2828000,0.457808
"109",2011-10-06,5.15,5.58,5.06,5.49,4851100,0.500671
"110",2011-10-07,5.76,5.82,5.2,5.49,3354800,0.500671
"111",2011-10-10,5.57,5.66,5.32,5.5,3028400,0.501583
"112",2011-10-11,5.46,5.96,5.36,5.68,4505000,0.517998
"113",2011-10-12,5.85,5.98,5.66,5.81,3582400,0.529854
"114",2011-10-13,5.86,6.05,5.62,5.8,3453300,0.528942
"115",2011-10-14,6,6.01,5.53,5.75,2401500,0.524382
"116",2011-10-17,5.62,5.81,5.56,5.7,1559600,0.519822
"117",2011-10-18,5.58,5.69,5.42,5.65,1402300,0.515262
"118",2011-10-19,5.65,5.93,5.48,5.66,2349400,0.516174
"119",2011-10-20,5.69,5.77,5.51,5.73,1335800,0.522558
"120",2011-10-21,5.8,5.88,5.69,5.74,1261700,0.52347
"121",2011-10-24,5.8,6.25,5.71,6.16,5104700,0.561772
"122",2011-10-25,6.18,6.2,5.9,5.97,2198000,0.544445
"123",2011-10-26,6.17,6.17,5.65,5.95,1926600,0.542621
"124",2011-10-27,6.18,6.27,5.95,6.23,4072600,0.568156
"125",2011-10-28,6.33,7.2,6.31,7.02,6476400,0.640202
"126",2011-10-31,6.79,7.34,6.75,7.04,5782000,0.642026
"127",2011-11-01,6.62,6.64,6.15,6.16,4693800,0.561772
"128",2011-11-02,6.45,6.49,6.11,6.16,4363300,0.561772
"129",2011-11-03,6.24,6.24,5.31,5.74,5271200,0.52347
"130",2011-11-04,5.74,5.74,5.18,5.28,9190200,0.481519
"131",2011-11-07,5.26,5.42,5.01,5.09,5157100,0.464192
"132",2011-11-08,5.39,5.49,5.2,5.3,5417500,0.483343
"133",2011-11-09,5.12,5.28,5.01,5.15,3639800,0.469664
"134",2011-11-10,5.38,5.39,5.06,5.08,3358500,0.46328
"135",2011-11-11,4.62,4.98,4.52,4.96,5901900,0.452336
"136",2011-11-14,4.99,4.99,4.73,4.75,3557800,0.433185
"137",2011-11-15,4.68,4.76,4.55,4.6,3931800,0.419505
"138",2011-11-16,4.55,4.61,4.46,4.52,3829300,0.41221
"139",2011-11-17,4.4,4.46,4.25,4.32,3864600,0.39397
"140",2011-11-18,4.29,4.33,4.25,4.28,2020500,0.390322
"141",2011-11-21,4.29,4.29,3.85,3.9,4412800,0.355668
"142",2011-11-22,4,4.07,3.94,3.98,2544200,0.362963
"143",2011-11-23,3.88,3.9,3.6,3.75,5694900,0.341988
"144",2011-11-25,3.75,3.8,3.65,3.71,1019400,0.33834
"145",2011-11-28,3.92,3.92,3.58,3.6,4588300,0.328309
"146",2011-11-29,3.59,3.87,3.38,3.77,5423400,0.343812
"147",2011-11-30,3.96,3.96,3.63,3.7,4282400,0.337428
"148",2011-12-01,3.69,3.78,3.61,3.66,2010000,0.33378
"149",2011-12-02,3.78,3.8,3.62,3.79,2695500,0.345636
"150",2011-12-05,3.85,3.89,3.63,3.64,3030500,0.331956
"151",2011-12-06,3.64,3.77,3.62,3.66,2894800,0.33378
"152",2011-12-07,3.63,3.66,3.53,3.6,2736300,0.328309
"153",2011-12-08,3.55,3.85,3.47,3.62,7617100,0.330133
"154",2011-12-09,3.68,3.73,3.56,3.68,3262700,0.335604
"155",2011-12-12,3.62,3.66,3.42,3.64,1947100,0.331956
"156",2011-12-13,3.67,3.7,3.53,3.59,1928600,0.327397
"157",2011-12-14,3.5,3.6,3.42,3.6,2768900,0.328309
"158",2011-12-15,3.62,3.64,3.41,3.47,2424500,0.316453
"159",2011-12-16,3.44,3.49,3.4,3.45,2604900,0.314629
"160",2011-12-19,3.42,3.46,3.21,3.3,3129400,0.30095
"161",2011-12-20,3.38,3.46,3.25,3.29,3784300,0.300038
"162",2011-12-21,3.29,3.34,3.24,3.28,2314800,0.299126
"163",2011-12-22,3.29,3.42,3.28,3.4,2755000,0.310069
"164",2011-12-23,3.42,3.49,3.34,3.35,2106200,0.305509
"165",2011-12-27,3.35,3.47,3.35,3.43,3157900,0.312805
"166",2011-12-28,3.41,3.45,3.24,3.3,3541700,0.30095
"167",2011-12-29,3.32,3.33,3.25,3.3,1634100,0.30095
"168",2011-12-30,3.27,3.61,3.27,3.55,9444400,0.323749
"169",2012-01-03,3.69,3.83,3.56,3.67,5594500,0.334692
"170",2012-01-04,3.63,3.77,3.56,3.58,3010400,0.326485
"171",2012-01-05,3.62,3.67,3.54,3.59,2280000,0.327397
"172",2012-01-06,3.64,3.75,3.41,3.48,4193900,0.317365
"173",2012-01-09,3.47,3.55,3.39,3.4,2146100,0.310069
"174",2012-01-10,3.53,3.57,3.4,3.49,4192400,0.318277
"175",2012-01-11,3.55,3.89,3.55,3.85,8799900,0.351108
"176",2012-01-12,3.9,4.18,3.77,4.07,9170900,0.371171
"177",2012-01-13,3.95,4.11,3.8,3.9,4896600,0.355668
"178",2012-01-17,4.06,4.28,3.99,4.12,6378100,0.375731
"179",2012-01-18,4.2,4.23,4,4.1,4114800,0.373907
"180",2012-01-19,4.15,4.4,4.09,4.22,7733600,0.384851
"181",2012-01-20,4.19,4.52,4.18,4.29,6360200,0.391234
"182",2012-01-23,4.37,4.47,4.13,4.3,4669700,0.392146
"183",2012-01-24,4.23,4.25,4.1,4.13,2328500,0.376643
"184",2012-01-25,4.2,4.24,4.13,4.2,2359600,0.383027
"185",2012-01-26,4.27,4.3,4.03,4.16,3064000,0.379379
"186",2012-01-27,4.13,5.29,4.04,5.25,16219900,0.478783
"187",2012-01-30,5.43,6.68,5.42,6.31,54716500,0.575452
"188",2012-01-31,6.58,6.8,5.47,5.55,36826000,0.506142
"189",2012-02-01,5.72,5.79,4.95,5.01,24613700,0.456896
"190",2012-02-02,5.26,5.74,5.16,5.42,24162000,0.494287
"191",2012-02-03,5.46,5.78,5.14,5.22,20195200,0.476047
"192",2012-02-06,5.05,5.25,4.8,4.92,14807000,0.448688
"193",2012-02-07,4.98,5.38,4.82,5.23,15841600,0.476959
"194",2012-02-08,5.42,5.55,5.13,5.19,11979000,0.473312
"195",2012-02-09,5.22,5.32,5.06,5.22,8769300,0.476047
"196",2012-02-10,5.14,5.59,5.06,5.2,15910900,0.474224
"197",2012-02-13,5.33,5.5,5.27,5.38,10912000,0.490639
"198",2012-02-14,5.4,5.73,5.4,5.44,12350700,0.496111
"199",2012-02-15,5.12,5.48,5.06,5.36,13105200,0.488815
"200",2012-02-16,5.33,5.54,5.21,5.51,9408800,0.502495
"201",2012-02-17,5.57,5.64,5.32,5.43,5584700,0.495199
"202",2012-02-21,5.4,5.57,5.31,5.39,5315800,0.491551
"203",2012-02-22,5.45,5.45,5.21,5.26,3813300,0.479695
"204",2012-02-23,5.14,5.38,5.04,5.19,6997700,0.473312
"205",2012-02-24,5.04,5.25,5.04,5.24,3905200,0.477871
"206",2012-02-27,5.24,5.29,5.11,5.14,2888800,0.468752
"207",2012-02-28,5.19,5.6,5.15,5.46,9206500,0.497935
"208",2012-02-29,5.48,5.56,5.28,5.45,5099500,0.497023
"209",2012-03-01,5.46,5.68,5.38,5.48,5462000,0.499759
"210",2012-03-02,5.97,6.09,5.61,5.68,18759000,0.517998
"211",2012-03-05,5.7,5.71,5.4,5.41,4183200,0.493375
"212",2012-03-06,5.18,5.3,5.11,5.16,5223600,0.470576
"213",2012-03-07,5.24,5.28,5.16,5.2,2619100,0.474224
"214",2012-03-08,5.29,5.36,5.22,5.35,3714500,0.487903
"215",2012-03-09,5.79,5.8,5.38,5.4,8565800,0.492463
"216",2012-03-12,5.8,5.9,5.52,5.61,9511400,0.511614
"217",2012-03-13,5.58,5.6,5.45,5.52,8823600,0.503407
"218",2012-03-14,5.5,5.52,5.3,5.35,4377900,0.487903
"219",2012-03-15,5.36,5.42,5.31,5.37,4314500,0.489727
"220",2012-03-16,5.35,5.38,5.23,5.29,3794400,0.482431
"221",2012-03-19,5.25,5.4,5.25,5.33,5225200,0.486079
"222",2012-03-20,5.3,5.42,5.18,5.42,5586500,0.494287
"223",2012-03-21,5.32,5.48,5.28,5.32,4078900,0.485167
"224",2012-03-22,5.24,5.34,5.21,5.3,2268000,0.483343
"225",2012-03-23,5.28,5.38,5.26,5.3,1820100,0.483343
"226",2012-03-26,5.3,5.44,5.25,5.33,4016400,0.486079
"227",2012-03-27,5.3,5.7,5.3,5.5,17006700,0.501583
"228",2012-03-28,5.48,5.48,5.26,5.35,7213900,0.487903
"229",2012-03-29,5.28,5.54,5.21,5.52,5951900,0.503407
"230",2012-03-30,5.48,5.72,5.46,5.52,8272600,0.503407
"231",2012-04-02,5.48,5.92,5.38,5.64,13418700,0.51435
"232",2012-04-03,5.63,5.74,5.36,5.48,6604000,0.499759
"233",2012-04-04,5.36,5.46,5.33,5.35,3919500,0.487903
