"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,22.91,23.1,21.76,22.17,3728300,22.17
"2",2007-01-04,22.879999,22.879999,21.610001,22.67,2915900,22.67
"3",2007-01-05,22.370001,22.5,22.1,22.24,2014900,22.24
"4",2007-01-08,22.23,22.59,22,22.34,2694800,22.34
"5",2007-01-09,22.09,22.389999,21.9,22.110001,2806100,22.110001
"6",2007-01-10,22.02,22.34,21.959999,22.110001,2058000,22.110001
"7",2007-01-11,22,22.65,22,22.370001,2963700,22.370001
"8",2007-01-12,22.450001,22.450001,21.879999,22.16,2048900,22.16
"9",2007-01-16,21.959999,22.440001,21.950001,22.18,1257800,22.18
"10",2007-01-17,22.360001,22.59,22.219999,22.48,1841000,22.48
"11",2007-01-18,22.48,22.48,20.709999,20.959999,5127300,20.959999
"12",2007-01-19,21.459999,21.809999,21.299999,21.690001,3929100,21.690001
"13",2007-01-22,21.690001,22,21.58,21.790001,3007800,21.790001
"14",2007-01-23,21.799999,21.940001,21.540001,21.73,2549300,21.73
"15",2007-01-24,21.74,22.190001,21.74,22.049999,1299200,22.049999
"16",2007-01-25,22,22.27,21.959999,22.25,2052900,22.25
"17",2007-01-26,22.299999,22.389999,22,22.24,1413800,22.24
"18",2007-01-29,22.34,22.530001,21.93,22.200001,1662500,22.200001
"19",2007-01-30,22.139999,22.799999,22.139999,22.719999,2432900,22.719999
"20",2007-01-31,22.219999,22.75,22.049999,22.73,2327700,22.73
"21",2007-02-01,22.889999,22.889999,22.57,22.799999,1851500,22.799999
"22",2007-02-02,22.790001,22.950001,22.49,22.68,2071800,22.68
"23",2007-02-05,22.780001,22.870001,22.530001,22.540001,2495500,22.540001
"24",2007-02-06,22.98,22.98,22.48,22.83,2660600,22.83
"25",2007-02-07,22.84,23.73,22.700001,23.35,3449200,23.35
"26",2007-02-08,23.24,24.219999,23.129999,24.1,2669200,24.1
"27",2007-02-09,24.190001,24.34,23.74,24,3942300,24
"28",2007-02-12,24,24.75,23.84,24.58,3688200,24.58
"29",2007-02-13,25,25.15,24.16,24.27,3107300,24.27
"30",2007-02-14,24.290001,25,24.02,24.23,2702300,24.23
"31",2007-02-15,24.24,24.540001,23.77,23.809999,2686600,23.809999
"32",2007-02-16,23.67,24,23.549999,24,1889300,24
"33",2007-02-20,24,24.709999,23.959999,24.370001,1785000,24.370001
"34",2007-02-21,24.27,24.48,23.92,23.950001,1169700,23.950001
"35",2007-02-22,23.76,24.129999,23.59,23.65,1280300,23.65
"36",2007-02-23,23.67,24.290001,23,23.6,1704700,23.6
"37",2007-02-26,24.07,24.5,23.75,23.790001,2574400,23.790001
"38",2007-02-27,23.49,23.719999,22.5,22.85,2066500,22.85
"39",2007-02-28,22.809999,22.950001,22.360001,22.450001,2008400,22.450001
"40",2007-03-01,21.889999,22.790001,21.299999,22.709999,1567700,22.709999
"41",2007-03-02,22.52,22.719999,21.870001,22.01,1534400,22.01
"42",2007-03-05,21.25,21.9,21.219999,21.709999,1823300,21.709999
"43",2007-03-06,22.15,22.360001,21.709999,22.120001,1713000,22.120001
"44",2007-03-07,22.23,22.35,21.549999,21.700001,2776500,21.700001
"45",2007-03-08,21.870001,22.5,21.870001,22.299999,1833600,22.299999
"46",2007-03-09,22.32,22.77,22.25,22.67,1614100,22.67
"47",2007-03-12,22.68,23.15,22.6,22.940001,1217800,22.940001
"48",2007-03-13,21.99,22.92,21.99,22.709999,1157100,22.709999
"49",2007-03-14,22.700001,22.879999,22.370001,22.52,2008900,22.52
"50",2007-03-15,22.4,22.83,22.27,22.52,2115300,22.52
"51",2007-03-16,22.52,22.82,22.51,22.639999,1090700,22.639999
"52",2007-03-19,22.67,23.040001,22.530001,22.91,1056200,22.91
"53",2007-03-20,22.91,23.1,22.559999,22.98,1470000,22.98
"54",2007-03-21,23.1,24.08,22.889999,23.83,2536800,23.83
"55",2007-03-22,23.77,24.48,23.639999,24.15,1944400,24.15
"56",2007-03-23,24.16,24.41,23.92,24.24,1280000,24.24
"57",2007-03-26,24.219999,24.370001,23.74,23.780001,1701200,23.780001
"58",2007-03-27,23.969999,23.969999,23.66,23.700001,2301200,23.700001
"59",2007-03-28,23.629999,23.629999,23.139999,23.52,1723200,23.52
"60",2007-03-29,23.700001,23.700001,22.75,23.139999,3123000,23.139999
"61",2007-03-30,23.9,24.049999,22.08,22.93,7234000,22.93
"62",2007-04-02,22.93,22.93,22.309999,22.309999,2150400,22.309999
"63",2007-04-03,22.33,22.5,22.040001,22.120001,2653300,22.120001
"64",2007-04-04,22.030001,22.450001,22.01,22.15,1687300,22.15
"65",2007-04-05,22.1,22.139999,21.950001,22,1221500,22
"66",2007-04-09,22.1,22.120001,21.6,21.870001,2045900,21.870001
"67",2007-04-10,21.879999,21.889999,21.35,21.700001,3337900,21.700001
"68",2007-04-11,21.700001,21.91,21.34,21.459999,1479400,21.459999
"69",2007-04-12,21.4,22.43,21.379999,22.4,3430800,22.4
"70",2007-04-13,22.5,22.5,22.02,22.35,1989700,22.35
"71",2007-04-16,22.34,22.34,22.049999,22.190001,2635200,22.190001
"72",2007-04-17,22.32,22.68,22.27,22.66,1819800,22.66
"73",2007-04-18,22.65,22.93,22.43,22.700001,1550300,22.700001
"74",2007-04-19,23,23,22.1,22.17,2059700,22.17
"75",2007-04-20,22.280001,22.360001,22.01,22.17,1373400,22.17
