"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,19.030001,19.280001,18.66,19.040001,21562300,18.939486
"2",2007-01-04,18.99,19.780001,18.950001,19.65,20546500,19.546265
"3",2007-01-05,19.43,19.65,19.139999,19.209999,21283400,19.108587
"4",2007-01-08,19.35,19.709999,19.27,19.639999,21791600,19.53632
"5",2007-01-09,17.610001,17.940001,17.360001,17.450001,149152200,17.357882
"6",2007-01-10,17.379999,17.93,17.24,17.85,75885200,17.755768
"7",2007-01-11,17.85,17.85,17.33,17.440001,43265400,17.347933
"8",2007-01-12,17.5,17.66,17.209999,17.25,44551400,17.158936
"9",2007-01-16,17.35,17.379999,17.01,17.15,33615200,17.059464
"10",2007-01-17,17.129999,17.15,16.93,17,38277200,16.910255
"11",2007-01-18,16.969999,17.309999,16.969999,17.209999,41921600,17.119148
"12",2007-01-19,17.209999,17.34,17.08,17.23,33039100,17.13904
"13",2007-01-22,17.379999,17.450001,17.08,17.299999,38195600,17.208672
"14",2007-01-23,17.299999,17.49,17.26,17.450001,23393900,17.357882
"15",2007-01-24,17.450001,17.870001,17.41,17.84,30881800,17.745821
"16",2007-01-25,17.799999,17.91,17.459999,17.52,26877500,17.427511
"17",2007-01-26,17.440001,17.58,17.41,17.49,13496400,17.397669
"18",2007-01-29,17.58,17.620001,17.34,17.469999,11613900,17.377771
"19",2007-01-30,17.51,17.67,17.469999,17.65,14622900,17.556826
"20",2007-01-31,17.700001,17.879999,17.6,17.83,19428100,17.735874
"21",2007-02-01,17.85,17.950001,17.780001,17.879999,19201900,17.785608
"22",2007-02-02,17.809999,17.879999,17.690001,17.719999,15554100,17.626455
"23",2007-02-05,17.700001,17.809999,17.57,17.77,17512900,17.676191
"24",2007-02-06,17.709999,17.84,17.58,17.75,15761300,17.656298
"25",2007-02-07,17.799999,18.17,17.66,18.049999,29486500,17.95471
"26",2007-02-08,17.969999,18.049999,17.84,17.92,14241500,17.825397
"27",2007-02-09,17.85,18.040001,17.84,18,17279400,17.904978
"28",2007-02-12,18.049999,18.200001,17.879999,17.9,14386800,17.805504
"29",2007-02-13,17.969999,18.459999,17.93,18.360001,18087600,18.263075
"30",2007-02-14,18.4,18.629999,18.35,18.530001,15660400,18.432178
"31",2007-02-15,18.57,18.73,18.450001,18.58,12978500,18.481916
"32",2007-02-16,18.450001,19.059999,18.4,18.969999,28405400,18.869854
"33",2007-02-20,18.950001,19.280001,18.809999,19.120001,23827800,19.019064
"34",2007-02-21,18.99,19.209999,18.959999,18.969999,16219100,18.869854
"35",2007-02-22,18.92,19.25,18.92,19.24,12152400,19.13843
"36",2007-02-23,19.15,19.35,19.040001,19.27,11833700,19.168274
"37",2007-02-26,19.27,19.57,19.190001,19.530001,22380400,19.426901
"38",2007-02-27,19.450001,19.48,18.08,18.450001,26986000,18.352602
"39",2007-02-28,19.299999,19.809999,18.950001,19.299999,56307200,19.198112
"40",2007-03-01,19.1,20,18.950001,19.950001,49797300,19.844685
"41",2007-03-02,19.780001,20.42,19.68,19.959999,32875500,19.85463
"42",2007-03-05,19.74,19.959999,19.57,19.610001,18479300,19.506479
"43",2007-03-06,19.700001,19.91,19.469999,19.690001,20067300,19.586056
"44",2007-03-07,19.65,20.049999,19.43,19.809999,24789700,19.730473
"45",2007-03-08,19.9,20,19.370001,19.540001,22641400,19.461557
"46",2007-03-09,19.379999,19.629999,19.25,19.469999,20882100,19.391836
"47",2007-03-12,19.450001,19.629999,19.370001,19.469999,12504900,19.391836
"48",2007-03-13,19.280001,19.59,19.030001,19.040001,15545500,18.963566
"49",2007-03-14,19.1,19.48,19,19.4,19045000,19.322119
"50",2007-03-15,19.4,19.440001,18.969999,19.129999,14851000,19.053202
"51",2007-03-16,19.1,19.290001,18.84,19.040001,20114800,18.963566
"52",2007-03-19,19.219999,19.32,19.040001,19.059999,14637100,18.983484
"53",2007-03-20,19.139999,19.26,19.030001,19.15,11278000,19.07312
"54",2007-03-21,19.24,19.440001,19.040001,19.290001,17239000,19.212561
"55",2007-03-22,19.290001,19.5,19.139999,19.450001,13265600,19.371918
"56",2007-03-23,19.379999,19.469999,19.17,19.219999,11056000,19.142839
"57",2007-03-26,19.07,19.27,18.5,18.719999,24746700,18.644848
"58",2007-03-27,18.67,18.959999,18.620001,18.860001,19292000,18.784286
"59",2007-03-28,18.67,18.77,18.48,18.51,16444300,18.435692
"60",2007-03-29,18.9,19.049999,18.629999,19,18853500,18.923723
"61",2007-03-30,18.870001,19.09,18.799999,18.959999,18256600,18.883884
"62",2007-04-02,19.049999,19.299999,18.889999,19.299999,16603900,19.222519
"63",2007-04-03,19.32,19.620001,19.209999,19.4,22769700,19.322119
"64",2007-04-04,19.41,19.77,19.33,19.639999,15174800,19.561153
"65",2007-04-05,19.620001,19.620001,19.25,19.6,15233000,19.521315
"66",2007-04-09,19.450001,19.65,19.209999,19.27,12829800,19.192642
"67",2007-04-10,19.23,19.360001,19.120001,19.33,9747800,19.252399
"68",2007-04-11,19.450001,19.48,19.030001,19.18,10057900,19.103003
"69",2007-04-12,19.5,19.809999,19.42,19.799999,19829500,19.720512
"70",2007-04-13,19.9,19.940001,19.51,19.93,18244000,19.849991
"71",2007-04-16,19.950001,20.32,19.91,20.200001,20719300,20.118908
"72",2007-04-17,20,20.43,19.93,20.41,25865800,20.328064
"73",2007-04-18,20.309999,20.709999,20.299999,20.639999,23198500,20.557142
"74",2007-04-19,20.52,20.559999,20.110001,20.280001,16274000,20.198586
"75",2007-04-20,20.719999,21,20.370001,20.440001,19925600,20.357944
"76",2007-04-23,20.459999,20.459999,19.99,20.040001,18935900,19.959553
"77",2007-04-24,20.02,20.52,20,20.27,22625600,20.188627
