"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,20.76,21.24,20.459999,20.82,1096300,20.82
"2",2007-01-04,21,21.18,20.58,21.18,1276700,21.18
"3",2007-01-05,21,21.24,20.58,20.639999,1426500,20.639999
"4",2007-01-08,20.58,20.879999,20.4,20.639999,785000,20.639999
"5",2007-01-09,20.700001,20.879999,20.34,20.52,997900,20.52
"6",2007-01-10,20.4,20.52,19.860001,20.1,807600,20.1
"7",2007-01-11,20.280001,20.76,19.98,20.34,1047100,20.34
"8",2007-01-12,20.4,20.879999,20.4,20.639999,906700,20.639999
"9",2007-01-16,20.700001,20.879999,20.4,20.639999,1073800,20.639999
"10",2007-01-17,20.34,20.58,20.040001,20.1,733000,20.1
"11",2007-01-18,20.1,20.280001,19.440001,19.68,841400,19.68
"12",2007-01-19,19.620001,20.4,19.5,20.34,1289100,20.34
"13",2007-01-22,20.280001,20.280001,19.799999,20.16,1025800,20.16
"14",2007-01-23,19.98,20.459999,19.799999,20.34,819800,20.34
"15",2007-01-24,20.219999,20.459999,19.799999,20.459999,824500,20.459999
"16",2007-01-25,20.4,20.700001,20.219999,20.58,1015300,20.58
"17",2007-01-26,20.639999,21.959999,20.4,21.42,1637700,21.42
"18",2007-01-29,21.540001,21.6,20.76,21,1050700,21
"19",2007-01-30,21,21.42,20.639999,21,824800,21
"20",2007-01-31,21.059999,21.24,20.52,21,969500,21
"21",2007-02-01,20.940001,21.059999,20.52,20.82,523000,20.82
"22",2007-02-02,20.879999,21.360001,20.76,21.059999,783300,21.059999
"23",2007-02-05,20.940001,21.299999,20.82,20.879999,399000,20.879999
"24",2007-02-06,20.940001,21.120001,20.82,21.059999,475700,21.059999
"25",2007-02-07,21.360001,21.9,21.120001,21.540001,721400,21.540001
"26",2007-02-08,21.540001,21.780001,21.299999,21.66,583300,21.66
"27",2007-02-09,21.66,22.440001,21.6,21.780001,773700,21.780001
"28",2007-02-12,21.780001,22.139999,21.719999,21.9,508900,21.9
"29",2007-02-13,22.02,22.559999,21.959999,22.379999,473700,22.379999
"30",2007-02-14,22.440001,22.620001,22.200001,22.440001,861900,22.440001
"31",2007-02-15,22.200001,22.98,22.200001,22.68,754600,22.68
"32",2007-02-16,22.799999,23.1,22.440001,22.799999,889300,22.799999
"33",2007-02-20,22.92,23.040001,22.5,22.799999,670900,22.799999
"34",2007-02-21,22.620001,23.639999,22.559999,23.1,1061600,23.1
"35",2007-02-22,23.1,23.58,22.68,23.040001,661700,23.040001
"36",2007-02-23,22.98,23.58,22.860001,23.34,987200,23.34
"37",2007-02-26,23.34,23.639999,22.620001,23.459999,581700,23.459999
"38",2007-02-27,23.4,23.459999,21.84,21.9,976000,21.9
"39",2007-02-28,22.26,22.440001,21.9,22.26,828900,22.26
"40",2007-03-01,21.719999,22.32,21.6,22.139999,887900,22.139999
"41",2007-03-02,22.08,22.08,21.299999,21.42,752100,21.42
"42",2007-03-05,21.18,21.540001,21,21,695900,21
"43",2007-03-06,21.18,21.6,21.120001,21.299999,523100,21.299999
"44",2007-03-07,21.360001,21.9,21.120001,21.719999,543800,21.719999
"45",2007-03-08,21.780001,21.959999,21.48,21.959999,534600,21.959999
"46",2007-03-09,21.9,22.799999,21.9,22.799999,849400,22.799999
"47",2007-03-12,22.799999,22.860001,22.200001,22.620001,550300,22.620001
"48",2007-03-13,22.440001,22.74,22.200001,22.32,511800,22.32
"49",2007-03-14,22.379999,22.5,22.139999,22.440001,459500,22.440001
"50",2007-03-15,22.379999,22.5,22.200001,22.32,367400,22.32
"51",2007-03-16,22.139999,22.620001,22.139999,22.440001,535100,22.440001
"52",2007-03-19,22.440001,22.620001,22.139999,22.440001,739100,22.440001
"53",2007-03-20,22.5,22.5,21.959999,22.139999,834700,22.139999
"54",2007-03-21,22.26,22.620001,21.719999,22.559999,703400,22.559999
"55",2007-03-22,22.379999,22.74,22.26,22.379999,435600,22.379999
"56",2007-03-23,22.5,22.5,22.02,22.200001,652200,22.200001
"57",2007-03-26,22.139999,22.32,21.9,22.139999,504500,22.139999
"58",2007-03-27,22.200001,22.200001,21.959999,22.139999,370500,22.139999
"59",2007-03-28,21.9,22.08,21.48,21.540001,350800,21.540001
"60",2007-03-29,21.780001,21.9,21.24,21.360001,551100,21.360001
"61",2007-03-30,21.24,21.9,21.18,21.719999,648800,21.719999
"62",2007-04-02,22.02,22.200001,21.780001,22.200001,677900,22.200001
"63",2007-04-03,22.08,22.200001,21.84,21.9,423000,21.9
"64",2007-04-04,21.9,22.620001,21.9,22.559999,529700,22.559999
"65",2007-04-05,22.5,22.92,22.440001,22.860001,379700,22.860001
"66",2007-04-09,22.02,22.08,21.299999,21.540001,1068300,21.540001
"67",2007-04-10,21.42,21.84,21.299999,21.66,731300,21.66
"68",2007-04-11,21.540001,21.6,21.18,21.299999,551400,21.299999
"69",2007-04-12,21.18,21.719999,21.18,21.66,475400,21.66
"70",2007-04-13,21.66,21.66,21.18,21.360001,872300,21.360001
"71",2007-04-16,21.360001,22.379999,21.299999,22.26,886600,22.26
"72",2007-04-17,22.32,22.32,21.42,21.6,665500,21.6
"73",2007-04-18,21.6,22.559999,21.42,22.32,749200,22.32
"74",2007-04-19,22.08,22.200001,21.6,22.139999,579900,22.139999
"75",2007-04-20,22.5,23.280001,21.959999,22.98,1190600,22.98
"76",2007-04-23,22.860001,23.16,22.440001,22.92,632000,22.92
"77",2007-04-24,22.92,23.1,22.5,22.620001,817800,22.620001
"78",2007-04-25,21.84,22.02,20.879999,21.24,3787000,21.24
"79",2007-04-26,21.299999,21.6,21.059999,21.18,1354000,21.18
"80",2007-04-27,21.24,21.299999,20.940001,21.059999,615100,21.059999
"81",2007-04-30,21.18,21.24,20.58,20.700001,1316100,20.700001
"82",2007-05-01,21.059999,21.120001,20.52,21.059999,1348700,21.059999
"83",2007-05-02,21.120001,21.719999,20.700001,21.66,1241000,21.66
"84",2007-05-03,21.66,21.66,21.120001,21.540001,847000,21.540001
"85",2007-05-04,21.6,21.84,21.48,21.6,785900,21.6
"86",2007-05-07,21.48,21.6,21,21.059999,618000,21.059999
"87",2007-05-08,21,21.42,20.76,21.299999,875500,21.299999
"88",2007-05-09,21.42,22.02,21.059999,21.9,718400,21.9
"89",2007-05-10,21.9,21.959999,20.940001,21,895500,21
"90",2007-05-11,21,21.42,20.879999,21.299999,453900,21.299999
"91",2007-05-14,21.18,21.6,21.059999,21.42,1064700,21.42
"92",2007-05-15,21.6,21.719999,21.059999,21.120001,862700,21.120001
"93",2007-05-16,21,21.360001,21,21.299999,688900,21.299999
"94",2007-05-17,21.18,21.42,21,21.360001,662200,21.360001
"95",2007-05-18,21.48,21.6,21.120001,21.6,736900,21.6
"96",2007-05-21,21.42,21.959999,21.299999,21.719999,384000,21.719999
"97",2007-05-22,21.719999,21.9,21.42,21.6,973500,21.6
"98",2007-05-23,21.540001,21.719999,21,21.120001,1198100,21.120001
"99",2007-05-24,21.18,21.42,20.879999,20.879999,446900,20.879999
"100",2007-05-25,20.879999,21.299999,20.76,20.82,549400,20.82
"101",2007-05-29,20.76,21.48,20.76,21.24,568900,21.24
"102",2007-05-30,21.120001,21.48,20.879999,21,691400,21
"103",2007-05-31,21.18,21.42,20.82,21.42,1280800,21.42
"104",2007-06-01,21.24,21.66,21.120001,21.299999,788200,21.299999
"105",2007-06-04,21.9,22.5,21.299999,22.5,2796600,22.5
"106",2007-06-05,22.440001,23.040001,22.08,22.200001,836800,22.200001
"107",2007-06-06,21.719999,21.84,21.120001,21.48,1121800,21.48
