"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,27.59,28.110001,27.120001,27.549999,1074600,27.549999
"2",2007-01-04,27.68,28.18,27.540001,28.08,854100,28.08
"3",2007-01-05,27.870001,27.91,27,27.33,3847800,27.33
"4",2007-01-08,27.299999,27.6,27,27.27,959700,27.27
"5",2007-01-09,27.4,28.33,27.4,28.049999,1499100,28.049999
"6",2007-01-10,27.860001,28.620001,27.860001,28.549999,1159700,28.549999
"7",2007-01-11,28.5,29,28.48,28.700001,968300,28.700001
"8",2007-01-12,28.74,29.25,28.639999,29.23,923000,29.23
"9",2007-01-16,29.16,29.26,28.379999,28.610001,532500,28.610001
"10",2007-01-17,28.5,28.700001,28.24,28.25,546400,28.25
"11",2007-01-18,28.209999,28.66,28.129999,28.41,904300,28.41
"12",2007-01-19,28.299999,29.1,28.219999,29.049999,1001400,29.049999
"13",2007-01-22,29.200001,29.200001,28.440001,28.68,846000,28.68
"14",2007-01-23,28.66,29.1,28.610001,28.780001,753100,28.780001
"15",2007-01-24,28.9,29.16,28.65,28.879999,612800,28.879999
"16",2007-01-25,28.860001,29.450001,28.75,29.23,1026300,29.23
"17",2007-01-26,29.389999,29.950001,29.190001,29.799999,1326500,29.799999
"18",2007-01-29,29.809999,30.459999,29.809999,30,1216000,30
"19",2007-01-30,30.129999,30.190001,29.780001,30,351000,30
"20",2007-01-31,29.92,29.92,29.469999,29.709999,689900,29.709999
"21",2007-02-01,29.9,29.940001,29.120001,29.32,984500,29.32
"22",2007-02-02,29.5,29.5,29.1,29.17,679200,29.17
"23",2007-02-05,29.26,29.639999,29.129999,29.440001,674300,29.440001
"24",2007-02-06,29.4,29.4,28.870001,28.98,799800,28.98
"25",2007-02-07,29.01,29.469999,29,29.25,622700,29.25
"26",2007-02-08,29.139999,29.790001,29.139999,29.76,609800,29.76
"27",2007-02-09,29.68,29.780001,28.85,29.049999,653900,29.049999
"28",2007-02-12,28.91,28.969999,28.52,28.65,451900,28.65
"29",2007-02-13,28.67,28.690001,28.15,28.33,965200,28.33
"30",2007-02-14,28.35,29.4,28.32,28.76,1086400,28.76
"31",2007-02-15,28.709999,28.969999,28.709999,28.790001,606100,28.790001
"32",2007-02-16,28.809999,28.83,28.559999,28.66,761100,28.66
"33",2007-02-20,28.700001,29.790001,28.700001,29.700001,1039500,29.700001
"34",2007-02-21,29.58,29.75,29.370001,29.700001,767300,29.700001
"35",2007-02-22,29.690001,30.040001,29.629999,29.950001,576700,29.950001
"36",2007-02-23,29.799999,30.389999,28.709999,28.93,2325700,28.93
"37",2007-02-26,29.030001,29.1,28.040001,28.540001,2085200,28.540001
"38",2007-02-27,28.25,28.450001,27.120001,27.66,1559500,27.66
"39",2007-02-28,27.620001,27.799999,26.6,26.969999,2780000,26.969999
"40",2007-03-01,26.48,27.17,26.09,26.51,1340500,26.51
"41",2007-03-02,26.549999,27.02,26.190001,26.23,2182300,26.23
"42",2007-03-05,26.23,26.5,25.76,26,1886800,26
"43",2007-03-06,26.299999,27.18,26.15,27.01,1602900,27.01
"44",2007-03-07,26.9,27.370001,26.58,27.1,1375900,27.1
"45",2007-03-08,27.5,27.6,26.809999,27.1,1223400,27.1
"46",2007-03-09,27.200001,27.43,26.969999,27.18,1198300,27.18
"47",2007-03-12,27.24,27.77,27.030001,27.610001,885500,27.610001
"48",2007-03-13,27.610001,27.73,26.879999,27.030001,785700,27.030001
"49",2007-03-14,27.1,27.23,26.549999,27.129999,614800,27.129999
"50",2007-03-15,27.040001,27.42,26.860001,27.129999,1172900,27.129999
"51",2007-03-16,27.120001,27.280001,26.93,27.27,623000,27.27
"52",2007-03-19,27.280001,27.370001,26.85,27.27,1135200,27.27
"53",2007-03-20,27.4,28.43,27.4,28.200001,3685700,28.200001
"54",2007-03-21,28.66,29.75,28.6,29.18,16950500,29.18
"55",2007-03-22,29.059999,29.959999,29.02,29.83,2489200,29.83
"56",2007-03-23,30.040001,30.33,29.6,29.76,1196600,29.76
"57",2007-03-26,29.889999,29.889999,29.09,29.620001,2412300,29.620001
"58",2007-03-27,29.41,29.719999,29.120001,29.290001,1031900,29.290001
"59",2007-03-28,29.33,29.4,29.01,29.34,1201600,29.34
"60",2007-03-29,29.4,29.6,29.049999,29.51,1083200,29.51
"61",2007-03-30,29.6,29.73,29.139999,29.549999,1096300,29.549999
"62",2007-04-02,29.52,29.879999,29.190001,29.49,1085200,29.49
"63",2007-04-03,29.6,30.120001,29.540001,29.870001,1197300,29.870001
"64",2007-04-04,29.950001,29.99,29.540001,29.780001,1020100,29.780001
"65",2007-04-05,29.82,29.940001,29.48,29.5,919200,29.5
"66",2007-04-09,29.639999,30.16,29.290001,29.98,1548200,29.98
"67",2007-04-10,30.02,30.73,30.02,30.65,1980800,30.65
"68",2007-04-11,30.65,30.709999,29.68,29.82,1254200,29.82
"69",2007-04-12,29.690001,30.540001,29.690001,30.51,1237700,30.51
"70",2007-04-13,30.43,30.549999,30.049999,30.17,868200,30.17
"71",2007-04-16,30.370001,30.799999,30.16,30.76,903800,30.76
"72",2007-04-17,30.92,31,30.469999,30.58,1164800,30.58
"73",2007-04-18,30.469999,30.65,30.08,30.1,442900,30.1
"74",2007-04-19,30.040001,30.389999,29.950001,30.200001,807000,30.200001
"75",2007-04-20,30.299999,30.52,30.200001,30.360001,670700,30.360001
"76",2007-04-23,30.389999,30.549999,30.139999,30.24,478600,30.24
"77",2007-04-24,30.43,30.58,30.200001,30.530001,826500,30.530001
"78",2007-04-25,30.540001,30.6,30.139999,30.450001,823300,30.450001
"79",2007-04-26,30.540001,30.540001,29.99,29.99,1554700,29.99
"80",2007-04-27,30,30.129999,29.68,29.93,766800,29.93
"81",2007-04-30,30.049999,30.200001,29.360001,29.42,989700,29.42
"82",2007-05-01,29.48,29.58,29,29.540001,1742300,29.540001
"83",2007-05-02,29.540001,30.42,29.51,30.379999,953100,30.379999
"84",2007-05-03,30.25,30.41,29.91,30.040001,1192100,30.040001
"85",2007-05-04,30.030001,30.209999,29.879999,30.15,1292600,30.15
"86",2007-05-07,30.24,30.690001,30.17,30.639999,1127100,30.639999
"87",2007-05-08,30.4,30.450001,29.4,30.120001,2215200,30.120001
"88",2007-05-09,29.99,31.35,29.67,31.17,2575000,31.17
"89",2007-05-10,31.200001,31.24,30.5,30.6,1154300,30.6
"90",2007-05-11,30.719999,31,30.450001,30.98,1127700,30.98
"91",2007-05-14,30.92,31,30.440001,30.52,1045600,30.52
"92",2007-05-15,30.41,30.59,29.969999,30.049999,1384500,30.049999
"93",2007-05-16,30.049999,30.18,29.77,30.16,808000,30.16
"94",2007-05-17,30.040001,30.219999,29.629999,30.07,1030800,30.07
"95",2007-05-18,30.1,30.950001,30.040001,30.6,975400,30.6
"96",2007-05-21,30.549999,31,30.540001,30.77,696700,30.77
"97",2007-05-22,30.92,30.959999,30.65,30.700001,716500,30.700001
"98",2007-05-23,30.719999,31.43,30.719999,31.17,1319400,31.17
"99",2007-05-24,31.24,31.639999,30.23,30.42,1049600,30.42
"100",2007-05-25,30.459999,30.9,30.41,30.82,491700,30.82
