"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2010-03-11,18,19,18,18.5,13231400,18.5
"2",2010-03-12,18.5,18.690001,17.120001,18.139999,2412200,18.139999
"3",2010-03-15,18.08,18.120001,17.639999,17.9,2596800,17.9
"4",2010-03-16,17.9,17.9,17.299999,17.9,1019300,17.9
"5",2010-03-17,18,18.26,17.65,18.15,484400,18.15
"6",2010-03-18,18.200001,18.440001,18.110001,18.370001,58200,18.370001
"7",2010-03-19,18.33,18.360001,18.129999,18.280001,492900,18.280001
"8",2010-03-22,18.26,18.35,18.059999,18.290001,347800,18.290001
"9",2010-03-23,18.309999,18.309999,18.07,18.16,198900,18.16
"10",2010-03-24,18.08,18.110001,18,18,284000,18
"11",2010-03-25,18.15,18.290001,17.93,18,648900,18
"12",2010-03-26,18.040001,18.25,18,18,154400,18
"13",2010-03-29,18.030001,18.200001,18.01,18.120001,305700,18.120001
"14",2010-03-30,18.08,18.139999,17.99,18,464400,18
"15",2010-03-31,18.01,18.08,17.950001,17.959999,615700,17.959999
"16",2010-04-01,18.01,18.1,17.950001,18.049999,269100,18.049999
"17",2010-04-05,18.040001,18.049999,17.91,18.02,301800,18.02
"18",2010-04-06,17.969999,18,17.9,17.959999,929300,17.959999
"19",2010-04-07,17.940001,18.4,17.940001,18.309999,380800,18.309999
"20",2010-04-08,18.26,18.57,18.139999,18.5,1898200,18.5
"21",2010-04-09,18.5,19,18.379999,19,557000,19
"22",2010-04-12,18.65,19.139999,18.43,19,510700,19
"23",2010-04-13,18.9,19.08,18.84,19.040001,301600,19.040001
"24",2010-04-14,19.049999,19.379999,18.99,19.309999,370700,19.309999
"25",2010-04-15,19.110001,19.5,19.110001,19.42,254100,19.42
"26",2010-04-16,19.280001,19.34,19.049999,19.24,58800,19.24
"27",2010-04-19,19.120001,19.23,18.950001,19.07,277600,19.07
"28",2010-04-20,19.34,19.9,19.200001,19.85,720600,19.85
"29",2010-04-21,19.950001,20.879999,19.889999,20.5,912100,20.5
"30",2010-04-22,20.35,20.969999,20.219999,20.790001,481700,20.790001
"31",2010-04-23,20.950001,21.120001,20.15,20.469999,373100,20.469999
"32",2010-04-26,20.58,20.82,19.91,20.120001,568000,20.120001
