"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,20.98,21.860001,20.860001,21.34,17988400,15.289983
"2",2007-01-04,21.379999,21.83,21.27,21.66,17884500,15.51926
"3",2007-01-05,21.58,21.6,21.27,21.34,11815700,15.289983
"4",2007-01-08,21.200001,21.530001,21.200001,21.379999,14239900,15.318643
"5",2007-01-09,21.379999,21.799999,21.33,21.57,9016200,15.454779
"6",2007-01-10,21.440001,21.57,21.200001,21.459999,8692900,15.375961
"7",2007-01-11,21.51,21.860001,21.200001,21.33,14797000,15.28282
"8",2007-01-12,21.75,21.75,20.35,20.48,36673200,14.673799
"9",2007-01-16,18.709999,19.25,17.65,17.790001,121704800,12.746429
"10",2007-01-17,17.809999,18.190001,17.26,17.85,45726600,12.789419
"11",2007-01-18,17.98,18.15,17.700001,17.75,21043900,12.717768
"12",2007-01-19,17.620001,17.85,17.469999,17.540001,18084900,12.567307
"13",2007-01-22,17.58,17.74,17.33,17.5,14873700,12.538647
"14",2007-01-23,17.57,17.75,17.35,17.41,10082800,12.474163
"15",2007-01-24,17.41,17.799999,17.299999,17.48,11057500,12.524318
"16",2007-01-25,17.59,19.02,17.57,17.969999,39354000,12.875395
"17",2007-01-26,17.940001,18.15,17.530001,17.77,19826300,12.732103
"18",2007-01-29,17.719999,17.73,17.27,17.52,16851400,12.552974
"19",2007-01-30,17.549999,17.709999,17.440001,17.620001,10620500,12.624624
"20",2007-01-31,17.68,17.84,17.459999,17.709999,10843500,12.689111
"21",2007-02-01,17.68,18.040001,17.559999,17.92,16894400,12.839574
"22",2007-02-02,17.9,18.209999,17.84,18.059999,12866300,12.939882
"23",2007-02-05,18,18.09,17.77,17.780001,13157700,12.739266
"24",2007-02-06,17.85,17.950001,17.49,17.620001,17169200,12.624624
"25",2007-02-07,17.709999,18.200001,17.700001,18.1,20272600,12.968541
"26",2007-02-08,18.049999,18.17,17.950001,18,9459900,12.896894
"27",2007-02-09,18,18.110001,17.75,17.870001,13861400,12.803746
"28",2007-02-12,17.940001,17.950001,17.66,17.82,7541100,12.767925
"29",2007-02-13,17.9,18.040001,17.76,17.91,15665900,12.832408
"30",2007-02-14,18,18.370001,17.860001,18.33,18274900,13.133338
"31",2007-02-15,18.290001,18.299999,18.049999,18.24,10355200,13.068849
"32",2007-02-16,18.209999,18.299999,17.870001,17.950001,12194400,12.861069
"33",2007-02-20,17.91,17.950001,17.530001,17.85,15826000,12.789419
"34",2007-02-21,17.77,17.83,17.4,17.469999,19585000,12.517146
"35",2007-02-22,17.549999,17.620001,17.33,17.530001,12402800,12.560142
"36",2007-02-23,17.59,17.59,17.27,17.360001,9771200,12.438338
"37",2007-02-26,17.4,17.4,17.110001,17.209999,15902300,12.330863
"38",2007-02-27,17.07,17.299999,16.74,16.74,19549200,11.994107
"39",2007-02-28,16.84,17.35,16.65,17.1,23195100,12.252048
"40",2007-03-01,16.950001,17.25,16.799999,16.959999,16339200,12.151739
"41",2007-03-02,16.799999,17.17,16.799999,16.9,14184300,12.108748
"42",2007-03-05,16.799999,17.049999,16.690001,16.690001,12158300,11.958286
"43",2007-03-06,16.889999,16.950001,16.59,16.84,16352700,12.06576
"44",2007-03-07,16.620001,16.76,16.41,16.65,27190900,11.929625
"45",2007-03-08,16.889999,16.9,16.48,16.57,19391600,11.872306
"46",2007-03-09,16.66,16.959999,16.57,16.84,16226000,12.06576
"47",2007-03-12,16.84,17.049999,16.700001,17.01,10204000,12.187563
"48",2007-03-13,16.809999,16.91,16.41,16.41,13370100,11.757669
"49",2007-03-14,16.43,16.59,16.200001,16.549999,12252400,11.857976
"50",2007-03-15,16.559999,16.639999,16.370001,16.620001,8751600,11.908129
"51",2007-03-16,17.040001,17.18,16.73,16.9,20070700,12.108748
"52",2007-03-19,16.92,16.950001,16.610001,16.84,10240300,12.06576
"53",2007-03-20,16.91,17.059999,16.75,16.959999,12108400,12.151739
"54",2007-03-21,17,17.16,16.799999,17.07,17437800,12.230554
"55",2007-03-22,17.07,17.25,16.950001,17.17,20316400,12.302201
"56",2007-03-23,17.15,17.629999,17.15,17.540001,16400500,12.567307
"57",2007-03-26,17.49,17.74,17.450001,17.610001,17605500,12.617459
"58",2007-03-27,17.66,17.950001,17.59,17.85,21571300,12.789419
"59",2007-03-28,17.709999,17.84,17.450001,17.450001,9426700,12.502822
"60",2007-03-29,17.57,17.67,17.18,17.450001,9294500,12.502822
"61",2007-03-30,17.42,17.58,17.139999,17.299999,8454500,12.395346
"62",2007-04-02,17.219999,17.370001,16.959999,17.040001,15789300,12.20906
"63",2007-04-03,17.059999,17.1,16.82,16.99,17202900,12.173235
"64",2007-04-04,16.93,17.02,16.809999,16.85,12689800,12.072925
"65",2007-04-05,16.85,16.959999,16.790001,16.92,6747900,12.12308
"66",2007-04-09,16.98,17.110001,16.92,16.950001,11480900,12.144576
"67",2007-04-10,16.889999,17.1,16.77,17.1,9898500,12.252048
"68",2007-04-11,17.059999,17.200001,16.92,17.059999,10005700,12.223387
"69",2007-04-12,17.110001,17.469999,17.030001,17.370001,11013100,12.445505
"70",2007-04-13,17.34,17.709999,17.32,17.4,15411700,12.466998
"71",2007-04-16,17.49,17.59,17.219999,17.530001,11093300,12.560142
"72",2007-04-17,17.57,17.719999,17.469999,17.5,9774800,12.538647
"73",2007-04-18,17.379999,17.459999,17.280001,17.389999,7786500,12.459831
"74",2007-04-19,17.17,17.34,17.15,17.26,6333500,12.366687
"75",2007-04-20,17.35,17.700001,17.290001,17.629999,16282200,12.631787
"76",2007-04-23,17.75,17.950001,17.559999,17.76,17469500,12.724933
"77",2007-04-24,17.950001,17.98,17.440001,17.469999,17069100,12.517146
"78",2007-04-25,17.59,17.700001,17.35,17.610001,10921600,12.617459
"79",2007-04-26,17.4,17.93,17.26,17.709999,9961800,12.689111
"80",2007-04-27,17.65,17.93,17.6,17.709999,12551400,12.689111
"81",2007-04-30,17.75,18,17.58,17.6,11542300,12.610295
"82",2007-05-01,17.610001,17.879999,17.51,17.83,10791500,12.775088
"83",2007-05-02,17.889999,18.33,17.51,18.17,16944400,13.018698
"84",2007-05-03,19.290001,19.75,18.969999,19.049999,40898400,13.64921
"85",2007-05-04,19.1,19.51,19.09,19.4,12667000,13.89998
"86",2007-05-07,19.469999,19.719999,19.33,19.51,15939200,13.978799
"87",2007-05-08,19.42,19.780001,19.4,19.73,15945600,14.136428
"88",2007-05-09,19.67,19.82,19.620001,19.77,13226600,14.165087
"89",2007-05-10,19.65,19.790001,19.379999,19.48,13344700,13.957302
"90",2007-05-11,19.440001,19.790001,19.42,19.65,12103000,14.079106
"91",2007-05-14,19.66,19.75,19.43,19.65,11766700,14.079106
"92",2007-05-15,19.68,20,19.49,19.52,15242900,13.985963
"93",2007-05-16,19.49,19.9,19.42,19.879999,13729500,14.243897
"94",2007-05-17,19.879999,19.98,19.790001,19.889999,9021800,14.251064
"95",2007-05-18,19.860001,19.98,19.66,19.860001,11081100,14.229572
"96",2007-05-21,19.76,19.870001,19.629999,19.790001,10330200,14.179415
"97",2007-05-22,19.76,19.77,19.51,19.629999,10151800,14.06478
"98",2007-05-23,19.6,19.799999,19.4,19.6,11282200,14.043281
"99",2007-05-24,19.58,19.709999,19.209999,19.27,14843400,13.806839
"100",2007-05-25,19.360001,19.85,19.35,19.790001,13415700,14.179415
"101",2007-05-29,19.66,19.709999,19.440001,19.629999,11674900,14.06478
"102",2007-05-30,19.43,19.77,19.290001,19.77,11637600,14.165087
"103",2007-05-31,19.76,20.040001,19.709999,19.99,13480300,14.322712
"104",2007-06-01,19.969999,20.1,19.77,19.969999,7533800,14.308386
"105",2007-06-04,19.799999,20.25,19.799999,20.16,10102900,14.444519
"106",2007-06-05,20.049999,20.32,19.83,20.02,10921500,14.344211
"107",2007-06-06,19.98,20.110001,19.799999,19.98,11025400,14.315552
"108",2007-06-07,19.799999,20.02,19.549999,19.549999,10431300,14.007458
"109",2007-06-08,19.43,19.74,19.4,19.700001,8010900,14.114932
"110",2007-06-11,19.559999,19.76,19.540001,19.610001,8995400,14.050447
"111",2007-06-12,19.540001,19.92,19.4,19.620001,15003500,14.057611
"112",2007-06-13,19.65,20.35,19.629999,20.01,14734500,14.337044
"113",2007-06-14,20.09,20.1,19.34,19.469999,23513100,13.950135
"114",2007-06-15,19.709999,19.75,19.59,19.700001,22137500,14.114932
"115",2007-06-18,20.18,20.27,20.01,20.17,15912800,14.451683
"116",2007-06-19,20.139999,20.25,19.82,19.870001,13072000,14.236736
"117",2007-06-20,19.91,19.969999,19.379999,19.440001,14213700,13.928643
"118",2007-06-21,19.690001,20.110001,19.6,20.059999,21715900,14.372865
"119",2007-06-22,19.959999,20.15,19.83,19.91,19463200,14.265396
"120",2007-06-25,19.9,20.129999,19.639999,19.709999,10170200,14.122096
"121",2007-06-26,19.870001,20.110001,19.799999,19.9,13379500,14.258231
"122",2007-06-27,19.780001,20.59,19.690001,20.51,23315000,14.695289
"123",2007-06-28,20.25,20.700001,20.209999,20.43,15682000,14.637975
"124",2007-06-29,20.49,20.549999,19.91,20.200001,14483300,14.47318
"125",2007-07-02,20.15,20.200001,19.83,19.940001,10268600,14.286892
"126",2007-07-03,19.93,20,19.84,19.879999,3264500,14.243897
"127",2007-07-05,19.93,19.99,19.73,19.879999,6864100,14.243897
"128",2007-07-06,19.83,19.879999,19.719999,19.83,5476100,14.208072
"129",2007-07-09,19.790001,19.799999,19.440001,19.620001,14473900,14.057611
"130",2007-07-10,19.5,19.709999,18.83,18.870001,25405300,13.520243
"131",2007-07-11,19.030001,19.559999,18.93,19.530001,19077300,13.99313
"132",2007-07-12,19.58,19.879999,19.530001,19.83,11104800,14.208072
"133",2007-07-13,19.73,19.950001,19.620001,19.799999,14880500,14.186582
"134",2007-07-16,19.68,19.84,19.65,19.74,6754100,14.143592
"135",2007-07-17,19.780001,19.870001,19.66,19.66,8688500,14.086273
"136",2007-07-18,19.620001,19.68,19.219999,19.5,12441600,13.971636
"137",2007-07-19,19.549999,19.85,19.309999,19.780001,12445100,14.172253
"138",2007-07-20,19.559999,19.93,19.5,19.76,11865500,14.157919
"139",2007-07-23,19.799999,20.09,19.76,19.799999,10160100,14.186582
"140",2007-07-24,19.790001,19.889999,19.34,19.540001,12782900,14.000295
"141",2007-07-25,19.59,20.01,19.51,19.959999,29531800,14.301216
"142",2007-07-26,20.9,21.030001,19.66,20.15,38313500,14.437351
"143",2007-07-27,20.219999,20.219999,19.440001,19.440001,19676900,13.928643
"144",2007-07-30,19.41,19.67,19.190001,19.309999,20032200,13.835501
"145",2007-07-31,19.370001,19.6,19.120001,19.200001,14630900,13.756687
"146",2007-08-01,19.139999,19.41,18.719999,19.040001,19597900,13.642049
"147",2007-08-02,19.370001,19.469999,18.9,18.959999,20164000,13.584728
"148",2007-08-03,18.959999,19.07,18.52,18.549999,21440200,13.290963
"149",2007-08-06,18.68,18.700001,17.85,18.42,27776100,13.197821
"150",2007-08-07,18.27,18.27,17.77,18.120001,20122600,12.982872
"151",2007-08-08,18.17,18.360001,17.549999,17.969999,26785300,12.875395
"152",2007-08-09,17.549999,17.940001,17.440001,17.49,30990400,12.53148
"153",2007-08-10,17.24,18.01,17.23,17.870001,25550600,12.803746
"154",2007-08-13,18.139999,18.219999,17.84,17.879999,18427600,12.810916
"155",2007-08-14,18,18.27,17.77,17.809999,13571300,12.760756
"156",2007-08-15,17.76,18.370001,17.76,17.870001,18646900,12.803746
"157",2007-08-16,17.59,18.09,17.540001,17.870001,22985000,12.803746
"158",2007-08-17,18,18.379999,17.780001,18.1,18832100,12.968541
"159",2007-08-20,18.030001,18.26,17.75,18.26,12561400,13.083187
"160",2007-08-21,18.129999,18.77,18.030001,18.549999,13250000,13.290963
"161",2007-08-22,18.709999,18.76,18.51,18.700001,10995900,13.398439
"162",2007-08-23,18.700001,18.75,18.41,18.68,7783800,13.384109
"163",2007-08-24,18.68,18.91,18.530001,18.91,8523700,13.5489
"164",2007-08-27,18.879999,18.92,18.629999,18.719999,6167900,13.412768
"165",2007-08-28,18.530001,18.719999,18.25,18.26,11060700,13.083187
"166",2007-08-29,18.299999,18.68,18.059999,18.66,10683800,13.369781
"167",2007-08-30,18.530001,18.85,18.469999,18.66,10859200,13.369781
"168",2007-08-31,18.82,18.9,18.700001,18.809999,7858100,13.477256
"169",2007-09-04,18.73,19.200001,18.709999,19.1,9867400,13.685033
"170",2007-09-05,18.959999,19.15,18.709999,18.799999,14762800,13.470086
"171",2007-09-06,18.85,19.07,18.809999,18.91,12759100,13.5489
"172",2007-09-07,18.77,19.040001,18.549999,18.799999,19470900,13.470086
"173",2007-09-10,18.889999,18.92,18.370001,18.74,14759600,13.427099
"174",2007-09-11,18.870001,19.43,18.799999,19.4,18592400,13.89998
"175",2007-09-12,19.360001,20,19.34,19.84,17258100,14.215241
"176",2007-09-13,19.959999,19.99,19.68,19.74,9380500,14.143592
"177",2007-09-14,19.58,19.77,19.469999,19.51,14606500,13.978799
"178",2007-09-17,19.48,19.48,19.25,19.42,6462900,13.914315
"179",2007-09-18,19.5,19.73,19.299999,19.66,11986000,14.086273
"180",2007-09-19,19.73,19.860001,19.43,19.58,10880100,14.028953
"181",2007-09-20,19.57,19.790001,19.16,19.24,12932800,13.785345
"182",2007-09-21,19.309999,19.389999,19.030001,19.280001,14679800,13.814004
"183",2007-09-24,19.129999,19.280001,18.860001,19.01,8831900,13.620555
"184",2007-09-25,18.99,19.299999,18.950001,19.299999,8356600,13.828334
"185",2007-09-26,19.48,19.58,19.33,19.42,8669300,13.914315
"186",2007-09-27,19.5,19.610001,19.07,19.219999,10190800,13.771013
"187",2007-09-28,19.299999,19.530001,19.15,19.379999,11124300,13.885657
"188",2007-10-01,19.59,20,19.49,19.889999,12403200,14.251064
"189",2007-10-02,20.200001,20.469999,20.200001,20.389999,16019800,14.609309
"190",2007-10-03,20.219999,20.41,19.959999,20.15,12926900,14.437351
"191",2007-10-04,20.110001,20.459999,19.969999,20.35,13766800,14.580653
"192",2007-10-05,20.379999,20.5,20.209999,20.389999,10984500,14.609309
"193",2007-10-08,20.549999,21.07,20.43,21,21704300,15.046374
