"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,19.76,20.200001,19.6,19.953333,868800,19.953333
"2",2007-01-04,19.959999,20.113333,19.52,20,820500,20
"3",2007-01-05,19.926666,20.006666,19.666666,19.933332,501000,19.933332
"4",2007-01-08,19.9,20.66,19.719999,20.506666,1191900,20.506666
"5",2007-01-09,20.426666,21.266666,20.126667,21.053333,2478700,21.053333
"6",2007-01-10,20.799999,21.353333,20.473333,21.286667,1785100,21.286667
"7",2007-01-11,21.24,21.393333,20.74,21.113333,1205500,21.113333
"8",2007-01-12,21.02,21.02,20.553333,20.780001,821500,20.780001
"9",2007-01-16,20.780001,20.906666,20.48,20.620001,608500,20.620001
"10",2007-01-17,20.613333,20.886667,20.606667,20.719999,456400,20.719999
"11",2007-01-18,20.666666,20.826666,19.546667,19.620001,1039900,19.620001
"12",2007-01-19,19.68,20.046667,19.34,19.700001,1113300,19.700001
"13",2007-01-22,19.666666,19.713333,18.793333,19.066668,1591300,19.066668
"14",2007-01-23,18.886667,19.76,18.886667,19.626667,1436400,19.626667
"15",2007-01-24,19.786667,20.200001,19.6,20.093334,1258800,20.093334
"16",2007-01-25,20.133333,20.766666,20.026667,20.433332,3479500,20.433332
"17",2007-01-26,19.4,19.533333,16.959999,18.086666,9096300,18.086666
"18",2007-01-29,18.113333,18.52,17.98,18.086666,1479900,18.086666
"19",2007-01-30,18.073334,18.206667,17.833334,17.966667,628000,17.966667
"20",2007-01-31,17.98,18.1,17.586666,18.040001,985200,18.040001
"21",2007-02-01,18.139999,18.139999,17.693333,18.006666,780700,18.006666
"22",2007-02-02,18.093334,18.366667,17.940001,18.146667,1264800,18.146667
"23",2007-02-05,18.040001,18.166666,17.853333,18.08,1231300,18.08
"24",2007-02-06,18.066668,18.066668,17.626667,17.793333,1574700,17.793333
"25",2007-02-07,17.853333,17.9,17.626667,17.799999,691800,17.799999
"26",2007-02-08,17.799999,17.866667,17.533333,17.713333,681700,17.713333
"27",2007-02-09,17.666666,17.873333,17.266666,17.573334,693700,17.573334
"28",2007-02-12,17.486666,17.626667,17.053333,17.133333,989500,17.133333
"29",2007-02-13,17.126667,17.133333,16.913334,17.046667,907200,17.046667
"30",2007-02-14,17.073334,17.353333,16.98,17.193333,648900,17.193333
"31",2007-02-15,17.206667,17.366667,16.98,17.013334,495700,17.013334
"32",2007-02-16,17.02,17.073334,16.766666,17.026667,945300,17.026667
"33",2007-02-20,17.066668,17.893333,17.026667,17.693333,1322800,17.693333
"34",2007-02-21,17.540001,17.700001,17.34,17.700001,553200,17.700001
"35",2007-02-22,17.733334,18.006666,17.620001,17.793333,697600,17.793333
"36",2007-02-23,17.853333,17.886667,17.559999,17.639999,387600,17.639999
"37",2007-02-26,17.706667,17.806667,17.353333,17.446667,479200,17.446667
"38",2007-02-27,17.086666,17.086666,16.113333,16.4,1498300,16.4
"39",2007-02-28,16.4,16.66,16.24,16.360001,1052500,16.360001
"40",2007-03-01,16.106667,16.433332,15.806666,16.286667,859500,16.286667
"41",2007-03-02,16.120001,16.406666,15.846666,15.893333,1197400,15.893333
"42",2007-03-05,15.8,16.313334,15.6,15.62,785500,15.62
"43",2007-03-06,15.833333,16.18,15.833333,16.046667,689100,16.046667
"44",2007-03-07,16,16.146667,15.746667,15.786667,541900,15.786667
"45",2007-03-08,15.946667,16.086666,15.586667,15.6,425400,15.6
"46",2007-03-09,15.753333,15.86,15.453333,15.78,373900,15.78
"47",2007-03-12,15.693334,15.826667,15.52,15.806666,370200,15.806666
"48",2007-03-13,15.68,15.786667,15.413333,15.46,510100,15.46
"49",2007-03-14,15.413333,15.673333,15.166667,15.58,310200,15.58
"50",2007-03-15,15.606667,16.059999,15.606667,15.82,557700,15.82
"51",2007-03-16,15.813334,15.86,15.533334,15.706667,521400,15.706667
"52",2007-03-19,15.8,15.953333,15.646667,15.666667,292900,15.666667
"53",2007-03-20,15.72,16.266666,15.66,16.246666,643000,16.246666
"54",2007-03-21,16.333334,16.84,16.193333,16.806667,1304500,16.806667
"55",2007-03-22,16.866667,17.139999,16.66,17.113333,559000,17.113333
"56",2007-03-23,17.059999,17.466667,17.040001,17.440001,823500,17.440001
"57",2007-03-26,17.413334,17.846666,17.373333,17.693333,876700,17.693333
"58",2007-03-27,17.706667,17.873333,17.593334,17.626667,475200,17.626667
"59",2007-03-28,17.573334,17.766666,17.299999,17.406666,648100,17.406666
"60",2007-03-29,17.513334,17.513334,16.92,17.24,753900,17.24
"61",2007-03-30,17.16,17.24,16.92,17.053333,490000,17.053333
"62",2007-04-02,17.053333,17.313334,16.933332,17.299999,550200,17.299999
"63",2007-04-03,17.346666,17.346666,17.08,17.186666,474600,17.186666
"64",2007-04-04,17.126667,17.166666,16.906666,17,604800,17
"65",2007-04-05,16.986666,16.986666,16.746666,16.786667,668200,16.786667
"66",2007-04-09,16.866667,17.1,16.646667,16.666666,577500,16.666666
"67",2007-04-10,16.633333,17.16,16.48,17.106667,953400,17.106667
"68",2007-04-11,17.173334,17.726667,17.086666,17.526667,1306300,17.526667
"69",2007-04-12,17.586666,17.799999,17.333334,17.746666,868800,17.746666
"70",2007-04-13,17.713333,17.846666,17.526667,17.806667,673200,17.806667
"71",2007-04-16,17.866667,18.293333,17.833334,18.200001,970300,18.200001
"72",2007-04-17,18.18,18.18,17.466667,17.726667,925900,17.726667
"73",2007-04-18,17.673334,17.913334,17.459999,17.799999,494100,17.799999
"74",2007-04-19,17.626667,18.613333,17.573334,18.493334,1419700,18.493334
"75",2007-04-20,18.693333,18.746666,18.34,18.5,464700,18.5
"76",2007-04-23,18.526667,19.073334,18.48,18.726667,687700,18.726667
"77",2007-04-24,18.733334,19.34,18.733334,19.206667,1070200,19.206667
"78",2007-04-25,19.173334,19.493334,18.9,19.153334,1004200,19.153334
"79",2007-04-26,19,19.706667,18.68,19.440001,1454500,19.440001
"80",2007-04-27,20.5,20.693333,19.406666,20.326666,2885700,20.326666
"81",2007-04-30,20.326666,20.506666,19.879999,19.973333,805800,19.973333
"82",2007-05-01,20,20,19.26,19.66,901600,19.66
"83",2007-05-02,19.693333,19.973333,19.693333,19.866667,829500,19.866667
"84",2007-05-03,19.9,19.966667,19.626667,19.793333,910600,19.793333
"85",2007-05-04,19.9,19.933332,19.593334,19.793333,594400,19.793333
"86",2007-05-07,19.913334,20.233334,19.559999,19.586666,747000,19.586666
"87",2007-05-08,19.593334,19.833334,19.106667,19.76,818700,19.76
"88",2007-05-09,19.673334,19.940001,19.48,19.799999,318400,19.799999
"89",2007-05-10,19.719999,19.786667,19.313334,19.573334,548700,19.573334
"90",2007-05-11,19.553333,20,19.446667,19.973333,574200,19.973333
"91",2007-05-14,19.933332,20.233334,19.746666,19.913334,826300,19.913334
"92",2007-05-15,19.853333,20.200001,19.446667,19.573334,733900,19.573334
"93",2007-05-16,19.653334,19.673334,19.406666,19.66,319200,19.66
"94",2007-05-17,19.66,19.746666,19.4,19.506666,339700,19.506666
"95",2007-05-18,19.553333,19.833334,19.286667,19.813334,619000,19.813334
"96",2007-05-21,19.76,20.373333,19.606667,19.98,696400,19.98
"97",2007-05-22,20,20.379999,19.940001,20.206667,799500,20.206667
"98",2007-05-23,20.353333,20.66,20.08,20.193333,923500,20.193333
"99",2007-05-24,20.153334,20.333334,19.633333,19.686666,911100,19.686666
"100",2007-05-25,19.706667,19.799999,19.559999,19.719999,400900,19.719999
"101",2007-05-29,19.793333,20.326666,19.793333,20.120001,710100,20.120001
"102",2007-05-30,19.966667,20.686666,19.953333,20.553333,655300,20.553333
"103",2007-05-31,20.673334,21.113333,20.553333,21.059999,952800,21.059999
"104",2007-06-01,21.219999,21.233334,20.786667,20.946667,1117900,20.946667
"105",2007-06-04,20.826666,21.219999,20.826666,20.98,562500,20.98
"106",2007-06-05,20.940001,21.186666,20.82,21.033333,403600,21.033333
"107",2007-06-06,20.866667,21,20.546667,20.986666,510100,20.986666
"108",2007-06-07,20.766666,22.126667,20.766666,21.906666,2274700,21.906666
"109",2007-06-08,21.986666,22.826666,21.593334,22.68,2291800,22.68
"110",2007-06-11,22.793333,22.873333,22.233334,22.313334,931900,22.313334
"111",2007-06-12,22.093334,22.413334,21.959999,22.046667,899500,22.046667
"112",2007-06-13,22.139999,22.860001,22.139999,22.733334,1138300,22.733334
"113",2007-06-14,22.826666,23.233334,22.666666,22.866667,985200,22.866667
"114",2007-06-15,23.286667,23.373333,23.006666,23.066668,1239100,23.066668
