"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2018-01-12,9.96,9.96,9.9,9.95,820600,9.686941
"2",2018-01-16,10.16,10.18,10.1,10.12,1298200,9.852447
"3",2018-01-17,10.06,10.1,10.03,10.04,1075600,9.774562
"4",2018-01-18,10,10.04,9.99,10.02,1107900,9.755091
"5",2018-01-19,10.07,10.1,10.02,10.06,553400,9.794034
"6",2018-01-22,10.24,10.29,10.23,10.28,1084200,10.008217
"7",2018-01-23,10.41,10.42,10.32,10.36,1937200,10.086102
"8",2018-01-24,10.37,10.44,10.35,10.43,1237800,10.154251
"9",2018-01-25,10.46,10.49,10.37,10.42,1246000,10.144516
"10",2018-01-26,10.52,10.57,10.51,10.55,985000,10.271079
"11",2018-01-29,10.39,10.44,10.37,10.41,1877400,10.13478
"12",2018-01-30,10.36,10.37,10.25,10.27,1668300,9.998482
"13",2018-01-31,10.21,10.24,10.18,10.24,1835800,9.969275
"14",2018-02-01,10.16,10.23,10.11,10.22,1317100,9.949803
"15",2018-02-02,9.98,10.02,9.9,9.93,1853700,9.66747
"16",2018-02-05,9.77,9.82,9.5,9.51,2914700,9.258574
"17",2018-02-06,9.47,9.7,9.46,9.66,2900400,9.404608
"18",2018-02-07,9.62,9.71,9.54,9.55,1656200,9.297517
"19",2018-02-08,9.45,9.47,9.23,9.23,2902500,8.985976
"20",2018-02-09,9.27,9.3,8.99,9.22,3189400,8.976241
"21",2018-02-12,9.32,9.38,9.27,9.35,1659500,9.102804
"22",2018-02-13,9.2,9.27,9.17,9.27,1450500,9.02492
"23",2018-02-14,9.19,9.33,9.18,9.33,988800,9.083333
"24",2018-02-15,9.3,9.38,9.26,9.38,1169000,9.132011
"25",2018-02-16,9.39,9.49,9.38,9.43,1095200,9.18069
"26",2018-02-20,9.41,9.44,9.33,9.35,1131800,9.102804
"27",2018-02-21,9.39,9.42,9.28,9.29,1245500,9.044391
"28",2018-02-22,9.72,9.79,9.66,9.72,3086000,9.463022
"29",2018-02-23,9.8,9.9,9.77,9.9,2149800,9.638263
"30",2018-02-26,9.86,10,9.82,9.94,2494900,9.677205
"31",2018-02-27,9.83,9.85,9.7,9.7,1251100,9.443551
"32",2018-02-28,9.74,9.75,9.63,9.63,1110200,9.375401
"33",2018-03-01,9.61,9.7,9.52,9.62,1405600,9.365665
"34",2018-03-02,9.64,9.67,9.53,9.66,1205100,9.404608
"35",2018-03-05,9.64,9.78,9.63,9.75,1143700,9.492229
"36",2018-03-06,9.82,9.87,9.79,9.85,985300,9.589585
"37",2018-03-07,9.76,9.83,9.72,9.82,1238500,9.560378
"38",2018-03-08,9.89,9.91,9.85,9.89,812100,9.628528
"39",2018-03-09,9.99,10.04,9.97,10.03,1711700,9.764826
"40",2018-03-12,10,10.05,9.99,10.02,856600,9.755091
"41",2018-03-13,10,10.01,9.85,9.88,1061300,9.618793
"42",2018-03-14,9.95,9.96,9.88,9.93,1038200,9.66747
"43",2018-03-15,9.91,9.91,9.83,9.87,1012200,9.609056
"44",2018-03-16,9.92,10.04,9.92,10.01,1468100,9.745356
"45",2018-03-19,9.97,9.99,9.89,9.93,2092400,9.66747
"46",2018-03-20,9.74,9.77,9.7,9.75,1263800,9.492229
"47",2018-03-21,9.67,9.73,9.64,9.7,1048900,9.443551
"48",2018-03-22,9.52,9.6,9.48,9.49,1398800,9.239102
"49",2018-03-23,9.6,9.61,9.48,9.5,1113200,9.248838
"50",2018-03-26,9.66,9.73,9.56,9.72,1717000,9.463022
"51",2018-03-27,9.75,9.78,9.61,9.65,1858900,9.394873
"52",2018-03-28,9.75,9.86,9.71,9.78,984400,9.521436
"53",2018-03-29,9.88,9.91,9.81,9.87,1051000,9.609056
"54",2018-04-02,9.84,9.85,9.68,9.72,724600,9.463022
"55",2018-04-03,9.75,9.82,9.71,9.8,1152200,9.540907
"56",2018-04-04,9.65,9.82,9.64,9.82,1080900,9.560378
"57",2018-04-05,9.92,9.96,9.9,9.94,1313200,9.677205
"58",2018-04-06,9.96,10.02,9.87,9.88,1116100,9.618793
"59",2018-04-09,10.02,10.06,9.96,9.96,890200,9.696677
"60",2018-04-10,10.07,10.13,10.04,10.1,1193800,9.832976
"61",2018-04-11,10.1,10.11,10.05,10.05,658300,9.784298
"62",2018-04-12,9.98,10.06,9.98,10.04,773300,9.774562
"63",2018-04-13,10.06,10.06,9.98,10.01,796600,9.745356
"64",2018-04-16,10.02,10.1,9.99,10.08,625900,9.813504
"65",2018-04-17,10.07,10.1,10.04,10.09,914400,9.82324
"66",2018-04-18,10.11,10.15,10.08,10.11,888300,9.84271
