"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2011-12-07,27.5,27.76,24,27.450001,1413700,27.450001
"2",2011-12-08,26.059999,27.780001,25.76,26.549999,719600,26.549999
"3",2011-12-09,27.93,28,26.700001,27.91,716200,27.91
"4",2011-12-12,28.280001,28.280001,27,27.450001,393300,27.450001
"5",2011-12-13,28.530001,28.530001,27.01,27.5,452500,27.5
"6",2011-12-14,28.190001,28.190001,26.85,27.120001,444400,27.120001
"7",2011-12-15,27.870001,29.1,27.6,28.33,1417600,28.33
"8",2011-12-16,29.92,29.92,28,28.459999,966700,28.459999
"9",2011-12-19,28.690001,29.459999,28.41,28.969999,1048500,28.969999
"10",2011-12-20,29.5,30.620001,29.469999,30.25,2017200,30.25
"11",2011-12-21,30,30,27.51,27.67,2871800,27.67
"12",2011-12-22,27.120001,27.6,23.99,24.530001,6294100,24.530001
"13",2011-12-23,24.709999,27.139999,24.5,26.02,2744200,26.02
"14",2011-12-27,25.360001,26.1,24.629999,25.940001,2887400,25.940001
"15",2011-12-28,25.25,25.98,24.940001,25.77,2098600,25.77
"16",2011-12-29,25.540001,25.66,24.790001,24.82,2247300,24.82
"17",2011-12-30,24.969999,25.549999,24.639999,25.209999,1798400,25.209999
"18",2012-01-03,26.15,27.35,26.110001,26.629999,3721800,26.629999
"19",2012-01-04,25.82,26.09,25.41,25.68,1681000,25.68
"20",2012-01-05,24.57,25.82,24.57,25.52,1534700,25.52
"21",2012-01-06,25.52,26.02,25.17,25.57,1484800,25.57
"22",2012-01-09,25.74,26.77,25.65,26.26,1965300,26.26
"23",2012-01-10,26.73,28.24,26.59,27.75,4177500,27.75
"24",2012-01-11,26.690001,28.219999,26.559999,27.790001,1803300,27.790001
"25",2012-01-12,27.870001,29.17,27.799999,28.459999,2005600,28.459999
"26",2012-01-13,28.219999,29.77,27.93,29.51,1993400,29.51
"27",2012-01-17,29.58,29.799999,28.91,28.99,3210100,28.99
"28",2012-01-18,28.690001,29.43,28.52,29.030001,1205200,29.030001
"29",2012-01-19,29.1,30.889999,29.02,30.33,2712900,30.33
"30",2012-01-20,30.42,30.49,29.82,30.4,1307600,30.4
"31",2012-01-23,30.540001,30.790001,30.23,30.379999,2565400,30.379999
"32",2012-01-24,30.139999,30.75,29.969999,30.690001,1299100,30.690001
"33",2012-01-25,30.549999,32.330002,30.549999,31.49,2349300,31.49
"34",2012-01-26,31.48,31.940001,30.459999,31.049999,1881500,31.049999
"35",2012-01-27,30.389999,31.459999,30.35,31.24,1227500,31.24
"36",2012-01-30,30.959999,31.84,30.639999,31.639999,904500,31.639999
"37",2012-01-31,30.84,33.040001,30.84,32.91,1261100,32.91
"38",2012-02-01,33.110001,35.169998,33.080002,35.060001,3610100,35.060001
"39",2012-02-02,35.279999,35.599998,33.830002,34.880001,2447800,34.880001
"40",2012-02-03,35.07,35.93,35.07,35.380001,2993500,35.380001
"41",2012-02-06,35.349998,35.75,35.060001,35.150002,1968000,35.150002
"42",2012-02-07,35.279999,35.48,34.82,34.84,2235900,34.84
"43",2012-02-08,34.779999,34.970001,33.02,34.34,3220900,34.34
"44",2012-02-09,28.280001,29.85,27.99,29.34,12923400,29.34
"45",2012-02-10,29.02,30.889999,28.65,30.040001,3623600,30.040001
"46",2012-02-13,30.07,30.129999,28.5,28.59,2396400,28.59
"47",2012-02-14,28.700001,28.790001,26.93,27.629999,4072100,27.629999
"48",2012-02-15,27.799999,30.1,27.52,29.280001,4922800,29.280001
"49",2012-02-16,29.27,30.65,28.73,30.4,2583300,30.4
"50",2012-02-17,30.5,30.940001,29.950001,30.700001,1939900,30.700001
"51",2012-02-21,30.610001,30.74,30.120001,30.67,2462700,30.67
"52",2012-02-22,30.950001,30.950001,29.85,30,3275500,30
"53",2012-02-23,30.059999,30.690001,29.559999,30.59,2041700,30.59
"54",2012-02-24,30.190001,32,30.190001,31.799999,1904100,31.799999
"55",2012-02-27,31.379999,32.080002,31.139999,31.91,1438400,31.91
"56",2012-02-28,32.09,33.490002,32,32.310001,2442000,32.310001
"57",2012-02-29,32.32,32.43,31.67,32.23,1356200,32.23
"58",2012-03-01,31.889999,32.880001,31.09,32.619999,2641400,32.619999
"59",2012-03-02,32.369999,33.09,32.040001,32.450001,1640400,32.450001
"60",2012-03-05,32.290001,32.41,31.809999,31.969999,648900,31.969999
"61",2012-03-06,31.5,31.799999,30.799999,31.42,1034800,31.42
"62",2012-03-07,31.5,31.66,30.91,31.07,1478100,31.07
"63",2012-03-08,31.200001,31.790001,31.139999,31.26,1151700,31.26
"64",2012-03-09,31.299999,31.35,30.559999,30.700001,705500,30.700001
"65",2012-03-12,30.73,31.059999,30.5,30.700001,1490800,30.700001
"66",2012-03-13,30.92,30.99,30.25,30.48,2280100,30.48
"67",2012-03-14,30.4,31,30.23,30.99,1230200,30.99
"68",2012-03-15,31.139999,32.540001,30.93,32.470001,2319000,32.470001
"69",2012-03-16,32.509998,34.919998,31.99,34,4298000,34
"70",2012-03-19,33.799999,34.150002,33.799999,34,855800,34
"71",2012-03-20,33.459999,34.290001,33.459999,34.09,1064500,34.09
"72",2012-03-21,34.169998,34.400002,33.349998,33.77,1316200,33.77
"73",2012-03-22,33.509998,33.759998,33.02,33.25,1047200,33.25
"74",2012-03-23,33.009998,33.360001,32.810001,33.27,531200,33.27
"75",2012-03-26,33.310001,34.5,32.860001,34.299999,2182000,34.299999
"76",2012-03-27,34.299999,36.049999,33.900002,35.290001,2897800,35.290001
"77",2012-03-28,35.150002,35.73,34.080002,34.57,1842600,34.57
"78",2012-03-29,34.25,35.18,33.919998,35.16,1575000,35.16
"79",2012-03-30,35.279999,36.860001,35.27,35.669998,3047000,35.669998
"80",2012-04-02,35.619999,37.779999,35.040001,37.369999,3569600,37.369999
"81",2012-04-03,37.419998,37.59,36.540001,36.59,1833000,36.59
"82",2012-04-04,36.41,36.799999,35.799999,36.25,1635000,36.25
"83",2012-04-05,36.040001,36.93,35.849998,36.23,2259000,36.23
