"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,12.6675,12.9725,12.4775,12.8925,2206400,12.8925
"2",2007-01-04,12.905,13.2975,12.9,13.2575,2931600,13.2575
"3",2007-01-05,13.2,13.6125,13.2,13.4075,2383200,13.4075
"4",2007-01-08,13.3675,13.3875,13.0225,13.275,897200,13.275
"5",2007-01-09,13.21,13.3925,13.0375,13.365,1296000,13.365
"6",2007-01-10,13.2675,13.305,13.1,13.285,1328800,13.285
"7",2007-01-11,13.2125,13.7275,13.205,13.6925,2356000,13.6925
"8",2007-01-12,13.62,13.75,13.49,13.75,1964000,13.75
"9",2007-01-16,13.75,13.8,13.47,13.5325,1397200,13.5325
"10",2007-01-17,13.5575,13.795,13.4625,13.7725,1228000,13.7725
"11",2007-01-18,13.91,13.935,13.425,13.44,1924800,13.44
"12",2007-01-19,13.49,13.54,13.41,13.495,1021200,13.495
"13",2007-01-22,13.5125,13.5175,13.225,13.305,1247600,13.305
"14",2007-01-23,13.23,13.42,13.1925,13.3,972000,13.3
"15",2007-01-24,13.26,13.44,13.195,13.44,1190400,13.44
"16",2007-01-25,13.44,13.505,13.1575,13.2475,964800,13.2475
"17",2007-01-26,13.41,14.325,13.35,14.145,5630000,14.145
"18",2007-01-29,14.105,14.2325,13.97,14.0425,2141200,14.0425
"19",2007-01-30,13.975,14.1625,13.9575,14.1,1501600,14.1
"20",2007-01-31,14.0425,14.2125,13.9275,14.145,2523200,14.145
"21",2007-02-01,14.1725,14.3525,14.08,14.27,1769600,14.27
"22",2007-02-02,14.2275,14.245,13.975,14,2044000,14
"23",2007-02-05,14.05,14.1175,13.98,14.01,1353600,14.01
"24",2007-02-06,14.0025,14.11,13.98,14.025,1528400,14.025
"25",2007-02-07,14.11,14.1375,13.925,13.9775,1942000,13.9775
"26",2007-02-08,14,14.045,13.925,13.9325,1902400,13.9325
"27",2007-02-09,13.805,13.925,13.5975,13.6475,1997200,13.6475
"28",2007-02-12,13.6475,13.71,13.5925,13.67,817200,13.67
"29",2007-02-13,13.735,13.75,13.6175,13.655,827200,13.655
"30",2007-02-14,13.655,13.75,13.5525,13.7175,1114800,13.7175
"31",2007-02-15,13.75,13.8875,13.6425,13.8325,1057600,13.8325
"32",2007-02-16,13.8425,14,13.7875,13.99,1170000,13.99
"33",2007-02-20,13.885,13.98,13.62,13.8075,1862400,13.8075
"34",2007-02-21,13.5925,13.9475,13.5925,13.93,1635600,13.93
"35",2007-02-22,13.95,14.0225,13.895,14.0225,1314800,14.0225
"36",2007-02-23,13.95,14.08,13.67,13.9,1309400,13.9
"37",2007-02-26,13.95,13.995,13.7,13.81,1398000,13.81
"38",2007-02-27,13.62,13.65,12.945,13.025,2462200,13.025
"39",2007-02-28,13.03,13.52,13.03,13.23,2511400,13.23
"40",2007-03-01,12.96,13.255,12.735,13.22,2e+06,13.22
"41",2007-03-02,13.125,13.25,13.075,13.12,1489400,13.12
"42",2007-03-05,13.075,13.245,12.85,12.855,1137400,12.855
"43",2007-03-06,13.055,13.24,13.015,13.15,1178200,13.15
"44",2007-03-07,13.175,13.475,13,13.42,1725800,13.42
"45",2007-03-08,13.48,13.605,13.225,13.23,983400,13.23
"46",2007-03-09,13.34,13.445,13.19,13.23,668000,13.23
"47",2007-03-12,13.16,13.435,13.16,13.345,1507800,13.345
"48",2007-03-13,13.495,13.53,13.215,13.255,1220800,13.255
"49",2007-03-14,13.27,13.325,12.97,13.22,1075400,13.22
"50",2007-03-15,13.285,13.32,13.075,13.25,1201400,13.25
"51",2007-03-16,13.25,13.25,13,13.17,721000,13.17
"52",2007-03-19,13.26,13.27,13.13,13.235,777800,13.235
"53",2007-03-20,13.2,13.26,13.075,13.24,577000,13.24
"54",2007-03-21,13.215,13.31,13.025,13.295,618400,13.295
"55",2007-03-22,13.27,13.525,13.27,13.505,917200,13.505
"56",2007-03-23,13.535,13.6,13.445,13.565,740600,13.565
"57",2007-03-26,13.57,13.6,13.4,13.56,517800,13.56
"58",2007-03-27,13.485,13.56,13.315,13.355,393000,13.355
"59",2007-03-28,13.315,13.49,13.185,13.335,699000,13.335
"60",2007-03-29,13.395,13.485,13.1,13.32,911400,13.32
"61",2007-03-30,13.34,13.44,13.275,13.42,579400,13.42
"62",2007-04-02,13.445,13.55,13.44,13.54,675200,13.54
"63",2007-04-03,13.55,13.8,13.55,13.645,918000,13.645
"64",2007-04-04,13.675,13.685,13.585,13.665,914400,13.665
"65",2007-04-05,13.735,13.735,13.58,13.64,443000,13.64
"66",2007-04-09,13.62,13.75,13.515,13.645,463200,13.645
"67",2007-04-10,13.575,13.655,13.415,13.46,585800,13.46
"68",2007-04-11,13.675,13.675,13.42,13.55,1106800,13.55
"69",2007-04-12,13.615,13.735,13.515,13.725,686000,13.725
"70",2007-04-13,13.78,13.835,13.63,13.815,910000,13.815
"71",2007-04-16,13.85,14.19,13.85,14.145,1892000,14.145
"72",2007-04-17,14.015,14.1,13.945,14,780600,14
"73",2007-04-18,14,14.075,13.95,14.055,876400,14.055
"74",2007-04-19,14.06,14.165,13.85,14.04,935200,14.04
"75",2007-04-20,14.15,14.23,13.94,14,1516200,14
"76",2007-04-23,14.045,14.05,13.895,13.965,1529800,13.965
"77",2007-04-24,13.9,14.24,13.9,14.19,1409200,14.19
"78",2007-04-25,14.205,14.44,14.13,14.285,1553800,14.285
"79",2007-04-26,14.29,14.685,14.29,14.64,1284000,14.64
"80",2007-04-27,14.64,14.695,14.3,14.645,1785200,14.645
"81",2007-04-30,14.595,14.595,14.275,14.34,1382200,14.34
"82",2007-05-01,14.24,14.61,14.24,14.6,1505800,14.6
"83",2007-05-02,14.6,14.785,14.575,14.745,1326400,14.745
"84",2007-05-03,14.75,15.115,14.59,14.99,1723600,14.99
"85",2007-05-04,15.35,16.135,15.3,15.71,2918600,15.71
"86",2007-05-07,15.61,15.685,15.265,15.305,1454200,15.305
"87",2007-05-08,15.26,15.46,15.185,15.395,1409200,15.395
"88",2007-05-09,15.32,15.5,15.255,15.495,914400,15.495
"89",2007-05-10,15.38,15.39,14.875,15.115,1144000,15.115
"90",2007-05-11,15.33,15.38,15.07,15.25,945000,15.25
"91",2007-05-14,15.16,15.4,15.095,15.15,1151800,15.15
"92",2007-05-15,15.21,15.28,14.92,14.98,1020200,14.98
"93",2007-05-16,14.975,15.09,14.76,14.84,1065800,14.84
"94",2007-05-17,14.84,14.87,14.65,14.725,1077200,14.725
"95",2007-05-18,14.725,14.95,14.6,14.92,1023800,14.92
"96",2007-05-21,14.995,15.215,14.955,15.03,838600,15.03
"97",2007-05-22,15.03,15.125,14.93,15.09,596400,15.09
"98",2007-05-23,15.15,15.17,14.87,14.89,897400,14.89
"99",2007-05-24,14.85,15.05,14.5,14.525,644800,14.525
"100",2007-05-25,14.545,14.95,14.525,14.86,1560800,14.86
"101",2007-05-29,14.905,14.945,14.655,14.765,662800,14.765
"102",2007-05-30,14.63,14.73,14.505,14.71,968200,14.71
