"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2011-10-14,16.5,19,16.25,17.5,2954400,17.117531
"2",2011-10-17,17.719999,18.950001,17.5,18.6,354600,18.193491
"3",2011-10-18,18.799999,19,18.209999,19,136200,18.584749
"4",2011-10-19,19,19.42,17.48,17.65,145000,17.264254
"5",2011-10-20,17.6,18.299999,17.58,17.879999,260300,17.489225
"6",2011-10-21,18.030001,19.799999,17.809999,19.559999,644400,19.132507
"7",2011-10-24,19.57,21.5,19.57,20.23,194000,19.787867
"8",2011-10-25,19.969999,20.43,19.059999,19.389999,125000,18.966223
"9",2011-10-26,19.77,20.200001,18.709999,19.040001,59700,18.623873
"10",2011-10-27,19.74,20,18.75,19.120001,60500,18.702126
"11",2011-10-28,19.440001,20.389999,19.01,20.389999,69500,19.944368
"12",2011-10-31,20.309999,21.25,19.48,20.99,123400,20.531256
"13",2011-11-01,20.27,20.940001,19.76,20.459999,271000,20.012838
"14",2011-11-02,20.889999,21.200001,19.799999,20.75,56200,20.296503
"15",2011-11-03,21.049999,21.15,20.120001,20.17,79700,19.729177
"16",2011-11-04,19.860001,20.27,19.08,19.27,97300,18.848848
"17",2011-11-07,19.01,19.75,18.85,18.860001,48300,18.447807
"18",2011-11-08,19.18,19.33,18.5,18.709999,55300,18.301086
"19",2011-11-09,18.5,19,18.5,18.719999,78100,18.310867
"20",2011-11-10,18.959999,19.35,18.51,18.6,40300,18.193491
"21",2011-11-11,21.4,21.5,19.33,19.459999,215500,19.034695
"22",2011-11-14,19.120001,20.629999,19.120001,19.709999,59700,19.27923
"23",2011-11-15,19.51,19.950001,19.41,19.85,60300,19.416172
"24",2011-11-16,19.540001,20.26,19.4,20.049999,30900,19.611801
"25",2011-11-17,19.860001,22.26,19.860001,22.01,332900,21.528965
"26",2011-11-18,22.25,23.040001,22.24,22.360001,223100,21.871315
"27",2011-11-21,22.129999,22.309999,20.200001,20.469999,520400,20.022619
"28",2011-11-22,20.48,20.620001,19.610001,20.540001,67900,20.091091
"29",2011-11-23,20.709999,20.98,19.32,19.67,251600,19.240107
"30",2011-11-25,19.690001,20.5,19.360001,19.360001,54400,18.93688
"31",2011-11-28,19.879999,20.32,19.299999,19.370001,99800,18.946663
"32",2011-11-29,19.43,19.65,18.75,18.879999,99400,18.467371
"33",2011-11-30,19.690001,19.83,19.059999,19.76,124700,19.32814
"34",2011-12-01,19.68,20.27,19.5,19.99,110600,19.553112
"35",2011-12-02,20.27,20.4,19.549999,20.25,98800,19.80743
"36",2011-12-05,20.65,20.65,19.75,19.93,75400,19.494423
"37",2011-12-06,19.940001,20.25,19.450001,19.5,100200,19.073822
"38",2011-12-07,19.110001,19.99,19.110001,19.84,196100,19.406389
"39",2011-12-08,19.68,20.43,19.6,20.110001,69000,19.670488
"40",2011-12-09,20.120001,20.57,20.02,20.139999,29900,19.699833
"41",2011-12-12,20,20.290001,19.459999,19.860001,35900,19.425953
"42",2011-12-13,19.92,21.139999,19.700001,20.82,282800,20.364971
"43",2011-12-14,20.629999,21.059999,20,21.030001,109000,20.570383
"44",2011-12-15,21.139999,21.450001,20.51,20.549999,194400,20.100872
"45",2011-12-16,20.9,21.08,20.559999,20.9,1195200,20.443222
"46",2011-12-19,20.940001,20.950001,20.4,20.540001,401900,20.091091
"47",2011-12-20,20.92,20.93,19.84,19.879999,248400,19.445515
"48",2011-12-21,19.709999,20,19.299999,19.360001,176000,18.93688
"49",2011-12-22,19.389999,19.67,19,19.209999,101500,18.790157
"50",2011-12-23,19.26,20.030001,19.02,19.26,81300,18.839067
"51",2011-12-27,19.27,19.5,18.799999,18.84,54600,18.428244
"52",2011-12-28,18.780001,18.82,18.280001,18.43,81700,18.027206
"53",2011-12-29,18.49,18.83,18.26,18.559999,38200,18.154364
"54",2011-12-30,18.49,18.5,17.93,18.23,136800,17.831575
"55",2012-01-03,18.950001,18.950001,18.23,18.49,132600,18.085896
"56",2012-01-04,18.76,18.77,17.610001,18.25,184100,17.851139
"57",2012-01-05,18.299999,18.389999,17.33,17.440001,610700,17.058844
"58",2012-01-06,17.98,18.540001,17.950001,18.299999,868500,17.900045
"59",2012-01-09,18.76,19.33,18.299999,19.32,223000,18.897755
"60",2012-01-10,19.58,20.040001,19.360001,19.92,171800,19.48464
"61",2012-01-11,19.92,21.450001,19.9,21.17,695200,20.707321
"62",2012-01-12,21.35,22.25,20.73,21.809999,212500,21.333334
"63",2012-01-13,21.690001,22.74,21.1,22.389999,288100,21.900658
"64",2012-01-17,22.49,22.809999,21.25,21.639999,152400,21.167049
"65",2012-01-18,21.709999,22.200001,20.91,21.139999,363200,20.677977
"66",2012-01-19,21.219999,21.92,19.52,20.030001,763300,19.592239
"67",2012-01-20,19.74,20.1,19.379999,20.040001,357500,19.60202
"68",2012-01-23,20.15,20.780001,19.83,19.99,86500,19.553112
"69",2012-01-24,20,20.790001,19.75,19.959999,95000,19.523767
"70",2012-01-25,20.129999,20.48,20.02,20.139999,138400,19.699833
"71",2012-01-26,20.200001,21.75,20.200001,21,277400,20.541037
"72",2012-01-27,21.059999,22.73,21.059999,22.559999,261900,22.066942
"73",2012-01-30,22.43,24.42,22.43,24.42,489100,23.886293
