"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2007-01-03,20.549999,20.709999,20.01,20.440001,3403000,17.288063
"2",2007-01-04,20.34,20.530001,19.9,20.52,4016600,17.355734
"3",2007-01-05,20.059999,20.1,19.549999,19.9,6402500,16.831339
"4",2007-01-08,19.889999,20.1,19.620001,19.91,3007600,16.839794
"5",2007-01-09,19.92,20.23,19.799999,19.99,4295600,16.907457
"6",2007-01-10,19.99,20.76,19.92,20.549999,4305200,17.381102
"7",2007-01-11,20.74,21.379999,20.6,21.15,5298600,17.888582
"8",2007-01-12,21.200001,21.209999,20.809999,21.040001,1842300,17.795547
"9",2007-01-16,21,21.139999,20.74,20.780001,1702200,17.575638
"10",2007-01-17,20.709999,21.35,20.620001,21.120001,2503200,17.863214
"11",2007-01-18,21,21,20.15,20.25,5296100,17.127365
"12",2007-01-19,20.16,20.440001,20.01,20.15,4372200,17.042789
"13",2007-01-22,20.32,20.360001,19.85,20.040001,2899300,16.949745
"14",2007-01-23,20.040001,20.190001,19.639999,19.9,4061200,16.831339
"15",2007-01-24,20.4,21.08,20.309999,20.83,4599100,17.617929
"16",2007-01-25,20.889999,21.07,20.49,20.799999,4978900,17.592556
"17",2007-01-26,20,20,18.799999,19.110001,11248800,16.16316
"18",2007-01-29,19.209999,19.700001,19.200001,19.58,6629500,16.560686
"19",2007-01-30,19.42,19.549999,19.219999,19.450001,4744000,16.450735
"20",2007-01-31,19.129999,19.68,19.030001,19.6,4195800,16.577599
"21",2007-02-01,19.620001,19.799999,19.33,19.440001,3390400,16.442272
"22",2007-02-02,19.440001,19.58,19.25,19.32,3175700,16.340776
"23",2007-02-05,19.32,19.35,18.969999,19.190001,2597200,16.230824
"24",2007-02-06,19.27,19.299999,18.809999,19.09,2105900,16.146248
"25",2007-02-07,19.15,19.299999,19.030001,19.139999,2080500,16.18853
"26",2007-02-08,19.23,19.27,19.02,19.110001,2058500,16.16316
"27",2007-02-09,19.110001,19.209999,18.6,18.84,2458200,15.934795
"28",2007-02-12,18.84,18.93,18.610001,18.67,1578200,15.791006
"29",2007-02-13,18.67,18.82,18.48,18.719999,2036100,15.833297
"30",2007-02-14,18.73,19.219999,18.719999,19.02,3195900,16.08704
"31",2007-02-15,19.1,19.209999,18.799999,18.9,3147100,15.985538
"32",2007-02-16,18.9,18.950001,18.75,18.85,1627000,15.943254
"33",2007-02-20,18.67,19,18.559999,18.91,1744700,15.994003
"34",2007-02-21,19.02,19.469999,18.84,19.450001,3546600,16.450735
"35",2007-02-22,19.5,19.610001,19.200001,19.290001,2035500,16.315403
"36",2007-02-23,19.84,20.200001,19.799999,20.15,4387200,17.042789
"37",2007-02-26,20.379999,20.4,20.030001,20.17,3800300,17.059706
"38",2007-02-27,19.51,19.940001,18.959999,19.209999,3313800,16.247736
"39",2007-02-28,19.65,19.65,19,19.17,3359100,16.213907
"40",2007-03-01,19,19.309999,18.9,19.09,4640200,16.146248
"41",2007-03-02,19.08,19.16,18.389999,18.540001,4673600,15.681061
"42",2007-03-05,18.35,18.629999,18.120001,18.15,3714000,15.351198
"43",2007-03-06,18.299999,18.450001,18.17,18.290001,2914000,15.469607
"44",2007-03-07,18.190001,18.51,18.120001,18.299999,2290000,15.478065
"45",2007-03-08,18.41,18.51,18.049999,18.139999,2533000,15.342739
"46",2007-03-09,18.24,18.309999,17.940001,18.18,2846700,15.37657
"47",2007-03-12,18.190001,18.200001,17.92,18.049999,3210100,15.266615
"48",2007-03-13,17.950001,18,17.49,17.690001,2561900,14.962132
"49",2007-03-14,17.700001,17.85,17.290001,17.700001,3001600,14.970591
"50",2007-03-15,17.780001,18.1,17.780001,17.99,2415700,15.215869
"51",2007-03-16,17.959999,17.959999,17.58,17.639999,2256900,14.91984
"52",2007-03-19,17.82,17.98,17.639999,17.780001,1704800,15.038254
"53",2007-03-20,17.73,17.93,17.43,17.52,4037300,14.818342
"54",2007-03-21,17.5,17.879999,17.450001,17.82,3665900,15.072083
"55",2007-03-22,18.1,18.1,17.389999,17.48,4215800,14.784513
"56",2007-03-23,17.620001,17.76,17.469999,17.629999,3806700,14.91138
"57",2007-03-26,17.629999,17.709999,17.110001,17.6,3916900,14.886013
"58",2007-03-27,17.6,17.6,17.35,17.4,1778600,14.716848
"59",2007-03-28,17.379999,17.389999,17.030001,17.09,2857000,14.454651
"60",2007-03-29,17.24,17.24,16.85,17.110001,4586100,14.471573
"61",2007-03-30,17,17.07,16.65,16.809999,3424900,14.217827
"62",2007-04-02,16.969999,17.09,16.68,16.799999,2433500,14.209371
"63",2007-04-03,16.889999,17.16,16.799999,17.059999,4608600,14.429277
"64",2007-04-04,17,17.1,16.65,16.74,4145200,14.158624
"65",2007-04-05,16.700001,16.98,16.67,16.77,3261100,14.183997
"66",2007-04-09,16.82,17.15,16.66,17.02,3065500,14.395448
"67",2007-04-10,16.549999,16.6,16.209999,16.5,7038500,13.95563
"68",2007-04-11,16.9,16.940001,16.629999,16.74,6893500,14.158624
"69",2007-04-12,16.74,16.799999,16.58,16.67,3320800,14.099418
"70",2007-04-13,16.68,17.209999,16.610001,17.190001,5661600,14.539231
"71",2007-04-16,17.33,17.74,17.33,17.4,5806500,14.716848
"72",2007-04-17,17.450001,17.59,17.190001,17.23,3404300,14.573063
"73",2007-04-18,16.85,17.190001,16.57,17.129999,4995200,14.488483
"74",2007-04-19,17.440001,17.49,16.9,17.280001,2784800,14.615353
"75",2007-04-20,17.450001,17.5,17.26,17.370001,2775900,14.691476
"76",2007-04-23,17.379999,17.74,17.32,17.530001,2468000,14.826807
"77",2007-04-24,17.6,18,17.57,17.790001,3614300,15.046708
"78",2007-04-25,17.879999,17.879999,17.5,17.77,3426100,15.029797
"79",2007-04-26,17.66,18.280001,17.66,18.280001,6403800,15.461146
"80",2007-04-27,18.309999,18.42,17.549999,17.559999,5395200,14.852177
"81",2007-04-30,17.610001,17.950001,17.6,17.68,2959000,14.953671
"82",2007-05-01,17.639999,17.75,17.51,17.620001,2712200,14.902925
"83",2007-05-02,17.57,17.969999,17.559999,17.799999,2527600,15.055171
"84",2007-05-03,17.85,18.110001,17.790001,18,3000500,15.224329
"85",2007-05-04,18.17,18.27,17.99,18.15,2598700,15.351198
"86",2007-05-07,18.059999,18.360001,18.02,18.360001,2264100,15.528814
"87",2007-05-08,18.27,18.4,18.139999,18.34,2108400,15.511897
"88",2007-05-09,18.209999,18.27,18,18.190001,3092400,15.385032
"89",2007-05-10,18.09,18.42,18.030001,18.1,3227600,15.308907
"90",2007-05-11,18.120001,18.4,18.120001,18.4,1688900,15.562648
"91",2007-05-14,18.6,18.73,18.17,18.299999,2922800,15.478065
"92",2007-05-15,18.27,18.43,18.01,18.07,2455500,15.283532
"93",2007-05-16,18.07,18.18,17.84,18.01,2266600,15.232783
"94",2007-05-17,18.01,18.049999,17.709999,17.76,2391800,15.021332
"95",2007-05-18,17.76,17.9,17.59,17.809999,2940400,15.063627
"96",2007-05-21,17.73,17.950001,17.610001,17.65,3912200,14.9283
"97",2007-05-22,17.67,18.1,17.620001,18.02,2763000,15.241242
"98",2007-05-23,18.02,18.09,17.91,17.99,2334200,15.215869
"99",2007-05-24,17.9,17.9,17.42,17.450001,5051900,14.759139
"100",2007-05-25,17.48,17.620001,17.309999,17.469999,3059000,14.776051
"101",2007-05-29,17.540001,18.030001,17.5,17.98,3482000,15.207409
"102",2007-05-30,18.34,18.58,18.08,18.549999,5893300,15.689511
"103",2007-05-31,18.57,18.82,18.32,18.809999,4256800,15.90942
"104",2007-06-01,18.799999,19.209999,18.799999,19.059999,4018400,16.120871
"105",2007-06-04,19.08,19.34,19,19.15,2788400,16.196991
"106",2007-06-05,18.969999,19.15,18.969999,19.1,3631900,16.154696
"107",2007-06-06,19,19.209999,18.780001,19.09,4060900,16.146248
"108",2007-06-07,19.07,19.49,19.030001,19.17,4778300,16.213907
"109",2007-06-08,19.18,19.57,19.129999,19.52,3524800,16.509932
"110",2007-06-11,20.059999,20.299999,19.82,19.950001,4376200,16.873629
"111",2007-06-12,19.950001,20.190001,19.85,19.889999,2500700,16.822882
"112",2007-06-13,19.889999,20.32,19.889999,20.09,3621700,16.992041
"113",2007-06-14,20.139999,20.24,19.790001,19.860001,3147000,16.797506
"114",2007-06-15,19.99,20.1,19.639999,19.780001,4010400,16.729849
"115",2007-06-18,19.35,19.35,18.75,18.969999,7025700,16.044748
"116",2007-06-19,18.940001,19.32,18.9,19.139999,4536600,16.18853
"117",2007-06-20,19.15,19.290001,18.91,18.940001,2371400,16.019371
"118",2007-06-21,18.9,19.280001,18.809999,19.24,4078500,16.273115
"119",2007-06-22,19.17,19.370001,19.17,19.309999,3981300,16.332319
"120",2007-06-25,19.25,19.5,19.139999,19.25,2758900,16.281572
"121",2007-06-26,19.35,19.4,19.15,19.219999,2625000,16.256195
"122",2007-06-27,19.219999,19.75,19.110001,19.73,2624700,16.687553
"123",2007-06-28,19.75,19.84,19.42,19.530001,3036700,16.518396
"124",2007-06-29,19.530001,19.719999,19.200001,19.35,7726200,16.366148
"125",2007-07-02,19.5,19.93,19.450001,19.93,3031800,16.856709
"126",2007-07-03,19.950001,20.67,19.9,20.65,2630800,17.465685
"127",2007-07-05,20.67,20.99,20.530001,20.610001,3341300,17.431854
