"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2013-11-06,18.5,18.9,16.190001,16.309999,11103600,16.309999
"2",2013-11-07,16.639999,16.860001,16.450001,16.559999,586400,16.559999
"3",2013-11-08,16.59,18.09,16.58,17.299999,526700,17.299999
"4",2013-11-11,17.68,18.77,17.4,17.940001,437300,17.940001
"5",2013-11-12,18.77,18.77,17.4,17.549999,155200,17.549999
"6",2013-11-13,17.48,17.5,16.75,17.27,365200,17.27
"7",2013-11-14,17.5,17.5,17.01,17.34,64400,17.34
"8",2013-11-15,17.559999,17.799999,17.26,17.66,126900,17.66
"9",2013-11-18,18,18.879999,17.9,18.74,226300,18.74
"10",2013-11-19,18.209999,18.889999,17.9,18.110001,114900,18.110001
"11",2013-11-20,18,18.5,17.5,18.41,84400,18.41
"12",2013-11-21,18.4,18.41,18,18.299999,99100,18.299999
"13",2013-11-22,18.299999,18.299999,18.09,18.17,19700,18.17
"14",2013-11-25,18.4,18.4,18.200001,18.299999,34600,18.299999
"15",2013-11-26,18,18.32,18,18.209999,70000,18.209999
"16",2013-11-27,18.26,20,18.26,19.530001,442300,19.530001
"17",2013-11-29,19.34,20.530001,19.34,20.5,111100,20.5
"18",2013-12-02,20.9,22.99,20.780001,22.940001,336000,22.940001
"19",2013-12-03,23.5,23.5,21.73,22.07,241000,22.07
"20",2013-12-04,21.75,22.450001,20.709999,21.030001,163600,21.030001
"21",2013-12-05,22.41,22.790001,20.5,21.93,169100,21.93
"22",2013-12-06,22.99,24.18,22,23.889999,238700,23.889999
"23",2013-12-09,23.5,25.49,23,24.639999,518900,24.639999
"24",2013-12-10,24.75,25.540001,24.33,25.190001,224700,25.190001
"25",2013-12-11,25.700001,26.49,24.690001,24.99,245900,24.99
"26",2013-12-12,25,25.4,23.91,23.959999,282900,23.959999
"27",2013-12-13,23.940001,24.639999,22,24.23,280000,24.23
"28",2013-12-16,25.49,26,24.940001,25.91,426800,25.91
"29",2013-12-17,26,28.379999,25.51,27.620001,507200,27.620001
"30",2013-12-18,27.84,28.370001,26.52,27.92,252000,27.92
"31",2013-12-19,27.6,28.32,26.6,26.870001,188600,26.870001
"32",2013-12-20,26.790001,28,24.25,27.959999,1600900,27.959999
"33",2013-12-23,27.85,28.799999,27.25,27.74,217300,27.74
"34",2013-12-24,27.85,28.49,26.5,27.82,96200,27.82
"35",2013-12-26,28.34,28.889999,27.5,28.49,159700,28.49
"36",2013-12-27,28.360001,28.85,27.51,28.16,102300,28.16
"37",2013-12-30,28.16,28.17,27.15,27.77,140200,27.77
"38",2013-12-31,27.690001,27.99,26.549999,26.85,138700,26.85
"39",2014-01-02,26.58,26.58,25.030001,25.780001,156400,25.780001
"40",2014-01-03,25.889999,26.52,24.75,25.030001,144400,25.030001
"41",2014-01-06,25.1,25.5,24,24.43,111100,24.43
"42",2014-01-07,24.950001,25.5,24,24.049999,108300,24.049999
"43",2014-01-08,24.24,24.4,23.709999,24.299999,388200,24.299999
"44",2014-01-09,24.32,26.5,24.32,26.059999,424300,26.059999
"45",2014-01-10,26.389999,26.5,25.799999,26.450001,81200,26.450001
"46",2014-01-13,26.26,26.9,26.01,26.889999,131400,26.889999
"47",2014-01-14,26.75,27.450001,26.690001,27.389999,128200,27.389999
"48",2014-01-15,27.35,27.450001,26.59,27.43,128200,27.43
"49",2014-01-16,27.43,27.9,27.33,27.58,95600,27.58
"50",2014-01-17,27.67,28.49,27.200001,28.450001,103000,28.450001
"51",2014-01-21,28.450001,28.85,27.209999,28.85,106400,28.85
"52",2014-01-22,28.85,30.25,28.700001,29.5,217700,29.5
"53",2014-01-23,29.5,30.25,28.620001,30.07,94800,30.07
"54",2014-01-24,29.700001,30.1,27.4,28.33,180300,28.33
"55",2014-01-27,27.790001,28,26.799999,27.09,90900,27.09
"56",2014-01-28,27,28,26.959999,27.549999,103400,27.549999
"57",2014-01-29,27.629999,27.629999,26.85,26.99,74300,26.99
"58",2014-01-30,27.17,28.5,27.17,27.91,66800,27.91
"59",2014-01-31,27.530001,29.15,27.030001,28.66,76900,28.66
"60",2014-02-03,29,29,25.610001,27.01,161100,27.01
"61",2014-02-04,27.040001,27.93,26.110001,26.219999,57900,26.219999
"62",2014-02-05,26.459999,26.459999,25.120001,25.290001,119000,25.290001
"63",2014-02-06,25.49,25.85,25.209999,25.58,83400,25.58
"64",2014-02-07,25.77,29.49,25.77,28.139999,263700,28.139999
"65",2014-02-10,28.299999,29.25,27.639999,28.51,74700,28.51
"66",2014-02-11,28.6,29.879999,28.209999,29.77,150300,29.77
"67",2014-02-12,29.620001,31.4,28.870001,29.809999,550600,29.809999
"68",2014-02-13,29.950001,30.799999,29.360001,29.450001,220800,29.450001
"69",2014-02-14,29.33,29.84,28.82,29.040001,78400,29.040001
"70",2014-02-18,28.85,28.99,27.57,28.280001,106500,28.280001
"71",2014-02-19,28.049999,28.6,27.15,27.940001,118100,27.940001
"72",2014-02-20,28,29.83,28,28.98,128100,28.98
"73",2014-02-21,29,29.92,28.700001,29.35,84800,29.35
"74",2014-02-24,29.370001,29.75,29.049999,29.120001,60300,29.120001
"75",2014-02-25,29.27,32.689999,29.219999,31.23,250500,31.23
"76",2014-02-26,31.219999,32.400002,30.610001,31.209999,108100,31.209999
"77",2014-02-27,31.799999,31.9,31.059999,31.32,129500,31.32
"78",2014-02-28,31.440001,32.369999,30.110001,30.9,263900,30.9
"79",2014-03-03,30.24,30.629999,29.02,29.889999,137700,29.889999
"80",2014-03-04,30.09,31.120001,29.790001,30.34,102600,30.34
"81",2014-03-05,30.4,30.4,29.02,29.219999,133700,29.219999
"82",2014-03-06,29,29.77,28.799999,29.65,55400,29.65
"83",2014-03-07,29.68,29.92,27.18,28.16,356900,28.16
"84",2014-03-10,28.200001,28.209999,26.41,26.870001,193600,26.870001
"85",2014-03-11,26.85,27.92,26.26,26.549999,113400,26.549999
"86",2014-03-12,26.440001,27.360001,25.5,27.35,78700,27.35
"87",2014-03-13,27.73,27.780001,26.09,26.35,125400,26.35
"88",2014-03-14,26.040001,26.700001,25.66,26.4,63000,26.4
"89",2014-03-17,26.809999,27.889999,26.01,26.780001,95300,26.780001
"90",2014-03-18,26.959999,27.389999,26.15,26.799999,108500,26.799999
"91",2014-03-19,26.780001,27.280001,26.24,26.629999,97500,26.629999
"92",2014-03-20,26.49,27.01,25.719999,26.559999,98100,26.559999
"93",2014-03-21,26.559999,26.9,25.32,25.68,194200,25.68
"94",2014-03-24,25.68,25.9,22.709999,23.209999,331400,23.209999
"95",2014-03-25,23.450001,23.780001,23.209999,23.5,210800,23.5
"96",2014-03-26,23.620001,23.68,22.209999,22.41,157300,22.41
"97",2014-03-27,22.450001,22.450001,19.91,20.200001,430800,20.200001
"98",2014-03-28,20.299999,21.469999,20,21.02,198400,21.02
"99",2014-03-31,22.66,23.9,21.85,22.969999,321400,22.969999
"100",2014-04-01,23.49,23.83,22.33,22.610001,204300,22.610001
"101",2014-04-02,23.07,23.07,21.950001,22.5,131300,22.5
"102",2014-04-03,22.57,22.82,21.280001,22.790001,290800,22.790001
"103",2014-04-04,22.65,23.129999,21.299999,21.440001,244300,21.440001
"104",2014-04-07,21.5,21.5,20.559999,21.01,109500,21.01
"105",2014-04-08,20.74,21.68,20.74,21.1,148200,21.1
"106",2014-04-09,21.27,23.110001,21,22.75,252800,22.75
"107",2014-04-10,22.290001,23,22,22.549999,355500,22.549999
"108",2014-04-11,22.360001,22.68,21,21.370001,284400,21.370001
"109",2014-04-14,21.690001,21.719999,20.52,21,200800,21
"110",2014-04-15,21.17,21.290001,20.351999,21.209999,256600,21.209999
"111",2014-04-16,21.32,21.440001,20.530001,21.25,132700,21.25
"112",2014-04-17,21.25,21.82,21.1,21.450001,111400,21.450001
"113",2014-04-21,21.51,21.74,20.67,21.290001,217200,21.290001
"114",2014-04-22,21.389999,22.264999,21.049999,22,141500,22
"115",2014-04-23,22.059999,22.059999,21.4,21.82,70300,21.82
"116",2014-04-24,22.030001,22.1,20.959999,21.15,237300,21.15
"117",2014-04-25,21.040001,21.74,20.5,20.52,183100,20.52
"118",2014-04-28,20.65,21.408001,19,19.940001,297600,19.940001
"119",2014-04-29,20.09,20.09,19.25,19.879999,131800,19.879999
"120",2014-04-30,19.889999,20.719999,19.469999,20.49,577500,20.49
"121",2014-05-01,20.5,21.25,20,20.24,71800,20.24
"122",2014-05-02,20.23,20.34,19.83,19.91,116500,19.91
"123",2014-05-05,19.780001,20.08,19.610001,19.84,123600,19.84
"124",2014-05-06,19.65,19.865999,19.200001,19.26,183100,19.26
"125",2014-05-07,19.27,19.27,17.940001,18.440001,606300,18.440001
"126",2014-05-08,18.48,19.299999,17.08,17.24,384400,17.24
"127",2014-05-09,17.190001,17.33,16.219999,16.52,304600,16.52
"128",2014-05-12,17.690001,17.85,16.9,17.43,341100,17.43
"129",2014-05-13,18.99,19.200001,16.5,16.84,578700,16.84
"130",2014-05-14,16.9,17.290001,16.219999,16.219999,275700,16.219999
"131",2014-05-15,16.200001,16.379999,14.7,14.76,368000,14.76
"132",2014-05-16,14.7,15.44,14.28,15.43,284000,15.43
"133",2014-05-19,16.190001,16.190001,15.7,15.95,267400,15.95
