"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2012-03-02,22.01,26,22,24.58,4809400,24.58
"2",2012-03-05,24.85,24.860001,20.9,20.99,2988200,20.99
"3",2012-03-06,19.83,20.5,19.360001,20.5,1154300,20.5
"4",2012-03-07,20.450001,20.629999,19.950001,20.25,444800,20.25
"5",2012-03-08,20.299999,20.389999,19.959999,20,436900,20
"6",2012-03-09,20,20.1,19.5,19.799999,668200,19.799999
"7",2012-03-12,19.799999,22.49,19.52,22.49,1358200,22.49
"8",2012-03-13,22.549999,24.4,22.200001,23.299999,2053900,23.299999
"9",2012-03-14,23.27,23.35,22.200001,22.32,589600,22.32
"10",2012-03-15,22.450001,23.290001,21.360001,21.75,875600,21.75
"11",2012-03-16,21.93,22.17,21.059999,21.74,433600,21.74
"12",2012-03-19,22.200001,23.93,21.700001,22.99,858400,22.99
"13",2012-03-20,23.15,23.469999,22.1,22.9,782200,22.9
"14",2012-03-21,23,24.1,22.68,23.120001,1375000,23.120001
"15",2012-03-22,23.32,23.32,22.440001,23.219999,370800,23.219999
"16",2012-03-23,23.219999,23.25,22.299999,23.18,307000,23.18
"17",2012-03-26,23.26,24.879999,23.01,24.6,1052000,24.6
"18",2012-03-27,24.799999,27.75,24.25,27.65,3141300,27.65
"19",2012-03-28,27.52,31.959999,27.1,28.09,5267300,28.09
"20",2012-03-29,27.99,29.780001,27.58,28.01,1425200,28.01
"21",2012-03-30,28.58,29.27,25.82,26.889999,1887200,26.889999
"22",2012-04-02,26.9,27.799999,25.27,27.120001,1166500,27.120001
"23",2012-04-03,27.200001,28.4,25.92,26.700001,1384800,26.700001
"24",2012-04-04,25.940001,27,25.940001,26.16,440700,26.16
"25",2012-04-05,25.959999,26.4,24.02,24.17,1352200,24.17
"26",2012-04-09,23.860001,25.58,22.74,25.219999,1397800,25.219999
"27",2012-04-10,25.450001,26.51,24.5,25.809999,1027500,25.809999
"28",2012-04-11,25.469999,26.25,24.57,25.43,1004200,25.43
"29",2012-04-12,25.209999,26.440001,25.17,26.200001,728000,26.200001
"30",2012-04-13,26,26.969999,25.440001,26.33,508200,26.33
"31",2012-04-16,27,27.440001,25.02,25.870001,631800,25.870001
"32",2012-04-17,25.870001,26.24,25.1,25.57,387100,25.57
"33",2012-04-18,25.549999,25.74,24.549999,24.99,343900,24.99
"34",2012-04-19,24.719999,24.92,23.299999,24.27,604700,24.27
"35",2012-04-20,24.290001,24.5,22.75,23.1,439900,23.1
"36",2012-04-23,22.639999,22.83,22,22.27,593000,22.27
"37",2012-04-24,22.15,22.15,20.27,21.18,905500,21.18
"38",2012-04-25,21.540001,21.780001,20.559999,21.129999,567800,21.129999
"39",2012-04-26,20.73,21.950001,20.5,21.200001,734700,21.200001
"40",2012-04-27,21.49,22.52,21.49,21.9,655000,21.9
"41",2012-04-30,21.940001,23.52,21.6,22.860001,614800,22.860001
"42",2012-05-01,23.290001,23.52,22.129999,22.57,368400,22.57
"43",2012-05-02,22.99,23.5,22.389999,23.16,872200,23.16
"44",2012-05-03,23.24,23.690001,20.299999,20.639999,1779800,20.639999
"45",2012-05-04,20.690001,21.530001,20.110001,21.299999,389800,21.299999
"46",2012-05-07,21.4,21.860001,20.620001,21.41,450000,21.41
"47",2012-05-08,21.6,21.83,20.26,20.809999,505600,20.809999
"48",2012-05-09,20.58,20.99,19.870001,20.98,557300,20.98
"49",2012-05-10,21.1,21.299999,19.860001,20.049999,509700,20.049999
"50",2012-05-11,19.860001,20.43,19.620001,20.27,460700,20.27
"51",2012-05-14,19.809999,20.129999,19.6,20.040001,779200,20.040001
"52",2012-05-15,20.059999,21.709999,20.059999,20.799999,743900,20.799999
"53",2012-05-16,21.290001,21.75,20.870001,21.6,452900,21.6
"54",2012-05-17,21.629999,21.83,20.370001,21.27,557500,21.27
"55",2012-05-18,21.26,21.889999,17.700001,18.639999,1458900,18.639999
"56",2012-05-21,17.950001,20.83,16.209999,19.299999,1661800,19.299999
"57",2012-05-22,19.16,20,17.35,18,791700,18
"58",2012-05-23,17.799999,18.530001,17.5,18.32,426000,18.32
"59",2012-05-24,18.139999,18.889999,17.52,18.889999,315300,18.889999
"60",2012-05-25,18.66,18.66,18.01,18.190001,327400,18.190001
"61",2012-05-29,18.4,18.4,16.799999,17.07,664000,17.07
"62",2012-05-30,16.9,17,16.030001,16.610001,792000,16.610001
"63",2012-05-31,16.469999,16.879999,15.66,16.709999,470800,16.709999
"64",2012-06-01,16.280001,16.280001,15.42,15.69,522100,15.69
"65",2012-06-04,15.65,15.65,14.1,15.22,555400,15.22
"66",2012-06-05,15.17,15.26,14.53,15.22,647600,15.22
"67",2012-06-06,15.38,16.59,15.17,16.459999,528100,16.459999
"68",2012-06-07,16.52,17.879999,16.209999,17.52,737100,17.52
"69",2012-06-08,17.4,20.120001,17.139999,19.639999,1129600,19.639999
"70",2012-06-11,19.540001,20.389999,18.33,18.85,1040100,18.85
"71",2012-06-12,18.76,19.799999,18.040001,19.65,394400,19.65
"72",2012-06-13,19.620001,19.889999,18.82,19.780001,307500,19.780001
"73",2012-06-14,19.24,19.9,19.02,19.85,253900,19.85
"74",2012-06-15,19.75,21.200001,19.18,21.129999,726000,21.129999
"75",2012-06-18,20.620001,22,20.299999,21.15,847300,21.15
"76",2012-06-19,21.549999,21.66,20.67,21.389999,369500,21.389999
"77",2012-06-20,21.139999,21.389999,20.709999,21.07,276600,21.07
"78",2012-06-21,21.07,21.25,20.58,21,520600,21
"79",2012-06-22,21.32,21.67,21,21.639999,1356400,21.639999
"80",2012-06-25,21.799999,22.48,21.200001,21.950001,466300,21.950001
"81",2012-06-26,21.98,22.360001,21.75,22.040001,401100,22.040001
"82",2012-06-27,22.139999,23.48,21.139999,22.790001,758100,22.790001
"83",2012-06-28,22.639999,22.700001,22.01,22.51,446500,22.51
"84",2012-06-29,23.370001,23.48,22.57,22.73,479800,22.73
"85",2012-07-02,23.4,23.74,22.969999,23.74,336800,23.74
"86",2012-07-03,24.1,25,23.98,24.719999,340800,24.719999
"87",2012-07-05,24.98,27.74,24.98,26.16,1601800,26.16
"88",2012-07-06,26,26.5,25.030001,25.299999,344600,25.299999
"89",2012-07-09,26.32,27.52,24.4,24.790001,490800,24.790001
"90",2012-07-10,24.9,25,22.52,22.629999,744600,22.629999
"91",2012-07-11,22.6,23.129999,20.77,21.360001,363500,21.360001
"92",2012-07-12,21.01,22.17,20.52,22.139999,379700,22.139999
"93",2012-07-13,22.379999,22.889999,21.5,21.639999,318600,21.639999
"94",2012-07-16,21.57,21.68,21,21.43,244200,21.43
"95",2012-07-17,21.950001,23.33,21.43,23.02,404400,23.02
"96",2012-07-18,22.940001,23.219999,22.5,22.700001,271700,22.700001
"97",2012-07-19,22.74,24.379999,22.559999,24,423600,24
"98",2012-07-20,24,24.73,23.790001,24.049999,333200,24.049999
"99",2012-07-23,23.73,24.26,23.110001,23.290001,440900,23.290001
"100",2012-07-24,24.09,24.09,22.16,22.51,226800,22.51
"101",2012-07-25,22.73,22.73,21,21.5,436900,21.5
"102",2012-07-26,21.42,21.74,19.24,19.68,754900,19.68
"103",2012-07-27,19.07,19.73,18.879999,19.51,464400,19.51
"104",2012-07-30,19.709999,22.200001,19.610001,20.620001,440400,20.620001
"105",2012-07-31,20.52,20.91,19.639999,19.959999,309700,19.959999
"106",2012-08-01,20.049999,20.67,18.530001,18.82,896900,18.82
"107",2012-08-02,21,23.469999,20.690001,22,2671600,22
"108",2012-08-03,22.469999,23.4,21.5,23.4,702000,23.4
"109",2012-08-06,23.4,26.49,23.33,25.43,1264600,25.43
"110",2012-08-07,25.83,26.1,24.51,25.84,664500,25.84
"111",2012-08-08,25.74,26.49,24.67,26.459999,674000,26.459999
"112",2012-08-09,26.450001,28.93,24.92,25.73,1810200,25.73
"113",2012-08-10,25.639999,26.389999,24.799999,25.85,547100,25.85
"114",2012-08-13,25.790001,25.85,23.75,23.870001,694300,23.870001
"115",2012-08-14,23.790001,24.690001,22.030001,22.290001,1040400,22.290001
"116",2012-08-15,22.27,22.77,21.549999,22.110001,778500,22.110001
"117",2012-08-16,22.120001,22.5,21.4,21.76,890900,21.76
"118",2012-08-17,21.82,23,21.200001,21.5,906300,21.5
"119",2012-08-20,21.469999,21.5,19.93,20.219999,1242500,20.219999
"120",2012-08-21,20.120001,20.219999,18.790001,19,1098700,19
"121",2012-08-22,18.959999,19.129999,17.610001,17.870001,1232900,17.870001
"122",2012-08-23,17.92,18.389999,17.799999,18.190001,923000,18.190001
"123",2012-08-24,18.200001,20.290001,18.200001,19.48,1745000,19.48
"124",2012-08-27,19.5,19.74,18.709999,19.110001,931500,19.110001
"125",2012-08-28,18.870001,19,18.09,18.26,1352500,18.26
"126",2012-08-29,17.51,22.889999,17.5,22.370001,8652400,22.370001
"127",2012-08-30,22.35,22.35,21.42,21.690001,2238300,21.690001
"128",2012-08-31,21.82,22.219999,21.43,22,1377200,22
"129",2012-09-04,21.99,24.41,21.700001,24.25,2335300,24.25
"130",2012-09-05,24.040001,26.360001,24.030001,25.77,3174300,25.77
"131",2012-09-06,25.889999,26.6,24.389999,25.549999,1642900,25.549999
"132",2012-09-07,25.469999,25.969999,24.27,24.82,1095100,24.82
"133",2012-09-10,24.74,25.709999,24.5,25.07,852100,25.07
"134",2012-09-11,24.870001,26.299999,24.83,26.200001,1536500,26.200001
"135",2012-09-12,26.299999,26.5,25.5,25.799999,1757900,25.799999
"136",2012-09-13,25.73,26,23.790001,23.950001,1635100,23.950001
"137",2012-09-14,24.379999,26.5,24.059999,26.18,1726200,26.18
"138",2012-09-17,25.58,26.25,25.16,25.700001,5e+05,25.700001
"139",2012-09-18,24.940001,25.73,24.299999,24.77,1103900,24.77
"140",2012-09-19,24.950001,27.1,24.950001,25.709999,2073000,25.709999
"141",2012-09-20,25.49,27.4,25.200001,26.309999,1815800,26.309999
"142",2012-09-21,26.639999,26.9,26,26.780001,1248100,26.780001
"143",2012-09-24,26.35,26.6,25.469999,25.67,853600,25.67
"144",2012-09-25,26,26.77,25.389999,25.5,1134400,25.5
"145",2012-09-26,25.200001,26.549999,24.639999,25.68,1086100,25.68
"146",2012-09-27,25.9,26.42,25.440001,26.24,672000,26.24
"147",2012-09-28,26.09,27.08,25.889999,27.049999,1074100,27.049999
"148",2012-10-01,26.67,28.48,26.52,27.76,1327200,27.76
"149",2012-10-02,27.82,28.299999,27,27.59,621300,27.59
"150",2012-10-03,27.559999,28.58,27.24,28.09,718100,28.09
"151",2012-10-04,28.24,29.48,28.110001,28.889999,1432200,28.889999
"152",2012-10-05,29,29.440001,27.75,28.4,961400,28.4
"153",2012-10-08,28.27,28.639999,27.83,28.27,526200,28.27
"154",2012-10-09,28.24,28.629999,26.389999,27.43,611400,27.43
"155",2012-10-10,27.5,27.5,25.35,25.610001,1473100,25.610001
"156",2012-10-11,25.780001,26.43,25.540001,25.73,790700,25.73
"157",2012-10-12,25.73,26.01,25,25.24,417100,25.24
"158",2012-10-15,25.24,25.66,25,25.309999,228900,25.309999
"159",2012-10-16,25.030001,25.370001,24.58,24.85,762400,24.85
"160",2012-10-17,24.719999,25.84,24.5,25.700001,483400,25.700001
"161",2012-10-18,25.620001,25.950001,24.309999,24.76,669700,24.76
"162",2012-10-19,24.67,25.09,24.059999,24.610001,700400,24.610001
"163",2012-10-22,24.16,24.700001,24,24.27,484800,24.27
"164",2012-10-23,23.969999,24.25,23.719999,24,732900,24
"165",2012-10-24,25.58,27.65,25.549999,25.77,1654800,25.77
"166",2012-10-25,25.940001,26.16,23.700001,24.030001,862200,24.030001
"167",2012-10-26,24.08,24.360001,22.700001,23.17,711100,23.17
"168",2012-10-31,23.190001,24.5,23,24.1,628300,24.1
"169",2012-11-01,24.190001,24.51,23.58,24.030001,724400,24.030001
"170",2012-11-02,24.16,24.16,20.32,20.51,2532600,20.51
"171",2012-11-05,20.51,20.530001,18.950001,19.110001,1819700,19.110001
"172",2012-11-06,19,19.379999,18.18,18.25,2010000,18.25
"173",2012-11-07,18.110001,19.200001,17.6,18.4,2057300,18.4
"174",2012-11-08,18.65,18.65,17.620001,17.77,1150500,17.77
"175",2012-11-09,17.66,18.18,17.6,17.719999,1086000,17.719999
"176",2012-11-12,17.75,17.780001,17.01,17.07,1013800,17.07
"177",2012-11-13,17.059999,17.540001,16.85,17.209999,852800,17.209999
"178",2012-11-14,17.299999,17.48,16.65,16.77,795100,16.77
"179",2012-11-15,16.940001,17.309999,16.32,17.209999,907800,17.209999
"180",2012-11-16,17.030001,17.75,16.940001,17.32,985000,17.32
"181",2012-11-19,17.74,18.879999,17.51,18.799999,1374200,18.799999
"182",2012-11-20,19.74,19.76,18.549999,18.809999,716800,18.809999
"183",2012-11-21,18.91,18.99,18.370001,18.709999,411100,18.709999
"184",2012-11-23,18.389999,19.110001,18.389999,18.98,259400,18.98
"185",2012-11-26,18.940001,19.57,18.57,18.99,664200,18.99
"186",2012-11-27,19.74,20.33,19.35,20.24,1466400,20.24
"187",2012-11-28,20.129999,20.48,19.700001,20.200001,872500,20.200001
"188",2012-11-29,20.360001,20.6,19.26,19.450001,700500,19.450001
"189",2012-11-30,19.530001,19.74,18.75,18.91,1587900,18.91
"190",2012-12-03,18.9,19.93,18.860001,19.27,937200,19.27
"191",2012-12-04,19.129999,19.5,18.75,19.049999,678300,19.049999
"192",2012-12-05,19.030001,19.440001,18.700001,18.84,597100,18.84
"193",2012-12-06,18.469999,18.99,17.48,18.09,1579500,18.09
"194",2012-12-07,18.27,19.25,18.15,19.049999,1282800,19.049999
"195",2012-12-10,19.219999,19.25,18.299999,18.82,530700,18.82
"196",2012-12-11,18.870001,19.59,18.83,19.299999,1140800,19.299999
"197",2012-12-12,19.68,20.200001,19.01,19.620001,1603000,19.620001
"198",2012-12-13,19.190001,19.83,18.799999,19.66,868000,19.66
"199",2012-12-14,19.66,19.959999,19.27,19.459999,467100,19.459999
"200",2012-12-17,19.309999,19.719999,18.6,18.93,1027100,18.93
