"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2011-05-24,35,42.009998,30.549999,38.84,70186700,38.84
"2",2011-05-25,37.75,37.900002,34.400002,35,11761600,35
"3",2011-05-26,34.450001,35.450001,34,34.77,4417500,34.77
"4",2011-05-27,34.75,35,34,34.450001,2006000,34.450001
"5",2011-05-31,34.950001,35.369999,32.610001,33.450001,3981100,33.450001
"6",2011-06-01,32.98,33.07,32,32.25,3720000,32.25
"7",2011-06-02,32.060001,33.75,31.549999,33.52,2097700,33.52
"8",2011-06-03,33.330002,35.5,32.650002,33.5,1963500,33.5
"9",2011-06-06,33.869999,34.990002,33.509998,34.23,1654100,34.23
"10",2011-06-07,34.990002,35.220001,34,35,1425700,35
"11",2011-06-08,34.48,35.25,33.099998,33.290001,2072700,33.290001
"12",2011-06-09,33.75,33.75,32.57,32.790001,1625100,32.790001
"13",2011-06-10,32.360001,32.75,31.76,31.82,1265200,31.82
"14",2011-06-13,31.75,32.279999,31.049999,31.33,1100100,31.33
"15",2011-06-14,31.360001,32.299999,31.360001,31.6,797800,31.6
"16",2011-06-15,31,31.450001,29.91,30.27,2693500,30.27
"17",2011-06-16,30.85,30.9,29.76,30.530001,3081300,30.530001
"18",2011-06-17,31.030001,31.25,30.24,30.809999,1126400,30.809999
"19",2011-06-20,30.940001,31,29.91,30.32,793400,30.32
"20",2011-06-21,30.32,31.34,29.950001,31.129999,1304200,31.129999
"21",2011-06-22,30.959999,31.110001,30.5,30.709999,511200,30.709999
"22",2011-06-23,30.26,31.200001,29.799999,31.17,844300,31.17
"23",2011-06-24,31.25,31.77,30.51,31.549999,432900,31.549999
"24",2011-06-27,31.73,33.060001,31.620001,32.5,752100,32.5
"25",2011-06-28,33.029999,34.419998,32.889999,33.990002,1251100,33.990002
"26",2011-06-29,34.470001,34.98,33.860001,34.779999,869300,34.779999
"27",2011-06-30,34.779999,35.73,34.380001,35.509998,1537100,35.509998
