"","Date","Open","High","Low","Close","Volume","Adjusted"
"1",2014-05-15,11.4,13.92,11.06,13.43,8421300,13.43
"2",2014-05-16,13.6,15.75,13.44,15.25,1867700,15.25
"3",2014-05-19,16,17.940001,15.99,16.5,1529200,16.5
"4",2014-05-20,16.75,18.17,15.67,16.950001,877700,16.950001
"5",2014-05-21,17.200001,17.33,16.299999,17.190001,386800,17.190001
"6",2014-05-22,17.299999,17.299999,15.95,16.15,1321100,16.15
"7",2014-05-23,16.459999,16.459999,14.8,16.360001,942200,16.360001
"8",2014-05-27,16.5,16.700001,15.92,16.1,115700,16.1
"9",2014-05-28,16.290001,18.450001,16.17,17.379999,501200,17.379999
"10",2014-05-29,17.5,18.059,17.290001,17.49,272100,17.49
"11",2014-05-30,17.85,17.9,15.83,15.98,219200,15.98
"12",2014-06-02,15.95,15.96,14.17,15,346100,15
"13",2014-06-03,15.06,16,14.77,15.06,293800,15.06
"14",2014-06-04,15.09,15.51,14.31,15.3,180100,15.3
"15",2014-06-05,15.3,15.62,14.73,15.22,174400,15.22
"16",2014-06-06,15.35,15.59,15,15.39,223100,15.39
"17",2014-06-09,15.24,17.57,14.76,17.32,438400,17.32
"18",2014-06-10,17.440001,18.120001,16.5,16.5,244300,16.5
"19",2014-06-11,16.389999,18.75,16.23,18.49,419000,18.49
"20",2014-06-12,18.440001,18.440001,17.34,17.889999,231600,17.889999
"21",2014-06-13,18.049999,18.09,16,16.75,426200,16.75
"22",2014-06-16,16.690001,18.25,16.190001,17.24,271600,17.24
"23",2014-06-17,17.370001,18,17.24,17.700001,88600,17.700001
"24",2014-06-18,17.74,18.110001,17.309999,17.610001,142600,17.610001
"25",2014-06-19,17.530001,18.01,17.52,18,221900,18
"26",2014-06-20,18.1,18.290001,16.969999,17.559999,324900,17.559999
"27",2014-06-23,17.49,18.4,17.209999,17.99,135300,17.99
"28",2014-06-24,17.809999,18.025,17.530001,17.809999,106300,17.809999
"29",2014-06-25,17.93,18.02,17.5,17.940001,99800,17.940001
"30",2014-06-26,17.9,18,17.57,17.68,77100,17.68
"31",2014-06-27,17.67,18.4,17.16,17.16,1136800,17.16
"32",2014-06-30,17.27,17.6,16.34,17.379999,284000,17.379999
"33",2014-07-01,17.4,17.5,17,17.299999,152800,17.299999
"34",2014-07-02,17.370001,17.370001,16.309999,16.43,193600,16.43
"35",2014-07-03,16.43,16.709999,16.16,16.51,88100,16.51
"36",2014-07-07,16.51,16.51,15.5,15.79,235600,15.79
"37",2014-07-08,15.85,16.469999,15.545,16.379999,202600,16.379999
"38",2014-07-09,16.48,16.48,15.71,16.049999,157400,16.049999
"39",2014-07-10,15.81,16.34,15.5,16.08,232300,16.08
"40",2014-07-11,16.049999,16.079,15.65,15.94,184900,15.94
"41",2014-07-14,16.040001,16.59,16.040001,16.48,106200,16.48
"42",2014-07-15,16.51,17.190001,16.33,17.059999,168400,17.059999
"43",2014-07-16,17.01,17.389999,16.82,17.15,227700,17.15
"44",2014-07-17,17.16,17.74,17.049999,17.139999,249500,17.139999
"45",2014-07-18,17.139999,17.77,17.139999,17.639999,253100,17.639999
"46",2014-07-21,17.620001,17.879999,17.190001,17.32,164900,17.32
"47",2014-07-22,17.33,17.879999,17,17.26,133200,17.26
"48",2014-07-23,17.360001,17.639999,17.200001,17.4,79800,17.4
"49",2014-07-24,17.4,17.74,17.261999,17.49,164200,17.49
"50",2014-07-25,17.35,17.690001,16.85,17.049999,281100,17.049999
"51",2014-07-28,17,17.450001,16.799999,17.25,324500,17.25
"52",2014-07-29,17.389999,17.530001,17.09,17.25,167400,17.25
"53",2014-07-30,17.389999,18,17.299999,17.77,136500,17.77
"54",2014-07-31,17.629999,17.879999,17.040001,17.389999,102600,17.389999
"55",2014-08-01,17.360001,17.629999,17.299999,17.549999,128600,17.549999
"56",2014-08-04,17.58,17.736,17.309999,17.5,142600,17.5
"57",2014-08-05,17.709999,18.33,17.52,17.969999,397600,17.969999
"58",2014-08-06,19.200001,20.5,18.84,19.18,1180700,19.18
"59",2014-08-07,19.42,19.780001,19.110001,19.42,199600,19.42
"60",2014-08-08,19.49,21.450001,19.370001,21.290001,277000,21.290001
"61",2014-08-11,21.389999,23.58,21.35,22.92,331800,22.92
"62",2014-08-12,23.040001,23.440001,22.209999,22.700001,200800,22.700001
"63",2014-08-13,22.9,23.459999,22.809999,23.32,127600,23.32
"64",2014-08-14,23.27,24.440001,23.226999,23.34,237500,23.34
"65",2014-08-15,23.33,24.01,22.634001,23.98,209400,23.98
"66",2014-08-18,24.25,24.334999,23.77,24.25,115900,24.25
"67",2014-08-19,24.610001,25.440001,24.299999,25.200001,192700,25.200001
"68",2014-08-20,25.08,25.219999,24.530001,25.01,145500,25.01
"69",2014-08-21,24.9,25.09,24.719999,24.98,46700,24.98
"70",2014-08-22,24.889999,25.07,24.52,24.940001,108200,24.940001
"71",2014-08-25,24.969999,25.280001,24.76,25.209999,48900,25.209999
"72",2014-08-26,25.290001,27.304001,25.290001,26.280001,320000,26.280001
"73",2014-08-27,26.66,27.959999,26.41,26.719999,142300,26.719999
"74",2014-08-28,26.719999,27.16,26.030001,27.07,116700,27.07
"75",2014-08-29,27.25,27.299999,26.530001,27.190001,150800,27.190001
"76",2014-09-02,27.68,28.049999,27.33,27.74,143800,27.74
"77",2014-09-03,27.709999,27.799999,26.85,26.98,199900,26.98
"78",2014-09-04,27.02,27.379999,24.75,24.889999,233600,24.889999
"79",2014-09-05,24.879999,25.25,23.870001,24.67,140400,24.67
"80",2014-09-08,24.67,25.450001,23.66,24.23,273100,24.23
"81",2014-09-09,24.620001,24.82,24.070999,24.25,136500,24.25
"82",2014-09-10,24.1,24.809999,23.790001,24.34,219100,24.34
"83",2014-09-11,24.190001,24.75,24.132,24.4,157900,24.4
"84",2014-09-12,24.41,24.41,23.450001,23.5,228200,23.5
"85",2014-09-15,23.42,23.42,21.860001,22.059999,211200,22.059999
"86",2014-09-16,21.860001,22.221001,21.58,21.77,241200,21.77
"87",2014-09-17,21.52,23.190001,21.469999,22.790001,310500,22.790001
"88",2014-09-18,22.83,24.129999,22.76,23.07,379900,23.07
"89",2014-09-19,23.08,23.799999,22.01,22.65,846400,22.65
"90",2014-09-22,22.530001,22.74,21.41,21.799999,290300,21.799999
"91",2014-09-23,21.74,21.969999,21.061001,21.34,118200,21.34
"92",2014-09-24,21.32,21.9,20.829,21.75,97600,21.75
"93",2014-09-25,21.76,22.219999,21.450001,21.77,120400,21.77
"94",2014-09-26,21.790001,22.15,21.549999,21.9,92300,21.9
"95",2014-09-29,21.57,22.59,21.57,21.889999,133800,21.889999
"96",2014-09-30,21.959999,22.07,21.183001,21.59,161400,21.59
"97",2014-10-01,21.51,22.07,21.01,21.549999,224100,21.549999
"98",2014-10-02,21.49,21.9,21.08,21.85,267400,21.85
"99",2014-10-03,22.15,25.85,22.15,25.549999,589700,25.549999
"100",2014-10-06,25.700001,25.700001,24.17,24.32,854300,24.32
"101",2014-10-07,24.1,24.309999,23.299999,23.610001,192600,23.610001
"102",2014-10-08,23.610001,23.77,22.76,23.15,263900,23.15
"103",2014-10-09,23.15,23.15,22.030001,22.32,171800,22.32
"104",2014-10-10,22.309999,22.5,20.5,20.52,319700,20.52
"105",2014-10-13,20.57,20.66,19.389999,19.940001,462100,19.940001
"106",2014-10-14,20.110001,21.799999,20.030001,20.620001,478100,20.620001
"107",2014-10-15,20.18,21.860001,19.870001,21.76,404700,21.76
"108",2014-10-16,21.5,22.940001,21.5,22.33,391700,22.33
"109",2014-10-17,22.67,22.75,21.68,22.08,215400,22.08
"110",2014-10-20,21.83,22.110001,21.09,21.17,229700,21.17
"111",2014-10-21,21.24,21.389999,20.700001,21.299999,129600,21.299999
"112",2014-10-22,21.360001,21.41,20.040001,20.07,228000,20.07
"113",2014-10-23,20.370001,20.4,19.9,20.25,264900,20.25
"114",2014-10-24,20.25,21.200001,20.09,21.09,281100,21.09
"115",2014-10-27,20.99,21.799999,20.5,21.24,196000,21.24
"116",2014-10-28,21.41,22.58,21.209999,22.530001,228900,22.530001
"117",2014-10-29,22.709999,22.870001,21.73,22.26,172200,22.26
"118",2014-10-30,22.219999,23.76,21.5,23.23,459100,23.23
"119",2014-10-31,25.34,28.200001,24.620001,26,1548900,26
"120",2014-11-03,25.889999,27.34,25.6,26.4,478500,26.4
"121",2014-11-04,26.299999,27.370001,26.225,26.709999,545300,26.709999
"122",2014-11-05,26.66,26.98,24.459999,24.959999,485000,24.959999
"123",2014-11-06,24.82,25.4,24.32,25.219999,427600,25.219999
"124",2014-11-07,25.290001,25.950001,24.219999,24.65,595700,24.65
"125",2014-11-10,24.5,25.51,24.030001,24.23,523600,24.23
"126",2014-11-11,23.709999,24.24,22.809999,23.34,1788500,23.34
"127",2014-11-12,23,25.15,23,25.059999,741000,25.059999
"128",2014-11-13,24.99,25.559999,24.42,24.82,611700,24.82
"129",2014-11-14,24.870001,25.370001,24.450001,25.049999,648700,25.049999
"130",2014-11-17,23.889999,24.790001,23.860001,24.08,990200,24.08
"131",2014-11-18,23.82,24.5,23.68,24.290001,417200,24.290001
"132",2014-11-19,24.200001,24.870001,24.200001,24.43,510100,24.43
"133",2014-11-20,24.08,25,23.889999,24.9,779000,24.9
"134",2014-11-21,25,25.049999,23.906,24.379999,642800,24.379999
"135",2014-11-24,24.01,24.450001,23.540001,24.379999,727200,24.379999
"136",2014-11-25,24.280001,24.74,23.610001,23.700001,800800,23.700001
"137",2014-11-26,23.629999,23.73,23.02,23.57,397800,23.57
"138",2014-11-28,23.690001,24,23.280001,23.76,125600,23.76
"139",2014-12-01,23.01,23.385,22.639999,22.68,945400,22.68
"140",2014-12-02,22.48,23.67,22.059999,23.33,502900,23.33
"141",2014-12-03,23.33,23.799999,23.299999,23.65,615000,23.65
"142",2014-12-04,23.59,23.93,23.35,23.74,291000,23.74
"143",2014-12-05,23.75,24.35,23.65,23.889999,405200,23.889999
"144",2014-12-08,23.459999,23.959999,22.98,23.780001,936100,23.780001
"145",2014-12-09,23.1,24.68,22.879999,24.67,557400,24.67
"146",2014-12-10,24.24,24.700001,23.761,23.93,639400,23.93
"147",2014-12-11,23.91,24.700001,23.620001,23.83,395500,23.83
"148",2014-12-12,23.440001,24.16,23.24,23.389999,474700,23.389999
"149",2014-12-15,23.290001,23.290001,22.41,22.6,1240700,22.6
"150",2014-12-16,22.129999,24.040001,22.1,23.35,748800,23.35
"151",2014-12-17,23.200001,24.75,23.200001,24.57,869100,24.57
"152",2014-12-18,24.83,24.9,24.34,24.540001,633000,24.540001
"153",2014-12-19,24.52,24.91,24.52,24.629999,1077900,24.629999
"154",2014-12-22,24.700001,24.77,24.280001,24.6,679300,24.6
"155",2014-12-23,24.68,25,24.5,24.549999,289200,24.549999
"156",2014-12-24,25,25,24.700001,24.83,561300,24.83
"157",2014-12-26,25,25.02,24.860001,25,281200,25
"158",2014-12-29,25.01,25.02,23.9,24.09,436600,24.09
"159",2014-12-30,24,24.827999,24,24.41,273300,24.41
"160",2014-12-31,24.5,24.65,24.256001,24.370001,245900,24.370001
"161",2015-01-02,24.43,24.77,24.110001,24.57,304100,24.57
"162",2015-01-05,24.370001,24.5,23.309999,24.059999,374500,24.059999
"163",2015-01-06,24.209999,24.672001,23.799999,24.52,331600,24.52
"164",2015-01-07,24.75,24.99,24.305,24.52,225800,24.52
"165",2015-01-08,24.690001,25.67,24.42,25,760000,25
"166",2015-01-09,24.99,25.360001,24.75,25.15,394900,25.15
"167",2015-01-12,25.139999,25.4,24.125,24.58,409600,24.58
"168",2015-01-13,24.709999,25.49,24.459999,24.84,333700,24.84
"169",2015-01-14,24.59,25,24.440001,24.950001,105500,24.950001
"170",2015-01-15,25,25.1,24.219999,24.52,341000,24.52
"171",2015-01-16,24.5,24.75,24.48,24.58,153100,24.58
"172",2015-01-20,24.709999,24.719999,23.68,24.23,444800,24.23
"173",2015-01-21,24.17,24.639999,24,24.360001,148900,24.360001
"174",2015-01-22,24.549999,24.92,24.049999,24.75,148100,24.75
"175",2015-01-23,24.809999,26,24.41,25.92,387900,25.92
"176",2015-01-26,25.629999,25.799999,24,24.459999,635600,24.459999
"177",2015-01-27,24.08,25.120001,23.799999,24.370001,356200,24.370001
"178",2015-01-28,24.469999,24.74,23.889999,24.049999,228900,24.049999
"179",2015-01-29,24.1,25.059999,23.9,25.030001,210900,25.030001
"180",2015-01-30,24.91,25.15,24.1,24.190001,164600,24.190001
"181",2015-02-02,24.299999,24.299999,22.84,23.450001,367400,23.450001
"182",2015-02-03,23.42,23.700001,23.075001,23.48,191200,23.48
"183",2015-02-04,23.299999,23.99,23.129999,23.99,104000,23.99
"184",2015-02-05,23.809999,24.889999,23.719999,24.77,184200,24.77
"185",2015-02-06,24.83,26.08,24.790001,26.08,396200,26.08
"186",2015-02-09,25.969999,25.969999,24.809999,25.389999,595300,25.389999
"187",2015-02-10,25.469999,25.93,24.92,25.82,406400,25.82
"188",2015-02-11,25.98,26.370001,24.93,25.389999,705100,25.389999
"189",2015-02-12,25.959999,26.35,22.24,24.360001,1620300,24.360001
"190",2015-02-13,24.08,25.42,23.73,25.379999,574800,25.379999
"191",2015-02-17,24.91,25.219999,24.059999,24.26,576100,24.26
"192",2015-02-18,24.16,24.16,23.08,23.76,523600,23.76
"193",2015-02-19,23.559999,24.209999,22.735001,24.1,606300,24.1
"194",2015-02-20,24.1,24.379999,23.809999,24.26,323900,24.26
"195",2015-02-23,24.190001,24.26,23.785,24.08,418400,24.08
"196",2015-02-24,24.07,24.26,23.805,24.120001,232800,24.120001
"197",2015-02-25,24.129999,24.42,23.896,24.42,345100,24.42
"198",2015-02-26,24.379999,24.629999,24.129999,24.629999,307800,24.629999
"199",2015-02-27,24.5,24.719999,24.299999,24.719999,516100,24.719999
"200",2015-03-02,24.719999,24.73,23.959999,24.110001,476500,24.110001
"201",2015-03-03,23.93,24.02,22.52,22.59,359800,22.59
"202",2015-03-04,22.549999,23.49,22.325001,23.059999,413900,23.059999
"203",2015-03-05,23.16,23.559999,22.98,23.43,172600,23.43
"204",2015-03-06,23.200001,23.450001,22.75,23.01,373300,23.01
"205",2015-03-09,23.049999,23.129999,22.559999,23,453100,23
"206",2015-03-10,22.299999,22.530001,21.27,22.200001,787800,22.200001
